"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0ecor3g04uErdVjzEvozKE","Panico","spotify:artist:7u710e44HW3K7A5eTnRqHC, spotify:artist:54dqxLAclwu0QSaTwCyCaF","Fabri Fibra, Neffa","spotify:album:5Sx3kQfnoahsTArhvKmdkB","Guerra E Pace","spotify:artist:7u710e44HW3K7A5eTnRqHC","Fabri Fibra","2013-01-01","https://i.scdn.co/image/ab67616d0000b2731e9f532e13a09ec51a858e38","1","10","252293","https://p.scdn.co/mp3-preview/082cf63740f4a27e9f0d061e8aba409be72c32c6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITUM71200898","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:55G1FSjq03yZzcZ1kEciPJ","Sotto Indagine","spotify:artist:49UAapOfpOg1ZOU4xf2NgY","Noyz Narcos","spotify:album:0mol09Fi7Qv3YrsOMlhZl6","Guilty","spotify:artist:49UAapOfpOg1ZOU4xf2NgY","Noyz Narcos","2010-01-01","https://i.scdn.co/image/ab67616d0000b273ca4d078826db55427a274d8d","1","4","166266","https://p.scdn.co/mp3-preview/14337d001d490d99d809b3ee00e83bd313412b41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ITO371000664","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:3kZCffO5qMkMRLyPdOFKWv","31/08","spotify:artist:4yUvIAm9mSJyLt1WLrOxAZ","Mecna","spotify:album:40SxVEqvL3Lp4LUWcLpmBV","Laska","spotify:artist:4yUvIAm9mSJyLt1WLrOxAZ","Mecna","2015-01-27","https://i.scdn.co/image/ab67616d0000b273294dd5f2fad3d133d63d238e","1","5","196120","https://p.scdn.co/mp3-preview/45f30884b43be602952be317996164548e005827?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITZA81400213","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:0c4IEciLCDdXEhhKxj4ThA","Madness","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","spotify:album:3KuXEGcqLcnEYWnn3OEGy0","The 2nd Law","spotify:artist:12Chz98pHFMPJEknJQMWvI","Muse","2012-09-24","https://i.scdn.co/image/ab67616d0000b273fc192c54d1823a04ffb6c8c9","1","2","281040","https://p.scdn.co/mp3-preview/f84cc7df257a52a7cf91fc166cd59c377ac32331?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GBAHT1200390","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:3mFRlMSFzMYjDlkz60aFFq","Sul Tetto Del Mondo","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G","Guè, Emis Killa","spotify:album:0LHWAAN1t9MHgpkPjdXrkW","Bravo Ragazzo (Royal Edition)","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2013-01-01","https://i.scdn.co/image/ab67616d0000b273780a8609d3adfe119da97aac","1","8","216093","https://p.scdn.co/mp3-preview/52abf763d88c00f19df34582e00608ce66c5b987?cid=9950ac751e34487dbbe027c4fd7f8e99","true","32","ITUM71300277","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:0IsWHKy0BE0ZGI4xoI58Al","Rapper/Criminale","spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Marracash","spotify:album:6oEroJCKNSoYDi4LfnQTir","King Del Rap","spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Marracash","2011-01-01","https://i.scdn.co/image/ab67616d0000b27367b14526f66e83d0af9898bc","1","5","240013","https://p.scdn.co/mp3-preview/ba95f2ec6e4c6789ffd2c64fa7269eeaba0367a2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","40","ITUM71100720","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:25KFkexAg7vvy2lYRYv2gl","Parlami D'Amore","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","spotify:album:0NQDyYJyaZWGAuKo8PngX2","La Finestra (Deluxe Edition)","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","2007-06-08","https://i.scdn.co/image/ab67616d0000b273e377a39dbbb3134f287d469c","1","3","199866","https://p.scdn.co/mp3-preview/0e04f40c12ec9f5472da29f9bb09d612b55fc7ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ITZ040700034","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:5LdDvGN2JwjcmRjVrHIhIk","Non Cambio Mai","spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:3MkkSf3u5KU52Mb2iMrqeX","Gemitaiz, MadMan","spotify:album:1hHCkJ9S9dRbC14YZVurLq","Detto, Fatto.","spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:3MkkSf3u5KU52Mb2iMrqeX","Gemitaiz, MadMan","2012-11-30","https://i.scdn.co/image/ab67616d0000b273ef25efcb6c3ce21aeb2be82c","1","5","176400","https://p.scdn.co/mp3-preview/6c15e9a4d0e9bbfb50cf78a2dc524934871d25ac?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","ITDF41200020","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:7zZbr4MZMwX5R5hlWq31bl","M3","spotify:artist:49UAapOfpOg1ZOU4xf2NgY","Noyz Narcos","spotify:album:0mol09Fi7Qv3YrsOMlhZl6","Guilty","spotify:artist:49UAapOfpOg1ZOU4xf2NgY","Noyz Narcos","2010-01-01","https://i.scdn.co/image/ab67616d0000b273ca4d078826db55427a274d8d","1","2","112506","https://p.scdn.co/mp3-preview/736a6954d847f508aeac38ae3d2dbb59bb506421?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","ITO371000662","spotify:user:","2024-10-03T00:00:00Z"
"spotify:track:1enZE7LL5pYZh0rtns0L23","Le Tasche Piene Di Sassi","spotify:artist:7tmMPdOmFvdRvbj2aWoiRi","Jovanotti","spotify:album:0YYFGMRcILqp24blwnJUom","Ora (International Version)","spotify:artist:7tmMPdOmFvdRvbj2aWoiRi","Jovanotti","2011-01-01","https://i.scdn.co/image/ab67616d0000b2733096af8748fa8d6a9e3d5f9e","1","3","213226","https://p.scdn.co/mp3-preview/fa070d869d2bb0e109a72747612dbdfeab29cf32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ITUM71003417","spotify:user:","2024-10-03T00:00:00Z"
