"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3qyRgMzJHmEHVf16cdHCgF","So Finiti I Giochi","spotify:artist:26PZBCQnswFp61ccTrVJOa","Gianni Bismark","spotify:album:47AvAzkaPvmiqRgSQex8SD","Re Senza Corona","spotify:artist:26PZBCQnswFp61ccTrVJOa","Gianni Bismark","2019-01-18","https://i.scdn.co/image/ab67616d0000b273673d65a32ebf287cc5c29820","1","5","173874","https://p.scdn.co/mp3-preview/03e893c6590f9a77f4251d8b3dcbdc9515aa565d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","ITUM71801371","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:2DEPd4dQDR20BzR2kgORzH","Sto Zitto","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys","spotify:album:7pYlyiJ95NDZ4WoTVk26n0","Alpha Centauri","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys","2019-06-27","https://i.scdn.co/image/ab67616d0000b273f0d37fad5673cd20dce74314","1","3","174292","https://p.scdn.co/mp3-preview/32e6115706a02770258ac9859b41d5a57764c1e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","14","ITDF61977052","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:2GZpSg12X1Ugln2Q3M9TJC","Sciccherie","spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Madame","spotify:album:06bjbIAwRhdEY3p23an7xv","Sciccherie","spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Madame","2018-12-14","https://i.scdn.co/image/ab67616d0000b2730535f2f9d9c2e443c6e25181","1","1","192970","https://p.scdn.co/mp3-preview/89ff3390f2194e1411653ea5a3bc324506c15747?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITZ041800159","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:5Aw0QmDZJZID69ZcTvEzXI","m8nstar","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","spotify:album:18f4ZUSohDvWgzeP5qmiAv","m8nstar","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2019-05-03","https://i.scdn.co/image/ab67616d0000b2737124d052c1f5b55730c8e8ca","1","1","164825","https://p.scdn.co/mp3-preview/3206bc95f3aa3561bc2e6f7090c5c9d6e5e713fc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ITB001900255","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:2eMwDehkIC1j68U6FA3Eiq","XO TOUR Llif3","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:4CZVGlURM8vncG4ftZULTS","XO TOUR Llif3","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","2017-03-24","https://i.scdn.co/image/ab67616d0000b27315531ec8568373f631db9786","1","1","182706","https://p.scdn.co/mp3-preview/115d957b81400862451425d9591dfa938da476da?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USAT21700684","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:3ITeZaE6vOOJJ63HsDLmPS","Ready For War (feat. Knowpmw)","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM, spotify:artist:17krypRYPb6x6ojBgFuhLx","Tauro Boys, Knowpmw","spotify:album:7pYlyiJ95NDZ4WoTVk26n0","Alpha Centauri","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys","2019-06-27","https://i.scdn.co/image/ab67616d0000b273f0d37fad5673cd20dce74314","1","5","206133","https://p.scdn.co/mp3-preview/136846bce691d04ebce6a7f13d549e70d15dac50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ITDF61977031","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:5GoGjEsPvr0McJQiGGCnws","Man Listen","spotify:artist:0FOWNUFHPnMy0vOw1siGqi","Belly","spotify:album:1AAaWeadQaRO6Vab1u3qyU","Man Listen","spotify:artist:0FOWNUFHPnMy0vOw1siGqi","Belly","2017-08-25","https://i.scdn.co/image/ab67616d0000b2731a06b15aacd1598c5f7e3d95","1","1","183920","https://p.scdn.co/mp3-preview/6d66ef2bda95ebf6f2b95012870febf9c5e32c83?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","QMJMT1701389","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:7iaw359G2XT14uTfV9feip","Lockjaw (feat. Kodak Black)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:46SHBwWsqBkxI7EeeBEQG7","French Montana, Kodak Black","spotify:album:7sSW3tQBtQrO7f6uO4Bcxq","Lockjaw (feat. Kodak Black)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2016-05-27","https://i.scdn.co/image/ab67616d0000b273c950feff4be3d63856af3269","1","1","223146","https://p.scdn.co/mp3-preview/454fc6f63598c92c5617178f4aca2198af67d9e3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","USSM11604264","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:3qtuOAI0YyfoBM1s7Tvm46","La Nuova Stella Di Broadway","spotify:artist:396Jr76018oUMR6QBnqT8T","Cesare Cremonini","spotify:album:3OpmNTT7hIZMoO9NNcKnmz","La Teoria Dei Colori","spotify:artist:396Jr76018oUMR6QBnqT8T","Cesare Cremonini","2012-01-01","https://i.scdn.co/image/ab67616d0000b27322ae5b5ba67f6f218b5f3e34","1","10","267746","https://p.scdn.co/mp3-preview/07cb8e5bb71b36537c622a2bb71162900e8c55a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","ITZL91200009","spotify:user:","2020-06-23T05:28:43Z"
"spotify:track:0qBckI1yluOWDDWBnjr781","Dieci Ragazze","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys","spotify:album:7cwfsBUolv41vtpOSheaq6","TauroTape2","spotify:artist:3co0PkJ0FkzdkjRPkBf9WM","Tauro Boys","2018-10-05","https://i.scdn.co/image/ab67616d0000b273fa0aaee65c603d126a29c263","1","3","156923","https://p.scdn.co/mp3-preview/dde0125ada83010c010017b7aef059cd962d64d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ITDF61877067","spotify:user:","2020-06-23T05:28:43Z"
