"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2AxlOXHia0PzgHDI6SrsW2","Swing, Swing","spotify:artist:3vAaWhdBR38Q02ohXqaNHT","The All-American Rejects","spotify:album:03yEcBjqo0NBbaV56InLoB","The All-American Rejects","spotify:artist:3vAaWhdBR38Q02ohXqaNHT","The All-American Rejects","2002-01-01","https://i.scdn.co/image/ab67616d0000b273a4ec45b009b5555bff844675","1","3","233266","https://p.scdn.co/mp3-preview/b25a22da00b82967fddeadf17c50b29d14ef0c30?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDW10200529","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:6oWpGuwokWJ4EcWgVQPdUt","Summer Of '69","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","spotify:album:4kbE34G5bxaxwuCqz0NEw4","The Best Of Me","spotify:artist:3Z02hBLubJxuFJfhacLSDc","Bryan Adams","1999-01-01","https://i.scdn.co/image/ab67616d0000b2730c97f4174b14a8d158136e9d","1","4","212893","https://p.scdn.co/mp3-preview/2300238dbef57e50bd68cec1093b30c62c86d090?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAM18490006","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:5GicVH0OTGMTR5bwYoXDwo","Free Fallin'","spotify:artist:2UZMlIwnkgAEDBsw1Rejkn","Tom Petty","spotify:album:4jxgzU8zEqO3dk1yjMGNWK","Greatest Hits","spotify:artist:4tX2TplrkIP4v05BNC903e","Tom Petty and the Heartbreakers","2008-01-01","https://i.scdn.co/image/ab67616d0000b27304ce90b4ed8847e808161a99","1","14","254413","https://p.scdn.co/mp3-preview/89d8726db64aa0dcea919467782495e6fd1d2034?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USMC18925673","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:77FWqYL3Lfi9GbUM5AZQFV","Grace","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","spotify:album:6sO82BLxUNuxYsShIizE0c","Grace","spotify:artist:0sHeX8oQ6o7xic3wMf4NBU","Supergrass","2002-09-16","https://i.scdn.co/image/ab67616d0000b2739a27f277438a8c977dd74b20","1","1","149973","https://p.scdn.co/mp3-preview/955bfef633e532cc9dac2d47498a907566607f88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBAYE0201028","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:4pbJqGIASGPr0ZpGpnWkDn","We Will Rock You - Remastered 2011","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","spotify:album:7tB40pGzj6Tg0HePj2jWZt","News Of The World (2011 Remaster)","spotify:artist:1dfeR4HaWDbWqFHLkxsg1d","Queen","1977-10-28","https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8","1","1","122066","https://p.scdn.co/mp3-preview/61dc76538204d41f88210db47901afea4ed885fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","GBUM71029618","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:3q76upyNC5OXGuCdI4yqjQ","Ride A White Swan","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","spotify:album:3NvakF8DkALyWdzQabFo1S","Get It On: The Collection","spotify:artist:3dBVyJ7JuOMt4GE9607Qin","T. Rex","2011-01-01","https://i.scdn.co/image/ab67616d0000b273e5470a7e49f12ad8486ba831","1","2","131986","https://p.scdn.co/mp3-preview/836f0154f11ca52dd6b091a412f451ab28e400bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCHM0000080","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:4pelw3GzRav2slQJ1vNR2m","Dreaming of You","spotify:artist:6OiHleP2bHM18dXq4aZQWt","The Coral","spotify:album:3iFJF65Vc8nhkASihDVOrn","Love Songs - 100 Hits: Ballads, sad songs and tear jerkers inc. Beyonce, Michael Jackson and John Legend","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2013-06-21","https://i.scdn.co/image/ab67616d0000b273621bf62b4266bbc2892756fa","1","84","141840","https://p.scdn.co/mp3-preview/ca764335f56fdc0cc9ec98e45544dd2440384a57?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBETG0202031","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:3EPkxw98W1dCrN5czQw6dM","Check Yes Juliet","spotify:artist:3ao3jf5d70Tf4fPh2bnXVl","We The Kings","spotify:album:1UO2bjJd2TVkkKQo5FUkRK","We the Kings","spotify:artist:3ao3jf5d70Tf4fPh2bnXVl","We The Kings","2007","https://i.scdn.co/image/ab67616d0000b2735bb95dee8aeac85e6e348166","1","3","220146","https://p.scdn.co/mp3-preview/b30464072007fdd04750d5850b6ba36d4e024e9c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USKFE0700003","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:7xl2ZaOnKAxJyrkIQe2S43","Tick Tick Boom","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","spotify:album:3UpE4fszD4goeSoyZXq4dg","The Black and White album","spotify:artist:4DToQR3aKrHQSSRzSz8Nzt","The Hives","2007-01-01","https://i.scdn.co/image/ab67616d0000b273cd31723de0bf3c86431c2f90","1","1","205386","https://p.scdn.co/mp3-preview/abdd13d6b29fb8bf1443b94b53f9c7320b4ae2a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","GBUM70708690","spotify:user:pivimkh","2014-11-30T23:48:03Z"
"spotify:track:1hy6Dic0L5SU1XqjhYY1TR","Accidentally In Love","spotify:artist:0vEsuISMWAKNctLlUAhSZC","Counting Crows","spotify:album:33uUYGGvdWXvBkQMQq9d9N","Shrek 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2004-01-01","https://i.scdn.co/image/ab67616d0000b273b068f21fdcb0a9ad33a888ed","1","1","188893","https://p.scdn.co/mp3-preview/d750bcf524baaca7cf26a2cc343775487298603f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USIR10400291","spotify:user:pivimkh","2014-11-30T23:48:03Z"
