"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2QSzIAH6VeoMTBAh7VY8q0","Fake News","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW, spotify:artist:4oEO6Ud3efrjTNSR9SMleI, spotify:artist:6qHbYx76y5bQSbBMUYhhuP","Real Talk, Silent Bob, Luciennn","spotify:album:5r1pfbEuQLbdILMomXqKOC","Real Talk Ep. 4/10","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW","Real Talk","2022-12-01","https://i.scdn.co/image/ab67616d0000b27351f0a6b45bac4e53f9cbd175","1","4","147000","https://p.scdn.co/mp3-preview/be676e9ee4dc6c5e018294f10a099efef4ce136b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","FRX762416372","","2024-07-17T01:07:42Z"
"spotify:track:4RPiduYg5W70vcfU7r1KuV","North Face","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW, spotify:artist:4oEO6Ud3efrjTNSR9SMleI, spotify:artist:0lJ0LqEVlUt4kJYU2nWgwi","Real Talk, Silent Bob, Bosca","spotify:album:5r1pfbEuQLbdILMomXqKOC","Real Talk Ep. 4/10","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW","Real Talk","2022-12-01","https://i.scdn.co/image/ab67616d0000b27351f0a6b45bac4e53f9cbd175","1","1","130000","https://p.scdn.co/mp3-preview/2a607d03b90b3e8b0d88e64d6ae892a713a14849?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","FRX762416369","","2024-07-17T01:07:41Z"
"spotify:track:3PtWXYcnHCKbVgwpfKnFr8","Personal","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW, spotify:artist:4oEO6Ud3efrjTNSR9SMleI, spotify:artist:2MHmkhhM0YyMaDHtwuW1US","Real Talk, Silent Bob, TwentyTwo","spotify:album:5r1pfbEuQLbdILMomXqKOC","Real Talk Ep. 4/10","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW","Real Talk","2022-12-01","https://i.scdn.co/image/ab67616d0000b27351f0a6b45bac4e53f9cbd175","1","2","85500","https://p.scdn.co/mp3-preview/ab37d0ba4915385a53b72bc28d8950bd095c1eec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","FRX762416370","","2024-07-17T01:07:40Z"
"spotify:track:3YgRqCbmxJ9eADC6vBREaT","Trade Off","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW, spotify:artist:4oEO6Ud3efrjTNSR9SMleI, spotify:artist:7l6pS28UBNcLASGW2LsKC5","Real Talk, Silent Bob, Pellerito","spotify:album:5r1pfbEuQLbdILMomXqKOC","Real Talk Ep. 4/10","spotify:artist:7MeFbKQT6w9iBMLuHmzVVW","Real Talk","2022-12-01","https://i.scdn.co/image/ab67616d0000b27351f0a6b45bac4e53f9cbd175","1","3","151000","https://p.scdn.co/mp3-preview/66082f088f78694eced3f55f29d3c0420c8a57b3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","FRX762416371","","2024-07-17T01:07:39Z"
"spotify:track:1jM7qLKYebmZhnjwl2MpTo","Apparecchiato (feat. Nerissima Serpe)","spotify:artist:0vAALEhfbmllIOX1t7k5KU, spotify:artist:08ppjXEpROUgrG1X0DEquB, spotify:artist:4PYZsCk6AeRr8VjtJ7z1RF","Papa V, Nerissima Serpe, Fritu","spotify:album:73o3cVQvCogUq8jVRJ8DU4","Gesù Bambino","spotify:artist:0vAALEhfbmllIOX1t7k5KU","Papa V","2022-10-07","https://i.scdn.co/image/ab67616d0000b2733ccb5efecbf098482b53107e","1","6","158625","https://p.scdn.co/mp3-preview/8481b4eda47dd2c5432a65ff0312d80a7e0bb32e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","ITUD52200028","","2024-05-29T08:44:52Z"
"spotify:track:5xAP2Tpitr6TnM6BAwJIvf","MELLOW 9","spotify:artist:4RFIOsKA6DuzE9DGGOHjPT, spotify:artist:4JcvyNRNODMozJnJTomJds","Halba x Foldino, ydn","spotify:album:1SFesoZhv1xT3aFM5u1Bra","Barre Mellow Vol.2","spotify:artist:4RFIOsKA6DuzE9DGGOHjPT, spotify:artist:4JcvyNRNODMozJnJTomJds","Halba x Foldino, ydn","2022-12-16","https://i.scdn.co/image/ab67616d0000b2736145e86376b75b14e495497e","1","4","150500","https://p.scdn.co/mp3-preview/e264963248a93f24335e1347c8e505b6e8f21fe7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","5","ITQ182200024","","2024-05-27T09:37:27Z"
"spotify:track:3K7z0fSlSRxrdFPqavdaKC","Big Panorama","spotify:artist:0RENwV6Phsp2y8nnFJ54UC","Tredici Pietro","spotify:album:4Pcpa6u8EH2bAzboGbcIfK","Big Panorama","spotify:artist:0RENwV6Phsp2y8nnFJ54UC","Tredici Pietro","2024-05-17","https://i.scdn.co/image/ab67616d0000b2739d54f9b1cfc1ab79b113b392","1","1","156875","https://p.scdn.co/mp3-preview/ef5c5423e95a25fd2711eee41c8a0edcd55f4915?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","ITM382400107","","2024-05-17T00:22:40Z"
"spotify:track:0VMGL7KoAfjN3UnTL6aB5o","Sesto senso","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:1IAGA62BsUpc8TjhBZuDsn","Going Hard 2","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2021-09-02","https://i.scdn.co/image/ab67616d0000b27323f14c95a49443cb70e79f18","1","6","181176","https://p.scdn.co/mp3-preview/934c21b1dedd5d93a858c7e695d31c99d496c826?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITK192100094","","2024-04-11T13:11:50Z"
"spotify:track:7kyOleSPiSg5rtARYbaIFk","Profezia","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","spotify:album:7a8pBg426ohFGpFaYWsvHf","LEON","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2024-03-21","https://i.scdn.co/image/ab67616d0000b273b696c9dbfa799ebeb6cb86b7","1","1","138750","https://p.scdn.co/mp3-preview/200db7050eee2a1cbe2506d0fa91c239cd525d51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITUM72300761","","2024-04-10T06:35:28Z"
"spotify:track:50DMJJpAeQv4fIpxZvQz2e","Monsters (feat. Demi Lovato and blackbear)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:2cFrymmkijnjDg9SS92EPM","All Time Low, Demi Lovato, blackbear","spotify:album:1EGlv1JGCUPolWU4qv7bsK","Monsters (feat. Demi Lovato and blackbear)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:2cFrymmkijnjDg9SS92EPM","All Time Low, Demi Lovato, blackbear","2020-12-04","https://i.scdn.co/image/ab67616d0000b27335aa8800b1c2e000c3ce07f6","1","1","174424","https://p.scdn.co/mp3-preview/32df6ef1bc56003a8ab73398fc94224522507cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USAT22007691","","2024-01-30T01:55:53Z"
"spotify:track:0JZ1ABjN8q7TNwMP39NjvU","Not Fair","spotify:artist:1ZPGzmbFTn8GRjqTqnLiFE, spotify:artist:6v2YWK8EvCyut0QtBcAypu, spotify:artist:61PUjJm9JH5ck3LxD6RypE","Niklas Dee, Old Jim, Enny-Mae","spotify:album:57jsctxgXIlNnaWtZpjweW","Not Fair","spotify:artist:1ZPGzmbFTn8GRjqTqnLiFE, spotify:artist:6v2YWK8EvCyut0QtBcAypu, spotify:artist:61PUjJm9JH5ck3LxD6RypE","Niklas Dee, Old Jim, Enny-Mae","2023-06-02","https://i.scdn.co/image/ab67616d0000b27385ad18770b608ba6cc7c6289","1","1","163034","https://p.scdn.co/mp3-preview/57e753f638dbab5fb7ca790739065600f6e55737?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","DEN062300306","","2024-01-25T09:50:39Z"
"spotify:track:5g3QWAPX4IVk1jucqsggQI","Baja","spotify:artist:5v2WhpA59TJSdPh7LCx1lN, spotify:artist:5qSqbVmHM1dtIazNNyTP7c","BONES, Lyson","spotify:album:5qKGyFJZxAFwBS7723K64l","REMAINS","spotify:artist:5v2WhpA59TJSdPh7LCx1lN, spotify:artist:5qSqbVmHM1dtIazNNyTP7c","BONES, Lyson","2020-05-31","https://i.scdn.co/image/ab67616d0000b2738a679407f6456335077b6e18","1","4","95833","https://p.scdn.co/mp3-preview/cd0ac8f59fa95b5a664e0a96f3a1abcf69ea7dd8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USUYG1316360","","2023-12-29T08:09:31Z"
"spotify:track:4iSHIHjbwqztgHdSeTjuMN","Grey Gods","spotify:artist:3H6CaRooDAoCeRCpYwOXj2, spotify:artist:1VPmR4DJC1PlOtd0IADAO0","Ramirez, $uicideboy$","spotify:album:2oaau3jGhm8zjnBbGxmCA6","Grey Gorilla","spotify:artist:3H6CaRooDAoCeRCpYwOXj2","Ramirez","2017-06-10","https://i.scdn.co/image/ab67616d0000b273c3c8f8c05729d8eec078ae4d","1","10","192809","https://p.scdn.co/mp3-preview/dd4831990ad3cac429475cf02ecaa6e317d8f777?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","TCADC1758324","","2023-12-29T08:05:02Z"
"spotify:track:59KsUaIA6LKg1CCAmkhYOX","Uno9999","spotify:artist:2p8QkcgkfvIcUTpudqcqRM","Ele A","spotify:album:028OsY71ny6lzw0Tuq8ILS","Uno9999","spotify:artist:2p8QkcgkfvIcUTpudqcqRM","Ele A","2023-03-07","https://i.scdn.co/image/ab67616d0000b273cd71ef330a3652fccfd269a8","1","1","207603","https://p.scdn.co/mp3-preview/72eaafeab66b50f43f16275d2074df45555a3e65?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","FR59R2373669","","2023-12-06T03:49:26Z"
"spotify:track:7v2XyHJxmKWaDaGVUzRmbW","Distratto","spotify:artist:6U8aUHDeArzovgvZazAK0z, spotify:artist:7JmZ1Eqh38PJhKuf7BzO70","Stokka & Madbuddy, Dj Shocca aka Roc Beats","spotify:album:6LDJLAc8wGzQJQI0mwTfQL","Struggle Radio","spotify:artist:6U8aUHDeArzovgvZazAK0z, spotify:artist:7JmZ1Eqh38PJhKuf7BzO70","Stokka & Madbuddy, Dj Shocca aka Roc Beats","2014-06-23","https://i.scdn.co/image/ab67616d0000b273d710f6fae6e386d6c306b5ab","1","5","204467","https://p.scdn.co/mp3-preview/0c4786433734364397412d6f79fa755f3d88938d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","ITJA21400214","","2023-11-22T14:36:07Z"
"spotify:track:4frxBwtRANvjsmv5cSTXeY","Lights","spotify:artist:4U5QErgn94wZGw1rJz01BO, spotify:artist:05lF0DUkLJqiW5o70SScyR","Charlotte Plank, Hybrid Minds","spotify:album:0BZSPB9vIbTgG55ZztiADc","Lights","spotify:artist:4U5QErgn94wZGw1rJz01BO, spotify:artist:05lF0DUkLJqiW5o70SScyR","Charlotte Plank, Hybrid Minds","2023-09-29","https://i.scdn.co/image/ab67616d0000b2733abc99ff4a111f8d76d0f012","1","1","173023","https://p.scdn.co/mp3-preview/be85adf4112f2292ffb8b5ea50e56d2b32e15a0b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","GBARL2301275","","2023-10-10T08:19:00Z"
"spotify:track:6myUpr3GDR80Dg3zqNTmmG","Another Day","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:64nbgEEIcY4g1ElVLONJ0w","Man On The Moon III: The Chosen","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2020-12-11","https://i.scdn.co/image/ab67616d0000b2736ff25c2481eeaf6e7284d461","1","3","199786","https://p.scdn.co/mp3-preview/bb8ce64ac4ac01c5576edc14ecbdb28dc62af0a3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","USUM72023836","","2023-09-28T05:50:32Z"
"spotify:track:0XyLyJATYbD8eSyfqq72hx","PORSCHE TOPLESS","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","spotify:album:63fDdZN9I2Q55bwmwbUMYn","PORSCHE TOPLESS","spotify:artist:0fA0VVWsXO9YnASrzqfmYu","Kid Cudi","2023-06-02","https://i.scdn.co/image/ab67616d0000b2739e847efa5892af55af380125","1","1","170440","https://p.scdn.co/mp3-preview/185efa8373116b15449b2a92d36b7480f936b990?cid=9950ac751e34487dbbe027c4fd7f8e99","true","42","USUM72308034","","2023-09-21T07:16:40Z"
"spotify:track:4BggEwLhGfrbrl7JBhC8EC","Butterfly","spotify:artist:4iSKnRZAxkmqNok6tv10Se","Crazy Town","spotify:album:0hdOk76DmEMYI6QV92mIin","The Gift Of Game","spotify:artist:4iSKnRZAxkmqNok6tv10Se","Crazy Town","1999-11-04","https://i.scdn.co/image/ab67616d0000b273be3d60f650c3b9dbad061f7f","1","6","216733","https://p.scdn.co/mp3-preview/9d3bbc954641720af57379d0ef40a9e3dd807335?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM19911429","","2023-08-31T17:20:45Z"
"spotify:track:4AZKXQ82fPWIrVU96lqlNH","Second Chance","spotify:artist:6u11Qbko2N2hP4lTBYjX86","Peter Bjorn and John","spotify:album:1BoP39sQne9SNKruNfd3JP","Gimme Some","spotify:artist:6u11Qbko2N2hP4lTBYjX86","Peter Bjorn and John","2011-03-28","https://i.scdn.co/image/ab67616d0000b273cc36f55101a88d3aecad8c35","1","3","252853","https://p.scdn.co/mp3-preview/5a204caf6539fd45b7c2b67624e1444db917ffd2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","SE2KV1000103","","2023-07-03T14:43:08Z"
