"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4SR5ZFC3wXQGHWBBIoRRsy","Drowsy","spotify:artist:77aATgrzmuoRjmqxPcEIHU","brillion.","spotify:album:2oHJAIuw8IH9SUSk05JjRy","2 Am. Study Session","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2020-03-31","https://i.scdn.co/image/ab67616d0000b273bcf09854b52416990676ad6e","1","24","198000","https://p.scdn.co/mp3-preview/705c82c6386f285977b6568f2c0db4fe27645b1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAES2036610","spotify:user:11135692880","2020-04-15T18:50:08Z"
"spotify:track:5ehVOwEZ1Q7Ckkdtq0dY1W","Snowman","spotify:artist:2CiO7xWdwPMDlVwlt9qa1f","WYS","spotify:album:6XyaVDkZeCWf14x0eESZdl","1 Am. Study Session","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2019-12-08","https://i.scdn.co/image/ab67616d0000b27380db5f1340bc1170a22d8e2c","1","1","195136","https://p.scdn.co/mp3-preview/ebddb2375e3ebe1886e0c628e27906ebade69f21?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","TCAEN1970702","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:1XWLdjLUzNDxW7ggw8uQnM","I'm Sorry","spotify:artist:78xSB1R1x8T6o0QuRaodez","Swell","spotify:album:6weHAeERW1hoGdgXtEP1QZ","Theres Still Us","spotify:artist:78xSB1R1x8T6o0QuRaodez","Swell","2016-01-19","https://i.scdn.co/image/ab67616d0000b273690b52d0ce9a2081dbbd2557","1","3","157524","https://p.scdn.co/mp3-preview/4948ac5e97683004cbbb491c0abb63da3adea18e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","QM42K1600449","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:0ytvsZOerGzUWfHXVT2Sgy","Eternal Youth","spotify:artist:4CWpoyuE7e9NvBkUSTmJfq","RŮDE","spotify:album:6STwjBCu3CTEViSxJChKlV","Eternal Youth","spotify:artist:4CWpoyuE7e9NvBkUSTmJfq","RŮDE","2017-08-07","https://i.scdn.co/image/ab67616d0000b273097f3d06dd8726a91f526e21","1","1","205766","https://p.scdn.co/mp3-preview/382362d729212567cb7c9048c89807a5f31a0c19?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","QZ8LD1727702","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:2RycgtfFQZOPgEGrzBGE0j","Getsomerest/sleepwell","spotify:artist:5XTn5Az9AcSKu0oaauC5ES","quickly\, quickly","spotify:album:2JhVhsYSe65vunncE4AYV1","Quickly Quickly, Vol. 1","spotify:artist:5XTn5Az9AcSKu0oaauC5ES","quickly\, quickly","2017-04-16","https://i.scdn.co/image/ab67616d0000b273c417aad130701f49d8e629b8","1","10","332173","https://p.scdn.co/mp3-preview/a3c687a009299ea78395c92bca13bfccc24764ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","QMPKX1729751","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:506O2O13slCAUEo6w8aqr8","I'll Keep You Safe","spotify:artist:4YJkA3YshwZ8FwljpMW0II","sagun","spotify:album:3A2aQi1ZjOG67mnNgpVaF2","I'll Keep You Safe","spotify:artist:4YJkA3YshwZ8FwljpMW0II","sagun","2017-10-06","https://i.scdn.co/image/ab67616d0000b2737123133fdd0eb8b37c0e97e3","1","1","185875","https://p.scdn.co/mp3-preview/68223cf735cfbc8d66893683255650006b352762?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","US23A1500629","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:2I5octIptukljcHgD9COk7","Seasons","spotify:artist:46pzmghp6sMMz521NF5jSH","Düne","spotify:album:5RzoSVIRVEkH74ORV8KzH2","Seasons","spotify:artist:46pzmghp6sMMz521NF5jSH","Düne","2020-07-02","https://i.scdn.co/image/ab67616d0000b2734fc7eb128ae7cadce1675e2f","1","1","197142","","false","0","QZHN92011668","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:6ugrRFZUNIpLiqhLUgC7ix","Flowers","spotify:artist:1EJzWKVDeysgbyuZGfEFde","The Deli","spotify:album:1DewSgsGUFhSPACbWtmZGa","Vibes 3","spotify:artist:1EJzWKVDeysgbyuZGfEFde","The Deli","2016-02-26","https://i.scdn.co/image/ab67616d0000b273247f9a30e283798d925b71b1","1","14","187828","https://p.scdn.co/mp3-preview/8929e71d781e0f023f70e357ef229405a05fb970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","USEAX1602879","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:5TuhMyeZ7bBd3A0PzKNW4D","Silience","spotify:artist:5cnRXRa8otbppSiXvfdmo3","Toonorth","spotify:album:4Fw2PdZjZSGA3Tk2lhLAY1","Silience","spotify:artist:5cnRXRa8otbppSiXvfdmo3","Toonorth","2018-09-17","https://i.scdn.co/image/ab67616d0000b27333996a23e461d8b71c928150","1","1","196923","https://p.scdn.co/mp3-preview/e8ba570fe7311a83947773454e5d4a36bdc49339?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBKQU1882650","spotify:user:11135692880","2020-07-23T13:06:34Z"
"spotify:track:6mRmaBAb8ysO3pcGDaegL2","Proud of You","spotify:artist:3nCJkmgdZQ6l8o828Y3vNQ, spotify:artist:60J5TDNg9Xxp9zxDXpBOjM","A L E X, Alicks","spotify:album:0ssOcOJhwRHzBFesFsJuye","Growing Up, Vol. 2","spotify:artist:3nCJkmgdZQ6l8o828Y3vNQ","A L E X","2018-06-18","https://i.scdn.co/image/ab67616d0000b2733a311684b7623c925e0bfe4b","1","27","182869","https://p.scdn.co/mp3-preview/fca76debae605f74d40c993f548ed5a23bbd19e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","QZDA41889559","spotify:user:11135692880","2020-07-23T13:06:34Z"
