"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7d93Vr0W0Bva1XdAs0I58L","Nightlight","spotify:artist:6M6LWvHKgBle8SUtSpq6SU, spotify:artist:5zNV6mtDd7Bo9ncZws9TFG, spotify:artist:4J0hluRQr6Ef1IwHzBJfNA","iamalex, Felty, susan","spotify:album:6sDeMyfApiYiIsimVGQFv5","Blue Bird","spotify:artist:6M6LWvHKgBle8SUtSpq6SU, spotify:artist:5zNV6mtDd7Bo9ncZws9TFG, spotify:artist:4J0hluRQr6Ef1IwHzBJfNA","iamalex, Felty, susan","2024-08-12","https://i.scdn.co/image/ab67616d0000b2737a1e8b01da5f1c20261e8144","1","1","129789","https://p.scdn.co/mp3-preview/e69fbd1fd1957d9cf735e1123b89f9edb161a3ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","UKZGC2406119","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:1eiyN4OgbopCTqAYR6Y68D","Shallow Echo","spotify:artist:0wcen0V8FgQu6xYupnZMbB","softy","spotify:album:6JZTWcq60gvB8Kxh50Lx4v","Blurred Memories","spotify:artist:0wcen0V8FgQu6xYupnZMbB","softy","2024-08-05","https://i.scdn.co/image/ab67616d0000b2731be8f1ebe5162833a3e56091","1","4","160808","https://p.scdn.co/mp3-preview/5a1b7747afb488a4cd9e86bb936512ddc7b2c8d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","UKZGC2404843","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:4GfZRxYhB2N5aYWehuNZCe","Tropical Punch","spotify:artist:5oYQJceaUGHcz6d7TGry4q, spotify:artist:3XrRt4tc8xQk7ANDbJjZsv","luv pug, Berezy","spotify:album:5SmBihutSRpYeSFvCQdvRd","Bossa Lofi","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2024-08-23","https://i.scdn.co/image/ab67616d0000b273509fbbde167b85b429a1e36f","1","21","99740","https://p.scdn.co/mp3-preview/7674433f6de6ffb09affae0ff1a009c6429a1003?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","UKZGC2407684","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:2SncBsPsMqzoxm6IUY7xEp","Mystical Resonance","spotify:artist:2ZSBQcpkzOiygKAT0uRmaH, spotify:artist:41iDgaNQFTv4Igs0WMw8d1","LUQĘT, Strong.AL&","spotify:album:5cF1KPbt1E5YRnJqzgT5xj","Fragments Of Changes","spotify:artist:2ZSBQcpkzOiygKAT0uRmaH, spotify:artist:41iDgaNQFTv4Igs0WMw8d1","LUQĘT, Strong.AL&","2024-09-23","https://i.scdn.co/image/ab67616d0000b273891c43fe9d27cdf8cdf2e875","1","8","123230","https://p.scdn.co/mp3-preview/ed8f64cf4ccf4d2ffd3f8ab5b84bf17fe02c6f48?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","UKZGC2406648","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:1fzZOCmBgOab0rC0llMZnX","Glowing Jellyfish","spotify:artist:5zUSfxfP1NETZiaWt0Ui0a, spotify:artist:4n9z9czt00gzw36hdoVU3G","Casiio, Kainbeats","spotify:album:6nz2UAWc0r1fruh4dqW9CZ","Submerged","spotify:artist:5zUSfxfP1NETZiaWt0Ui0a, spotify:artist:4n9z9czt00gzw36hdoVU3G","Casiio, Kainbeats","2024-09-19","https://i.scdn.co/image/ab67616d0000b27332a94044b7099718de0f3f72","1","15","168508","https://p.scdn.co/mp3-preview/8e446cd0e1ba6e3286b2c3243869ddc0074d157b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","UKZGC2406901","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:2uqJSmtrLhcG7U9Hviar7W","Groove Lagoon","spotify:artist:2SvBRTr0oEXAaTzqw7p4rx, spotify:artist:24snO5m4Z01DjKf5gtl14T","SYNC.EXE, Fred Paci","spotify:album:5SmBihutSRpYeSFvCQdvRd","Bossa Lofi","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2024-08-23","https://i.scdn.co/image/ab67616d0000b273509fbbde167b85b429a1e36f","1","26","133968","https://p.scdn.co/mp3-preview/ad4bcae670401067af3d88ec4d8f2bac0a8842e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","UKZGC2407689","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:5dyF2ExahfKXmuv8bcGttt","Heart Hope","spotify:artist:1TFqjcoVis5TzVQxrHMSfA, spotify:artist:2zNmlxTlRfyMAAifd2f71Q","cxlt., amies","spotify:album:1z0RoGH8SuBJj0zG0OkYUZ","Color Within Everything","spotify:artist:1TFqjcoVis5TzVQxrHMSfA, spotify:artist:2zNmlxTlRfyMAAifd2f71Q","cxlt., amies","2024-09-02","https://i.scdn.co/image/ab67616d0000b273ad6fb84b0db6e9f729c9d6ef","1","4","156192","https://p.scdn.co/mp3-preview/e469123306b4f1dbfa1e577cfec63e496938e269?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","UKZGC2406573","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:7MH15furxQnHoUiqcoFYgn","Glowing Jellyfish","spotify:artist:5zUSfxfP1NETZiaWt0Ui0a, spotify:artist:4n9z9czt00gzw36hdoVU3G","Casiio, Kainbeats","spotify:album:0Jt3cb5yozepQkH8S4Bk9A","Submerged","spotify:artist:5zUSfxfP1NETZiaWt0Ui0a, spotify:artist:4n9z9czt00gzw36hdoVU3G","Casiio, Kainbeats","2024-09-19","https://i.scdn.co/image/ab67616d0000b273a47d68e55a220fe64fe77d7d","1","15","168508","https://p.scdn.co/mp3-preview/8e446cd0e1ba6e3286b2c3243869ddc0074d157b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","UKZGC2406901","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:4ARk4t9Qw0EiUjvrK8sG0t","Summer in Venice","spotify:artist:6M6LWvHKgBle8SUtSpq6SU, spotify:artist:5zNV6mtDd7Bo9ncZws9TFG","iamalex, Felty","spotify:album:5SmBihutSRpYeSFvCQdvRd","Bossa Lofi","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2024-08-23","https://i.scdn.co/image/ab67616d0000b273509fbbde167b85b429a1e36f","1","9","137368","https://p.scdn.co/mp3-preview/98cc14634c28fae6901da3faf2c2f666935e32c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","UKZGC2407672","spotify:user:chilledcow","2024-10-03T03:00:29Z"
"spotify:track:4rFjJmHvBxwAraCRGUzr56","Fiesole","spotify:artist:1pvbdPT4qv8egDvkcOhBN0, spotify:artist:5jZeLexrrwGNUy6nv7tzdr","Swink, C4C","spotify:album:5SmBihutSRpYeSFvCQdvRd","Bossa Lofi","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2024-08-23","https://i.scdn.co/image/ab67616d0000b273509fbbde167b85b429a1e36f","1","27","144000","https://p.scdn.co/mp3-preview/cea5216b52e3a5aa743e94c73b2f6cd50e1ad5fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","UKZGC2407690","spotify:user:chilledcow","2024-10-03T03:00:29Z"
