"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5UXPjQTzwEuoVA3LpwCU7v","Tropical Lounge","spotify:artist:6akppwCmIdXMHpXWXzYTyp","Il Greco","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","1","171130","https://p.scdn.co/mp3-preview/d9efe48b7b27e91dac1ed85c2e2c8458ac7925ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","SE37J1504649","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:6CJoybYFBHGIRAxgSYPDHW","Naples Bay","spotify:artist:06lQkopW4qoJR4Z2qPtFEZ","Belloq","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","2","143606","https://p.scdn.co/mp3-preview/f99a4a1121851a6019c22d663bd65d9396e517fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","SE37J1504255","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:4RfmWmQasOB5L9QFW3P9sZ","Deep Bass Continum","spotify:artist:0Dhno1IpOOPqUZ4gAc6fFh","Uncle Feaster","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","3","183584","https://p.scdn.co/mp3-preview/5e7c1817cd61a1cb66ead7b2ec454c89eb0ad7e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","SE37J1504358","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:5fWV2N0FCFHCsfiaEvi4UM","The Cratouille","spotify:artist:0UdtexVQoBH5XHUwGEkCZO","Gridlocks","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","4","190580","https://p.scdn.co/mp3-preview/5d4cda3136c6a2c62308af993c6379bf70bb44d6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","SE37J1504165","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:5TrKYUo79qBW1HG9uFTQWZ","Colori Nam Nam","spotify:artist:4DKQvnJHtQWd7G7DgyjKKV","Dj Hindi Bacha","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","5","198432","https://p.scdn.co/mp3-preview/5542fb3965079a14a3fa3cb849a63e94ecf88206?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","SE37J1504072","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:7kJpx9hPg9QyOoRrvqQBUy","The Grove","spotify:artist:0VexgfKmKnZoZVF1WaupDi","Steve Blame","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","6","148624","https://p.scdn.co/mp3-preview/1239e47d04be15add89f124b2a5e82caa449b359?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","SE37J1503960","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:4AjQneGJ3AfYdhTQMm5y6I","Morgans New York Lounge","spotify:artist:0YgNVJT7TcPrWmZfZf4LK6","Libra Cuba","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","7","194104","https://p.scdn.co/mp3-preview/a52a568309b939c7ab5b66ddac85129ff04e890d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","SE37J1504037","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:25asYRawWIabgwE6pvz48x","Beach House","spotify:artist:1cI01oKjvACUsNbm0hfc6x","Elton Ames","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","8","166937","https://p.scdn.co/mp3-preview/acaf09e608b1d5b59afc41391dfa7c92ba0b2536?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","SE37J1503966","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:3T6qe7VPOC8czkoamxzBBd","Elevative Dance","spotify:artist:0UdtexVQoBH5XHUwGEkCZO","Gridlocks","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","9","159409","https://p.scdn.co/mp3-preview/964bf6b5e367a2ec178e1fbf7b9eb8f6d296bcf2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","SE37J1504254","spotify:user:11135692880","2020-08-14T14:24:06Z"
"spotify:track:0O6DwAsGuksr0egO49Xi01","SLS Pool","spotify:artist:0qDTl4Bh2K6djIvLh91QQP","Jox Talay","spotify:album:3pyFCVZkrit6i5RPqzDRgt","Lounge Bar","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-02-19","https://i.scdn.co/image/ab67616d0000b273e9ca7d281417d69da4ece5a2","1","10","134117","https://p.scdn.co/mp3-preview/ec19774c252d77eed09c0fa65df3a55db5bbca2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","SE37J1503961","spotify:user:11135692880","2020-08-14T14:24:06Z"
