"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0tBTnrMcc91qKP9dHqhsS7","Steppin' Out","spotify:artist:6KOqPxwfNAmZPkiCnDE9yT","Joe Jackson","spotify:album:0qXKy00l8syNSBNjE15o4t","Night And Day","spotify:artist:6KOqPxwfNAmZPkiCnDE9yT","Joe Jackson","1982-01-01","https://i.scdn.co/image/ab67616d0000b273b8442651c8177ff950744441","1","5","262866","https://p.scdn.co/mp3-preview/f5fa2833a2935d9a6a4338c8d4935ff8fc868970?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBAAM8200001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2WfaOiMkCvy7F5fcp2zZ8L","Take on Me","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","spotify:album:1ER3B6zev5JEAaqhnyyfbf","Hunting High and Low","spotify:artist:2jzc5TC5TVFLXQlBNiIUzE","a-ha","1985-06-01","https://i.scdn.co/image/ab67616d0000b273e8dd4db47e7177c63b0b7d53","1","1","225280","https://p.scdn.co/mp3-preview/d1427dd0a300eeccfc53b99a2ebf3c664a67414a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USWB19901214","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2jPCbFrFlyGbKgblxub8Lm","Your Love","spotify:artist:1zxDewzd2j1ZdSBGaYcr0y","The Outfield","spotify:album:4OJQDWKq4gTWCXq5jpNToo","Play Deep","spotify:artist:1zxDewzd2j1ZdSBGaYcr0y","The Outfield","1985","https://i.scdn.co/image/ab67616d0000b27378e1b6e2578374a658fadd19","1","2","216466","https://p.scdn.co/mp3-preview/bff1bf9d33dfeec5c01501b023a6c59a44af2be4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USSM10100176","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:17tJb1wHHddKSf0tBl3bcn","Curiosità","spotify:artist:7Kmplk6Rgd6m2JgwUoESRX","Giuliano Sorgini","spotify:album:5VWALGguSmp9l3FN2BWcNP","Lavoro e tempo libero","spotify:artist:7Kmplk6Rgd6m2JgwUoESRX","Giuliano Sorgini","1980-10-24","https://i.scdn.co/image/ab67616d0000b2731b3e1c1f82087978bdf3775f","1","4","139493","https://p.scdn.co/mp3-preview/11f9ef192a3fc7cbdb6468879432c503185849dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FR10S1974465","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1Hv1VTm8zeOeybub15mA2R","Smooth Operator - Single Version","spotify:artist:47zz7sob9NUcODy0BTDvKx","Sade","spotify:album:3uSWaQxJAdm5MWKQkQJNoK","The Best of Sade","spotify:artist:47zz7sob9NUcODy0BTDvKx","Sade","1994-10-31","https://i.scdn.co/image/ab67616d0000b2735e25e034e25258b356774c79","1","3","258693","https://p.scdn.co/mp3-preview/43f389ca63d0814eb6e316b42f13011d802373ff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBBBM8400016","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6JNJERZGJwDVgkmbohBw7u","Self Control","spotify:artist:4463nfFMmK1cwAWBQDwT5e","Laura Branigan","spotify:album:5cwUCXPFFfNsnk4qipc40D","Self Control","spotify:artist:4463nfFMmK1cwAWBQDwT5e","Laura Branigan","1984","https://i.scdn.co/image/ab67616d0000b2731310670cbb82f06474372cfd","1","2","246440","https://p.scdn.co/mp3-preview/736e6e3bcc1d3a45042ba36a96734cd6a2a897e1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USAT20903047","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2vZKa1vsRv9GJcy4EsiZI6","Private Eyes - Remastered 2003","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","spotify:album:7rsyTubfxdtX7lWCVmmBVy","Original Album Classics","spotify:artist:77tT1kLj6mCWtFNqiOmP9H","Daryl Hall & John Oates","1977","https://i.scdn.co/image/ab67616d0000b273045328adab399702ef5bda8b","1","31","217200","https://p.scdn.co/mp3-preview/564a2f6882ee8444a5a1d37a0b800ada2251a99d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USRC10301825","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2g3wyAWIAvmjfZ8K6Jb4Zn","Con il nastro rosa","spotify:artist:2caOYPej26UoQOyFnzXW3G","Lucio Battisti","spotify:album:7DIw5oirhByDrDcsyyv8G3","Una giornata uggiosa","spotify:artist:2caOYPej26UoQOyFnzXW3G","Lucio Battisti","1980","https://i.scdn.co/image/ab67616d0000b2735bc9da077e727fe5c205e5d2","1","10","321160","https://p.scdn.co/mp3-preview/02ed5878569cbf60d7fc69a3d1722491511b6f3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITB001700471","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3VZmChrnVW8JK6ano4gSED","Sexual Healing","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","spotify:album:3gPlX9Zs3tXZZKNCyoOkSm","Midnight Love","spotify:artist:3koiLjNrgRTNbOwViDipeA","Marvin Gaye","1982-10-01","https://i.scdn.co/image/ab67616d0000b27346e859872ed30a898160aeb2","1","2","238600","https://p.scdn.co/mp3-preview/4d3782db4a920600f51dcaaee044519384990f28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USSM19803028","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:62LJFaYihsdVrrkgUOJC05","Kiss","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","spotify:album:54DjkEN3wdCQgfCTZ9WjdB","Parade - Music from the Motion Picture Under the Cherry Moon","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","1986-03-31","https://i.scdn.co/image/ab67616d0000b27323cc0f0a925845a3de4aca38","1","10","226240","https://p.scdn.co/mp3-preview/390cf478a1f3fbdcf7b5346a6004d273ed47ed3f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USWB19903319","spotify:user:","1970-01-01T00:00:00Z"
