"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:03JPFQvZRnHHysSZrSFmKY","Inside In / Inside Out","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2006-01-01","https://i.scdn.co/image/ab67616d0000b27363a28c5ecb7b13e9b329fe47","1","9","203506","https://p.scdn.co/mp3-preview/88783774f8fcfae47cb1d5ba727b203a805d9e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAA0500836","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0w21XZhGlmIexgtDpmtnzT","L.S.F.","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:4RVNd8UwGiAqzfPjbgv0O3","Kasabian/Empire","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2004","https://i.scdn.co/image/ab67616d0000b273ec71b6ad37827ed4ff4c04d1","1","5","196853","https://p.scdn.co/mp3-preview/7228358dae49d6d078677e56da7ad8517b7946c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBARL0400609","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:003vvx7Niy0yvhvHt4a68B","Mr. Brightside","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","spotify:album:4piJq7R3gjUOxnYs6lDCTg","Hot Fuss","spotify:artist:0C0XlULifJtAgn6ZNCW2eu","The Killers","2004","https://i.scdn.co/image/ab67616d0000b273ccdddd46119a4ff53eaf1f5d","1","2","222973","https://p.scdn.co/mp3-preview/848b1bd5544e82f62f9cfcec65362d0f5369781f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USIR20400274","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6TfBA04WJ3X1d1wXhaCFVT","You're Gonna Go Far, Kid","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:67v63ubEsvDUQkYMzI7A9t","Rise And Fall, Rage And Grace","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","2008-06-17","https://i.scdn.co/image/ab67616d0000b273890ce61533a89e00ce593fcb","1","3","177826","https://p.scdn.co/mp3-preview/c98446a305d38e595073b7fe52b0202ea15532df?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM10801605","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Zax8Z673INL4qLg8R1Uma","Lontano Dal Tuo Sole","spotify:artist:54dqxLAclwu0QSaTwCyCaF","Neffa","spotify:album:2oarBkg3fyE0bQYUCEp72P","Sognando Contromano","spotify:artist:54dqxLAclwu0QSaTwCyCaF","Neffa","2009-06-01","https://i.scdn.co/image/ab67616d0000b27349abdceea0db74dc2f73665f","1","2","220973","https://p.scdn.co/mp3-preview/548fc2072c9ea52ec21cf0ece1a04853383e712c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ITP120900002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ibeKVCiXORhvUpMmtsQWq","Pieces","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","spotify:album:1aG8QbhABVtVxNlAkk8VBW","Chuck","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","2004-10-12","https://i.scdn.co/image/ab67616d0000b273cb38dd3dba8a0801bc1ee03a","1","11","182040","https://p.scdn.co/mp3-preview/b78e0eaf764bdc2a41d66dcec3088c7f39a37b2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USIR20400683","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBAYE0000267","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2nvZv4qatgsDIbEqqbQLUT","West Coast","spotify:artist:2YKp8Odp8GGbAkVU60Yk2Y","Coconut Records","spotify:album:4FeD2BdcaGX75b5X1gvvsg","Nighttiming","spotify:artist:2YKp8Odp8GGbAkVU60Yk2Y","Coconut Records","2007-04-17","https://i.scdn.co/image/ab67616d0000b27348ee010a6e1cc58f984524a8","1","2","210106","https://p.scdn.co/mp3-preview/21f039d00be9b2095417fe1922212d09b2fa9768?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USANG0720002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0x1pUJuOfNh7nStPF1V0AK","Armistice","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:0xG5b9nkWxKc5VTpo6Fq5I","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009-05-25","https://i.scdn.co/image/ab67616d0000b273869df273a6f34f759b426ace","1","10","185106","https://p.scdn.co/mp3-preview/108a46abd44a6707b7fde66518b6e049c3159a80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","FR31Q0900010","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4nBvrgfT10QU1tzT0v8Q4r","50mila","spotify:artist:5zRmtoBOCk7JaYHI78Y5b5, spotify:artist:2jLEscFAP2hVe8fsJ0HO6I","Nina Zilli, Giuliano Palma","spotify:album:42RlxJJMiRtogkyAL35ewg","Nina Zilli","spotify:artist:5zRmtoBOCk7JaYHI78Y5b5","Nina Zilli","2009-01-01","https://i.scdn.co/image/ab67616d0000b273def0ae2d91269de94e4638b1","1","1","174160","https://p.scdn.co/mp3-preview/7c7302e748c6b55f8aecbd404ca6d3b8be408383?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","ITUM70900631","spotify:user:","1970-01-01T00:00:00Z"
