"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3eSSVIw9YbVm1SLNxqtdjR","SOGNI MATTI (feat. Leon Faun & Drast)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:4e250LmaRPGcp0rbUbJtJm, spotify:artist:14XRgLXin9R3eKTNXBNwos","Sick Luke, Drast, Leon Faun","spotify:album:6ZVOpNfX2JMfAFDqEfmyQ5","X2","spotify:artist:0hk4xVujcyOr6USD95wcWb","Sick Luke","2022-01-07","https://i.scdn.co/image/ab67616d0000b273e45f97fc68a12ca3601b1047","1","11","197009","https://p.scdn.co/mp3-preview/59d7f3ab0893b8fbd5d0bc50c0bf00983f718967?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","ITB262101050","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6IJXxWAHTVORSyl7lT5pkY","Mess Is Mine","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:2biVG6BYnVVSwLYd1OjbPT","Dream Your Life Away (Deluxe Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-08-05","https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7","1","2","223640","https://p.scdn.co/mp3-preview/58d657112987ae07101ec142fa8383fbf7bdaad3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT21402865","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0DPjm0k8GpbyMTKCXxZDDr","Mamy Freestyle","spotify:artist:08ppjXEpROUgrG1X0DEquB, spotify:artist:4PYZsCk6AeRr8VjtJ7z1RF","Nerissima Serpe, Fritu","spotify:album:5nxW9sJlywI1NGdLfaXMAN","Identità","spotify:artist:08ppjXEpROUgrG1X0DEquB","Nerissima Serpe","2023-11-30","https://i.scdn.co/image/ab67616d0000b273629312cfec61079f53a42d8a","1","12","145531","https://p.scdn.co/mp3-preview/cca258e6851280de77489b973350323a30011130?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","ITY8R2300031","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4XvcHTUfIlWfyJTRG0aqlo","2055","spotify:artist:6EPlBSH2RSiettczlz7ihV","Sleepy Hallow","spotify:album:38nZLvJx8A9p4YYpTG5iFP","Still Sleep?","spotify:artist:6EPlBSH2RSiettczlz7ihV","Sleepy Hallow","2021-06-02","https://i.scdn.co/image/ab67616d0000b27378376f650afd63698b82e4b1","1","4","123986","https://p.scdn.co/mp3-preview/d05766a84b267bc5518625b595b8c9f333b46e31?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC12100442","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4hOuJIB1norFj3j84oY2Cq","How You Been?","spotify:artist:4X8TR9pBFyewFlIDYt1o2s","Kevin Powers","spotify:album:3OkG4p15bJiPO4ZiWivmRv","How You Been?","spotify:artist:4X8TR9pBFyewFlIDYt1o2s","Kevin Powers","2020-06-19","https://i.scdn.co/image/ab67616d0000b273202bcedd2577bf3b7ebc4e5c","1","1","138352","https://p.scdn.co/mp3-preview/ecb1fa29dd5c93ac2282a7b265b47d5c76b119c9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","QZHN62096903","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1KMkcUvF7m3SDChDOa7i5L","WITHOUT YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","2","7","161384","https://p.scdn.co/mp3-preview/0cacbf2acaef9fc50d9ecd1f29eb33e543a5bc63?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USSM12006586","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4i1qmWjOWq2VP1janRNBVv","Camelot","spotify:artist:14XRgLXin9R3eKTNXBNwos, spotify:artist:1GDpBWbNymzzLV7BHzaTBL","Leon Faun, Duffy","spotify:album:2tOh2iEgEzmQweh46uC9zd","C'era una volta","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2021-06-24","https://i.scdn.co/image/ab67616d0000b2737c99edb4ad84adff8f2f157a","1","2","129427","https://p.scdn.co/mp3-preview/43e078868b78bb27551c6aa67e28536cc4528dae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","ITDF62177056","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1zsFr9rPcsMwRtqjDJJpnC","Hypnotized","spotify:artist:2WBJQGf1bT1kxuoqziH5g4, spotify:artist:4FrXHrpbDLNyO3pbVv8RmF","Purple Disco Machine, Sophie and the Giants","spotify:album:1IeEUrtmzQGatMM6uIA1in","Exotica","spotify:artist:2WBJQGf1bT1kxuoqziH5g4","Purple Disco Machine","2021-10-15","https://i.scdn.co/image/ab67616d0000b2736e2cd4b6c10cbcf5dbf2e8ad","1","8","195704","https://p.scdn.co/mp3-preview/cbc137b22478b28163e3eb836864d8a05a86af0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","AUDCB1701555","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6Z1HwvML1be7xEAVR2k5a4","Per sempre","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:76pOEUjNW8R3udkskK67sS","Going Hard","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2020-10-16","https://i.scdn.co/image/ab67616d0000b273800489b0e1088eab37be7d3c","1","3","192413","https://p.scdn.co/mp3-preview/4ae90afa945b846f7b5cc8e717c73ade0d8aba34?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITK192000189","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0DSq4f2grIJOrawmfXkrRy","Andrea","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:1lqbweQ3w6orHhehLOlZim","ORO BLU","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2022-03-04","https://i.scdn.co/image/ab67616d0000b27311271c5cddba3610cb9b02cd","1","2","185125","https://p.scdn.co/mp3-preview/68538566e5cf2a76f5e74a4f18283c122298078b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITB002101416","spotify:user:","1970-01-01T00:00:00Z"
