"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:52e9HFHtUOfHTET6IrcWUy","IO","spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Marracash","spotify:album:0rgggvSYGSms079nUlcAGX","NOI, LORO, GLI ALTRI","spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Marracash","2021-11-19","https://i.scdn.co/image/ab67616d0000b2733c29e91ff6eaef48d451b43f","1","4","195560","https://p.scdn.co/mp3-preview/fadd4ece41a29e6dba9fb6ae7903df6eecf1d2ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITUM72101359","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:18eOkPiwqng1Alu3d2EyXx","SCUSATE IL RITARDO","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","spotify:album:1434ACkYCAphEJZF2Dljwt","SCUSATE IL RITARDO","spotify:artist:796NCMJ5AQMdnutcb8EVeJ","FUCKYOURCLIQUE","2024-09-11","https://i.scdn.co/image/ab67616d0000b273c17acb501e1ddf8254dde519","1","3","137664","https://p.scdn.co/mp3-preview/18718f01425898a0262de7fdc98778ffb0bbb85a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","US38Y2420948","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:298My2E9vU1ihwi7deeeZM","ERASE U","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","3","11","109094","https://p.scdn.co/mp3-preview/f2345bfa229e729075970c1d78b5327cb8af966c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","USSM12004213","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1VLtjHwRWOVJiE5Py7JxoQ","Martin & Gina","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Polo G","spotify:album:39xhYyNNDatQtgKw2KdXMz","THE GOAT","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Polo G","2020-05-15","https://i.scdn.co/image/ab67616d0000b273339f780dfdbc38558ea0761d","1","3","132832","https://p.scdn.co/mp3-preview/26ae09172d72ee19e5752397269942b476fa0b0f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USQX92002595","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4XvcHTUfIlWfyJTRG0aqlo","2055","spotify:artist:6EPlBSH2RSiettczlz7ihV","Sleepy Hallow","spotify:album:38nZLvJx8A9p4YYpTG5iFP","Still Sleep?","spotify:artist:6EPlBSH2RSiettczlz7ihV","Sleepy Hallow","2021-06-02","https://i.scdn.co/image/ab67616d0000b27378376f650afd63698b82e4b1","1","4","123986","https://p.scdn.co/mp3-preview/d05766a84b267bc5518625b595b8c9f333b46e31?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC12100442","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7zLYKWcXnYeHHWidalz7rj","Noticed","spotify:artist:5zctI4wO9XSKS8XwcnqEHk","Lil Mosey","spotify:album:6lggWd5q9Rh66OkDE1eNDr","Northsbest - Extended","spotify:artist:5zctI4wO9XSKS8XwcnqEHk","Lil Mosey","2018-10-19","https://i.scdn.co/image/ab67616d0000b273db953460d6de87c6d6788cb5","1","3","165000","https://p.scdn.co/mp3-preview/c8d51ebca4c11c3fdeeacb6af98365d5262e6de9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USUM71809565","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3H8rW35L4Oqag4jnIsoZu5","Captato","spotify:artist:4TKF8KSK6bgHgszFxu5xzu, spotify:artist:3JgYm8oVvcrFpJBUNIonqM","Diss Gacha, Sala","spotify:album:5Zc54qIkKF5jHBb5t0rYJn","Cultura","spotify:artist:4TKF8KSK6bgHgszFxu5xzu, spotify:artist:3JgYm8oVvcrFpJBUNIonqM","Diss Gacha, Sala","2023-04-28","https://i.scdn.co/image/ab67616d0000b273f52a85d0380cd1e53a64479e","1","2","123333","https://p.scdn.co/mp3-preview/1987895814ea72fdc6623baf7fc8a15a00f3dfc6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","ITUD52300017","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1hGEoKS4B9knvk8E8fIfHx","Anima","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","spotify:album:7a8pBg426ohFGpFaYWsvHf","LEON","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2024-03-21","https://i.scdn.co/image/ab67616d0000b273b696c9dbfa799ebeb6cb86b7","1","10","126363","https://p.scdn.co/mp3-preview/994fba9f09477fb45d9334500e811431bada2287?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","ITUM72400050","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:18vXApRmJSgQ6wG2ll9AOg","RAPSTAR","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Polo G","spotify:album:7KSf6p0G0mZd7j60etVTwT","Hall of Fame","spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Polo G","2021-06-11","https://i.scdn.co/image/ab67616d0000b273a493e05c99d8ec5e8020ff2b","1","2","165925","https://p.scdn.co/mp3-preview/6920a1b1e7a88385654fdb76c83b054609d16172?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USSM12101640","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7gCe88FGMlkyURLPxglbAo","ALWAYS DO","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","2","4","151704","https://p.scdn.co/mp3-preview/dc0998ac905f910757fdbf82fa7c9d4b5dab2b8d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","USSM12006583","spotify:user:","1970-01-01T00:00:00Z"
