"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0ta9sATwp1CXxr1yOihmRW","Another Sunrise","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","spotify:album:1MxiFWDt0LYdF3INpr25TV","The Great Shake +2","spotify:artist:4c4Ce4N4vJOs3Tzee020S4","Planet Funk","2012-03-13","https://i.scdn.co/image/ab67616d0000b273d2d919c41b4b4f4b772b8a2f","1","3","240706","https://p.scdn.co/mp3-preview/b93fc3fbebe1f92e9dc8579723895ca98879666e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","ITB151100001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0DSq4f2grIJOrawmfXkrRy","Andrea","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:1lqbweQ3w6orHhehLOlZim","ORO BLU","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2022-03-04","https://i.scdn.co/image/ab67616d0000b27311271c5cddba3610cb9b02cd","1","2","185125","https://p.scdn.co/mp3-preview/68538566e5cf2a76f5e74a4f18283c122298078b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITB002101416","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5uEsNPvp8Mg7aNxGXttRvF","La Fee Verte","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:6CrTXLy88JacRvA30aIaLP","Velociraptor!","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2011","https://i.scdn.co/image/ab67616d0000b273dc11bd7df265ceb433eb2c70","1","4","347746","https://p.scdn.co/mp3-preview/e90788e5f9b99384004097ef6a8cbbbc23ae583d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","GBARL1100559","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5sfvzgf96i6nLyLELnrLZ6","Georgia","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:2biVG6BYnVVSwLYd1OjbPT","Dream Your Life Away (Deluxe Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-08-05","https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7","1","8","230506","https://p.scdn.co/mp3-preview/a32105f11635437e5a562f30e64ad9f7320c67c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAT21402869","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4VNsZbmXFTdBOGpn7Qtq74","Pub Crawl","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","spotify:album:1BayCxyyUYlm3x0Ys1z4Fl","Notti Brave","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","2018-05-11","https://i.scdn.co/image/ab67616d0000b2736d68373352abee80852affec","1","7","178626","https://p.scdn.co/mp3-preview/1227d2745a4fc81dca13e495e6292a626846a7c0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ITUM71800454","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0fYVliAYKHuPmECRs1pbRf","Renegades","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","spotify:album:7A8fZ2jjiu5heq7wNCutKN","VHS","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","2015-06-30","https://i.scdn.co/image/ab67616d0000b27352e8aa3275f7a3ee9c1e3628","1","2","195200","https://p.scdn.co/mp3-preview/92f258da5f3cef5f8790040f4d601dbb27c2516b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUM71502643","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:60eOMEt3WNVX1m1jmApmnX","Live in the Moment","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","spotify:album:4VzzEviJGYUtAeSsJlI9QB","Woodstock","spotify:artist:4kI8Ie27vjvonwaB2ePh8T","Portugal. The Man","2017-06-16","https://i.scdn.co/image/ab67616d0000b273af52c228c9619ff6298b08cd","1","3","246786","https://p.scdn.co/mp3-preview/d0f0b82dd0469376514712b2f1cd9ebcd3a61b07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USAT21700816","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2nvZv4qatgsDIbEqqbQLUT","West Coast","spotify:artist:2YKp8Odp8GGbAkVU60Yk2Y","Coconut Records","spotify:album:4FeD2BdcaGX75b5X1gvvsg","Nighttiming","spotify:artist:2YKp8Odp8GGbAkVU60Yk2Y","Coconut Records","2007-04-17","https://i.scdn.co/image/ab67616d0000b27348ee010a6e1cc58f984524a8","1","2","210106","https://p.scdn.co/mp3-preview/21f039d00be9b2095417fe1922212d09b2fa9768?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USANG0720002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5wU6jk9kxYzFGUpeE6T2Q5","Crystals","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:2mD97VgxTRfwB8F5tvkwrL","Beneath The Skin","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2015-06-05","https://i.scdn.co/image/ab67616d0000b273bfac187296a90fcb0a5f97c0","1","1","243520","https://p.scdn.co/mp3-preview/4b32f11d85dbba348c6fc01c8e73a6734bc6244e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USUG11500395","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","spotify:album:3oylWMc9TTC6Nx4I6U3axc","Never Trust a Happy Song","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","2011-09-02","https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b","1","2","218013","https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT21101334","spotify:user:","1970-01-01T00:00:00Z"
