"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2xJCMIJfcNYDc5iR0sAm2O","New Rules","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:2wKlXxlwYDByrGY1aAUh6o","Dua Lipa (Complete Edition)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2015","https://i.scdn.co/image/ab67616d0000b2737833c9a792ad032d788d4011","1","10","209320","https://p.scdn.co/mp3-preview/e4f2ca20fc8aea1eb592d613d7a4b4da6012eaa2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","GBAHT1600310","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6VzcQuzTNTMFnJ6rBSaLH9","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:7xV2TzoaVc0ycW7fwBwAml","Fine Line","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2019-12-13","https://i.scdn.co/image/ab67616d0000b27377fdcfda6535601aff081b6a","1","12","377960","https://p.scdn.co/mp3-preview/c9fafe76cd154492e0a5db25b813c4c399745eaa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USSM11912596","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ixsaeFioXJmMgkkbd4uj1","Budapest","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","spotify:album:6mcMKGEgukjyiR5IKElQ2E","Wanted on Voyage (Expanded Edition)","spotify:artist:2ysnwxxNtSgbb9t1m2Ur4j","George Ezra","2014-06-30","https://i.scdn.co/image/ab67616d0000b273d6df3bccf3ec41ea2f76debc","1","2","200733","https://p.scdn.co/mp3-preview/03e6f12a87c862370fe965eb330fbcab1f2ee93f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBARL1400477","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:567e29TDzLwZwfDuEpGTwo","STAY (with Justin Bieber)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:1uNFoZAHBGtllmzznpCI3s","The Kid LAROI, Justin Bieber","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","1","3","141805","https://p.scdn.co/mp3-preview/718a2eb032524494a01f73d80af2bcf176c9f3e2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","84","USSM12103949","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0OI7AFifLSoGzpb8bdBLLV","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)","spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:3NPpFNZtSTHheNBaWC82rB, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","mgk, X Ambassadors, Bebe Rexha","spotify:album:3U1X1wd3lX7EteWYhS2hpT","Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha) [From Bright: The Album]","spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:3NPpFNZtSTHheNBaWC82rB, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","mgk, X Ambassadors, Bebe Rexha","2017-11-18","https://i.scdn.co/image/ab67616d0000b2737a3fbbab0e9fb050a08fa065","1","1","202804","https://p.scdn.co/mp3-preview/7dda80013be1eaf0d5c2b4980a9b7f98a0748c59?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT21704829","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1zsFr9rPcsMwRtqjDJJpnC","Hypnotized","spotify:artist:2WBJQGf1bT1kxuoqziH5g4, spotify:artist:4FrXHrpbDLNyO3pbVv8RmF","Purple Disco Machine, Sophie and the Giants","spotify:album:1IeEUrtmzQGatMM6uIA1in","Exotica","spotify:artist:2WBJQGf1bT1kxuoqziH5g4","Purple Disco Machine","2021-10-15","https://i.scdn.co/image/ab67616d0000b2736e2cd4b6c10cbcf5dbf2e8ad","1","8","195704","https://p.scdn.co/mp3-preview/cbc137b22478b28163e3eb836864d8a05a86af0d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","AUDCB1701555","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0fYVliAYKHuPmECRs1pbRf","Renegades","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","spotify:album:7A8fZ2jjiu5heq7wNCutKN","VHS","spotify:artist:3NPpFNZtSTHheNBaWC82rB","X Ambassadors","2015-06-30","https://i.scdn.co/image/ab67616d0000b27352e8aa3275f7a3ee9c1e3628","1","2","195200","https://p.scdn.co/mp3-preview/92f258da5f3cef5f8790040f4d601dbb27c2516b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USUM71502643","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:50DMJJpAeQv4fIpxZvQz2e","Monsters (feat. Demi Lovato and blackbear)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:2cFrymmkijnjDg9SS92EPM","All Time Low, Demi Lovato, blackbear","spotify:album:1EGlv1JGCUPolWU4qv7bsK","Monsters (feat. Demi Lovato and blackbear)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:2cFrymmkijnjDg9SS92EPM","All Time Low, Demi Lovato, blackbear","2020-12-04","https://i.scdn.co/image/ab67616d0000b27335aa8800b1c2e000c3ce07f6","1","1","174424","https://p.scdn.co/mp3-preview/32df6ef1bc56003a8ab73398fc94224522507cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USAT22007691","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Dvkj6JhhA12EX05fT7y2e","As It Was","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:5r36AJ6VOJtp00oxSkBZ5h","Harry's House","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2022-05-20","https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0","1","4","167303","https://p.scdn.co/mp3-preview/c43dd07043b29e800c1a65b3a0102861fa3cf418?cid=9950ac751e34487dbbe027c4fd7f8e99","false","88","USSM12200612","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1KMkcUvF7m3SDChDOa7i5L","WITHOUT YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","spotify:album:576UTio7xgY7YUxrHMzxeI","F*CK LOVE 3+: OVER YOU","spotify:artist:2tIP7SsRs7vjIcLrU85W8J","The Kid LAROI","2021-07-27","https://i.scdn.co/image/ab67616d0000b273b4d59e6fa7e5e7cbc57ac33a","2","7","161384","https://p.scdn.co/mp3-preview/0cacbf2acaef9fc50d9ecd1f29eb33e543a5bc63?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USSM12006586","spotify:user:","1970-01-01T00:00:00Z"
