"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2374M0fQpWi3dLnB54qaLX","Africa","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","spotify:album:62U7xIHcID94o20Of5ea4D","Toto IV","spotify:artist:0PFtn5NtBbbUNbU9EAmIWF","TOTO","1982-04-08","https://i.scdn.co/image/ab67616d0000b2734a052b99c042dc15f933145b","1","10","295893","https://p.scdn.co/mp3-preview/86d951a680c33cca769822e0ef854c1b20301b32?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USSM19801941","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3gdewACMIVMEWVbyb8O9sY","Rocket Man (I Think It's Going To Be A Long, Long Time)","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","spotify:album:2ei2X6ghPnw7YRwQtAH075","Honky Chateau","spotify:artist:3PhoLpVuITZKcymswpck5b","Elton John","1972-05-19","https://i.scdn.co/image/ab67616d0000b2733009007708ab5134936a58b3","1","5","281613","https://p.scdn.co/mp3-preview/c7316d016815fab0bb5ecb309da33e57d4da69c5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBAMB7200006","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2nLtzopw4rPReszdYBJU6h","Numb","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4Gfnly5CzMJQqkUFfoHaP3","Meteora","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2003-09-16","https://i.scdn.co/image/ab67616d0000b2735f1f51d14e8bea89484ecd1b","1","13","187520","https://p.scdn.co/mp3-preview/d6d67b4f23b4865e07821f78c45a98035da95d61?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USWB10300474","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6TfBA04WJ3X1d1wXhaCFVT","You're Gonna Go Far, Kid","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","spotify:album:67v63ubEsvDUQkYMzI7A9t","Rise And Fall, Rage And Grace","spotify:artist:5LfGQac0EIXyAN8aUwmNAQ","The Offspring","2008-06-17","https://i.scdn.co/image/ab67616d0000b273890ce61533a89e00ce593fcb","1","3","177826","https://p.scdn.co/mp3-preview/c98446a305d38e595073b7fe52b0202ea15532df?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USSM10801605","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ibeKVCiXORhvUpMmtsQWq","Pieces","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","spotify:album:1aG8QbhABVtVxNlAkk8VBW","Chuck","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","2004-10-12","https://i.scdn.co/image/ab67616d0000b273cb38dd3dba8a0801bc1ee03a","1","11","182040","https://p.scdn.co/mp3-preview/b78e0eaf764bdc2a41d66dcec3088c7f39a37b2a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USIR20400683","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6dGnYIeXmHdcikdzNNDMm2","Here Comes The Sun - Remastered 2009","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","spotify:album:0ETFjACtuP2ADo6LFhL6HN","Abbey Road (Remastered)","spotify:artist:3WrFJ7ztbogyGnTHbHJFl2","The Beatles","1969-09-26","https://i.scdn.co/image/ab67616d0000b273dc30583ba717007b00cceb25","1","7","185733","https://p.scdn.co/mp3-preview/c92aa1522f4d342468892d77a4e55e27356aa295?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","GBAYE0601696","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:31AOj9sFz2gM0O3hMARRBx","Losing My Religion","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","spotify:album:6yEuIwTQpciH1qtj7mP5GK","Out Of Time (25th Anniversary Edition)","spotify:artist:4KWTAlx2RvbpseOGMEmROg","R.E.M.","1991-03-12","https://i.scdn.co/image/ab67616d0000b273e2dd4e821bcc3f70dc0c8ffd","1","2","268426","https://p.scdn.co/mp3-preview/184d86f6c2b531830190011f00c5780fa7a2e1f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USC4R1605373","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:37Tmv4NnfQeb0ZgUC4fOJj","Sultans Of Swing","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","spotify:album:2rCS6Xwx32V27pvgFzLzlT","Dire Straits","spotify:artist:0WwSkZ7LtFUFjGjMZBMt6T","Dire Straits","1978-10-07","https://i.scdn.co/image/ab67616d0000b273b49d49cc95564aede7998bb8","1","6","348400","https://p.scdn.co/mp3-preview/7a632817bbc6659ff64c07b44c86eaca66ef78ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","GBF089601041","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:50DMJJpAeQv4fIpxZvQz2e","Monsters (feat. Demi Lovato and blackbear)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:2cFrymmkijnjDg9SS92EPM","All Time Low, Demi Lovato, blackbear","spotify:album:1EGlv1JGCUPolWU4qv7bsK","Monsters (feat. Demi Lovato and blackbear)","spotify:artist:46gyXjRIvN1NL1eCB8GBxo, spotify:artist:6S2OmqARrzebs0tKUEyXyp, spotify:artist:2cFrymmkijnjDg9SS92EPM","All Time Low, Demi Lovato, blackbear","2020-12-04","https://i.scdn.co/image/ab67616d0000b27335aa8800b1c2e000c3ce07f6","1","1","174424","https://p.scdn.co/mp3-preview/32df6ef1bc56003a8ab73398fc94224522507cc7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USAT22007691","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0jqK7sGTLsHPkQrrcrGuKD","Still Waiting","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","spotify:album:2iOJEUCKJaYseov1qA8ot8","Does This Look Infected?","spotify:artist:0qT79UgT5tY4yudH9VfsdT","Sum 41","2002-01-01","https://i.scdn.co/image/ab67616d0000b273d6176a711e031d6522840c52","1","4","158733","https://p.scdn.co/mp3-preview/c5e47340dff047c7d5b5b598f89d4de27f024357?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USIR20200792","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBAYE0000267","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6HSXNV0b4M4cLJ7ljgVVeh","Knockin' On Heaven's Door","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","spotify:album:2Pj2kZM5XpyIeyFBTAVulL","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","spotify:artist:74ASZWbe4lXaubB36ztrGX","Bob Dylan","1973-07-13","https://i.scdn.co/image/ab67616d0000b2736c86683d20c72e3874c11c6d","1","7","149880","https://p.scdn.co/mp3-preview/b1fb2e0d90764724242501e5a0c3c2393698d499?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USSM11304547","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6L3VWDPDTQkQFkqvmpAUMU","Something to Believe In","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:3PYk8e7eo2t5CA1Y3AvhaG","Home of the Strange","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2016-08-12","https://i.scdn.co/image/ab67616d0000b273e1b41f261acaa01849b42991","1","2","228466","https://p.scdn.co/mp3-preview/fd259d8b5ec92bfcaf52f9669ea6f5699c091ff1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USAT21601131","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3fgehc497TFqKH1zBL2YNK","Heavy Is the Crown","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:3Su6Sgi0YjcUFuCzjLKYYq","Heavy Is the Crown","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2024-09-24","https://i.scdn.co/image/ab67616d0000b2735e2801d58ceb23a9d19308b7","1","1","167012","https://p.scdn.co/mp3-preview/b3635059d6ab447fae665550b994e5e7536b28cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USWB12403466","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2COdabul4TuLdlCny8C9o8","Goodbye Kiss","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:6CrTXLy88JacRvA30aIaLP","Velociraptor!","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2011","https://i.scdn.co/image/ab67616d0000b273dc11bd7df265ceb433eb2c70","1","3","243960","https://p.scdn.co/mp3-preview/7fc7db32e7fa4e1d83472617d7af4a40ca59c0e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBARL1100558","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:10nyNJ6zNy2YVYLrcwLccB","No Surprises","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:6dVIqQ8qmQ5GBnJ9shOYGE","OK Computer","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","1997-05-28","https://i.scdn.co/image/ab67616d0000b273c8b444df094279e70d0ed856","1","10","229120","https://p.scdn.co/mp3-preview/969161ef645e3e89a4ee8a0274013dae480a9e2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAYE9700386","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6xpDh0dXrkVp0Po1qrHUd8","Adam's Song","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","spotify:album:652N05EcNH1a4bIlUixQE2","Enema Of The State","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","1999-06-01","https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74","1","7","249626","https://p.scdn.co/mp3-preview/f028a65b6cf91d93e815a5c795c7dc512afce375?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USMC19959122","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Z8WuEywRWYTKe1NybPQEW","Ride","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b2732df0d98a423025032d0db1f7","1","3","214506","https://p.scdn.co/mp3-preview/b571ceecaadc03941bdf4e683ea26e4e6d3f7c17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21500598","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6nTiIhLmQ3FWhvrGafw2zj","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5dN7F9DV0Qg1XRdIgW8rke","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b27308a1b1e0674086d3f1995e1b","1","1","176346","https://p.scdn.co/mp3-preview/2e9359e821b18414235d870a4d2671f4337c8682?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USRE10400888","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0w21XZhGlmIexgtDpmtnzT","L.S.F.","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:4RVNd8UwGiAqzfPjbgv0O3","Kasabian/Empire","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2004","https://i.scdn.co/image/ab67616d0000b273ec71b6ad37827ed4ff4c04d1","1","5","196853","https://p.scdn.co/mp3-preview/7228358dae49d6d078677e56da7ad8517b7946c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","GBARL0400609","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1r1fPuhj9H4VdXr7OK6FL5","CASTLE OF GLASS","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","spotify:album:4XHIjbhjRmqWlosjj5rqSI","LIVING THINGS","spotify:artist:6XyY86QOPPrYVGvF9ch6wz","Linkin Park","2012-06-19","https://i.scdn.co/image/ab67616d0000b273987fb4c5ec8790e9f637a4a4","1","6","205400","https://p.scdn.co/mp3-preview/4a1db9ba57b75cd319509e90d45045668ed3a575?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USWB11200795","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5FVd6KXrgO9B3JPmC8OPst","Do I Wanna Know?","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:78bpIziExqiI9qztvNFlQu","AM","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2013-09-09","https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163","1","1","272394","https://p.scdn.co/mp3-preview/006bc465fe3d1c04dae93a050eca9d402a7322b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBCEL1300362","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:72ahyckBJfTigJCFCviVN7","Don't Bring Me Down","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","spotify:album:1CvVSn2MtKDBR6aWMkNkem","Discovery","spotify:artist:7jefIIksOi1EazgRTfW2Pk","Electric Light Orchestra","1979-05-31","https://i.scdn.co/image/ab67616d0000b273c18cc9d6fcea1478b1257678","1","9","243373","https://p.scdn.co/mp3-preview/1f3ec1a218a97ea45824f96fa1850193031d36d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USSM10015734","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1aX0Ki80LFzzhqxqRlqbAV","Morirò da Re","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","spotify:album:44a7Wk3Jh2JGVhjcFYWozj","Il ballo della vita","spotify:artist:0lAWpj5szCSwM4rUMHYmrr","Måneskin","2018-10-26","https://i.scdn.co/image/ab67616d0000b273dbc892b8194e35ca3524e767","1","12","157880","https://p.scdn.co/mp3-preview/f640dfde7aa1d5a68a4609234a6cde6e8fdabe42?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","ITB001800090","spotify:user:","1970-01-01T00:00:00Z"
