"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:45xyKCey4BM3fMeFEsF1Hp","Cenere","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:1eznSku2RY9VSvkhWxXdmx","Nashley, 2nd Roof","spotify:album:1lrhX79POrz4wSmgD4aeGg","Cenere","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:1eznSku2RY9VSvkhWxXdmx","Nashley, 2nd Roof","2019-03-22","https://i.scdn.co/image/ab67616d0000b27383f032f9067a10d44d9e8ade","1","1","170196","https://p.scdn.co/mp3-preview/233e96524984fd13040c3b83059ba6f597a6cf61?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","ITK191900025","spotify:user:11135692880","2021-06-19T20:02:08Z"
"spotify:track:0N1pKkjhVwKZWFLF47R1tv","Nuovi Jeans","spotify:artist:5RiGhrEoM1SBjZoY25lCfe","Nashley","spotify:album:46DpgdlcIIF9poWbkKmQFc","Real","spotify:artist:5RiGhrEoM1SBjZoY25lCfe","Nashley","2018-10-26","https://i.scdn.co/image/ab67616d0000b2734e48a19c5324c96eacbdc8ba","1","7","209262","https://p.scdn.co/mp3-preview/73a58902a24c554c10ec406adea1420c91618ade?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","ITK191800191","spotify:user:11135692880","2021-06-19T20:02:18Z"
"spotify:track:0gFpaf1YGFOwFy5DZGYuzx","Quanto freddo fa","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:3sC3sCpqSYClSdKez9Rs6k","Nashley, Giaime","spotify:album:0cfRccuyBDOpk4zqIVJBYX","Quanto freddo fa","spotify:artist:5RiGhrEoM1SBjZoY25lCfe, spotify:artist:3sC3sCpqSYClSdKez9Rs6k","Nashley, Giaime","2019-09-19","https://i.scdn.co/image/ab67616d0000b273fd4afff8bb43f8bed712a154","1","1","189073","https://p.scdn.co/mp3-preview/1608cc28752676b876e66350fa6663e3a9eef318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","ITK191900140","spotify:user:11135692880","2021-06-19T20:02:19Z"
"spotify:track:56WecW5HnWstqg0GvhseEP","Giovane e triste","spotify:artist:5RiGhrEoM1SBjZoY25lCfe","Nashley","spotify:album:0ZfMM8FzMhHGffOGdew5R1","Giovane e triste","spotify:artist:5RiGhrEoM1SBjZoY25lCfe","Nashley","2021-02-12","https://i.scdn.co/image/ab67616d0000b27397e3c1b3616a0027bfc7d58d","1","1","186078","https://p.scdn.co/mp3-preview/6c77f14d386be4a3e37ee38438683d6a827b1d8b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","ITK192100006","spotify:user:11135692880","2021-06-19T20:02:22Z"
"spotify:track:6KoUW39fKv15HcgeVFnUcJ","Colpevole","spotify:artist:6CKch2otN4SPznHf9ms5JF","Tony Effe","spotify:album:3qfHiYzq7kiJ1JkyCXNGMC","Untouchable","spotify:artist:6CKch2otN4SPznHf9ms5JF","Tony Effe","2021-06-03","https://i.scdn.co/image/ab67616d0000b27397dbc63ed7a20f8ac4577eea","1","2","155493","https://p.scdn.co/mp3-preview/c206ea354f8618cb8fef9878e78af808688b6f1f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITUM72100471","spotify:user:11135692880","2021-06-19T20:02:28Z"
"spotify:track:2xjxaKiYssIdDU6DCPpZPt","Cambiare Adesso","spotify:artist:4CuMwzDzEdlUJMEna38VQ0","Dark Polo Gang","spotify:album:4d4Uj2jua4sNA16D3XX6WW","Trap Lovers","spotify:artist:4CuMwzDzEdlUJMEna38VQ0","Dark Polo Gang","2019-03-01","https://i.scdn.co/image/ab67616d0000b273f83deff104493637b061ef40","1","2","228287","https://p.scdn.co/mp3-preview/84fac79db561328d7385d3df5e1ee436b4d861bb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITUM71800874","spotify:user:11135692880","2021-06-19T20:02:32Z"
"spotify:track:0WZFyknU3OYhcI3cl52tvy","Matto","spotify:artist:0CXnO9kUawdDjzToSqCC3p","Disme","spotify:album:1PIiiuL1g01roBNnUejRA6","Malverde","spotify:artist:0CXnO9kUawdDjzToSqCC3p","Disme","2020-12-11","https://i.scdn.co/image/ab67616d0000b27390a1bb5a4616bd53a496a41c","1","2","147479","https://p.scdn.co/mp3-preview/ec90e9d6df03b6e1470c42efb040e7966b974aae?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","FR2X42060423","spotify:user:11135692880","2021-06-19T20:02:39Z"
"spotify:track:7CZVLSyTdWI3QmlpR5Moen","Picasso","spotify:artist:0CXnO9kUawdDjzToSqCC3p","Disme","spotify:album:1PIiiuL1g01roBNnUejRA6","Malverde","spotify:artist:0CXnO9kUawdDjzToSqCC3p","Disme","2020-12-11","https://i.scdn.co/image/ab67616d0000b27390a1bb5a4616bd53a496a41c","1","15","163291","https://p.scdn.co/mp3-preview/869a5a7245cd537552fb8fbc62f63978d1e34070?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","DGA052017178","spotify:user:11135692880","2021-06-19T20:02:45Z"
"spotify:track:07WZiii3438ia3OLnv4nqW","Tu che ne sai (feat. Zoda)","spotify:artist:4r1DHaB2yIhddOkTF92d1d, spotify:artist:6udpKGzl85NuBEkZqOXiYB","NASKA, Zoda","spotify:album:65JmkZAcCqtinkrpLri9TO","Tu che ne sai (feat. Zoda)","spotify:artist:4r1DHaB2yIhddOkTF92d1d","NASKA","2019-07-12","https://i.scdn.co/image/ab67616d0000b2738488c87dcca5ee2973dccc11","1","1","216000","https://p.scdn.co/mp3-preview/82d97867d4bba1a7a895198c252a63f096ee8e3b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","ITO951900063","spotify:user:11135692880","2021-06-19T20:03:05Z"
"spotify:track:5RlrdqMMNm42rKgYq64a3T","23 coltellate","spotify:artist:47RMRcPX8zWGaiMSZRuOd4, spotify:artist:4BFn4jmfqSNaHtPWHTcy41, spotify:artist:6hb3ftxbKAFsOiNCdFbyzJ","Highsnob, MamboLosco, Andry The Hitmaker","spotify:album:6LLlbRfmopm9whu2Kiiajb","23 coltellate","spotify:artist:47RMRcPX8zWGaiMSZRuOd4, spotify:artist:4BFn4jmfqSNaHtPWHTcy41","Highsnob, MamboLosco","2019-05-31","https://i.scdn.co/image/ab67616d0000b273f595e2f6467e74c16aaa86da","1","1","155121","https://p.scdn.co/mp3-preview/0368267ae457bbc435890c7bcd4a02e0450c976c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","ITWFD1900010","spotify:user:11135692880","2021-06-19T20:03:10Z"
