"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7oUepurqUohP6vyuCzPi2h","Blue Kingdom","spotify:artist:5Z8Qlj0jWh0OOmJ55EwSnu","Draper","spotify:album:0A7XFXLkrpBMXNWZuJ6q1d","The Introduction EP","spotify:artist:5Z8Qlj0jWh0OOmJ55EwSnu","Draper","2010-11-30","https://i.scdn.co/image/ab67616d0000b2734c9280359709f731d58f7e52","1","2","225000","https://p.scdn.co/mp3-preview/097257774d65090cd1fe6a5e57999254a84f588f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCAAT1003191","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:3o6vdwPRs56R21igOPFEw4","Piano Piece","spotify:artist:3vqOpeu6Uuodw0HPqedCzG","Ghosts Of Paraguay","spotify:album:763e6eGboa3p9fPctXV76r","Silent Souls","spotify:artist:3vqOpeu6Uuodw0HPqedCzG","Ghosts Of Paraguay","2011-08-31","https://i.scdn.co/image/ab67616d0000b273a997c446821d6333f762557e","1","2","267100","https://p.scdn.co/mp3-preview/c92bf7ce1938b2e0d78abe27486b81327621c4ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","USQY51113824","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:2hDFj6piNq8L2LjBf7WRWK","Beyond - Original Mix","spotify:artist:06EfEcjc0vdvI6VNL0soIO","Rameses B","spotify:album:5qUXfjKNZk0sa5CvmvtVez","Beyond","spotify:artist:06EfEcjc0vdvI6VNL0soIO","Rameses B","2011-09-05","https://i.scdn.co/image/ab67616d0000b2735e5a27b6aa114d70ea03efad","1","1","363428","","false","0","RUA491112482","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:2vqA0fMi7u2f0R6yg9M1OQ","Teardrop - Original Mix","spotify:artist:0x9EbuwxixNxrTxrMOljzn","Fracture Design","spotify:album:0Dk8592qNcAkgmVtodupFL","Summer Rain","spotify:artist:0x9EbuwxixNxrTxrMOljzn","Fracture Design","2012-05-06","https://i.scdn.co/image/ab67616d0000b27390aab7637ef71ae2dc3a8554","1","2","338742","https://p.scdn.co/mp3-preview/f55c15235014a738d632cabcd90bd9104f500033?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","USLZJ1141636","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:2Tk8jOsYZHItnhALrgA9AM","Revolt (feat. Amelia Rose)","spotify:artist:7z2SH3eQbWeFdzQZcHQQ3O, spotify:artist:6JbsrOOd94gwBFS3nqM88n","Rezonate, Amelia Rose","spotify:album:7nK4zzCJuErGA6Kp0tUXOA","Monstercat 008 - Anniversary","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2012-07-25","https://i.scdn.co/image/ab67616d0000b2735bec9a6df59312e9f633705e","1","14","283142","https://p.scdn.co/mp3-preview/da986b6f8a1fbec91f56293433ca2f0bbfbc3ea7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABH1278724","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:5C1c4gtbwvoMpQMgRvnSF7","In The Twilight","spotify:artist:5NkUpXWkeXspvu7iQQOHhP","Phaeleh","spotify:album:18kAuYvlwRVNnVbhvKEYAl","The Cold In You","spotify:artist:5NkUpXWkeXspvu7iQQOHhP","Phaeleh","2011-08-01","https://i.scdn.co/image/ab67616d0000b273de4d68940f3a070b4a4151cf","1","4","386180","https://p.scdn.co/mp3-preview/dadfd78cc394ac18d24b7a724b2a0a2732759952?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB6NV1000225","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:3VPBqHUd17ZvEgabW9ZOUU","Ghost Assassin - Original Mix","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","spotify:album:3NmmUnjNr6G7wuBWSn0zKw","Ghost Assassin EP","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","2012-07-16","https://i.scdn.co/image/ab67616d0000b273b85e2368d983a4851727a5a5","1","1","221624","https://p.scdn.co/mp3-preview/17ad59d7677ced819ee8b9ee2a3ebb7b5d2eab4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLCK41016277","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:46BtkjwDx6o6qr5fiSaO2D","Polarized","spotify:artist:6fcTRFpz0yH79qSKfof7lp, spotify:artist:3vpOtbQO2ue0zifLcgj58S","Seven Lions, Shaz Sparks","spotify:album:5vvHfcPYmgqtMPAoRBZGEp","Polarize EP","spotify:artist:6fcTRFpz0yH79qSKfof7lp","Seven Lions","2012-04-23","https://i.scdn.co/image/ab67616d0000b273fa5a9d218517d581a20859f1","1","5","255180","https://p.scdn.co/mp3-preview/713e7c46f46322f16fdf185f696b12c747063af9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBTMZ1200149","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:40f9IDTMDpFf3CnTcPhY5F","Oh That I Had","spotify:artist:3YAy9OUnnRsk2JLTaOLcw2","Mt. Eden","spotify:album:11yxajuBoR78FebAWdU8lt","MEDS EP","spotify:artist:3YAy9OUnnRsk2JLTaOLcw2","Mt. Eden","2010-12-08","https://i.scdn.co/image/ab67616d0000b2732abf4d7ff8c4f670faad565e","1","5","314666","https://p.scdn.co/mp3-preview/a0634d2b6a525c621988089edeb40799fd9b351c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","SEYOK1019284","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:4XcggrvWzPGxlcpSMWqGFW","Night Air","spotify:artist:1fUMEn4Yk7ZUloozE0fRLL","Jamie Woon","spotify:album:3UOokxpX1EDqazDpZYRL4s","Night Air","spotify:artist:1fUMEn4Yk7ZUloozE0fRLL","Jamie Woon","2010-01-01","https://i.scdn.co/image/ab67616d0000b273d27b35b0e64d98987c8cbbfc","1","1","323799","https://p.scdn.co/mp3-preview/6b6dc3639ae7ca0ba09e315be041fa478acc2f60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71026544","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:2IPaM0RcQ4G6FKZBHeyJkb","This Kind of Life Keeps Breaking Your Heart","spotify:artist:0VOR7Ie9xUSb45fzIIVJQ1","Hammock","spotify:album:0cXHRVaHT5ZXNpfqtgXjxG","Maybe They Will Sing for Us Tomorrow","spotify:artist:0VOR7Ie9xUSb45fzIIVJQ1","Hammock","2008-05-06","https://i.scdn.co/image/ab67616d0000b2730fd588a7f0f45a8620634e5d","1","3","342506","","false","0","USA4D0819603","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:4ChBLndekjzQveHPsn3r6W","Let It Be (feat. Veela)","spotify:artist:08A9f7wRecEKFGN2PoylTl, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Blackmill, Veela","spotify:album:2ayhUoOppwZ5paYiXTRqqa","Miracle","spotify:artist:08A9f7wRecEKFGN2PoylTl","Blackmill","2011-12-21","https://i.scdn.co/image/ab67616d0000b2731e240c89392460689b7615a3","1","3","363433","https://p.scdn.co/mp3-preview/e3f33c43832976e40d06f298467b62b680ba6c40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","TCABC1144865","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:7fcFf7YH6gEnqtcXSP3FlY","Between Me And You","spotify:artist:7ygSJBM6sZ0vXGJvjnL1V5","ENiGMA Dubz","spotify:album:55lsyAcsoQvbZPP5lZ373S","Hard To Smile","spotify:artist:7ygSJBM6sZ0vXGJvjnL1V5","ENiGMA Dubz","2012-04-25","https://i.scdn.co/image/ab67616d0000b2739e23954dfc906f5067e008ea","1","2","287647","https://p.scdn.co/mp3-preview/30cc7d955b43dfc9cce64c6bc9e5fd4d59d26c17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBM6E1200002","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:5ztWL7dXaXOEkD2P5J1v6H","Hard To Smile (Original Mix)","spotify:artist:7ygSJBM6sZ0vXGJvjnL1V5","ENiGMA Dubz","spotify:album:4jA8tvMqw6PcswB6BaVzxR","Hard To Smile","spotify:artist:7ygSJBM6sZ0vXGJvjnL1V5","ENiGMA Dubz","2012-01-30","https://i.scdn.co/image/ab67616d0000b2735268db1bad9975bf3b5dfced","1","1","273529","https://p.scdn.co/mp3-preview/1acee63431f7cbed5e73f185ac09ae70feb2d68d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBM6E1200001","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:7A77QnN8DGfQvf47k4FyMg","Blinded By the Light","spotify:artist:7yRkgZyRXaO7oh1hTEyKNo","Smooth","spotify:album:4wuxmCitEXbnexdXdDhh0v","Blinded By The Light EP","spotify:artist:7yRkgZyRXaO7oh1hTEyKNo","Smooth","2012-01-16","https://i.scdn.co/image/ab67616d0000b273ec3827555bd0c1e3755ec497","1","5","291397","https://p.scdn.co/mp3-preview/cbacf1ec2dc905f9caf1f123273f75a304f995c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBTMZ1100134","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:6rpueTXRoz00kWOCNhHeSP","A Bad Place - Minnesota Remix","spotify:artist:4VkXHmHG2RqSyZ71n8veds, spotify:artist:4XIIdT0K7u7d1Tz5Vfx0JG, spotify:artist:1USUeNBNJcg7Of34Ix74lM","Shotgun Radio, Minnesota, Mimi Page","spotify:album:4nu9U62aF3rNKiToSJxWRg","A Bad Place: Remixed","spotify:artist:4VkXHmHG2RqSyZ71n8veds","Shotgun Radio","2011-11-23","https://i.scdn.co/image/ab67616d0000b273e55a94ef858790e828952dad","1","2","544925","https://p.scdn.co/mp3-preview/7b72cfa654bc9d7437e545ff90b0542f4dea59ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","USLZJ1144031","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:4ydUkhEolXK8t1tgE6vWAk","All Yours - Original Mix","spotify:artist:3ceOFG1q86nQVpJliylpgA","Submotion Orchestra","spotify:album:1HNZcRFlIKwHAJD3LxvX4d","All Yours","spotify:artist:3ceOFG1q86nQVpJliylpgA","Submotion Orchestra","2011-05-09","https://i.scdn.co/image/ab67616d0000b273df3c310df78924f57b9be9a4","1","1","280575","https://p.scdn.co/mp3-preview/9f7f2b71d96ccfc457ea00cf7d12d97cb5c67693?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBEKG1000069","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:4u0JqoKMDqye05lZzCQx1I","Pandemonium - Original Mix","spotify:artist:1m0rmoX1ma9A5HObTSNcqG","Arkasia","spotify:album:7J7N6VqCVv7jgIvwtVj7Cw","Evolution","spotify:artist:1m0rmoX1ma9A5HObTSNcqG","Arkasia","2011-10-17","https://i.scdn.co/image/ab67616d0000b273f8293e8dde8393729ca34012","1","7","330682","https://p.scdn.co/mp3-preview/c91e03f8c79fc51b3b8c213930dc69cb84e06403?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USLZJ1142098","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:0vlTUSCNTkHbl7RfeWpIOR","Afterglow - Akira Kiteshi Remix","spotify:artist:7lbp0JENEyGMN7LgqF25Yq, spotify:artist:5NkUpXWkeXspvu7iQQOHhP, spotify:artist:6fy0RqV5OGAoGKVtbEvW6T","Phaeleh ft. Soundmouse, Phaeleh, Soundmouse","spotify:album:2o9aoGRpcX8gN2EhNcG0eE","Afterglow (Akira Kiteshi Remix)/Low","spotify:artist:5NkUpXWkeXspvu7iQQOHhP","Phaeleh","2010-09-27","https://i.scdn.co/image/ab67616d0000b273154d10bf1932b24f7451b44d","1","1","283413","https://p.scdn.co/mp3-preview/bdd0eaf3df7da96e62ef0b097b9175f70612c6c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB6NV1000103","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:0S6qX6t6p8xb4j8VEyhtS4","The Storm","spotify:artist:5Z8Qlj0jWh0OOmJ55EwSnu","Draper","spotify:album:7ktz6glfi1kgcOmgVAdgZv","Draper - EP","spotify:artist:5Z8Qlj0jWh0OOmJ55EwSnu","Draper","2012-02-08","https://i.scdn.co/image/ab67616d0000b2738cb3f3a2dc1b815953329890","1","4","278453","https://p.scdn.co/mp3-preview/92fe6ac22f9099e94c66769a296a177a643c28dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABD1277117","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:0B0KRNeExcxSnzAPt1KtMM","Lost In You - Original Mix","spotify:artist:5gqoUf9vKKv96b1c0GBKwu, spotify:artist:0x9rtwsyJne349H9TJGDk0","Dusky, Janai","spotify:album:1HVtfeXTy0ifBc9skCcdCE","Lost In You","spotify:artist:5gqoUf9vKKv96b1c0GBKwu","Dusky","2011-08-29","https://i.scdn.co/image/ab67616d0000b27370b13893c47575f3403b757a","1","1","327330","https://p.scdn.co/mp3-preview/7706909812a5e611882442754c79ab243e155d54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","GBEWA1100720","spotify:user:pivimkh","2015-01-04T03:27:41Z"
"spotify:track:0DanGj9TtgZIjJnHdTbW9v","Finale (feat. Nicholas Petricca)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:7MfqTaqzU4P7AqqnFj3rYk","Madeon, Nicholas Petricca","spotify:album:0HVrSL0ICBN2rnc9NUr6wB","Finale","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc","Madeon","2012-07-22","https://i.scdn.co/image/ab67616d0000b2738f3ad7298deedea3b125cb47","1","1","205200","https://p.scdn.co/mp3-preview/fbbb7d87872c299a8471bacca166613c9ecb8138?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBARL1200788","spotify:user:pivimkh","2015-01-04T03:27:41Z"
