"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:209vinNF5EXSNq4S8faeIw","Fa' o' Brav' (feat. Emis Killa, Yung Snapp, MV Killa, Lele Blade)","spotify:artist:0L1f9i3L3fkMNENljDOsjG, spotify:artist:6FtwCmLY6L1sqvjaQ2lV6G, spotify:artist:4y5lvMadZv6NAv8RgcCRem, spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:3yGA8yyowtKVXgNIXguMfz","Rocco Hunt, Emis Killa, Yung Snapp, MV Killa, Lele Blade","spotify:album:2vjQGNiqEcvNyvTPAlotQ2","Rivoluzione","spotify:artist:0L1f9i3L3fkMNENljDOsjG","Rocco Hunt","2021-11-05","https://i.scdn.co/image/ab67616d0000b2733c65174669f463c915b091a1","1","10","227184","https://p.scdn.co/mp3-preview/a331584386c76f785190a76fa546d250dbb43c22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITB002101011","spotify:user:11135692880","2022-01-17T00:26:48Z"
"spotify:track:2HjM0ufsJtI0zBBeFIpEog","Topless","spotify:artist:2GyLz0gcl3zDPPql47YWEy, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:5FEh6KHK99CyLXp3qFvZFM","Geeno, Luchè, CoCo","spotify:album:6Vy5xxdBNkTyOC9fXVHV5X","Topless","spotify:artist:2GyLz0gcl3zDPPql47YWEy, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:5FEh6KHK99CyLXp3qFvZFM","Geeno, Luchè, CoCo","2021-07-09","https://i.scdn.co/image/ab67616d0000b273deeaf37f9eed84c17e75c34f","1","1","180062","https://p.scdn.co/mp3-preview/745c11595a59d1f533752ccab237097d36a44c31?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","QZK6P2179802","spotify:user:11135692880","2022-01-17T00:26:48Z"
"spotify:track:3dQf8vJMNLhNBaeHscxDUK","Solido (feat. Guè Pequeno)","spotify:artist:0L1f9i3L3fkMNENljDOsjG, spotify:artist:7F2utINZ6tSokSiZTQBE27","Rocco Hunt, Guè","spotify:album:2vjQGNiqEcvNyvTPAlotQ2","Rivoluzione","spotify:artist:0L1f9i3L3fkMNENljDOsjG","Rocco Hunt","2021-11-05","https://i.scdn.co/image/ab67616d0000b2733c65174669f463c915b091a1","1","3","171425","https://p.scdn.co/mp3-preview/5cbcde06286ad1f7a75759bb06431ec9e617417e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","ITB002101005","spotify:user:11135692880","2022-01-17T00:26:48Z"
"spotify:track:0aXYiWlj8ILpUIVco97pMz","INTRO / COMM E SEMP","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","spotify:album:6wo9LoC6T6VWdsSR35SXlE","HOURS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","2020-12-10","https://i.scdn.co/image/ab67616d0000b2736d231682bf84aa5eea13c460","1","1","158893","https://p.scdn.co/mp3-preview/b5016feca87a53538b79b86ec4194c9b9db1f787?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","ITUM72001270","spotify:user:11135692880","2022-01-17T00:26:55Z"
"spotify:track:77ivf80MVJPcFzwpnIeGM5","AQUA SANTA","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","spotify:album:6wo9LoC6T6VWdsSR35SXlE","HOURS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","2020-12-10","https://i.scdn.co/image/ab67616d0000b2736d231682bf84aa5eea13c460","1","2","199360","https://p.scdn.co/mp3-preview/c11c6627bf0eb7e07a65f95686cd7804d33f877f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","ITUM72001271","spotify:user:11135692880","2022-01-17T00:26:55Z"
"spotify:track:7vok46rp9gv0ZU3H3nMk6E","LUNTAN A ME (feat. Geolier)","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem, spotify:artist:27LlKWxS3KXW7RRAxN5S8s","MV Killa, Yung Snapp, Geolier","spotify:album:6wo9LoC6T6VWdsSR35SXlE","HOURS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","2020-12-10","https://i.scdn.co/image/ab67616d0000b2736d231682bf84aa5eea13c460","1","3","143506","https://p.scdn.co/mp3-preview/7e52d883ec8fe85b45253cd1dae22f3cad0f447f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","ITUM72001272","spotify:user:11135692880","2022-01-17T00:26:55Z"
"spotify:track:6ABIQ0niS3N0Nh6emnqEPO","BUSINESS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","spotify:album:6wo9LoC6T6VWdsSR35SXlE","HOURS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","2020-12-10","https://i.scdn.co/image/ab67616d0000b2736d231682bf84aa5eea13c460","1","4","193600","https://p.scdn.co/mp3-preview/94aa0eb511815d6e568a2a3d907ba632e659b3a3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","22","ITUM72001273","spotify:user:11135692880","2022-01-17T00:26:55Z"
"spotify:track:4ilw9HjWNRB8XZpwk6Ue8k","LAS VEGAS (feat. PSICOLOGI)","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem, spotify:artist:0fskdccy6fvnWMNMNPqEro","MV Killa, Yung Snapp, PSICOLOGI","spotify:album:6wo9LoC6T6VWdsSR35SXlE","HOURS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","2020-12-10","https://i.scdn.co/image/ab67616d0000b2736d231682bf84aa5eea13c460","1","5","198506","https://p.scdn.co/mp3-preview/34fd73b5f6ffd615e4cf8e4362f5764266d9aebc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","31","ITUM72001274","spotify:user:11135692880","2022-01-17T00:26:55Z"
"spotify:track:2pXRHMml4HtXvmizXC1nYm","KYLIE (feat. MadMan)","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem, spotify:artist:3MkkSf3u5KU52Mb2iMrqeX","MV Killa, Yung Snapp, MadMan","spotify:album:6wo9LoC6T6VWdsSR35SXlE","HOURS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","2020-12-10","https://i.scdn.co/image/ab67616d0000b2736d231682bf84aa5eea13c460","1","6","133253","https://p.scdn.co/mp3-preview/f0ef99d5df47d792399052ffc62692e4754acfcc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","ITUM72001275","spotify:user:11135692880","2022-01-17T00:26:55Z"
"spotify:track:5m3QtG5cjCd8WhWnAnc7pA","STRESSY","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","spotify:album:6wo9LoC6T6VWdsSR35SXlE","HOURS","spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","MV Killa, Yung Snapp","2020-12-10","https://i.scdn.co/image/ab67616d0000b2736d231682bf84aa5eea13c460","1","7","219653","https://p.scdn.co/mp3-preview/eb4182e126ddef7d4ac467b204e65fc9fee9fca4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","ITUM72001276","spotify:user:11135692880","2022-01-17T00:26:55Z"
