"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0N1pKkjhVwKZWFLF47R1tv","Nuovi Jeans","spotify:artist:5RiGhrEoM1SBjZoY25lCfe","Nashley","spotify:album:46DpgdlcIIF9poWbkKmQFc","Real","spotify:artist:5RiGhrEoM1SBjZoY25lCfe","Nashley","2018-10-26","https://i.scdn.co/image/ab67616d0000b2734e48a19c5324c96eacbdc8ba","1","7","209262","https://p.scdn.co/mp3-preview/73a58902a24c554c10ec406adea1420c91618ade?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","ITK191800191","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5kf8d9DoYJbQmiaYjsPobn","Solo Guai","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","spotify:album:3RPTwOmoZNB0gNyUKscixz","Polaroid 2.0","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","2018-02-16","https://i.scdn.co/image/ab67616d0000b273cf431bdf2803b80d4225da04","1","1","167225","https://p.scdn.co/mp3-preview/d492987edb8288bec2d493129cd429c0b537ea50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","ITLGE1700021","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6ElWuGFrYbsf2mdHWUoGCk","Sempre In Due","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","spotify:album:3RPTwOmoZNB0gNyUKscixz","Polaroid 2.0","spotify:artist:6p2OF8M4ob4KovaU0SUX4b","Carl Brave x Franco126","2018-02-16","https://i.scdn.co/image/ab67616d0000b273cf431bdf2803b80d4225da04","1","2","190451","https://p.scdn.co/mp3-preview/bf13a31057339914ed266a1893d10917717f18a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITLGE1700022","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:78QX2wFWwOV2X43tWJccrY","Nostradamus","spotify:artist:5dPBeuSKtu5vLz1Et8YSVv","Mostro","spotify:album:2vMerbYVrKPqfiAtoMKy5y","Sinceramente Mostro","spotify:artist:5dPBeuSKtu5vLz1Et8YSVv","Mostro","2020-03-03","https://i.scdn.co/image/ab67616d0000b2734ae67f03a0a238ad6cdc6cf3","1","6","149500","https://p.scdn.co/mp3-preview/3439700a28721514d12ed6de16e7ea8825954481?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","IT1O72000580","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3HJgEynYg4p9EUmcEwk4qM","ADESSO (feat. Massimo Pericolo)","spotify:artist:2DWRgncNMnTfwDiKSI0VoP, spotify:artist:1El4YQA8oCXX7ynFSxRTFq","TY1, Massimo Pericolo","spotify:album:3v8q233zGqlp3hW7BPC8K1","DJUNGLE","spotify:artist:2DWRgncNMnTfwDiKSI0VoP","TY1","2021-05-07","https://i.scdn.co/image/ab67616d0000b2736c599224c9c1e4b8a2e0de74","1","3","177040","https://p.scdn.co/mp3-preview/1842f1252b881d1032cf5f2854a68304058fdabb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","41","ITDF62177031","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3eSSVIw9YbVm1SLNxqtdjR","SOGNI MATTI (feat. Leon Faun & Drast)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:4e250LmaRPGcp0rbUbJtJm, spotify:artist:14XRgLXin9R3eKTNXBNwos","Sick Luke, Drast, Leon Faun","spotify:album:6ZVOpNfX2JMfAFDqEfmyQ5","X2","spotify:artist:0hk4xVujcyOr6USD95wcWb","Sick Luke","2022-01-07","https://i.scdn.co/image/ab67616d0000b273e45f97fc68a12ca3601b1047","1","11","197009","https://p.scdn.co/mp3-preview/59d7f3ab0893b8fbd5d0bc50c0bf00983f718967?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","ITB262101050","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1b9gSi3I7ei5NbnM974NOU","Hooligans","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:2E7FoEPUap1gOqOQOgQWqc","Che io ci aiuti","spotify:artist:7FeObngbQ0GY3SojNwKdKn","Bresh","2020-07-24","https://i.scdn.co/image/ab67616d0000b273ac23cf0333827ba2da5f5f0b","1","2","147980","https://p.scdn.co/mp3-preview/f01eb54b67afe70798307ad4ef57e6ddf2539c66?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITB002000420","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5pmRgUAg5lYdmVwcnN2eCo","Love Me","spotify:artist:0xgcFVaTrkdF6zEqV33f4E","Poli Ok","spotify:album:1Z50ghRyiuScCDuLjkVSIu","Love Me","spotify:artist:0xgcFVaTrkdF6zEqV33f4E","Poli Ok","2019-01-09","https://i.scdn.co/image/ab67616d0000b273218c5cbc9937190e6e2c77b1","1","1","147200","https://p.scdn.co/mp3-preview/e02f7a2a6867fccc145b5ea8f37c7a54e485f2cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","TCAEA1837714","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0hReXAWKqGzHBYnw0S1CXu","Altamente Mia","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","spotify:album:2DsrAMSZE08IvsVnluai0A","Altamente Mia","spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:5YV5crRpcdknHgEzystZHr","Bresh, SHUNE","2023-04-07","https://i.scdn.co/image/ab67616d0000b273454acd485acac4bb735b228e","1","1","172718","https://p.scdn.co/mp3-preview/7fe3cebfeb8072f1782e133c50bb50bac86b9cda?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITB002300772","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7sp2D8wdzeyd3epj5NnlLC","NOTTE SCURA (feat. Gazzelle & Tedua)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:7KFOc3T4Xo8DVZt4PWw2qN, spotify:artist:1AgAVqo74e2q4FVvg0xpT7","Sick Luke, Gazzelle, Tedua","spotify:album:6ZVOpNfX2JMfAFDqEfmyQ5","X2","spotify:artist:0hk4xVujcyOr6USD95wcWb","Sick Luke","2022-01-07","https://i.scdn.co/image/ab67616d0000b273e45f97fc68a12ca3601b1047","1","2","176360","https://p.scdn.co/mp3-preview/7f6f43ad2bbc42704d6ccef4d2d30ecb3df1c01e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITB262100970","spotify:user:","1970-01-01T00:00:00Z"
