"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5x9OwloIhldLWtwDN5R6Mc","Love Has Gone","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","1","251546","https://p.scdn.co/mp3-preview/b88fa020f6037b7a944ebc74023c05315668825c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200132","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:45cfIrCViwyxifnR8CvZD4","The Whistle Song","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:5RBFw1UkHw2NBsZFtheDEl","Netsky, Dynamite MC","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","2","279306","https://p.scdn.co/mp3-preview/beff1e2feaceff42356cdbb12b4182d679fb11d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200133","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:0KNFQ1pMx2KK9cPa7Eciay","Wanna Die For You","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:1XG7dMPAsHbJMF0llUxb33","Netsky, Diane Charlemagne","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","3","257146","https://p.scdn.co/mp3-preview/7707367ad8c9c79112f8305db6161ca01199ca54?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200134","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:3Qt9PTdQ6KRt722DS63LPJ","Come Alive","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","4","249440","https://p.scdn.co/mp3-preview/474d26050f90a889433f0f284ba084631e66b363?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200116","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:5aFLFlPHNs0VzUUww2xr5G","Give & Take","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","5","248120","https://p.scdn.co/mp3-preview/9a40097e16bdb2aafdf252fca26e06a9f53b32a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1100197","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:0CcQeqwUQTB15ldQ6bH9YC","Get Away From Here","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:5Oc4knEQaid8K7AFqO5lHu","Netsky, Selah Sue","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","6","253626","https://p.scdn.co/mp3-preview/3149a1989d17816d23a433081b11dbb05ae401f9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200135","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:0RsiS0XbAiDeUWXLTGlF7K","911","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","7","203893","https://p.scdn.co/mp3-preview/24033aefcabe2003ee71e3eb6f50edda212afd9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200110","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:1QUExx0NBB6XliEPL0hqek","Squad Up","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:43KOBQFf90hvto2uMTTafA","Netsky, Jimmy Jams","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","8","224640","https://p.scdn.co/mp3-preview/8207e630ce0cc08673a4ff443de88e711a28748f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200136","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:7Dgddq9pQgOQouodJR9YPD","Jetlag Funk","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","9","318960","https://p.scdn.co/mp3-preview/64a9e487d6df6aa88a30c33cc9ca0fee3ab7c476?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200137","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:16DZCRd6fwkjWzaIUZ11bQ","Puppy","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","10","260453","https://p.scdn.co/mp3-preview/de8314b3364412e235c61ea7712fd78a70a40919?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200138","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:13kgrqD8RH9oeqVv3BCcOb","When Darkness Falls","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:56M3ygaDkvVGUlMTDm0LAV","Netsky, Bridgette Amofah","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","11","232120","https://p.scdn.co/mp3-preview/d2523604cd62a5434b046dbe38cf2d102a862ec7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200139","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:0pVP1LyEP2Y3C4LLFqMHoA","Detonate","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","12","230800","https://p.scdn.co/mp3-preview/0ea16e832f24bbc29eab9c1c493b6087a990feea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200140","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:1Wu5QwhxVhwyZEiVfrGumb","No Beginning","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","13","319213","https://p.scdn.co/mp3-preview/a84c551f64e906d4ce5ccd82864c77eea33f3d56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200141","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:79ZOVQFSwYU15dyO4ZDrGv","Drawing Straws","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","15","253293","https://p.scdn.co/mp3-preview/b142084042f69749a08a517ec381324a8268dc2b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1200142","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:6aFKts0XyeFQrsSNrf1r6s","500 Days Of Summer","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","17","247008","https://p.scdn.co/mp3-preview/907b73b1da380ca0661c28da2c30ce7060318ec4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1205315","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:3Dy8krUpmdn3YEAwqdrFBX","Wanna Die For You - Metrik & Netsky Rework","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP, spotify:artist:1XG7dMPAsHbJMF0llUxb33","Netsky, Diane Charlemagne","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","18","279888","https://p.scdn.co/mp3-preview/12b40fffb4f771091e7b52f9813540da751161ab?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1205316","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:6PmHOYG0NKkTLWSmLlxAnm","No Strings Attached","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","19","314893","https://p.scdn.co/mp3-preview/e91df4c299363367ecca1818a2c02e1bbabdcaf6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1205317","spotify:user:pivimkh","2015-02-09T16:57:04Z"
"spotify:track:7LVjQ6XdMKsEHujYFBXM0V","Cous Cous","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","spotify:album:3gpHG5MGwnipnap32lFYvI","2 (Deluxe Version)","spotify:artist:5TgQ66WuWkoQ2xYxaSTnVP","Netsky","2012-01-01","https://i.scdn.co/image/ab67616d0000b273d1ca0c581773b5c1a13e65ce","1","21","270846","https://p.scdn.co/mp3-preview/2381af41a1f52584d5d2d54f96dfe477e15bec89?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCJY1205166","spotify:user:pivimkh","2015-02-09T16:57:04Z"
