"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:18MkPr2xPSbmwE7Rlj1cEj","Worry No More (feat. Lil Yachty & Santigold)","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6icQOAFXDZKsumw3YXyusw, spotify:artist:6Jrxnp0JgqmeUX1veU591p","Diplo, Lil Yachty, Santigold","spotify:album:6jglLLjjKIBwfMmkxUdNjZ","California","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX","Diplo","2018-03-23","https://i.scdn.co/image/ab67616d0000b2739cd99ae35cf897727c42a2b3","1","1","202563","https://p.scdn.co/mp3-preview/56a67c90870a9fd8b6757e473544b876a42d06a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","USZ4V1800019","spotify:user:11135692880","2022-05-06T00:50:17Z"
"spotify:track:7thTA3hqO2MgOlzo0rPInX","Color Blind","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:3EXdLajEO02ziZ90P90bSW","Diplo, Lil Xan","spotify:album:1V185X8sNGUrPGIdV9IBfX","Color Blind","spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:3EXdLajEO02ziZ90P90bSW","Diplo, Lil Xan","2018-03-22","https://i.scdn.co/image/ab67616d0000b273b08e9d9e74be3dc6d9f8712a","1","1","177480","https://p.scdn.co/mp3-preview/c45600e62caf598f6302f76a528e4ea1bd5a644b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USSM11802644","spotify:user:11135692880","2022-05-06T00:50:20Z"
"spotify:track:4UKJUbcuStnnxLeJmVJsSc","Lean On","spotify:artist:738wLrAtLtCtFOLvQBXOXp, spotify:artist:0bdfiayQAKewqEvaU6rXCv, spotify:artist:540vIaP2JwjQb9dm3aArA4","Major Lazer, MØ, DJ Snake","spotify:album:2Vrovs0ox24aKH9pgiZcNB","Peace Is The Mission (Extended)","spotify:artist:738wLrAtLtCtFOLvQBXOXp","Major Lazer","2015-11-27","https://i.scdn.co/image/ab67616d0000b2732236ac983588045e42fef5ed","1","4","176561","https://p.scdn.co/mp3-preview/a75157c4074ceab19a6b724128fd436cf701b03b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","QMUY41500008","spotify:user:11135692880","2022-05-06T00:50:28Z"
"spotify:track:7d23MhPFE9eB3U8DPRirnL","Disparate Youth","spotify:artist:6Jrxnp0JgqmeUX1veU591p","Santigold","spotify:album:69jrxUSjHoEu6PeBMq3273","Master of My Make-Believe","spotify:artist:6Jrxnp0JgqmeUX1veU591p","Santigold","2012-04-16","https://i.scdn.co/image/ab67616d0000b27381a3294d8cb52667c8701e6f","1","2","284400","https://p.scdn.co/mp3-preview/12c048834f5a2b36c51f85fd8e2fda9aa2cb7486?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAHS1100389","spotify:user:11135692880","2022-05-06T00:50:42Z"
"spotify:track:4xigPf2sigSPmuFH3qCelB","Genius (feat. Sia, Diplo, and Labrinth)","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:6IZ4ctovY9dl7bgHClAvKJ","Sia, Diplo, Labrinth, LSD","spotify:album:0ujHQ5WCLuKJQXOqXpGtpf","LABRINTH, SIA & DIPLO PRESENT... LSD","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7","Sia, Diplo, Labrinth","2019-04-12","https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b","1","3","213706","https://p.scdn.co/mp3-preview/32ada5d1cc7461708c1faac1a77350407ce191f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USQX91800798","spotify:user:11135692880","2022-05-06T00:51:07Z"
"spotify:track:4lJNen4SMTIJMahALc3DcB","Thunderclouds (feat. Sia, Diplo, and Labrinth)","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:6IZ4ctovY9dl7bgHClAvKJ","Sia, Diplo, Labrinth, LSD","spotify:album:0ujHQ5WCLuKJQXOqXpGtpf","LABRINTH, SIA & DIPLO PRESENT... LSD","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7","Sia, Diplo, Labrinth","2019-04-12","https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b","1","5","187026","https://p.scdn.co/mp3-preview/acc0e9f67e04b2634b2118314354f584d23c54cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USQX91801532","spotify:user:11135692880","2022-05-06T00:51:07Z"
"spotify:track:0HCDvbGNsigLpkzCDwpKVr","Mountains (feat. Sia, Diplo, and Labrinth)","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7, spotify:artist:6IZ4ctovY9dl7bgHClAvKJ","Sia, Diplo, Labrinth, LSD","spotify:album:0ujHQ5WCLuKJQXOqXpGtpf","LABRINTH, SIA & DIPLO PRESENT... LSD","spotify:artist:5WUlDfRSoLAfcVSX1WnrxN, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:2feDdbD5araYcm6JhFHHw7","Sia, Diplo, Labrinth","2019-04-12","https://i.scdn.co/image/ab67616d0000b2733f159ae07dd556323f39f47b","1","6","194733","https://p.scdn.co/mp3-preview/b14d5b72fc54e1a0c0126c4dce8b233d893052b7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USQX91801800","spotify:user:11135692880","2022-05-06T00:51:07Z"
"spotify:track:6ZpR2XFuQJSHAQwg9495KZ","Mind (feat. Kai)","spotify:artist:1HxJeLhIuegM3KgvPn8sTa, spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:6xHUXzrfhFgnIv86EBR3Ml","Jack Ü, Skrillex, Diplo, kai","spotify:album:6bfkwBrGYKJFk6Z4QVyjxd","Skrillex and Diplo present Jack Ü","spotify:artist:1HxJeLhIuegM3KgvPn8sTa, spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX","Jack Ü, Skrillex, Diplo","2015-02-24","https://i.scdn.co/image/ab67616d0000b27357fc4730e06c9ab20c1e073b","1","7","242068","https://p.scdn.co/mp3-preview/0d83df9b54be8bf61c7b2fd7c40d23350c8e7cf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USAT21500553","spotify:user:11135692880","2022-05-06T00:51:25Z"
"spotify:track:66hayvUbTotekKU3H4ta1f","Where Are Ü Now (with Justin Bieber)","spotify:artist:1HxJeLhIuegM3KgvPn8sTa, spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX, spotify:artist:1uNFoZAHBGtllmzznpCI3s","Jack Ü, Skrillex, Diplo, Justin Bieber","spotify:album:6bfkwBrGYKJFk6Z4QVyjxd","Skrillex and Diplo present Jack Ü","spotify:artist:1HxJeLhIuegM3KgvPn8sTa, spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX","Jack Ü, Skrillex, Diplo","2015-02-24","https://i.scdn.co/image/ab67616d0000b27357fc4730e06c9ab20c1e073b","1","9","250285","https://p.scdn.co/mp3-preview/baf97fea2e3e1c97092ac69426691b703d20d0e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USAT21500555","spotify:user:11135692880","2022-05-06T00:51:25Z"
"spotify:track:6JEWDRfYmn51nfA7SUiN7u","One Touch","spotify:artist:25fqWEebq6PoiGQIHIrdtv, spotify:artist:2VAnyOxzJuSAj7XIuEOT38, spotify:artist:7iZtZyCzp3LItcw1wtPI3D, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Baauer, AlunaGeorge, Rae Sremmurd, Swae Lee","spotify:album:2Cq2kLoXNlQ7FpBeeh6IZB","ß","spotify:artist:25fqWEebq6PoiGQIHIrdtv","Baauer","2014-10-27","https://i.scdn.co/image/ab67616d0000b273f2f91d08a5afcc4954a38867","1","1","215000","https://p.scdn.co/mp3-preview/409b53c7341b821e1c652b9c7080864a434b7664?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB5P51400039","spotify:user:11135692880","2022-05-06T00:51:58Z"
