"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:780Drm5O3LVEktpgca0IVr","Yacht (feat. Luchè)","spotify:artist:27LlKWxS3KXW7RRAxN5S8s, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Geolier, Luchè","spotify:album:0ezPP4vUJkMXitFq8oWxyl","Emanuele","spotify:artist:27LlKWxS3KXW7RRAxN5S8s","Geolier","2019-10-10","https://i.scdn.co/image/ab67616d0000b2734f73e2547360c86c49a2f18f","1","9","118946","https://p.scdn.co/mp3-preview/dc98f0c5336879c573f309098432f31aaef0c86f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","ITUM71901070","spotify:user:11135692880","2020-03-26T00:44:49Z"
"spotify:track:2svI60QuZTsJ5fgAFxmiEl","Nisciun","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","spotify:album:4A9xE2QAA6dgTcqMrnjpqP","Malammore","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2016-07-15","https://i.scdn.co/image/ab67616d0000b27342da8ae2c26f8caa374e3673","1","19","248324","https://p.scdn.co/mp3-preview/f22063eab95bf07b2e355996be6b4261b1cab366?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ITUM71600757","spotify:user:11135692880","2020-03-26T00:45:18Z"
"spotify:track:5nG6uj9M7tzHTPC62pfvXL","E' Cumpagn Mie","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","spotify:album:4A9xE2QAA6dgTcqMrnjpqP","Malammore","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2016-07-15","https://i.scdn.co/image/ab67616d0000b27342da8ae2c26f8caa374e3673","1","18","238595","https://p.scdn.co/mp3-preview/2b85f6235676e0ce2691e23ab018fee2834174ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ITUM71600758","spotify:user:11135692880","2020-03-26T00:46:14Z"
"spotify:track:6cDvq4GxbW4pJjbD95Y8N5","E' Sord","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","spotify:album:4A9xE2QAA6dgTcqMrnjpqP","Malammore","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2016-07-15","https://i.scdn.co/image/ab67616d0000b27342da8ae2c26f8caa374e3673","1","8","186318","https://p.scdn.co/mp3-preview/8376716e5b11ecb6bf1628425ccb01d6142e73f4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ITUM71600744","spotify:user:11135692880","2020-03-26T00:46:19Z"
"spotify:track:5HeEV6B41iRrT8jihd8eHj","Per La Mia Città","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","spotify:album:4A9xE2QAA6dgTcqMrnjpqP","Malammore","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2016-07-15","https://i.scdn.co/image/ab67616d0000b27342da8ae2c26f8caa374e3673","1","7","223386","https://p.scdn.co/mp3-preview/e6a9a5593f147b7299a0aba77faeaf3d7c63c2b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","ITUM71600756","spotify:user:11135692880","2020-03-26T00:46:27Z"
"spotify:track:1Hv5iFPnmYQJPJFaNKjcAV","Je Ce Credevo","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","spotify:album:5euEUUI8h8f2lWE5GMi2T1","Potere","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2019-01-24","https://i.scdn.co/image/ab67616d0000b2739d9bf82b378fd618e31d5fdc","1","5","202737","https://p.scdn.co/mp3-preview/0042d313196eceef55a416f622808c1fdad8616f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ITUM71800593","spotify:user:11135692880","2020-03-26T00:46:39Z"
"spotify:track:1BdmcsFAODQR4x7eiOuRVf","Narcos","spotify:artist:27LlKWxS3KXW7RRAxN5S8s","Geolier","spotify:album:0ezPP4vUJkMXitFq8oWxyl","Emanuele","spotify:artist:27LlKWxS3KXW7RRAxN5S8s","Geolier","2019-10-10","https://i.scdn.co/image/ab67616d0000b2734f73e2547360c86c49a2f18f","1","8","196000","https://p.scdn.co/mp3-preview/d6d97a9ef1be86faec07a64f0a5b45fd0ec657d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITUM71900710","spotify:user:11135692880","2020-03-26T00:47:16Z"
"spotify:track:57Ae6GvuVqepP8iTqWjzep","Amo Ma Chi T Sap (feat. MV Killa & Guè)","spotify:artist:27LlKWxS3KXW7RRAxN5S8s, spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:7F2utINZ6tSokSiZTQBE27","Geolier, MV Killa, Guè","spotify:album:0ezPP4vUJkMXitFq8oWxyl","Emanuele","spotify:artist:27LlKWxS3KXW7RRAxN5S8s","Geolier","2019-10-10","https://i.scdn.co/image/ab67616d0000b2734f73e2547360c86c49a2f18f","1","15","209933","https://p.scdn.co/mp3-preview/a11d15e7c388fd33bc2fa188321ab6f9619361d3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","ITUM71901065","spotify:user:11135692880","2020-03-26T00:47:34Z"
"spotify:track:7cPnWOWOAe5yAvIPQCz8Lw","Trip - feat. Nayt","spotify:artist:0q0CTttRdwiuDFmDiN7jAt, spotify:artist:7tmTvmqgTBcX88ZrSHByrD","Nicola Siciliano, Nayt","spotify:album:7GlFm2140eSSnig2QjHuNE","Trip (feat. Nayt)","spotify:artist:0q0CTttRdwiuDFmDiN7jAt, spotify:artist:7tmTvmqgTBcX88ZrSHByrD","Nicola Siciliano, Nayt","2020-03-13","https://i.scdn.co/image/ab67616d0000b273f38dcc0252e8719930ff7c83","1","1","224624","https://p.scdn.co/mp3-preview/5947b9904af0913a653fb60771211ff8c876409d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","ITB002000222","spotify:user:11135692880","2020-03-26T00:47:47Z"
"spotify:track:4p1v3s2yIhAVkYDHN4NIPW","Mamacita (feat. Lele Blade)","spotify:artist:27LlKWxS3KXW7RRAxN5S8s, spotify:artist:3yGA8yyowtKVXgNIXguMfz","Geolier, Lele Blade","spotify:album:0ezPP4vUJkMXitFq8oWxyl","Emanuele","spotify:artist:27LlKWxS3KXW7RRAxN5S8s","Geolier","2019-10-10","https://i.scdn.co/image/ab67616d0000b2734f73e2547360c86c49a2f18f","1","13","212173","https://p.scdn.co/mp3-preview/2a8c113cf5f7ca585c2fcd1e8e26177947f8c584?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","ITUM71901063","spotify:user:11135692880","2020-05-21T17:21:10Z"
"spotify:track:4I2Lme2SiFoCRGjqShp7IK","Sosa (feat. Geolier)","spotify:artist:3yGA8yyowtKVXgNIXguMfz, spotify:artist:27LlKWxS3KXW7RRAxN5S8s","Lele Blade, Geolier","spotify:album:27iABa8cVCUO8LCirkD8GX","Ninja Gaiden","spotify:artist:3yGA8yyowtKVXgNIXguMfz","Lele Blade","2018-10-26","https://i.scdn.co/image/ab67616d0000b2732c6de5fc0cf25ceaa9a7f69b","1","5","183000","https://p.scdn.co/mp3-preview/a6479666117b81119da846219af8c84794fd817b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","ITUM71801042","spotify:user:11135692880","2020-05-21T17:21:22Z"
"spotify:track:2guNhJXjJVCHO5rYBVcm5H","Mea Muri Tu (feat. MV Killa & Yung Snapp)","spotify:artist:26OG4ryQ7oFAbUNAvYCOgn, spotify:artist:0QqmgpgI0C1DyyDk49vnxY, spotify:artist:4y5lvMadZv6NAv8RgcCRem","Vale Lambo, MV Killa, Yung Snapp","spotify:album:4ahmZju7aF9Uo5LR6Q5Ese","Mea Muri Tu (feat. MV Killa & Yung Snapp)","spotify:artist:26OG4ryQ7oFAbUNAvYCOgn","Vale Lambo","2020-01-16","https://i.scdn.co/image/ab67616d0000b273004ad0c7a1e585446e942b32","1","1","194464","https://p.scdn.co/mp3-preview/9865975e4d07cb0add5bbf8688a74eff8fd2cda3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","26","ITUM71901553","spotify:user:11135692880","2020-05-21T17:24:00Z"
