"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3mRM4NM8iO7UBqrSigCQFH","Stayin' Alive - From ""Saturday Night Fever"" Soundtrack","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:5YHZaCxCuuK81h4Fimb9rT","Greatest","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1979-01-01","https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7","1","5","285373","https://p.scdn.co/mp3-preview/8f43872d18d4027177f10b909ef4d1d9b0553b5f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","NLF057790034","spotify:user:11135692880","2020-03-10T14:30:01Z"
"spotify:track:5KgbyD2lQQlIupAaPjgiXg","Night Fever - From ""Saturday Night Fever"" Soundtrack","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:5YHZaCxCuuK81h4Fimb9rT","Greatest","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1979-01-01","https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7","1","2","212253","https://p.scdn.co/mp3-preview/a528a013ac5104940313aafc3a56c493efab03a7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","NLF057790035","spotify:user:11135692880","2020-03-10T14:30:01Z"
"spotify:track:6T5GTy1l6dRmagqpNPjdoc","Too Much Heaven","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:6bddpRTD2imtFdhXqr6MKm","Spirits Having Flown","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1979-02-05","https://i.scdn.co/image/ab67616d0000b27344d10bd5b6282b959d695a41","1","2","296000","https://p.scdn.co/mp3-preview/6ec2500ec15836124e1cbd393d468d1a23dd225c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","NLF057890032","spotify:user:11135692880","2020-03-10T14:30:01Z"
"spotify:track:6UXXeFqMBGiqjkzQzkMT3E","Tragedy","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:6bddpRTD2imtFdhXqr6MKm","Spirits Having Flown","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1979-02-05","https://i.scdn.co/image/ab67616d0000b27344d10bd5b6282b959d695a41","1","1","303333","https://p.scdn.co/mp3-preview/9ade63223c7994cde2758c7e58486ccddec57c17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","NLF057990026","spotify:user:11135692880","2020-03-10T14:30:01Z"
"spotify:track:0GjEhVFGZW8afUYGChu3Rr","Dancing Queen","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1V6a99EbTTIegOhWoPxYI9","Arrival","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1976","https://i.scdn.co/image/ab67616d0000b27370f7a1b35d5165c85b95a0e0","1","2","230400","https://p.scdn.co/mp3-preview/1116076e3d1538852d6605ada1fd7130c8fc75a5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","SEAYD7601020","spotify:user:11135692880","2020-03-10T14:30:53Z"
"spotify:track:3vkQ5DAB1qQMYO4Mr9zJN6","Gimme! Gimme! Gimme! (A Man After Midnight)","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:7iLuHJkrb9KHPkMgddYigh","Voulez-Vous","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1979","https://i.scdn.co/image/ab67616d0000b273aa22899360d8ba6704732dec","1","13","292613","https://p.scdn.co/mp3-preview/02603b1ac0f95d780cdda0f09ed9c19cdb53089f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","SEAYD7901120","spotify:user:11135692880","2020-03-10T14:30:57Z"
"spotify:track:2TxCwUlqaOH3TIyJqGgR91","Mamma Mia","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","spotify:album:1kM6xcSYO5ASJaWgygznL7","Abba","spotify:artist:0LcJLqbBmaGUft1e9Mm8HV","ABBA","1975","https://i.scdn.co/image/ab67616d0000b27392d0747a634fcc351c6ac3c2","1","1","213266","https://p.scdn.co/mp3-preview/b578f8867804a1545b49ef6aea52bd0b8ec766d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","SEAYD7501010","spotify:user:11135692880","2020-03-10T14:31:13Z"
"spotify:track:49OMJ1prsRA7ZYgrAjz70c","More Than A Woman","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:5YHZaCxCuuK81h4Fimb9rT","Greatest","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1979-01-01","https://i.scdn.co/image/ab67616d0000b27352038992fc6d7868f31d23b7","2","4","197213","https://p.scdn.co/mp3-preview/59dcf7ab85c7a89ce4b5adbf88f6a3aaeab79696?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","NLF057790033","spotify:user:11135692880","2020-03-10T14:32:18Z"
"spotify:track:2Vnw8zKmjhr1jczUeaqiQg","Hot Stuff - 12"" Version","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","spotify:album:4h63dypm4IYSGfCDe2Gcz6","Bad Girls (Deluxe Edition)","spotify:artist:2eogQKWWoohI3BSnoG7E2U","Donna Summer","1979-04-25","https://i.scdn.co/image/ab67616d0000b2734863c8620f7c3fa135068768","2","4","407053","https://p.scdn.co/mp3-preview/d37019bac60be264611d12e4abae9e540541e361?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","USPR37900068","spotify:user:11135692880","2020-03-10T14:32:27Z"
"spotify:track:3ClOMebBxeNTYCOfTH24YJ","Le Freak - 2018 Remaster","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","spotify:album:3Jhtxnrjbk5oxleA3oafAy","The Chic Organization 1977-1979 (2018 Remaster)","spotify:artist:0Xf8oDAJYd2D0k3NLI19OV","CHIC","2018-11-23","https://i.scdn.co/image/ab67616d0000b273b7ff955881d0c4fe6b4af092","2","2","331360","https://p.scdn.co/mp3-preview/866259f80fdc5ad407ea3fb300aa74bde9635e62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USRH11803129","spotify:user:11135692880","2020-03-10T14:32:40Z"
"spotify:track:3WMbD1OyfKuwWDWMNbPQ4g","Daddy Cool","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","spotify:album:1KQUrny9y5zGpktF6hAGd4","Take The Heat Off Me","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","1976","https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691","1","1","208600","https://p.scdn.co/mp3-preview/03e2b60a6a5c101dc0d41866f2e079d8de4a663b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","DEC737600002","spotify:user:11135692880","2020-03-10T14:33:12Z"
"spotify:track:4mn7iv4DYJxPYbPy5R0nPE","(Shake, Shake, Shake) Shake Your Booty","spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo","KC & The Sunshine Band","spotify:album:7nb5eaxuDO4jbOxk0euRJv","Part 3","spotify:artist:3mQBpAOMWYqAZyxtyeo4Lo","KC & The Sunshine Band","1976","https://i.scdn.co/image/ab67616d0000b273274a11627dcf495bbc0a4b1d","1","4","185640","https://p.scdn.co/mp3-preview/09ff67363b0105db455e2b47089c609af5eb77e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAYE7600024","spotify:user:11135692880","2020-03-10T14:33:52Z"
"spotify:track:46eu3SBuFCXWsPT39Yg3tJ","Don't Stop 'Til You Get Enough","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","spotify:album:2ZytN2cY4Zjrr9ukb2rqTP","Off the Wall","spotify:artist:3fMbdgg4jU18AjLCKBhRSm","Michael Jackson","1979-08-10","https://i.scdn.co/image/ab67616d0000b2737027294551db4fda68b5ddac","1","1","365466","https://p.scdn.co/mp3-preview/266818d14bb3fd8ef1cd8f67115f60034a786e22?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USSM17900816","spotify:user:11135692880","2020-03-10T14:34:03Z"
"spotify:track:2xiOdusRnZezQok1RgLNeS","You Should Be Dancing","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","spotify:album:4V8z8vZUCyYUBlUI9CfSbY","Children Of The World","spotify:artist:1LZEQNv7sE11VDY3SdxQeN","Bee Gees","1976-01-01","https://i.scdn.co/image/ab67616d0000b27345b4e9481e0846c16553a048","1","1","256493","https://p.scdn.co/mp3-preview/c3b1c6ada71b56a43577336144ed45597555459c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","NLF057690020","spotify:user:11135692880","2020-03-10T14:34:16Z"
"spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca","Super Freak","spotify:artist:0FrpdcVlJQqibaz5HfBUrL","Rick James","spotify:album:2DBFUBBqJQvfXpodPi2WP5","Street Songs (Deluxe Edition)","spotify:artist:0FrpdcVlJQqibaz5HfBUrL","Rick James","1981-04-07","https://i.scdn.co/image/ab67616d0000b27317f9e7e7784ed40b223e261c","1","5","205466","https://p.scdn.co/mp3-preview/ef2c59a916249d860115a1fb2f99c0854a6b6b25?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USMO18100048","spotify:user:11135692880","2020-03-10T14:34:22Z"
"spotify:track:5IKLwqBQG6KU6MP2zP80Nu","We Are Family - 1995 Remaster","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","spotify:album:4GSidaoqyGNwaG5mNKmuLT","We Are Family (1995 Remaster)","spotify:artist:6gkWznnJkdkwRPVcmnrays","Sister Sledge","1979-02-15","https://i.scdn.co/image/ab67616d0000b273f66d92378b233aa8253e71d2","1","5","216733","https://p.scdn.co/mp3-preview/c8e62c272be0fd81117f2059aaa6b5eaaa1e5b73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USAT20102166","spotify:user:11135692880","2020-03-10T14:35:06Z"
