"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0ByMNEPAPpOR5H69DVrTNy","Don't Stop The Music","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:3JSWZWeTHF4HDGt5Eozdy7","Good Girl Gone Bad: Reloaded","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2008-06-02","https://i.scdn.co/image/ab67616d0000b273f9f27162ab1ed45b8d7a7e98","1","3","267080","https://p.scdn.co/mp3-preview/2ac14b43fe2451a70c07357ac675ade8da1f776c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM70734700","spotify:user:11135692880","2020-07-27T10:22:36Z"
"spotify:track:0C4ejWmOTMv8vuYj85mf8m","S&M","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","spotify:album:7vN82vd1Vq44fjlhjfvHJp","Loud","spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","Rihanna","2010-11-16","https://i.scdn.co/image/ab67616d0000b2732ed326786e4c61c6b1dbf222","1","1","243533","https://p.scdn.co/mp3-preview/b08a1a266d1e717fd203df1e9b4620600ea413ba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USUM71026591","spotify:user:11135692880","2020-07-27T10:23:04Z"
"spotify:track:4odiyU3myG29Ld0wurMfE8","She Doesn't Mind","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","spotify:album:25o3xNsjPJahI22xQENaPd","Tomahawk Technique","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","2012-01-24","https://i.scdn.co/image/ab67616d0000b27379e1dc7700b325641537518b","1","2","227786","https://p.scdn.co/mp3-preview/a362fef43db8ba09204e0e9f58c052eef2b33e1f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USAT21102329","spotify:user:11135692880","2020-07-27T10:23:37Z"
"spotify:track:4QNpBfC0zvjKqPJcyqBy9W","Give Me Everything (feat. Nayer)","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:4D75GcNG95ebPtNvoNVXhz, spotify:artist:21E3waRsmPlU7jZsS13rcj, spotify:artist:1ruutHJcECI7cos2n5TqpO","Pitbull, AFROJACK, Ne-Yo, Nayer","spotify:album:4rG0MhkU6UojACJxkMHIXB","Planet Pit (Deluxe Version)","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","2011-06-17","https://i.scdn.co/image/ab67616d0000b2731dc7483a9fcfce54822a2f19","1","2","252306","https://p.scdn.co/mp3-preview/6eafa4293d2b35b2e75ffab5ec1bba8ec00d5082?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USJAY1100032","spotify:user:11135692880","2020-07-27T10:23:51Z"
"spotify:track:3cHyrEgdyYRjgJKSOiOtcS","Timber","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:6LqNN22kT3074XbTVUrhzX","Pitbull, Kesha","spotify:album:2F7tejLHzTqFq2XLol9ZGy","Global Warming: Meltdown (Deluxe Version)","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","2012","https://i.scdn.co/image/ab67616d0000b273f2486b438645e97b523e4f90","1","13","204160","https://p.scdn.co/mp3-preview/54825c719d56bd5b737ac7c1aa3ce41ad3eef338?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRC11301695","spotify:user:11135692880","2020-07-27T10:23:56Z"
"spotify:track:0OPyDgTRuIdCJ9B4bYSths","Hotel Room Service","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","spotify:album:4RaAjieYFIZRF8uh6GY43r","Pitbull Starring In Rebelution","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","2009-08-27","https://i.scdn.co/image/ab67616d0000b273a511f69870fa68e7ba78c099","1","8","237600","https://p.scdn.co/mp3-preview/614935c52f5f7c7054c603ce35928b7c87201dd9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USJAY0900063","spotify:user:11135692880","2020-07-27T10:24:02Z"
"spotify:track:13plQdOoWSSXPRUSZc5FuM","I Know You Want Me (Calle Ocho)","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","spotify:album:4RaAjieYFIZRF8uh6GY43r","Pitbull Starring In Rebelution","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","2009-08-27","https://i.scdn.co/image/ab67616d0000b273a511f69870fa68e7ba78c099","1","3","237120","https://p.scdn.co/mp3-preview/e27a3944f79d215f1e65ff091a53735f8907a504?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USJAY0900144","spotify:user:11135692880","2020-07-27T10:24:06Z"
"spotify:track:3weALpqEELa1OpaQC1yScV","Blanco","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:2RdwBSPQiwcmiDo9kixcl8","Pitbull, Pharrell Williams","spotify:album:7JK7Rh9KcZCZJZXztRXHGK","Blanco","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","2009-01-01","https://i.scdn.co/image/ab67616d0000b273274665b331a3e00d9311949e","1","1","202373","https://p.scdn.co/mp3-preview/238e9b09d36e484f8b527ebba2265f9bd43c48c9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","USUM70957020","spotify:user:11135692880","2020-07-27T10:25:33Z"
"spotify:track:4356Typ82hUiFAynbLYbPn","DJ Got Us Fallin' In Love (feat. Pitbull)","spotify:artist:23zg3TcAtWQy7J6upgbUnj, spotify:artist:0TnOYISbd1XYRBk9myaseg","USHER, Pitbull","spotify:album:6A1F3Fkq5dYeYYNkXflcTX","Raymond v Raymond (Expanded Edition)","spotify:artist:23zg3TcAtWQy7J6upgbUnj","USHER","2010-03-30","https://i.scdn.co/image/ab67616d0000b27386b0c9728ad3ed338eaeea79","1","16","220800","https://p.scdn.co/mp3-preview/1619c7342806281d286f0ba4125ff59e80663c56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USLF21000041","spotify:user:11135692880","2020-07-27T10:25:42Z"
"spotify:track:5pmL3RzOy3IvGFaSDi4hZL","Hangover","spotify:artist:6MF9fzBmfXghAz953czmBC, spotify:artist:0jnsk9HBra6NMjO2oANoPY","Taio Cruz, Flo Rida","spotify:album:0TjgUvNEDN2PegfZVkoggi","TY.O (International Version)","spotify:artist:6MF9fzBmfXghAz953czmBC","Taio Cruz","2011-01-01","https://i.scdn.co/image/ab67616d0000b27327656009177a4273a62c758a","1","1","244906","https://p.scdn.co/mp3-preview/9b699a15573c15c24c709485374a5cb6b7dab41b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","GBUM71108857","spotify:user:11135692880","2020-07-27T10:25:45Z"
"spotify:track:0HPD5WQqrq7wPWR7P7Dw1i","TiK ToK","spotify:artist:6LqNN22kT3074XbTVUrhzX","Kesha","spotify:album:6fpLLJsDSSAlToEDW2jv4F","Animal (Expanded Edition)","spotify:artist:6LqNN22kT3074XbTVUrhzX","Kesha","2010-01-01","https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c","1","2","199693","https://p.scdn.co/mp3-preview/ea95bec21bd6c4979cc91f5d5528b533d879905c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USRC10900433","spotify:user:11135692880","2020-07-27T10:25:49Z"
"spotify:track:4kLLWz7srcuLKA7Et40PQR","I Gotta Feeling","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:1dgbFU08pXJXZhGPlybdMX","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2009-01-01","https://i.scdn.co/image/ab67616d0000b2730bd44f5ff9ecc99f7770acc5","1","5","289133","https://p.scdn.co/mp3-preview/b3398fc473e546c85e965482e7b908342c46b7b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUM70965169","spotify:user:11135692880","2020-07-27T10:25:50Z"
"spotify:track:4E5P1XyAFtrjpiIxkydly4","Replay","spotify:artist:5tKXB9uuebKE34yowVaU3C","Iyaz","spotify:album:44hyrGuZKAvITbmrlhryf8","Replay","spotify:artist:5tKXB9uuebKE34yowVaU3C","Iyaz","2009-08-18","https://i.scdn.co/image/ab67616d0000b273ae7012fce99c2b2345b54f30","1","1","182306","https://p.scdn.co/mp3-preview/fbc52df880d479ab0e34ee46bcc817a9f8b52a35?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USRE10901161","spotify:user:11135692880","2020-07-27T10:25:52Z"
"spotify:track:1dzQoRqT5ucxXVaAhTcT0J","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:1qwlxZTNLe1jq3b0iidlue","The Fame","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2008-01-01","https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2","1","1","241933","https://p.scdn.co/mp3-preview/95cc6f61db841d49e062c94e68a62a89da0c46c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USUM70807646","spotify:user:11135692880","2020-07-27T10:25:55Z"
"spotify:track:1r3myKmjWoOqRip99CmSj1","Don't Wanna Go Home","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","spotify:album:31tCg5RXhY5jpagfCPcQa2","Future History (Deluxe Edition)","spotify:artist:07YZf4WDAMNwqr4jfgOZ8y","Jason Derulo","2011-09-16","https://i.scdn.co/image/ab67616d0000b27381541b43fcbc56488853de26","1","1","206080","https://p.scdn.co/mp3-preview/f236be37ce5bdf376af4c72449d95674316159f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USWB11101043","spotify:user:11135692880","2020-07-27T10:25:57Z"
"spotify:track:6qUSs4FDzZUdAhY6JDIJfa","Who's That Chick? (feat. Rihanna)","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai, spotify:artist:5pKCCKE2ajJHZ9KAiaK11H","David Guetta, Rihanna","spotify:album:5DJc5qCdB5pPrDO97LXjeW","One More Love","spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","David Guetta","2010-11-22","https://i.scdn.co/image/ab67616d0000b273f45c50e7cff5f2376c1e36ea","2","1","201040","https://p.scdn.co/mp3-preview/045360abcc0adf334d5d03969ff2bd6f94112d2f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","FRZID1000700","spotify:user:11135692880","2020-07-27T10:25:58Z"
"spotify:track:2CEgGE6aESpnmtfiZwYlbV","Dynamite","spotify:artist:6MF9fzBmfXghAz953czmBC","Taio Cruz","spotify:album:0eGvq1J5Ke7VlLLOYIlY4k","The Rokstarr Hits Collection","spotify:artist:6MF9fzBmfXghAz953czmBC","Taio Cruz","2010-01-01","https://i.scdn.co/image/ab67616d0000b27366c3eb32692a0ae487079cf1","1","1","202613","https://p.scdn.co/mp3-preview/97bfe8a487d41ac4c44d3f5e15d484d95e0027aa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBUM71003721","spotify:user:11135692880","2020-07-27T10:26:06Z"
"spotify:track:6ebkx7Q5tTxrCxKq4GYj0Y","Club Can't Handle Me (feat. David Guetta)","spotify:artist:0jnsk9HBra6NMjO2oANoPY, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Flo Rida, David Guetta","spotify:album:1TwNATuAqnNjTd5BSvFZlS","Only One Flo (Part 1)","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2010-11-24","https://i.scdn.co/image/ab67616d0000b273c0ddb38854cde41708d606a1","1","7","234560","https://p.scdn.co/mp3-preview/4eb7cf3beaef7d774c99206cbf24b6b2f83fbb52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT21001281","spotify:user:11135692880","2020-07-27T10:26:07Z"
"spotify:track:7vWFaMq63AwkFDhS2OAg5u","The Time (Dirty Bit)","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","spotify:album:0BkpKcHw606at6Y2cp8kdE","The Beginning (Deluxe)","spotify:artist:1yxSLGMDHlW21z4YXirZDS","Black Eyed Peas","2010-01-01","https://i.scdn.co/image/ab67616d0000b2734cb6f9960e9b5bce7e1babc0","1","1","307640","https://p.scdn.co/mp3-preview/16511f133ac729ed0d843174393348e2ea428c4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USUM71026190","spotify:user:11135692880","2020-07-27T10:26:15Z"
"spotify:track:2GYHyAoLWpkxLVa4oYTVko","Alors on danse - Radio Edit","spotify:artist:5j4HeCoUlzhfWtjAfM1acR","Stromae","spotify:album:4kEbcH3VT6NYfpv8Wkkk80","Cheese","spotify:artist:5j4HeCoUlzhfWtjAfM1acR","Stromae","2010-01-01","https://i.scdn.co/image/ab67616d0000b273ae373174b14e3eac81554402","1","5","206066","https://p.scdn.co/mp3-preview/a18b8b8a229056bd4c42271163c5019845f07ecd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","FRUM70902424","spotify:user:11135692880","2020-07-27T10:26:18Z"
"spotify:track:2cZrrQMjB63c0iIugYH9zS","Rain Over Me (feat. Marc Anthony)","spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:4wLXwxDeWQ8mtUIRPxGiD6","Pitbull, Marc Anthony","spotify:album:4rG0MhkU6UojACJxkMHIXB","Planet Pit (Deluxe Version)","spotify:artist:0TnOYISbd1XYRBk9myaseg","Pitbull","2011-06-17","https://i.scdn.co/image/ab67616d0000b2731dc7483a9fcfce54822a2f19","1","3","231573","https://p.scdn.co/mp3-preview/17dbff2716beb1cdb794d86ce46373cab0eb2782?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","USJAY1100071","spotify:user:11135692880","2020-07-27T10:26:23Z"
"spotify:track:3bC1ahPIYt1btJzSSEyyrF","Whistle","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","spotify:album:7eLwoxxWs6lfkVYJGkGNbk","Wild Ones","spotify:artist:0jnsk9HBra6NMjO2oANoPY","Flo Rida","2012-06-22","https://i.scdn.co/image/ab67616d0000b273871d85943145dde548f4ae09","1","1","224653","https://p.scdn.co/mp3-preview/ea7012e8d63798a9bd4ec40e566cb81c5955d18f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USAT21201745","spotify:user:11135692880","2020-07-27T10:26:29Z"
"spotify:track:1QV6tiMFM6fSOKOGLMHYYg","Poker Face","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","spotify:album:1qwlxZTNLe1jq3b0iidlue","The Fame","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2008-01-01","https://i.scdn.co/image/ab67616d0000b273e691217483df8798445c82e2","1","4","237200","https://p.scdn.co/mp3-preview/36abf77572983417d63a3aed8923d00e07167efa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USUM70824409","spotify:user:11135692880","2020-07-27T10:26:33Z"
"spotify:track:0R7YVi7w41Dr9jU5vblAok","Sweat - Remix","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Snoop Dogg, David Guetta","spotify:album:7i3ZUKLj6bszovw4IfRECy","Sweat (Snoop Dogg Vs. David Guetta) [Remix]","spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:1Cs0zKBU1kc0i8ypK3B9ai","Snoop Dogg, David Guetta","2011-01-01","https://i.scdn.co/image/ab67616d0000b2739fa2954cdefd83d439a1e7ac","1","1","195986","https://p.scdn.co/mp3-preview/58b317d9747108381887d51e6f80034836bf4efc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USCA21100463","spotify:user:11135692880","2020-07-27T10:27:19Z"
