"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6GmUVqe73u5YRfUUynZK6I","Let Her Go","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","spotify:album:2sRnJq6dfXdqhIflBk0ve1","All the Little Lights","spotify:artist:0gadJ2b9A4SKsB1RFkBb66","Passenger","2012-06-29","https://i.scdn.co/image/ab67616d0000b273d06310a3394748073b66fbda","1","2","252733","https://p.scdn.co/mp3-preview/e0faba1e76516cba5782ab915e948e8d901c61e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBMQN1200012","spotify:user:11135692880","2018-07-12T03:17:02Z"
"spotify:track:1PzoM54jr13a5eUfCycMKc","Radioactive","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1zcNZa89FXNruaesVKiVeu","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273ef2e4d695cb2d76681855b8f","1","1","186813","https://p.scdn.co/mp3-preview/10a6946f6466990d6ffee5821d745999c1492932?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","USUM71201074","spotify:user:11135692880","2018-07-12T03:18:00Z"
"spotify:track:34LmQQTM1kDf6teUK3g8HI","It's Time","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1zcNZa89FXNruaesVKiVeu","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273ef2e4d695cb2d76681855b8f","1","3","237986","https://p.scdn.co/mp3-preview/390931351d05dfaf8a423f0981d1dc754f02a353?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","USUM71200987","spotify:user:11135692880","2018-07-12T03:18:00Z"
"spotify:track:05p7wWoGLZIhU0xqWnc9rJ","On Top Of The World","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1zcNZa89FXNruaesVKiVeu","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273ef2e4d695cb2d76681855b8f","1","5","189840","https://p.scdn.co/mp3-preview/63c233fd86794fed3c0b3a3ba5e1e4916e1a23bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","USUM71201073","spotify:user:11135692880","2018-07-12T03:18:00Z"
"spotify:track:4WBQU5WahWIWemPW1V0xzx","Underdog","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1zcNZa89FXNruaesVKiVeu","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273ef2e4d695cb2d76681855b8f","1","10","206706","https://p.scdn.co/mp3-preview/2e78d645e946c10ee3e9d9051f3fd0ddc26b529f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USUM71208577","spotify:user:11135692880","2018-07-12T03:18:39Z"
"spotify:track:6ylX22DkpS7JtoXWJFMA58","Working Man","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","spotify:album:1zcNZa89FXNruaesVKiVeu","Night Visions (Deluxe)","spotify:artist:53XhwfbYqKCa1cC15pYq2q","Imagine Dragons","2012-09-04","https://i.scdn.co/image/ab67616d0000b273ef2e4d695cb2d76681855b8f","1","13","235080","https://p.scdn.co/mp3-preview/52017190b133ea4503cb50f8456fc591051c416a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USUM71208825","spotify:user:11135692880","2018-07-12T03:18:39Z"
"spotify:track:4kbj5MwxO1bq9wjT5g9HaA","Shut Up and Dance","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:3mNoFlD1wsoXfkljfFzExT","TALKING IS HARD","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2014-12-02","https://i.scdn.co/image/ab67616d0000b27343294cfa2688055c9d821bf3","1","3","199080","https://p.scdn.co/mp3-preview/4309fadd9a0d573c1fafcca507e024b3bb51266b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USRC11401949","spotify:user:11135692880","2018-07-12T03:19:05Z"
"spotify:track:0Dho96aJIZ5LJZXyPllbWA","Best Day Of My Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","spotify:album:08QA1LIBYfgH1j3yfnjY1O","Oh, What A Life","spotify:artist:0MlOPi3zIDMVrfA9R04Fe3","American Authors","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e6783529de099fe195c4cd2d","1","3","194186","https://p.scdn.co/mp3-preview/7069dc1e5a09fe5f4f3d79bfafa6a6c4b722e7f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USUM71302187","spotify:user:11135692880","2018-07-12T03:19:20Z"
"spotify:track:5TvE3pk05pyFIGdSY9j4DJ","Say Something","spotify:artist:5xKp3UyavIBUsGy3DQdXeF, spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","A Great Big World, Christina Aguilera","spotify:album:3kwbwO3wtwyNo7zCFzWkcW","Is There Anybody Out There? - Track by Track Commentary","spotify:artist:5xKp3UyavIBUsGy3DQdXeF","A Great Big World","2014-01-13","https://i.scdn.co/image/ab67616d0000b2739e2acbb00244d6da17edb0cf","1","25","229400","https://p.scdn.co/mp3-preview/0178f39b1dd08aa1111138fa775c7b8826cdee7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USSM11306713","spotify:user:11135692880","2018-07-12T03:19:35Z"
"spotify:track:49Iyikt59PD6VtmNDqg7e8","Goldrushed","spotify:artist:7LAucJAvbQa7ZIA0qP8YI2","The Royal Concept","spotify:album:4o7rdd2fYeSEXcTJLzpvsg","Royal","spotify:artist:7LAucJAvbQa7ZIA0qP8YI2","The Royal Concept","2013-01-01","https://i.scdn.co/image/ab67616d0000b2733bc47ac1a554534c7f067909","1","6","227080","https://p.scdn.co/mp3-preview/ef0766f90115c85c444a50414f8b2f4d08e0f01b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","USUM71312286","spotify:user:11135692880","2018-07-12T03:20:05Z"
