"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4TyY4vah59nsckspWdSGPn","No Lie","spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:3TVXtAsR1Inumwj472S9r4","2 Chainz, Drake","spotify:album:62LtCWORi6w9y8qwK6kD1L","No Lie","spotify:artist:17lzZA2AlOHwCwFALHttmp","2 Chainz","2012-01-01","https://i.scdn.co/image/ab67616d0000b27399bcf0488c5f8b6ad59dabc0","1","1","239186","https://p.scdn.co/mp3-preview/cd3b148540b80eebe4dcee607b05537989751962?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71204666","spotify:user:11135692880","2019-03-28T00:33:49Z"
"spotify:track:0uFvvXbmGIXlf5ZgtHyYpf","Bugatti","spotify:artist:31HjiqargV4NAw4GZqUale, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Ace Hood, Future, Rick Ross","spotify:album:2JG7yt9ua7hKWsfVLQr90j","Trials & Tribulations","spotify:artist:31HjiqargV4NAw4GZqUale","Ace Hood","2013-01-01","https://i.scdn.co/image/ab67616d0000b27398f22f2fe6b8b1b06ea5cd17","1","11","269266","https://p.scdn.co/mp3-preview/aee7ce1be1095f324d37970d47ebbe536e90b3ea?cid=9950ac751e34487dbbe027c4fd7f8e99","true","1","USCM51300013","spotify:user:11135692880","2019-03-28T00:35:45Z"
"spotify:track:4X5f3vT8MRuXF68pfjNte5","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar","spotify:album:6rzMufuu8sLkIizM4q9c7J","LONG.LIVE.A$AP (Deluxe Version)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","2013","https://i.scdn.co/image/ab67616d0000b2732ae92030b51fb8135d694af9","1","7","233786","https://p.scdn.co/mp3-preview/77d6e84f7d33f7d05d9445953938adcc9b4600b2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","USRC11201220","spotify:user:11135692880","2019-03-28T00:35:47Z"
"spotify:track:03tqyYWC9Um2ZqU0ZN849H","No Hands (feat. Roscoe Dash & Wale)","spotify:artist:6f4XkbvYlXMH0QgVRzW0sM, spotify:artist:0bfX8pF8kuHNCs57Ms4jZb, spotify:artist:67nwj3Y5sZQLl72VNUHEYE","Waka Flocka Flame, Roscoe Dash, Wale","spotify:album:6MQtWELG7aRX7CkAzQ6nLM","Flockaveli","spotify:artist:6f4XkbvYlXMH0QgVRzW0sM","Waka Flocka Flame","2010-10-01","https://i.scdn.co/image/fade577145599daff924bb7b28386a84f67bd1db","1","5","263773","https://p.scdn.co/mp3-preview/862ad595b0c10e822e3cb283e459060919c8ca52?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USWB11002103","spotify:user:11135692880","2019-03-28T00:35:56Z"
"spotify:track:02pf9lLM8Nb8l4u4ts1GWb","My Nigga","spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:4yBK75WVCQXej1p04GWqxH, spotify:artist:5lHRUCqkQZCIWeX7xG4sYT","YG, Jeezy, Rich Homie Quan","spotify:album:4F6GGyqtJoF4EOxDgsKzsB","My Krazy Life (Deluxe)","spotify:artist:0A0FS04o6zMoto8OKPsDwY","YG","2014-01-01","https://i.scdn.co/image/ab67616d0000b273285717d8be1761dc136572b6","1","7","235600","https://p.scdn.co/mp3-preview/cdefaab9e5653917fd2a65dce9474adc93579618?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71308285","spotify:user:11135692880","2019-03-28T00:35:58Z"
"spotify:track:7FYH5AW3bVfZHJIQpq3UOA","I Don't Fuck With You","spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:3crnzLy8R4lVwaigKEOz7V","Big Sean, E-40","spotify:album:1j2x7FJXTgUT0X5hZ8TDXE","Dark Sky Paradise","spotify:artist:0c173mlxpT3dSFRgMO8XPh","Big Sean","2015-02-23","https://i.scdn.co/image/ab67616d0000b27350192d5f728fea13fb3af203","1","4","284386","https://p.scdn.co/mp3-preview/89a99eecb0d0b8d5f8d1c4257d0e26a6b50b58cd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USUM71414033","spotify:user:11135692880","2019-03-28T00:35:59Z"
"spotify:track:19gEmPjfqSZT0ulDRfjl0m","Hot N*gga","spotify:artist:34Y0ldeyUv7jBvukWOGASO","Bobby Shmurda","spotify:album:5ptl9Sheh9eWaogxFOZ3PV","Hot N*gga","spotify:artist:34Y0ldeyUv7jBvukWOGASO","Bobby Shmurda","2014-07-25","https://i.scdn.co/image/ab67616d0000b273d52e14e0595216ca453572ab","1","1","194561","https://p.scdn.co/mp3-preview/5131754170f315eb19b3fad75db4b6d8c38e2278?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USSM11405787","spotify:user:11135692880","2019-03-28T00:36:01Z"
"spotify:track:4scpF6J5uMBvoh6sFB7EL1","No Type","spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","spotify:album:6eDx949ONWDCN0O22wFZf7","SremmLife","spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","2015-01-06","https://i.scdn.co/image/ab67616d0000b2734ca3fb4517ff722918877460","1","10","200080","https://p.scdn.co/mp3-preview/2146820b2eedde25cb889c37783d0b49fcd82cdd?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USUM71413477","spotify:user:11135692880","2019-03-28T00:36:02Z"
"spotify:track:1ULa3GfdMKs0MfRpm6xVlu","We Dem Boyz","spotify:artist:137W8MRPWKqSmrBGDBFSop","Wiz Khalifa","spotify:album:2pl9PVgr8QFKRGY0HY69GI","Blacc Hollywood (Deluxe)","spotify:artist:137W8MRPWKqSmrBGDBFSop","Wiz Khalifa","2014-08-19","https://i.scdn.co/image/ab67616d0000b27327ed4f26fa2bfbd714dba7dd","1","2","224933","https://p.scdn.co/mp3-preview/da099611df3124747384a067e6e69a31dce1ada2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","USAT21400212","spotify:user:11135692880","2019-03-28T00:36:11Z"
"spotify:track:49zD0wr2S3d0lZPib0K4e1","Fuck Up Some Commas","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","spotify:album:0fUy6IdLHDpGNwavIlhEsl","DS2 - Deluxe","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Future","2015-07-17","https://i.scdn.co/image/ab67616d0000b273b2592bea12d840fd096ef965","1","18","237400","https://p.scdn.co/mp3-preview/e12c20b928d55ba60b0d12e5d9c40ef66f4d2557?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USSM11500953","spotify:user:11135692880","2019-03-28T00:36:13Z"
"spotify:track:07sOl7WsmCaUqaJaRn9Dss","Type of Way","spotify:artist:5lHRUCqkQZCIWeX7xG4sYT","Rich Homie Quan","spotify:album:0yPxW3ynZ8SWaBiJhzx4zI","Still Goin In - Reloaded","spotify:artist:5lHRUCqkQZCIWeX7xG4sYT","Rich Homie Quan","2013-04-30","https://i.scdn.co/image/ab67616d0000b273df70672116ec515dc6044361","1","18","261320","https://p.scdn.co/mp3-preview/dee9a75981e913318c1e95598ee575d03af22a92?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUYG1028245","spotify:user:11135692880","2019-03-28T00:36:14Z"
"spotify:track:2L8cFPItBljPNJgPjTnuIf","No Flex Zone","spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","spotify:album:6eDx949ONWDCN0O22wFZf7","SremmLife","spotify:artist:7iZtZyCzp3LItcw1wtPI3D","Rae Sremmurd","2015-01-06","https://i.scdn.co/image/ab67616d0000b2734ca3fb4517ff722918877460","1","3","231066","https://p.scdn.co/mp3-preview/56c77039ece177e40301a3286074e1c149c5a854?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","USUM71406157","spotify:user:11135692880","2019-03-28T00:36:28Z"
"spotify:track:1uDjaezEbalGyGnuH80zDK","Who Do You Love?","spotify:artist:0A0FS04o6zMoto8OKPsDwY, spotify:artist:3TVXtAsR1Inumwj472S9r4","YG, Drake","spotify:album:4F6GGyqtJoF4EOxDgsKzsB","My Krazy Life (Deluxe)","spotify:artist:0A0FS04o6zMoto8OKPsDwY","YG","2014-01-01","https://i.scdn.co/image/ab67616d0000b273285717d8be1761dc136572b6","1","10","233506","https://p.scdn.co/mp3-preview/533cc26c77aa98cda27d2264154d023c6b565605?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71400720","spotify:user:11135692880","2019-03-28T00:36:29Z"
