"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2klXG5NsPdTz6YPXTe9cTI","Honiro monster track","spotify:artist:5tBnK7LvBMgvkXuePtfywp, spotify:artist:1YzDKK9gJRBqqkL5wxQQTa, spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:4FTMyLkoEE9oEUpCv3Dr4p, spotify:artist:6ZwxWO5sIiXGPgUKjwyK5m, spotify:artist:3MkkSf3u5KU52Mb2iMrqeX","lowlow, Sercho, Gemitaiz, Briga, Luca J, MadMan","spotify:album:7CLTdy9cDLh1dI4loc2YvQ","Per sempre","spotify:artist:5tBnK7LvBMgvkXuePtfywp, spotify:artist:1YzDKK9gJRBqqkL5wxQQTa","lowlow, Sercho","2013-06-08","https://i.scdn.co/image/ab67616d0000b27354dee62c4c18f85ffbeefd1e","1","13","150500","https://p.scdn.co/mp3-preview/ebe5135dac15a20fc73d6fa2d386f6802e52e8a4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","24","FR6V81759902","spotify:user:11135692880","2019-08-12T02:02:19Z"
"spotify:track:7fH13hSOyNoeiDGbjEnTUC","Brivido","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Guè, Marracash","spotify:album:0LHWAAN1t9MHgpkPjdXrkW","Bravo Ragazzo (Royal Edition)","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2013-01-01","https://i.scdn.co/image/ab67616d0000b273780a8609d3adfe119da97aac","1","11","227693","https://p.scdn.co/mp3-preview/cc97e07c138cd61dba35506e7d7de46e970d1622?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","ITUM71300280","spotify:user:11135692880","2019-08-12T02:02:25Z"
"spotify:track:4kpAz34vx3pPPGaKdD3j6Q","S.A.L.M.O.","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","spotify:album:0d0xhfyP9VIZ8V9IsyvUdg","Midnite (Deluxe Version)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","2013-06-30","https://i.scdn.co/image/ab67616d0000b273458f5f9255b17db9b646ef16","1","7","235920","https://p.scdn.co/mp3-preview/738dd30e382581cb6edea17c570b77def3182194?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITDF41300007","spotify:user:11135692880","2019-08-12T02:02:28Z"
"spotify:track:4Dub4JaxFLCeb2NqFsLiZ2","Salvador Dalì","spotify:artist:5AZuEF0feCXMkUCwQiQlW7, spotify:artist:7F2utINZ6tSokSiZTQBE27","Marracash, Guè","spotify:album:2LLWEWdoQPndFp7cqwQYhV","Santeria","spotify:artist:5AZuEF0feCXMkUCwQiQlW7, spotify:artist:7F2utINZ6tSokSiZTQBE27","Marracash, Guè","2016-06-24","https://i.scdn.co/image/ab67616d0000b273fcdb056319eddf6f6f4b20da","1","5","245197","https://p.scdn.co/mp3-preview/a9bf873272a39676c86fe5e48e5a0c61ae828790?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITUM71600605","spotify:user:11135692880","2019-08-12T02:02:30Z"
"spotify:track:5wAArpW8e8QelgrJ8QyY3E","Bolla Papale Freestyle","spotify:artist:3MkkSf3u5KU52Mb2iMrqeX","MadMan","spotify:album:1AvKiJ8VeVQHPQsMtwLYBr","MM Vol. 2","spotify:artist:3MkkSf3u5KU52Mb2iMrqeX","MadMan","2016-11-11","https://i.scdn.co/image/ab67616d0000b27323f7ab1837bf06088ae8a927","1","2","126000","https://p.scdn.co/mp3-preview/01a319f283bc626a2a066b9ff7a007f68f85e722?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","ITDF41600040","spotify:user:11135692880","2019-08-12T02:03:24Z"
"spotify:track:7INUbNSkLTxJiqZ1FhNcxa","Rap in vena","spotify:artist:7u710e44HW3K7A5eTnRqHC","Fabri Fibra","spotify:album:5SrVqhNg8cC1ikzLSEnD6r","Mr. Simpatia (Remastered Version)","spotify:artist:7u710e44HW3K7A5eTnRqHC","Fabri Fibra","2004","https://i.scdn.co/image/ab67616d0000b2738b01bbe464444d7308ce3d22","1","8","227388","https://p.scdn.co/mp3-preview/78507dfe4b4833de2a9357511d8d3f7fb684795d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITC940400622","spotify:user:11135692880","2019-08-12T02:03:56Z"
"spotify:track:55ZUCvzkEPQPWXe45NjvY6","Yoko-ono","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","spotify:album:3StmlOv5fGGcEYCFCbmZ6y","The Island Chainsaw Massacre","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","2011-02-01","https://i.scdn.co/image/ab67616d0000b27365e7b81fd3b5911666dad8a4","1","12","212218","https://p.scdn.co/mp3-preview/b17c6d515ca1ff3f5dc3ac86952c3eed3c8d5a9f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","FR6V81106325","spotify:user:11135692880","2019-08-12T02:04:24Z"
"spotify:track:6PmqCw22rKTF2sFZhghyIS","Russell Crowe","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","spotify:album:0d0xhfyP9VIZ8V9IsyvUdg","Midnite (Deluxe Version)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","2013-06-30","https://i.scdn.co/image/ab67616d0000b273458f5f9255b17db9b646ef16","1","2","177640","https://p.scdn.co/mp3-preview/de9b180953be6355f1a7bbe2793bcf6190d350de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITDF41300002","spotify:user:11135692880","2019-08-12T02:04:52Z"
"spotify:track:49qQmrAuK7uV94rzfSOQEl","Killer Game (feat. Gemitaiz & Madman)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW, spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:3MkkSf3u5KU52Mb2iMrqeX","Salmo, Gemitaiz, MadMan","spotify:album:0d0xhfyP9VIZ8V9IsyvUdg","Midnite (Deluxe Version)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","2013-06-30","https://i.scdn.co/image/ab67616d0000b273458f5f9255b17db9b646ef16","1","6","261160","https://p.scdn.co/mp3-preview/f4f1da81ead4e103b20d3605c8072b7ed5182200?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITDF41300006","spotify:user:11135692880","2019-08-12T02:04:59Z"
"spotify:track:6qW6XHOnKCIHycv1Fse6lH","The Island (feat. Hell Raton, En?gma & Slait)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW, spotify:artist:6g5SF1Yz63eoPUnJgRHfrz, spotify:artist:5pbBGJlVCUzwmdfd1Q1tEX, spotify:artist:2KXYAKQTxHuUHDtVgeGn6w","Salmo, Hell Raton, En?gma, Slait","spotify:album:0d0xhfyP9VIZ8V9IsyvUdg","Midnite (Deluxe Version)","spotify:artist:3hBQ4zniNdQf1cqqo6hzuW","Salmo","2013-06-30","https://i.scdn.co/image/ab67616d0000b273458f5f9255b17db9b646ef16","1","14","222893","https://p.scdn.co/mp3-preview/54c10ddf62141262b4981557c80e1c48c7d11333?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITDF41300014","spotify:user:11135692880","2019-08-12T02:05:07Z"
