"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4MvXc0G6a7VXsJNSzEERXj","Armistice","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","spotify:album:6VDta3vxO3l3liDTqC121n","Wolfgang Amadeus Phoenix","spotify:artist:1xU878Z1QtBldR7ru9owdU","Phoenix","2009-10-18","https://i.scdn.co/image/ab67616d0000b273a24c096db3dc781c5cc5b599","1","10","184813","https://p.scdn.co/mp3-preview/108a46abd44a6707b7fde66518b6e049c3159a80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM70903484","spotify:user:","2010-10-22T09:46:07Z"
"spotify:track:29mD8ebcJHC8rjmiTyIw4a","Aerius Light","spotify:artist:75QkeG5yBHVCybZurCrMa8","Data","spotify:album:7f7NFZiSdVnoSY4k8SabIo","Skywriter","spotify:artist:75QkeG5yBHVCybZurCrMa8","Data","2009-05-25","https://i.scdn.co/image/ab67616d0000b273a5c17837e2101473537b52a4","1","3","283373","https://p.scdn.co/mp3-preview/dec482f644b31dee0be3b93c958672bc0197c6db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FR47Q0808700","spotify:user:","2010-10-22T09:48:17Z"
"spotify:track:24ZDnpE6kXoQTgGDAtotsx","When I Grow Up","spotify:artist:5hE6NCoobhyEu6TRSbjOJY","Fever Ray","spotify:album:4XqxgfhSejcuMsa1uPPQEi","Fever Ray","spotify:artist:5hE6NCoobhyEu6TRSbjOJY","Fever Ray","2009","https://i.scdn.co/image/ab67616d0000b2732d66f09a6568ef9317f0a082","1","2","269640","https://p.scdn.co/mp3-preview/83fa05ecfaa02f3b75194ac8b76b154e028609dc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEWCE0900202","spotify:user:","2010-10-22T09:49:38Z"
"spotify:track:5Srow15kZhCOe7NcWdqMsH","Theo","spotify:artist:7jfj9ixRtHfa8fB5sEi6rX","Apples","spotify:album:4DsjlWiNu1JRWyeTfeb3Nh","Theo / Caravan of Love","spotify:artist:7jfj9ixRtHfa8fB5sEi6rX","Apples","2010-05-24","https://i.scdn.co/image/ab67616d0000b273cf9f608fe4258cdefc7dd0c1","1","1","180629","https://p.scdn.co/mp3-preview/85611a79e29e30b6fcb12d06fdd8cb705d97dae9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","GB3VU1000004","spotify:user:","2010-10-22T09:50:46Z"
"spotify:track:1c5dZ7jjvFOPoi8XkotLFk","The Law of Life","spotify:artist:6ihTqrjBvMSgztCI4BTQCY","Elite Force","spotify:album:5D8RBwx7G5kvWlqgD8uI9k","Revamped","spotify:artist:6ihTqrjBvMSgztCI4BTQCY","Elite Force","2010-05-07","https://i.scdn.co/image/ab67616d0000b2732c48a43eaff7076a4412d972","1","7","419347","https://p.scdn.co/mp3-preview/7511adb3e67326d83176430dbe9d7bce3fe6ee78?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEZ651004378","spotify:user:","2010-10-22T09:51:14Z"
"spotify:track:6abAiB2OnZPHTQJzYRmcBm","Stop For A Minute","spotify:artist:53A0W3U0s8diEn9RhXQhVz, spotify:artist:7pGyQZx9thVa8GxMBeXscB","Keane, K'NAAN","spotify:album:18KE23JDvTcFEb6ucq4fH7","Stop For A Minute","spotify:artist:53A0W3U0s8diEn9RhXQhVz, spotify:artist:7pGyQZx9thVa8GxMBeXscB","Keane, K'NAAN","2010-04-05","https://i.scdn.co/image/ab67616d0000b273860f4659e334965a7937dfd9","1","1","246800","https://p.scdn.co/mp3-preview/805911ecd28a28c02ceac3d007374d498f100f10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71000082","spotify:user:","2010-10-22T09:51:42Z"
"spotify:track:6IIjmqaDdO6vdEBasXsCve","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","spotify:album:0LiajiUXzLDuQ21geqi4v4","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","2009-08-02","https://i.scdn.co/image/ab67616d0000b2739d20b50e52fc0972dafdc39e","1","1","234680","https://p.scdn.co/mp3-preview/dfceebf5063bd586908ce3ed6f9f9d18c6cd14a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBZUZ0900013","spotify:user:","2010-10-22T09:52:46Z"
"spotify:track:6O2mb54f6iWTzP6n5I0TJb","Celestica","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","spotify:album:7g0VARP23qVijZeTE1dioJ","Crystal Castles (II)","spotify:artist:7K3zpFXBvPcvzhj7zlGJdO","Crystal Castles","2010-01-01","https://i.scdn.co/image/ab67616d0000b2736f3cc80f1570cc28133a2553","1","2","230093","https://p.scdn.co/mp3-preview/5f714049c2c44d346e7fb3faf773c42c6cb2977a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71003565","spotify:user:","2010-10-22T09:55:08Z"
"spotify:track:5ZkeoKPoezUcGSOkil2Iue","The Reeling","spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Passion Pit","spotify:album:1ooLVHhUYstvazUoOtUPSn","Manners","spotify:artist:7gjAu1qr5C2grXeQFFOGeh","Passion Pit","2009-05-14","https://i.scdn.co/image/ab67616d0000b273cfcd54f5a6c6f5ed2a5da625","1","4","287906","https://p.scdn.co/mp3-preview/fc96bd9060ec9456d4682ffe9e9f2ba7924c949a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USSM10901009","spotify:user:","2010-10-22T09:55:26Z"
"spotify:track:421g9amcUikSqmfuG8EwON","Cousins","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:0zeAijecFGZOS4OaRdPVz5","Contra","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2010-01-11","https://i.scdn.co/image/ab67616d0000b2732efbbd3b97ac33268266b805","1","7","145266","https://p.scdn.co/mp3-preview/78a3ab2016c109c4543e9a9f47268e0221ec503e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBBKS0900321","spotify:user:","2010-10-22T09:56:13Z"
"spotify:track:5dKBaysNJtfpyNTRa5lqDb","A-Punk","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","spotify:album:5oXBmKbyJeQftWMo87cQ9F","Vampire Weekend","spotify:artist:5BvJzeQpmsdsFp4HGUYUEx","Vampire Weekend","2008-01-27","https://i.scdn.co/image/ab67616d0000b27301e2ebfbf4f8147621c8a866","1","3","137760","https://p.scdn.co/mp3-preview/3afe492f2ee66f7a77041a6a5c2a5f4b523fe3d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","GBBKS0700527","spotify:user:","2010-10-22T09:56:23Z"
"spotify:track:3o2xOrmdcksXPkNE4RNhzc","A.I.E. (A'Mwana)","spotify:artist:3TkRabTAQtkvrR0GA29GvN","Black Blood","spotify:album:6Z32gMgDxCzMOYxmwe1kxb","Best Of Disco","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2010-04-08","https://i.scdn.co/image/ab67616d0000b273127899d0b0986370a7e47724","1","15","172826","https://p.scdn.co/mp3-preview/aef6805711c609f1fef16ddd34388ada92c770cb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","DEA370908030","spotify:user:","2010-10-22T09:57:12Z"
"spotify:track:1lgq4u75rRSheTpdkOJ9lI","Marcha De la Vida","spotify:artist:2rmMyZC0sUD1a3jkDxp7iY","Balkan Beat Box","spotify:album:4dlXkLorsBNiBgN9Id7TTF","Blue Eyed Black Boy","spotify:artist:2rmMyZC0sUD1a3jkDxp7iY","Balkan Beat Box","2010-03-08","https://i.scdn.co/image/ab67616d0000b27305f6017c729fe9b7c88250f3","1","4","248346","https://p.scdn.co/mp3-preview/3c4e588745201ae23491888753216a0d30e9ec0f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","BE6F50901140","spotify:user:","2010-10-22T09:57:50Z"
"spotify:track:0AJNUC7bhYVfyVZdeQZ30H","Roda Piao","spotify:artist:5lYcr7Yue9FUB7MJDBtTJx","Azymuth","spotify:album:3wqcLeCqVlOdUzu9NtLNJO","4hero Presents Brazilika (Special Edition)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2006-07-24","https://i.scdn.co/image/ab67616d0000b27380ef2a4678d6719c3a11ddef","1","8","366160","https://p.scdn.co/mp3-preview/e5b769c1a54a7d0607e5cbde415f66f99f524685?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBDCR0400419","spotify:user:","2010-10-22T09:59:06Z"
