"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5Ohxk2dO5COHF1krpoPigN","Sign of the Times","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","spotify:album:1FZKIm3JVDCxTchXDo5jOV","Harry Styles","spotify:artist:6KImCVD70vtIoJWnq6nGn3","Harry Styles","2017-05-12","https://i.scdn.co/image/ab67616d0000b2736c619c39c853f8b1d67b7859","1","2","340706","https://p.scdn.co/mp3-preview/3f885fdef493aadb403fc2657a605d2f5623b111?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USSM11703595","spotify:user:11135692880","2019-03-09T11:48:09Z"
"spotify:track:48QmG1dfvMuYLxMPt7KSRA","No Lie","spotify:artist:3Isy6kedDrgPYoTS1dazA9, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Sean Paul, Dua Lipa","spotify:album:5xrOcCoO3jkXRjHQjfESM6","Mad Love The Prequel","spotify:artist:3Isy6kedDrgPYoTS1dazA9","Sean Paul","2018-06-29","https://i.scdn.co/image/ab67616d0000b2732d564195ed3dd7b70d64862c","1","9","221176","https://p.scdn.co/mp3-preview/0b1470b0e3c1296bb453227563724ec236892077?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBUM71604557","spotify:user:11135692880","2019-03-09T11:48:17Z"
"spotify:track:1j4kHkkpqZRBwE0A4CN4Yv","Dusk Till Dawn (feat. Sia) - Radio Edit","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","ZAYN, Sia","spotify:album:5l5gR4rh26QI3fijGFTDrp","Dusk Till Dawn (feat. Sia) [Radio Edit]","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","ZAYN, Sia","2017-09-07","https://i.scdn.co/image/ab67616d0000b27323852b7ef0ecfe29d38d97ee","1","1","239000","https://p.scdn.co/mp3-preview/7fa8376aeb69dfe202ea1ad7fadd717bf895d950?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USRC11702155","spotify:user:11135692880","2019-03-09T11:48:27Z"
"spotify:track:155EsNGoXo7XSVF84oTPam","There You Are","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","spotify:album:37PlDQrSCWOiQlrA1AvUqx","Icarus Falls","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2018-12-13","https://i.scdn.co/image/ab67616d0000b273280e7ef211bcc2f0989eeb19","1","11","199600","https://p.scdn.co/mp3-preview/a45caf3acf3e104da9629373a32882297d4b83e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USRC11803754","spotify:user:11135692880","2019-03-09T11:48:36Z"
"spotify:track:6yIdwnpDHufLWgQcveTPMk","I Don’t Wanna Live Forever (Fifty Shades Darker)","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:06HL4z0CvFAxyc27GXpf02","ZAYN, Taylor Swift","spotify:album:2i54PoQ1ENZSYsZZE8haRr","I Don’t Wanna Live Forever (Fifty Shades Darker)","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:06HL4z0CvFAxyc27GXpf02","ZAYN, Taylor Swift","2016-12-09","https://i.scdn.co/image/ab67616d0000b273030af18a6a1612a6b880b4ea","1","1","245200","https://p.scdn.co/mp3-preview/91604dc22ce61d069ee8b445fa7ab9c18f51f8ad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USQ4E1602586","spotify:user:11135692880","2019-03-09T11:48:40Z"
"spotify:track:0PDUDa38GO8lMxLCRc4lL1","PILLOWTALK","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","spotify:album:5amj9zNeZ3B2EdpBgXrOZ0","Mind Of Mine (Deluxe Edition)","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2016-03-25","https://i.scdn.co/image/ab67616d0000b273a15e26d05b7ce776b566579d","1","2","202746","https://p.scdn.co/mp3-preview/79a481c433e9d7681e09bba4d256dd7eadd5f540?cid=9950ac751e34487dbbe027c4fd7f8e99","true","78","USRC11600042","spotify:user:11135692880","2019-03-09T11:48:47Z"
"spotify:track:7ef4DlsgrMEH11cDZd32M6","One Kiss (with Dua Lipa)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Calvin Harris, Dua Lipa","spotify:album:7GEzhoTiqcPYkOprWQu581","One Kiss (with Dua Lipa)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Calvin Harris, Dua Lipa","2018-04-06","https://i.scdn.co/image/ab67616d0000b273d09f96d82310d4d77c14c108","1","1","214846","https://p.scdn.co/mp3-preview/0c09da1fe6f1da091c05057835e6be2312e2dc18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1800368","spotify:user:11135692880","2019-03-09T11:49:18Z"
"spotify:track:5N4erncE7kuUccm7zEmwzk","Electricity","spotify:artist:2X97ZAqRKRMYFIDqtvGgGc, spotify:artist:6M2wZ9GZgrQXHCFfjv46we, spotify:artist:3hv9jJF3adDNsBSIQDqcjp, spotify:artist:5fMUXHkw8R8eOP2RNVYEZX","Silk City, Dua Lipa, Mark Ronson, Diplo","spotify:album:429B3se6xtZuvblNnS2iy7","Electricity","spotify:artist:2X97ZAqRKRMYFIDqtvGgGc, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Silk City, Dua Lipa","2018-09-06","https://i.scdn.co/image/ab67616d0000b273a334001297c78a5da11d5b58","1","1","238173","https://p.scdn.co/mp3-preview/6b0dfe43cd0281a9c49f790fb581fe482176c9f8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USQX91802285","spotify:user:11135692880","2019-03-09T11:49:37Z"
"spotify:track:76cy1WJvNGJTj78UqeA5zr","IDGAF","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc","1","5","217946","https://p.scdn.co/mp3-preview/5338a987bfe51f8365bf43b899ecd8a83df83226?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","GBAHT1600301","spotify:user:11135692880","2019-03-09T11:49:41Z"
"spotify:track:2ekn2ttSfGqwhhate0LSR0","New Rules","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc","1","10","209320","https://p.scdn.co/mp3-preview/e4f2ca20fc8aea1eb592d613d7a4b4da6012eaa2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","GBAHT1600310","spotify:user:11135692880","2019-03-09T11:49:48Z"
"spotify:track:3ebXMykcMXOcLeJ9xZ17XH","Scared to Be Lonely","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Martin Garrix, Dua Lipa","spotify:album:2v9rQe4F8fVSh5v8bAq0jF","Scared to Be Lonely","spotify:artist:60d24wfXkVzDSfLS6hyCjZ, spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Martin Garrix, Dua Lipa","2017-01-27","https://i.scdn.co/image/ab67616d0000b27364f8a309aa3c0a66a31fc374","1","1","220883","https://p.scdn.co/mp3-preview/49e6a27ef1e85764d5758ae6238f003601a53d7d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","NLM5S1600025","spotify:user:11135692880","2019-03-09T11:49:53Z"
"spotify:track:7FCfMXYTIiQ9b4hDYs4Iol","Be the One","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc","1","4","202914","https://p.scdn.co/mp3-preview/63f74b93242c7a4f1794f387413742ac5532ce38?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","GBAHT1500573","spotify:user:11135692880","2019-03-09T11:49:58Z"
"spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg","Don't Start Now","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:0ix3XtPV1LwmZADsprKxcp","Don't Start Now","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2019-10-31","https://i.scdn.co/image/ab67616d0000b273c35ea649223a519a9ad51ccf","1","1","183290","https://p.scdn.co/mp3-preview/87258da8a9eb8d0a0d53071e06612955e6d3b28f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAHT1901121","spotify:user:11135692880","2020-02-29T03:42:23Z"
"spotify:track:5px6upUHM3fhOP621Edp4V","Physical","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:5Vzq1wKBUXMxEZl3NPjJpS","Physical","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2020-01-30","https://i.scdn.co/image/ab67616d0000b273537e007e6eebfc945d9361f7","1","1","193829","https://p.scdn.co/mp3-preview/cef21e04a9987e7f988f96eec4cc161671735563?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAHT1901298","spotify:user:11135692880","2020-02-29T03:42:23Z"
"spotify:track:1fF9w1hapJKALsOQ6yTcxg","Homesick","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:0obMz8EHnr3dg6NCUK4xWp","Dua Lipa (Complete Edition)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2018-10-19","https://i.scdn.co/image/ab67616d0000b273ae395b47b186c2bc8c458e0f","1","12","230480","https://p.scdn.co/mp3-preview/0cae84628b4b1a67a2a48e5632450670c7c53f08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","GBAHT1600312","spotify:user:11135692880","2020-02-29T03:42:39Z"
"spotify:track:6FZDfxM3a3UCqtzo5pxSLZ","Without Me","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","spotify:album:68enXe5XcJdciSDAZr0Alr","Manic","spotify:artist:26VFTg2z8YR0cCuwLzESi2","Halsey","2020-01-17","https://i.scdn.co/image/ab67616d0000b2737636e1c9e67eaafc9f49aefd","1","9","201660","https://p.scdn.co/mp3-preview/5a1fa6d4a461d97efcb6af9c93701f19caead29f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM71813499","spotify:user:11135692880","2020-04-17T22:51:26Z"
"spotify:track:2cEmWBBlCfR9wWrY9JmTyt","Let Me","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","spotify:album:1DF9B2hfwX4EdgEFwGcRwh","Icarus Falls","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2018-12-14","https://i.scdn.co/image/ab67616d0000b2732bdcb339402ebd78651f09c8","1","1","185373","https://p.scdn.co/mp3-preview/89a6f587388384749874d1cfdde5519e967905ba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USRC11800871","spotify:user:11135692880","2022-03-15T08:05:28Z"
"spotify:track:1rIKgCH4H52lrvDcz50hS8","Lush Life","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","spotify:album:5YLRVHDVRw3QqWbeTGpC5B","So Good","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","2017-03-17","https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3","1","2","201122","https://p.scdn.co/mp3-preview/2f14e67d9660815897317b300241b228e40bcd97?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","SEWEE1500509","spotify:user:11135692880","2022-03-15T08:05:51Z"
"spotify:track:6hmhG1b4LEyNuashVvuIAo","Never Forget You","spotify:artist:1Xylc3o4UrD53lo9CvFvVg, spotify:artist:7uMh23xWiuR7zsNkuNcm2G","Zara Larsson, MNEK","spotify:album:5YLRVHDVRw3QqWbeTGpC5B","So Good","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","2017-03-17","https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3","1","7","213427","https://p.scdn.co/mp3-preview/ee5474924adea2b97280f2000afdf50eda3f6e4d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","SEWEE1500801","spotify:user:11135692880","2022-03-15T08:05:51Z"
"spotify:track:0ADG9OgdVTL7fgREP75BrZ","Ain't My Fault","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","spotify:album:5YLRVHDVRw3QqWbeTGpC5B","So Good","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","2017-03-17","https://i.scdn.co/image/ab67616d0000b2739e1683774b22648f4f178ed3","1","11","224030","https://p.scdn.co/mp3-preview/36a7a111cb896a601e8c5654e410f1994511d318?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USSM11607151","spotify:user:11135692880","2022-03-15T08:05:51Z"
"spotify:track:4nyY8oVjbX2d4qzlpiVM5n","Ruin My Life","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","spotify:album:79y7DSLFQH3907u4ysOMGr","Poster Girl","spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Zara Larsson","2021-03-05","https://i.scdn.co/image/ab67616d0000b273503b16348e47bc3c1c823eba","1","9","190050","https://p.scdn.co/mp3-preview/5b01bab7b3b704acfa996fb4bc46475a936b1d30?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USSM11807704","spotify:user:11135692880","2022-03-15T08:05:51Z"
"spotify:track:72gv4zhNvRVdQA0eOenCal","Symphony (feat. Zara Larsson)","spotify:artist:6MDME20pz9RveH9rEXvrOM, spotify:artist:1Xylc3o4UrD53lo9CvFvVg","Clean Bandit, Zara Larsson","spotify:album:1MvF4ulZKH7SaDQs9rE5nc","What Is Love? (Deluxe Edition)","spotify:artist:6MDME20pz9RveH9rEXvrOM","Clean Bandit","2018-11-30","https://i.scdn.co/image/ab67616d0000b27337fb0680110fbb107740de5d","1","1","212733","https://p.scdn.co/mp3-preview/582525d17cae952887337a1fcdf0e4763bf9ad1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBAHS1700199","spotify:user:11135692880","2022-03-15T08:05:54Z"
"spotify:track:2eAAEa8pxKF7My0EO4rFgR","Blow Your Mind (Mwah)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc","1","6","178583","https://p.scdn.co/mp3-preview/51dcac61924cd7f0e8e14271d2c0eed4a4d4a326?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","GBAHT1600302","spotify:user:11135692880","2022-03-15T08:05:56Z"
"spotify:track:1CAksvEO6oRHd9bBKWAfuY","One Last Time","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","spotify:album:41zTgMSJC9mF6NyBkXXxZr","My Everything","spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Ariana Grande","2014-08-24","https://i.scdn.co/image/ab67616d0000b27334933308ad8af9d87cd504dc","1","3","197253","https://p.scdn.co/mp3-preview/93a6049d8bb02d00881a05bb06499c4042a25969?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","USUM71409723","spotify:user:11135692880","2022-03-15T08:06:00Z"
"spotify:track:08bNPGLD8AhKpnnERrAc6G","FRIENDS","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:1zNqDE7qDGCsyzJwohVaoX","Marshmello, Anne-Marie","spotify:album:1BmxOYHjQv1dKZRr13YRZM","FRIENDS","spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:1zNqDE7qDGCsyzJwohVaoX","Marshmello, Anne-Marie","2018-02-09","https://i.scdn.co/image/ab67616d0000b273569f64493ca55cd96fdee412","1","1","202620","https://p.scdn.co/mp3-preview/6245dd62009fbbe6c5479d10d5470024553d60d0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","74","GBAHS1800025","spotify:user:11135692880","2022-03-15T08:06:06Z"
"spotify:track:7DnAm9FOTWE3cUvso43HhI","Sweet but Psycho","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:26c7MmQ4w8EAvVLb4jilaM","Heaven & Hell","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","2020-09-18","https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7","1","16","187436","https://p.scdn.co/mp3-preview/fab7f8e87979878248e78a3cdb7e28222d45dcec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","USAT21802011","spotify:user:11135692880","2022-03-15T08:06:48Z"
"spotify:track:7a53HqqArd4b9NF4XAmlbI","Kings & Queens","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","spotify:album:26c7MmQ4w8EAvVLb4jilaM","Heaven & Hell","spotify:artist:4npEfmQ6YuiwW1GpUmaq3F","Ava Max","2020-09-18","https://i.scdn.co/image/ab67616d0000b2739a95e89d24214b94de36ccf7","1","3","162398","https://p.scdn.co/mp3-preview/dc90347787fa47daa898d4ffbfff36074d184d64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAT21906943","spotify:user:11135692880","2022-03-15T08:06:58Z"
"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","Closer","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey","spotify:album:0rSLgV8p5FzfnqlEk4GzxE","Closer","spotify:artist:69GGBxA162lTqCwzJG5jLp, spotify:artist:26VFTg2z8YR0cCuwLzESi2","The Chainsmokers, Halsey","2016-07-29","https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453","1","1","244960","https://p.scdn.co/mp3-preview/cfd565c4d3c621771e6d25d99749b9fc200e396c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USQX91601347","spotify:user:11135692880","2022-03-15T09:10:20Z"
