"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:02M6vucOvmRfMxTXDUwRXu","7/11","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2014-11-24","https://i.scdn.co/image/ab67616d0000b2730d1d6e9325275f104f8e33f3","2","1","213506","https://p.scdn.co/mp3-preview/eb76eac05516f263448d9f03a347d126a394f2ca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","USSM11408532","spotify:user:11135692880","2020-09-14T01:02:30Z"
"spotify:track:0FDzzruyVECATHXKHFs9eJ","A Sky Full of Stars","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","8","267866","https://p.scdn.co/mp3-preview/870ebba9927cd7c73467fc5772f398a8a8999344?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","GBAYE1400217","spotify:user:11135692880","2020-09-14T01:02:39Z"
"spotify:track:23khhseCLQqVMCIT1WMAns","Magic","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","2","285014","https://p.scdn.co/mp3-preview/bb218a3258eb112eca7bd22d2cdcd9f741b886c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAYE1400206","spotify:user:11135692880","2020-09-14T01:02:41Z"
"spotify:track:2bL2gyO6kBdLkNSkxXNh6x","Animals","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:2Auw0pTT6EcQdvHNimhLQI","V","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2014-09-02","https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c","1","2","231013","https://p.scdn.co/mp3-preview/c630a46d6c96188dccf761c6f33f25a1c98ad9c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71409576","spotify:user:11135692880","2020-09-14T01:03:45Z"
"spotify:track:2iuZJX9X9P0GKaE93xcPjk","Sugar","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:2Auw0pTT6EcQdvHNimhLQI","V","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2014-09-02","https://i.scdn.co/image/ab67616d0000b273442b53773d50e1b5369bb16c","1","5","235493","https://p.scdn.co/mp3-preview/f35cfb7e7207a1cf27ab3b0e3e07cb95c91440eb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USUM71410340","spotify:user:11135692880","2020-09-14T01:03:54Z"
"spotify:track:0puf9yIluy9W0vpMEUoAnN","Bang Bang","spotify:artist:2gsggkzM5R49q6jpPvazou, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Jessie J, Ariana Grande, Nicki Minaj","spotify:album:2rDIivxBafNKpgRqlzIRSb","Sweet Talker (Deluxe Version)","spotify:artist:2gsggkzM5R49q6jpPvazou","Jessie J","2014-10-10","https://i.scdn.co/image/ab67616d0000b273930f686fe89425c7b6bf9a7d","1","4","199386","https://p.scdn.co/mp3-preview/e6f9a45cb4bf45d8d041d999f5904ed1d248cc15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71409737","spotify:user:11135692880","2020-09-14T01:04:19Z"
"spotify:track:5EOFS4hG4TjvM8hUlj2BXv","Black Widow","spotify:artist:5yG7ZAZafVaAlMTeBybKAL, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Iggy Azalea, Rita Ora","spotify:album:3WUe1HRgE7qoUQ3oejofGf","The New Classic (Deluxe Version)","spotify:artist:5yG7ZAZafVaAlMTeBybKAL","Iggy Azalea","2014-01-01","https://i.scdn.co/image/ab67616d0000b273a67377dbc9afa69daf2a7ad8","1","10","209423","https://p.scdn.co/mp3-preview/b0f2ab2eaa91bb2a087bef66d514d8d449cc29d2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","36","GBUM71401093","spotify:user:11135692880","2020-09-14T01:04:48Z"
"spotify:track:3W3KtDwAIg3mAruSpnfG3Q","Fancy","spotify:artist:5yG7ZAZafVaAlMTeBybKAL, spotify:artist:25uiPmTg16RbhZWAqwLBy5","Iggy Azalea, Charli xcx","spotify:album:3WUe1HRgE7qoUQ3oejofGf","The New Classic (Deluxe Version)","spotify:artist:5yG7ZAZafVaAlMTeBybKAL","Iggy Azalea","2014-01-01","https://i.scdn.co/image/ab67616d0000b273a67377dbc9afa69daf2a7ad8","1","5","199938","https://p.scdn.co/mp3-preview/077ffd490b5c65dfdcdc9d77b2a4cb607a8563b9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","GBUM71400597","spotify:user:11135692880","2020-09-14T01:04:53Z"
"spotify:track:07nH4ifBxUB4lZcsf44Brn","Blame (feat. John Newman)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:34v5MVKeQnIo0CWYMbbrPf","Calvin Harris, John Newman","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","3","212960","https://p.scdn.co/mp3-preview/8cc0178f211851bea0780a38757d301509d20bd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBARL1400567","spotify:user:11135692880","2020-09-14T01:05:03Z"
"spotify:track:0ZmkjefPVLvloVSgtmRu5M","Faith","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","1","219200","https://p.scdn.co/mp3-preview/59d10daeb4e9d346ca7f4c34ed4b71e403f0e2f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","GBARL1401198","spotify:user:11135692880","2020-09-14T01:05:27Z"
"spotify:track:4J7CKHCF3mdL4diUsmW8lq","Under Control (feat. Hurts)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:4AVFqumd2ogHFlRbKIjp1t, spotify:artist:3w4VAlllkAWI6m0AV0Gn6a","Calvin Harris, Alesso, Hurts","spotify:album:48zisMeiXniWLzOQghbPqS","Motion","spotify:artist:7CajNmpbOovFoOoasH2HaY","Calvin Harris","2014-10-31","https://i.scdn.co/image/ab67616d0000b2738fba5806a323efd272677c4d","1","2","184280","https://p.scdn.co/mp3-preview/bdd2f974192fe8f02b1c195c64b825837d6efd8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBARL1301271","spotify:user:11135692880","2020-09-14T01:05:27Z"
