"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6UEJtAnGHnK5tVhoPHD6tU","Enjoy the Ride","spotify:artist:0Cd6nHYwecCNM1sVEXKlYr","Krewella","spotify:album:1Y7A8ZaZ9QyeeOa3uWQJqc","Get Wet","spotify:artist:0Cd6nHYwecCNM1sVEXKlYr","Krewella","2013-09-20","https://i.scdn.co/image/ab67616d0000b273f2b1c2ed52674e40d14cd6c4","1","4","211693","https://p.scdn.co/mp3-preview/b8624b18e40762e1bb6f3ac48dae067c7d1ca126?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USSM11304460","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:4eUMbFJ6l8UogwBENovA4v","Chasing Time","spotify:artist:0daugAjUgbJSqdlyYNwIbT, spotify:artist:16MsIlrZeMWpSAk1RlULB6","Vicetone, Daniel Gidlund","spotify:album:0N2gxrWBn154zyG6ROsir2","Chasing Time","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","2013-10-07","https://i.scdn.co/image/ab67616d0000b273f10bb58b45b1775d612bcc0e","1","1","203714","https://p.scdn.co/mp3-preview/762107cbba256ed9d355ccc3f9c07fa53647d77c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","NLF711310198","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:23NJT1BlVPnsf2hzqx4pGl","Army of Two - Kat Krazy Remix","spotify:artist:3whuHq0yGx60atvA2RCVRW, spotify:artist:60PKQFvtGXaQWYfVixrrDk","Olly Murs, Kat Krazy","spotify:album:5w4jsE2Ajcy16bPLLzmqLI","Army of Two","spotify:artist:3whuHq0yGx60atvA2RCVRW","Olly Murs","2013-03-22","https://i.scdn.co/image/d39fb33672b85239d097b26029226c633189ff0b","1","3","298546","https://p.scdn.co/mp3-preview/c2a6e996a7b2dac39174ff9bf496a99ef71abc36?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBARL1300272","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:5rA0Ba5zhIXG5uyLQbsiO4","City On A Hill","spotify:artist:22Co2b0ySbzU27wwKuvuxz, spotify:artist:68UapSCgGyRkYn154Pdzua","Moiez, Anoop Desai","spotify:album:36SUeSYbFtCVZSZKSSS3dZ","City On A Hill","spotify:artist:22Co2b0ySbzU27wwKuvuxz","Moiez","2013-11-24","https://i.scdn.co/image/ab67616d0000b2737f098ba75f705b1af05b8805","1","1","321323","https://p.scdn.co/mp3-preview/6aa1b651634be149456c42c2e54bac5d8235639b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBHAD1300269","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:7fDgrknRtmC7BSnbg59lql","Changes (feat. Holly Drummond)","spotify:artist:1hHhlYmo4C03IoCJ7RnpS2, spotify:artist:2zwLoBaOsn1egprJgHljml, spotify:artist:24O8Ftz6AqboC3Uawbiw4r","Eminence, RedMoon, Holly Drummond","spotify:album:5EBblW4f3p5u3nehNcKAAJ","Changes (feat. Holly Drummond)","spotify:artist:1hHhlYmo4C03IoCJ7RnpS2, spotify:artist:2zwLoBaOsn1egprJgHljml","Eminence, RedMoon","2013-09-30","https://i.scdn.co/image/ab67616d0000b273776aabaae368db292f220abe","1","1","365453","https://p.scdn.co/mp3-preview/612d7cc500b153b048e2c59a020dc10ecd8f1c08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21000314","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:5KygRdhRVFeVHtrXa8mixA","Here and Now (feat. Kerli) - EP Version","spotify:artist:1LOB7jTeEV14pHai6EXSzF, spotify:artist:4IFgewC2urR62Fwt7uAU03","Cash Cash, Kerli","spotify:album:0VabWJmDZmYbYZa6JwR45B","Overtime EP","spotify:artist:1LOB7jTeEV14pHai6EXSzF","Cash Cash","2013-10-29","https://i.scdn.co/image/ab67616d0000b273d6175103f19742aebbd17789","1","4","233906","https://p.scdn.co/mp3-preview/d4c4f6b3d849744b9f118444ec439e23ce06e489?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","USAT21303543","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:2ymrcVYXG8IOUsoqAOCaxz","Hideaway - EP Version","spotify:artist:1LOB7jTeEV14pHai6EXSzF","Cash Cash","spotify:album:0VabWJmDZmYbYZa6JwR45B","Overtime EP","spotify:artist:1LOB7jTeEV14pHai6EXSzF","Cash Cash","2013-10-29","https://i.scdn.co/image/ab67616d0000b273d6175103f19742aebbd17789","1","2","238406","https://p.scdn.co/mp3-preview/f5358cf3025224e253a3dd161e1cb2b97d399f00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","USAT21303541","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:4zmu7ZiwxBKA9IoyfrpmMg","Summer Ashes (Culture Code Remix) (Culture Code Remix)","spotify:artist:0iEQgB03UHGzSoaqXNj8sM, spotify:artist:5XuruQMEsXHJZ7AIREr8Yv, spotify:artist:2FF8wcGpikv5RFbAK1rvdZ","Kevin Drew, Taryn Manning, Culture Code","spotify:album:7apfmdhN5T9cZiHqljnsTV","Summer Ashes (Remix Compilation)","spotify:artist:0iEQgB03UHGzSoaqXNj8sM","Kevin Drew","2013-09-23","https://i.scdn.co/image/ab67616d0000b2739ee332181bc9358205807923","1","2","226285","https://p.scdn.co/mp3-preview/129a13d7d0ce731f151932bbc86a120fce6d812d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMWZB1304021","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:42tSvpy2XA7dWoHy5Ayd2z","The Warrior - Lush & Simon Remix","spotify:artist:0QBTemwybcZtXq7ikoM0wR, spotify:artist:0a3yBT4F09K3h2pjnkT5TY","Osen, Baha","spotify:album:0kqOOijvuos0sl4od6TbTh","Amsterdam 2013","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2013-10-06","https://i.scdn.co/image/ab67616d0000b2734b2a69a0ec3a5989e9b3dcaf","1","14","322500","https://p.scdn.co/mp3-preview/3f4efd17c1a6524c1c0922af9ea9a7d42d47011b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBHAD1300246","spotify:user:pivimkh","2015-01-04T19:57:15Z"
"spotify:track:2u0SSpdM9XNfzWAwoJWxzF","Destroy It - Urban Contact Remix","spotify:artist:0o9qzOHuHkGZ3xMFKpMFkC, spotify:artist:59ILWOZRLKTI8yy97BpeIk","Black Tiger Sex Machine, Urban Contact","spotify:album:3c09995DC9E2507GFgwmGO","Destroy It","spotify:artist:0o9qzOHuHkGZ3xMFKpMFkC","Black Tiger Sex Machine","2013-05-07","https://i.scdn.co/image/ab67616d0000b273bb7f47b9f2f9d3fc04bceec2","1","4","371672","https://p.scdn.co/mp3-preview/abd5e1f76c1e00dc0888c05ff9cc2df1b2a98c1a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","CA5KR1037438","spotify:user:pivimkh","2015-01-04T19:57:15Z"
