"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6sjK4ubJ4EnZo8gl8906bY","OK BOOMER (feat. Rosa Chemical) - prod. B-dope & Young Miles","spotify:artist:6jQZzWW3JlEtcRDSzFVKSP, spotify:artist:5gYADZXuZoaJwrwfAPbKuH","Nitro, Rosa Chemical","spotify:album:5o5QRBFg2JnD8FbMVSBWdO","GarbAge Evilution","spotify:artist:6jQZzWW3JlEtcRDSzFVKSP","Nitro","2021-02-12","https://i.scdn.co/image/ab67616d0000b27326da63a778ad157808ed3de1","1","5","200820","https://p.scdn.co/mp3-preview/1b0c6596f93b3dbb167cb6a2a9cfe1e89b9ba906?cid=9950ac751e34487dbbe027c4fd7f8e99","true","28","ITB002100108","spotify:user:11135692880","2021-03-12T00:54:45Z"
"spotify:track:3hPqLlx7T1fOnbzr8075wB","Vita Veloce Freestyle","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:5BNE7AF1Sp5bWiqtXpekFq","Guè, Dj Harsh","spotify:album:4sdNe8nbbjcEXfgJWoJj41","Vita Veloce Freestyle","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:5BNE7AF1Sp5bWiqtXpekFq","Guè, Dj Harsh","2020-12-16","https://i.scdn.co/image/ab67616d0000b2735b739e685df54e3083156be6","1","1","97297","https://p.scdn.co/mp3-preview/3bb22e031c21ea411746b0b218b37fb2e8ba6161?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","ITUM72001352","spotify:user:11135692880","2021-03-12T00:54:58Z"
"spotify:track:48NEryJWd2W3T6V6yKHzz6","Ti Levo Le Collane (feat. Paky)","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:1KQJOTeIMbixtnSWY4sYs2","Guè, Paky","spotify:album:7C9m0DdXdl0Z92bmv45BpX","Mr. Fini","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2020-06-25","https://i.scdn.co/image/ab67616d0000b273963f0516047f84b919c051a5","1","15","176000","https://p.scdn.co/mp3-preview/4c2d9591ca7c2909723d04c84dafe029a78f2b22?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITUM72000286","spotify:user:11135692880","2021-03-12T00:56:57Z"
"spotify:track:5yBlvyFKqO4LwkWI4aO2MI","Scarafaggio","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:6CKch2otN4SPznHf9ms5JF, spotify:artist:5ild2YybiTUOmUsZGP7AVo","Guè, Tony Effe, Il Profeta","spotify:album:4DZZcGnUYgaKU5mTfgHD5Q","Gentleman (The Complete Playlist)","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737b6351c7b098a606f88b8b7c","1","8","197333","https://p.scdn.co/mp3-preview/0f3f9f65f77cc30a3aa675db3b8568aaef11604b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ITUM71700598","spotify:user:11135692880","2021-03-12T00:57:54Z"
"spotify:track:7JdbrImqYaxmsWbcIUtXGv","Oro Giallo","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Guè, Luchè","spotify:album:4DZZcGnUYgaKU5mTfgHD5Q","Gentleman (The Complete Playlist)","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737b6351c7b098a606f88b8b7c","1","9","219906","https://p.scdn.co/mp3-preview/b194db6dec29072df704b4f3189ae6a8539f0dda?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","ITUM71700694","spotify:user:11135692880","2021-03-12T00:57:54Z"
"spotify:track:4iwCx1iG0hXJtz9kxiKSvh","T'Apposto","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","spotify:album:4DZZcGnUYgaKU5mTfgHD5Q","Gentleman (The Complete Playlist)","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737b6351c7b098a606f88b8b7c","1","11","194586","https://p.scdn.co/mp3-preview/b02411b3c4d10f51e8a04f2e6cd5d239a87e24fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","ITUM71700596","spotify:user:11135692880","2021-03-12T00:57:54Z"
"spotify:track:1bWx5iNCkYXsdfozi26g79","Trinità","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","spotify:album:4DZZcGnUYgaKU5mTfgHD5Q","Gentleman (The Complete Playlist)","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-09-22","https://i.scdn.co/image/ab67616d0000b2737b6351c7b098a606f88b8b7c","1","12","206853","https://p.scdn.co/mp3-preview/03829bb73ddeebe99f3a2feaef35a95735762d8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","ITUM71700279","spotify:user:11135692880","2021-03-12T00:57:54Z"
"spotify:track:6hcUMWNYcoRygbg7cdxrZL","POLKA","spotify:artist:5gYADZXuZoaJwrwfAPbKuH, spotify:artist:7rccKwEbDm4PjYBEZFEm3A","Rosa Chemical, Thelonious B.","spotify:album:4BNRm3qG2xkESILbn41dtX","FOREVER","spotify:artist:5gYADZXuZoaJwrwfAPbKuH","Rosa Chemical","2020-05-28","https://i.scdn.co/image/ab67616d0000b273fcdb60c5c30632093eb5f151","1","5","170851","https://p.scdn.co/mp3-preview/082a9a598192be74808a77fa820a67853be025f3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","ITDF62077026","spotify:user:11135692880","2021-03-12T00:58:17Z"
"spotify:track:6QOZTUnw9ACQG9dCCy2MMs","Relaxxx","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Guè, Marracash","spotify:album:5GJODuT7ScKILZGIwmMCW6","Gentleman","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2017-06-30","https://i.scdn.co/image/ab67616d0000b2732df142ae1a9bc420502ef056","1","6","208293","https://p.scdn.co/mp3-preview/75b7180aa34088b3ed067cf4f4c8b52b5b20d8d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITUM71700693","spotify:user:11135692880","2021-03-12T00:58:55Z"
"spotify:track:6ZCZjeYT8M0T6zFL9UdW6d","XDVRMX","spotify:artist:23TFHmajVfBtlRx5MXqgoz, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Sfera Ebbasta, Luchè, Marracash","spotify:album:45rG8pfk8nga2wfRcAqC9l","XDVR Reloaded","spotify:artist:23TFHmajVfBtlRx5MXqgoz","Sfera Ebbasta","2015-11-23","https://i.scdn.co/image/ab67616d0000b273a4d4c8c2b247bbb38ec6bc2a","1","14","202445","https://p.scdn.co/mp3-preview/e993c350b8e6f999a57490bfeeebe8cc82fa2a52?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","ITDF61699914","spotify:user:11135692880","2021-03-12T00:59:00Z"
