"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:45zvStEMsXp8z45OQRhWFJ","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5Qhn2FpGWmTjCuntF09j7g","American Idiot - Deluxe","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b2739079e678be6b947cc2b3b5c6","1","1","174320","https://p.scdn.co/mp3-preview/dfac967b275f7fe44e71e037f78c0e205515c78b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","USRE10400888","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:10lT3pp9QERGOWiIzLx4We","Jesus of Suburbia","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5Qhn2FpGWmTjCuntF09j7g","American Idiot - Deluxe","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b2739079e678be6b947cc2b3b5c6","1","2","548253","https://p.scdn.co/mp3-preview/fc8a8a10295cc9e69a2f3e781b119327440b1fe1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","USRE10400983","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:0HJRAM7Gt9jXskuXjZeFX3","Holiday / Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5Qhn2FpGWmTjCuntF09j7g","American Idiot - Deluxe","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b2739079e678be6b947cc2b3b5c6","1","3","493400","https://p.scdn.co/mp3-preview/8cc4f1c3b6d36c45a9f807231da160015c2714be?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","USRE10401218","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:3479kk78dx3GFt048Udq54","Wake Me up When September Ends","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5Qhn2FpGWmTjCuntF09j7g","American Idiot - Deluxe","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b2739079e678be6b947cc2b3b5c6","1","7","285653","https://p.scdn.co/mp3-preview/5f86a05f4cc118603a69b3773e131259c3322592?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USRE10400992","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:6L89mwZXSOwYl76YXfX13s","Basket Case","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:4uG8q3GPuWHQlRbswMIRS6","Dookie","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","1994-02-01","https://i.scdn.co/image/ab67616d0000b273db89b08034de626ebee6823d","1","7","181533","https://p.scdn.co/mp3-preview/f055a866d726bac8593f15953d772c631505df7e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USRE19900151","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:6nTiIhLmQ3FWhvrGafw2zj","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5dN7F9DV0Qg1XRdIgW8rke","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b27308a1b1e0674086d3f1995e1b","1","1","176346","https://p.scdn.co/mp3-preview/2e9359e821b18414235d870a4d2671f4337c8682?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USRE10400888","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:3ZffCQKLFLUvYM59XKLbVm","Wake Me up When September Ends","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5dN7F9DV0Qg1XRdIgW8rke","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b27308a1b1e0674086d3f1995e1b","1","7","285653","https://p.scdn.co/mp3-preview/acf215c01932347394d036999c4f0f12e9fcb66a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USRE10400992","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:6ORqU0bHbVCRjXm9AjyHyZ","Good Riddance (Time of Your Life)","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:3x2uer6Xh0d5rF8toWpRDA","Nimrod","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","1997-10-14","https://i.scdn.co/image/ab67616d0000b273da4f6706ae0f2501c61ce776","1","17","153466","https://p.scdn.co/mp3-preview/25e3289a356f376e09cc0089de4fcff05f1ec838?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USRE19700545","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:64yrDBpcdwEdNY9loyEGbX","21 Guns","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:1AHZd3C3S8m8fFrhFxyk79","21st Century Breakdown","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2009-05-15","https://i.scdn.co/image/ab67616d0000b273c2ced39899b0d67cd5a724fa","1","16","321093","https://p.scdn.co/mp3-preview/431b2787cb98a4dea90606248e0a835afbf6b6f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USRE10900679","spotify:user:11135692880","2017-05-15T23:38:34Z"
"spotify:track:0MsrWnxQZxPAcov7c74sSo","Holiday / Boulevard of Broken Dreams","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:5dN7F9DV0Qg1XRdIgW8rke","American Idiot","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","2004-09-21","https://i.scdn.co/image/ab67616d0000b27308a1b1e0674086d3f1995e1b","1","3","493400","https://p.scdn.co/mp3-preview/322f461996396ac53bbb8a33b459e352ddf5d2c0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","USRE10401218","spotify:user:11135692880","2017-05-15T23:38:34Z"
