"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2zYzOaECWTf16Hdp4bc8Zu","1234 POSSE (feat. Faneto, Artie 5ive, Astro, Niky Savage, Lito, Low-Red, Kid Yugi, RRARI DAL TACCO)","spotify:artist:4SRpFyqwIrO0xMX39HJnaU, spotify:artist:5oKFHzk5mSd5uJpod1D8aB, spotify:artist:51101YZl9bczaDPDfVHCB4, spotify:artist:2R4kNOwHUUsuDYhKsESVbF, spotify:artist:2pzFTbri7ew8mW2CbYpCNq, spotify:artist:4w9mPW732RnZkoqsy3lRsg, spotify:artist:3Es16vmqYL43ifHZR4YjbO, spotify:artist:6iE4D1r501drzd1fyM6z9N, spotify:artist:0EUR8jz8L936AEbV2Spkca, spotify:artist:30fnIb0InCgAp2IPY17nqd","Sadturs, KIID, Faneto, Artie 5ive, Astro, Niky Savage, Lito, Low-Red, Kid Yugi, RRARI DAL TACCO","spotify:album:7MyXBQdWCOgTzq4eORz0fe","NO REGULAR MUSIC (Deluxe)","spotify:artist:4SRpFyqwIrO0xMX39HJnaU, spotify:artist:5oKFHzk5mSd5uJpod1D8aB","Sadturs, KIID","2024-07-12","https://i.scdn.co/image/ab67616d0000b27333e52553f5086a3018f9a68d","1","4","278802","https://p.scdn.co/mp3-preview/fae33d3b7cbdbc759119ba7f834dbba2a1ced417?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","IT4U12400023","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5EPfp1edrw1vgxriqxLTlD","CAFFÈ AMARO","spotify:artist:30fnIb0InCgAp2IPY17nqd","RRARI DAL TACCO","spotify:album:0Mdda3X8mF2lghQGmEZCvV","CAFFÈ AMARO","spotify:artist:30fnIb0InCgAp2IPY17nqd","RRARI DAL TACCO","2024-09-06","https://i.scdn.co/image/ab67616d0000b273ed79048c891209c449dc9284","1","1","119850","https://p.scdn.co/mp3-preview/5cad405463a025dd8857c3c5c37e9c49ed22a172?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","ITYKP2400013","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:25xUkNnc4azNAsli0pCNU7","CASANOVA (feat. Artie 5ive)","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:2R4kNOwHUUsuDYhKsESVbF","Lazza, Artie 5ive","spotify:album:0wYy8LTZuhiAyvchPppHPj","LOCURA","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2024-09-19","https://i.scdn.co/image/ab67616d0000b27312b860c1df72545a88313518","1","10","171875","https://p.scdn.co/mp3-preview/2b001c86b6ea0d5f5328407686d8ef168bd83ce1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","ITUM72400981","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4mncSQeYC7c8J95glrH4LU","No Kizzy","spotify:artist:5PVCzkHVhVLRLadPdJUdXB, spotify:artist:0EUR8jz8L936AEbV2Spkca","18K, Kid Yugi","spotify:album:6mCi8Jod1d0F5U4AnF2Ziz","GROTTO","spotify:artist:5PVCzkHVhVLRLadPdJUdXB","18K","2022-10-14","https://i.scdn.co/image/ab67616d0000b273d45f5f547d26b627aec752e0","1","10","188460","https://p.scdn.co/mp3-preview/7e2e13c8d625a81b4d0a8e4be000f206f42c8dc4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITZRF2200039","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7j5nQHnFsiIn4sGpNMISht","No Pit Stop (feat. Kid Yugi)","spotify:artist:08ppjXEpROUgrG1X0DEquB, spotify:artist:0EUR8jz8L936AEbV2Spkca, spotify:artist:4PYZsCk6AeRr8VjtJ7z1RF","Nerissima Serpe, Kid Yugi, Fritu","spotify:album:5nxW9sJlywI1NGdLfaXMAN","Identità","spotify:artist:08ppjXEpROUgrG1X0DEquB","Nerissima Serpe","2023-11-30","https://i.scdn.co/image/ab67616d0000b273629312cfec61079f53a42d8a","1","10","155138","https://p.scdn.co/mp3-preview/f5cc5973ab38176932d22e1ebbbe3f1fb4b6d536?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITY8R2300036","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ceJa7d62wQ3eRBK589ALG","Gotham (feat. Kid Yugi)","spotify:artist:2K5nCggbhSZ00YCYP5qkZS, spotify:artist:0EUR8jz8L936AEbV2Spkca","Shiva, Kid Yugi","spotify:album:1moDP6neOAWuwU9YylMeOL","Milano Angels","spotify:artist:2K5nCggbhSZ00YCYP5qkZS","Shiva","2024-09-06","https://i.scdn.co/image/ab67616d0000b273b94d9d452e2fb58c761eb525","1","12","207346","https://p.scdn.co/mp3-preview/554526a30c2ed52c57fa1bc4c98ccacae2d6df07?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","ITDJ72400024","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2TOwRQ8fN69NDxXe3s602O","PER SEMPRE (feat. Bresh)","spotify:artist:2R4kNOwHUUsuDYhKsESVbF, spotify:artist:7FeObngbQ0GY3SojNwKdKn","Artie 5ive, Bresh","spotify:album:3QAPKcbmBIfyQUAwWvLap4","PER SEMPRE (feat. Bresh)","spotify:artist:2R4kNOwHUUsuDYhKsESVbF, spotify:artist:7FeObngbQ0GY3SojNwKdKn","Artie 5ive, Bresh","2024-09-11","https://i.scdn.co/image/ab67616d0000b2735426b38f57317bc7af7bd256","1","1","184848","https://p.scdn.co/mp3-preview/bb780f1501fe8558d9db4923b64e51b5ca2cfd93?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","ITTQB2400043","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3moH6gwEN3x5CxJRNffvPn","TOP SECRET (feat. Papa V)","spotify:artist:6iE4D1r501drzd1fyM6z9N, spotify:artist:0vAALEhfbmllIOX1t7k5KU, spotify:artist:4KXuowxUNZQRZC5CoY1Z2P, spotify:artist:0GxUrQrSthXbfwGGw9QKDh","Low-Red, Papa V, ilovethisbeat, Pherro","spotify:album:7CgOXOllcrg4B889ovCsPp","THE BIGGEST SBLAO","spotify:artist:6iE4D1r501drzd1fyM6z9N","Low-Red","2024-09-12","https://i.scdn.co/image/ab67616d0000b2733fe8d806c65d2be6dd0e45d9","1","2","180424","https://p.scdn.co/mp3-preview/b75f6c92ad7ce4804e282c3b725c05df73d87bba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","ITDF62377049","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2mYOlzLYN59STZaxAAWKwd","MARMOCCHIO (feat. Papa V, Jake La Furia)","spotify:artist:4SRpFyqwIrO0xMX39HJnaU, spotify:artist:5oKFHzk5mSd5uJpod1D8aB, spotify:artist:0vAALEhfbmllIOX1t7k5KU, spotify:artist:6JFRI91YaCXREGQYzHSnUH","Sadturs, KIID, Papa V, Jake La Furia","spotify:album:7MyXBQdWCOgTzq4eORz0fe","NO REGULAR MUSIC (Deluxe)","spotify:artist:4SRpFyqwIrO0xMX39HJnaU, spotify:artist:5oKFHzk5mSd5uJpod1D8aB","Sadturs, KIID","2024-07-12","https://i.scdn.co/image/ab67616d0000b27333e52553f5086a3018f9a68d","1","6","178758","https://p.scdn.co/mp3-preview/c697837186d0195f466735ed52aa63b1ed4373fb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","IT4U12400025","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2UCw0rBbkmZJIn3oQomFTT","Mogio","spotify:artist:5PVCzkHVhVLRLadPdJUdXB, spotify:artist:0wBVwV8gukXKLSrVjQVJTE, spotify:artist:0EUR8jz8L936AEbV2Spkca","18K, 4997, Kid Yugi","spotify:album:1zyXtWcVBCqJJW7jQTICEb","GROTTO INFERNO","spotify:artist:5PVCzkHVhVLRLadPdJUdXB","18K","2023-02-17","https://i.scdn.co/image/ab67616d0000b2739ddf8997a8f10d46a82e987f","1","4","190554","https://p.scdn.co/mp3-preview/f3334409a25b4b3523e0eadea62ad515381862b1?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","ITZRF2300007","spotify:user:","1970-01-01T00:00:00Z"
