"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1e4ZMHWU3wxRzeDtfITbhT","Acqua e sale","spotify:artist:2RaKpBVCLrHguQqQDcahYB","MINACELENTANO","spotify:album:0Rt7S2XQl18TGKLSaLHoL7","Mina/Celentano","spotify:artist:2RaKpBVCLrHguQqQDcahYB","MINACELENTANO","1998-01-01","https://i.scdn.co/image/ab67616d0000b2731b0abc6b4d36c4ee41922fdf","1","1","282360","https://p.scdn.co/mp3-preview/b3550d4390fbf159f9c4166288930bc231cb6465?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","CH1439800020","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7MMJa7cjMadOSR6CFWvB1x","La musica non c'è","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:3aKazjcDl544T21siS8lDp","Faccio un casino","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2017-05-05","https://i.scdn.co/image/ab67616d0000b27387f01b35a5806d46277a4316","1","6","222786","https://p.scdn.co/mp3-preview/bb32d935fab636353d29e6ebdb9e271296cf1386?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","ITNTP1700008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3Zax8Z673INL4qLg8R1Uma","Lontano Dal Tuo Sole","spotify:artist:54dqxLAclwu0QSaTwCyCaF","Neffa","spotify:album:2oarBkg3fyE0bQYUCEp72P","Sognando Contromano","spotify:artist:54dqxLAclwu0QSaTwCyCaF","Neffa","2009-06-01","https://i.scdn.co/image/ab67616d0000b27349abdceea0db74dc2f73665f","1","2","220973","https://p.scdn.co/mp3-preview/548fc2072c9ea52ec21cf0ece1a04853383e712c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ITP120900002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2opRyiaqpnQCH0jfCY9Wjd","MAKUMBA","spotify:artist:62C5P1caRIK12ndTkzNJjA, spotify:artist:29nrwultxQ8jENVmXoyMqK","Noemi, Carl Brave","spotify:album:2ZYV0qGxO1Rw7yLIEzs4ND","Metamorfosi","spotify:artist:62C5P1caRIK12ndTkzNJjA","Noemi","2021-03-05","https://i.scdn.co/image/ab67616d0000b27340dac9a38e3d7522ae56ad84","1","1","217621","https://p.scdn.co/mp3-preview/a69b65da846f07b6ffb06e02a1914416208f7e33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITB002100403","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:52eRusyNurvnqVxUtL8oIL","Ti Sembra Normale","spotify:artist:1h5O32I1o0VOnpLmKXLfRa","Max Gazzè","spotify:album:15gGqbI9XtUGoClVR33kmn","Maximilian","spotify:artist:1h5O32I1o0VOnpLmKXLfRa","Max Gazzè","2015-10-30","https://i.scdn.co/image/ab67616d0000b27338142aa25f939346c6a80416","1","6","215807","https://p.scdn.co/mp3-preview/ce1ff343734a1a725565dc9103be7ebc3abdda6c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","ITUM71501331","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BUTAFBzyU8XlmWEHTN01J","FUOCO DI PAGLIA ঌ (con Marco Mengoni, Frah Quintale, Gemitaiz)","spotify:artist:7gjqZ8coFZimZDtdk04WP1, spotify:artist:3xGlLcG9CUrs5MvFkSLOS5, spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN, spotify:artist:4upwdFMlZBmQ68jP9jPzjK","MACE, Marco Mengoni, Frah Quintale, Gemitaiz","spotify:album:5wByaEbAmxIlQCDdicFJry","MĀYĀ","spotify:artist:7gjqZ8coFZimZDtdk04WP1","MACE","2024-07-05","https://i.scdn.co/image/ab67616d0000b273ed46b10906511b1329ee66ab","1","9","204169","https://p.scdn.co/mp3-preview/3eda8b4f4d5b188753cbca36dd016b15df2c53d2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITUM72400411","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6lrlFMu06aGPDH0phlCnct","Per dimenticare","spotify:artist:3bf7Y2it29DeOjXpIibCOe","Zero Assoluto","spotify:album:2hym5VSeKDVm7TP2eAvVKr","Sotto una pioggia di parole","spotify:artist:3bf7Y2it29DeOjXpIibCOe","Zero Assoluto","2009-05-22","https://i.scdn.co/image/ab67616d0000b273add645824f0b4584c9a7d727","1","4","211360","https://p.scdn.co/mp3-preview/4239e50ad0e55dd7be8b793e414a0d799a9dbfd3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","ITF030901293","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1b8tFExEyHyxTzrrlQAsu4","Marmellata #25","spotify:artist:396Jr76018oUMR6QBnqT8T","Cesare Cremonini","spotify:album:2M3o8iR1OVUWa50OmAOkK3","Maggese","spotify:artist:396Jr76018oUMR6QBnqT8T","Cesare Cremonini","2005-06-10","https://i.scdn.co/image/ab67616d0000b2737839771341a65f97aa2c7f47","1","4","282666","https://p.scdn.co/mp3-preview/6e0032d91fdfde7325fb44031412f0f33078b87f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","NLE880500001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:34H8OZFFYQXL2HWS3FwAAE","Cambierà","spotify:artist:54dqxLAclwu0QSaTwCyCaF","Neffa","spotify:album:111nPjpwCvVweGHJ0taYvh","Alla Fine Della Notte","spotify:artist:54dqxLAclwu0QSaTwCyCaF","Neffa","2007-06-01","https://i.scdn.co/image/ab67616d0000b273b81f8fc4878895cb2d747840","1","8","249533","https://p.scdn.co/mp3-preview/4a2f5ace783fa51ec82b37f032fc626be242f461?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","IT0750600041","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3JiiSo4yW8FYVnWNlvzEFO","Amore Disperato - 2004 Remaster","spotify:artist:37x1MqNXlCtuLLYSXYX7jA","Nada","spotify:album:1m3Fzzi7G6BJqHbngzmJYi","Made In Italy","spotify:artist:37x1MqNXlCtuLLYSXYX7jA","Nada","2004-01-01","https://i.scdn.co/image/ab67616d0000b273d0e6090356c36758425435a1","1","1","240760","https://p.scdn.co/mp3-preview/095d17fcf790f994f12fcbe0dbe005d61f62d629?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITD000400067","spotify:user:","1970-01-01T00:00:00Z"
