"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1UqhkbzB1kuFwt2iy4h29Q","Cough Syrup","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2ww7MYrkExsljnKhcINDse","Young The Giant (Special Edition)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2011","https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153","1","4","249520","https://p.scdn.co/mp3-preview/d7218e4269b429d546b8af4a333a4bbef4cc89ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA321090389","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1jUkHIMc7UaJQuzWe5Iop2","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","spotify:album:6p9eMHBHyvHDGK1WIerBfh","Conditions","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","2009-08-10","https://i.scdn.co/image/ab67616d0000b2734e5ba21f4684097923205d0a","1","3","234360","https://p.scdn.co/mp3-preview/dfceebf5063bd586908ce3ed6f9f9d18c6cd14a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBZUZ0900013","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6bON0csSf7G4LDsUrBwQ54","Dirty Love","spotify:artist:69tiO1fG8VWduDl3ji2qhI","Mt. Joy","spotify:album:7MvVdSQGWm8z82TZrR4G2z","Mt. Joy","spotify:artist:69tiO1fG8VWduDl3ji2qhI","Mt. Joy","2018-03-02","https://i.scdn.co/image/ab67616d0000b27331e4ef69237ca7ffbecda485","1","2","164626","https://p.scdn.co/mp3-preview/5f723878d9abeca593b029573f2393854e3147ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USDMG1885204","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2uXlHCUbq9OMUwx3hrk06o","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:2biVG6BYnVVSwLYd1OjbPT","Dream Your Life Away (Deluxe Edition)","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-08-05","https://i.scdn.co/image/ab67616d0000b2737cffb8896928039a0a10e4e7","1","4","204280","https://p.scdn.co/mp3-preview/451bfb3a8be724d19e92ba5d0764126a10b8f64e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","AULI01385760","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Z5wXgysowvzl0nKGNGU0t","Out of My League","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","spotify:album:6yhvsasMsZ1ZMuTk8qIHx0","More Than Just a Dream","spotify:artist:4AcHt3JxKy59IX7JNNlZn4","Fitz and The Tantrums","2013-05-07","https://i.scdn.co/image/ab67616d0000b2734068e6db0ec52b1f677119c3","1","1","209386","https://p.scdn.co/mp3-preview/d50d8b3ce46da19a8f6b63539be7a10faee9a569?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAT21300149","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:77KnJc8o5G1eKVwX5ywMeZ","Mind Over Matter (Reprise)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2Xp4fbuZF8UNC3b774j7zE","Mirrorball / Mind Over Matter (Reprise)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2015-04-18","https://i.scdn.co/image/ab67616d0000b2731f66d9c6790a9a1a2418ec57","1","2","230866","https://p.scdn.co/mp3-preview/c15359a64b206a1aae6b8d84c1471c3eff9e6d08?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAT21405325","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:03JPFQvZRnHHysSZrSFmKY","Inside In / Inside Out","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2006-01-01","https://i.scdn.co/image/ab67616d0000b27363a28c5ecb7b13e9b329fe47","1","9","203506","https://p.scdn.co/mp3-preview/88783774f8fcfae47cb1d5ba727b203a805d9e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAA0500836","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2iUmqdfGZcHIhS3b9E9EWq","Everybody Talks","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","spotify:album:0uRFz92JmjwDbZbB7hEBIr","Picture Show","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","2012-01-01","https://i.scdn.co/image/ab67616d0000b2734a6c0376235e5aa44e59d2c2","1","3","177280","https://p.scdn.co/mp3-preview/9ad5a3b2443d6842bab6770eec8c9e12c29074a0?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM71119189","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0GO8y8jQk1PkHzS31d699N","Tongue Tied","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","spotify:album:3oylWMc9TTC6Nx4I6U3axc","Never Trust a Happy Song","spotify:artist:3kVUvbeRdcrqQ3oHk5hPdx","GROUPLOVE","2011-09-02","https://i.scdn.co/image/ab67616d0000b273d84a9bbcba91cb6a4a212b1b","1","2","218013","https://p.scdn.co/mp3-preview/6082516f3c05520cc2cf8cecd17e4ce8667c459e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USAT21101334","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2x8evxqUlF0eRabbW2JBJd","Fluorescent Adolescent","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","spotify:album:1XkGORuUX2QGOEIL4EbJKm","Favourite Worst Nightmare","spotify:artist:7Ln80lUS6He07XvHI8qqHH","Arctic Monkeys","2007-04-22","https://i.scdn.co/image/ab67616d0000b273b1f8da74f225fa1225cdface","1","5","183893","https://p.scdn.co/mp3-preview/bd2ab6609fef9aa8cc35c75739d89dc5a72bfc80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBCEL0700067","spotify:user:","1970-01-01T00:00:00Z"
