"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5ahdL4qKaNyTbqzveNohhY","Versace","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","spotify:album:0qZmY8YHOeSEt9pnbaQKuo","Versace - Single","spotify:artist:6oMuImdp5ZcFhWP0ESe6mG","Migos","2013-10-01","https://i.scdn.co/image/ab67616d0000b2735fcdcc8ca4b69d4c42d5a4af","1","1","195474","https://p.scdn.co/mp3-preview/e9e290269632f946f5222983c51827684deb8b26?cid=9950ac751e34487dbbe027c4fd7f8e99","true","21","USUYG1037263","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:6AFbDBW3z38yT43hNylJZk","Bugatti","spotify:artist:31HjiqargV4NAw4GZqUale, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Ace Hood, Future, Rick Ross","spotify:album:38DaC9Acc7zkXfn0lLXR8T","Bugatti (Explicit Version)","spotify:artist:31HjiqargV4NAw4GZqUale","Ace Hood","2013-01-01","https://i.scdn.co/image/ab67616d0000b273368b8c8a96d92cfbba97e7c8","1","1","269533","https://p.scdn.co/mp3-preview/aee7ce1be1095f324d37970d47ebbe536e90b3ea?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51300013","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:3GaYENEtvaA1lpI9DEG0Cr","Smoke","spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:2iojnBLj0qIMiKPvVhLnsH","50 Cent, Trey Songz","spotify:album:0Cb3e3b461CfNH7UmBMr9f","Smoke","spotify:artist:3q7HBObVc0L8jNeTe5Gofh","50 Cent","2014-01-01","https://i.scdn.co/image/ab67616d0000b2738bb1b74dc5c6f561e6687a1e","1","1","230906","https://p.scdn.co/mp3-preview/996a9c136e88190f19eef734d3b27569faba5c19?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USV6R1400005","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:4l59QWcA9F9qqvNc5pwDtL","Ali Bomaye","spotify:artist:0NbfKEOTQCcwd6o7wSDOHI, spotify:artist:17lzZA2AlOHwCwFALHttmp, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","The Game, 2 Chainz, Rick Ross","spotify:album:1RroB11mvE8ErGgTELQrPA","Jesus Piece","spotify:artist:0NbfKEOTQCcwd6o7wSDOHI","The Game","2012-01-01","https://i.scdn.co/image/ab67616d0000b27367b69f4b53f05c6a7501cc66","1","2","372706","https://p.scdn.co/mp3-preview/d6d712e0799d20511530f0286142ed760df4a3ee?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUM71214419","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:0XKcJLESp7Ce0NlzXcKAFs","Hookah","spotify:artist:5LHRHt1k9lMyONurDHEdrp, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Tyga, Young Thug","spotify:album:2cxM8ZQ2niW1kYLLec3bT6","Hookah","spotify:artist:5LHRHt1k9lMyONurDHEdrp","Tyga","2014-01-01","https://i.scdn.co/image/ab67616d0000b273e1a7d4c1c2efa99eb160bd55","1","1","202320","https://p.scdn.co/mp3-preview/59461fb9f5e89d79cb410d1f91c20c0021aaf2c2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USCM51400085","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:5Rv4qhjI9MMJmLpM0iHIKV","Real Deal","spotify:artist:5LHRHt1k9lMyONurDHEdrp","Tyga","spotify:album:4QHBlDKmCY3eY4vOwmkmB0","Real Deal - Single","spotify:artist:5LHRHt1k9lMyONurDHEdrp","Tyga","2014-07-25","https://i.scdn.co/image/ab67616d0000b273444d68d2386ae85681f8b628","1","1","217286","https://p.scdn.co/mp3-preview/6055d7c32c405e26f01257f9dd92ffa38631e7f3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","46","USUYG1050673","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:4gGDYHTr7n3tHJ7brGvHOa","Ain't Worried About Nothin","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","spotify:album:2Af2xpOLk0VzzJqmqtAW8T","Excuse My French (Deluxe)","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2013-01-01","https://i.scdn.co/image/ab67616d0000b273646f83d175ae79b3747b6828","1","3","212426","https://p.scdn.co/mp3-preview/6ff8c8ddfceb65e169ba8877ea512d1f65789648?cid=9950ac751e34487dbbe027c4fd7f8e99","true","29","USUM71303772","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:6DaMsFWQoIOOh18oHilCn9","Turn Down for What","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","spotify:album:2QF1jULEKeVlbSddPE496t","Moroccan Boy","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2014-08-01","https://i.scdn.co/image/ab67616d0000b2736015a932000e29c2f6aca0d6","1","11","223504","https://p.scdn.co/mp3-preview/1a8bd8b2471818b80e12997c65a10a07ec3c4216?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","FR6V82659395","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:40JwED0IN9elIlC5vQdmwS","Trap House","spotify:artist:6vXTefBL93Dj5IqAWq6OTv, spotify:artist:35sCXuy5gN6Or69rZ9vqBs, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","French Montana, Birdman, Rick Ross","spotify:album:4Mg0YgcE9AYYuvid82Ppub","Excuse My French","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2013-01-01","https://i.scdn.co/image/ab67616d0000b273aec00eba9e42dc2a451cb5a1","1","2","264573","https://p.scdn.co/mp3-preview/3feb73de6beeeb834179b381d10c346425fe9a9e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","7","USUM71303771","spotify:user:pivimkh","2014-11-08T12:57:33Z"
"spotify:track:2mhgGXeJ3pkGh5s5n6AfuJ","I Told Em","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","spotify:album:4Mg0YgcE9AYYuvid82Ppub","Excuse My French","spotify:artist:6vXTefBL93Dj5IqAWq6OTv","French Montana","2013-01-01","https://i.scdn.co/image/ab67616d0000b273aec00eba9e42dc2a451cb5a1","1","9","262346","https://p.scdn.co/mp3-preview/9438a9f9d5de5a13ac9b077550e83962bc62eb3e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","9","USUM71303789","spotify:user:pivimkh","2014-11-08T12:57:33Z"
