"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:27wBd8xYpsx8Z9KVT6iety","Razão Perdida","spotify:artist:7d3WFRME3vBY2cgoP38RDo","Lil Skies","spotify:album:1PVIvCCpQOBPHA8mZ3Kcem","Razão Perdida","spotify:artist:7d3WFRME3vBY2cgoP38RDo","Lil Skies","2017-01-05","https://i.scdn.co/image/ab67616d0000b273fb663fb49bd220935b56751a","1","1","181812","","false","0","QZ5AB1934863","spotify:user:11135692880","2018-05-17T00:16:19Z"
"spotify:track:3nn7OPFCwHblA3BUIip8gd","Missed Calls (feat. Lil Peep)","spotify:artist:68VUmnZEzmzZdd1zPtnbZZ, spotify:artist:2kCcBybjl3SAtIcwdWpUe3","Mackned, Lil Peep","spotify:album:0zLrTSSibYcXOPXeR29lbD","American Boy","spotify:artist:68VUmnZEzmzZdd1zPtnbZZ","Mackned","2016-12-03","https://i.scdn.co/image/ab67616d0000b273bf4f8b3ac6ff91541280b3a0","1","3","150358","https://p.scdn.co/mp3-preview/b5a827f1e8941f16c40d9766f31270f159d00bba?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","TCACU1611746","spotify:user:11135692880","2018-05-17T00:36:49Z"
"spotify:track:1QLvGmkNlC2DqgtWz8I3UL","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","1","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
"spotify:track:13q8un4Xjs3IOfdem4jgVe","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","2","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
"spotify:track:4kSNwQ1rKDJucpFdEv92yb","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","3","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
"spotify:track:2TXMW4GsQGiFPEiam7yjor","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","4","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
"spotify:track:7euujXy941mB6TL7uANTxz","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","5","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
"spotify:track:0vUr13CyML5icNxdtXnSbM","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","6","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
"spotify:track:7B2NTZXEPeshkufbqT1gMN","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","7","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
"spotify:track:17iKwg0p8Zj1A3cGYVrpif","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","","spotify:album:5d3kpVqLzIQYFp5eQhJmsY","","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","0000","","1","8","0","","false","0","","spotify:user:11135692880","2018-05-17T00:37:17Z"
