"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5CZOHxLhZohdhmUotp8SHR","CHANELINA SOUBRETTE (feat. Disme & Ele A)","spotify:artist:3HAwumPgGOSXlZSyGWuLhB, spotify:artist:0CXnO9kUawdDjzToSqCC3p, spotify:artist:2p8QkcgkfvIcUTpudqcqRM","Sayf, Disme, Ele A","spotify:album:6fKwRnm0PQ64ynXzqCVdHC","CHANELINA SOUBRETTE (feat. Disme & Ele A)","spotify:artist:3HAwumPgGOSXlZSyGWuLhB, spotify:artist:0CXnO9kUawdDjzToSqCC3p, spotify:artist:2p8QkcgkfvIcUTpudqcqRM","Sayf, Disme, Ele A","2024-09-27","https://i.scdn.co/image/ab67616d0000b2732715a52fc8d24c92099742a9","1","1","203859","https://p.scdn.co/mp3-preview/5f35ce60be528e084cd3da0ba3eeb58a857f8354?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","US38Y2422831","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:4kDi7X5sgqF0aM74aPBWSc","FENTANYL (feat. Sfera Ebbasta)","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:23TFHmajVfBtlRx5MXqgoz","Lazza, Sfera Ebbasta","spotify:album:0wYy8LTZuhiAyvchPppHPj","LOCURA","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2024-09-19","https://i.scdn.co/image/ab67616d0000b27312b860c1df72545a88313518","1","3","188081","https://p.scdn.co/mp3-preview/62f7a474bc23106a85faeb93b96a058b60382e68?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","ITUM72400974","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:4CNfC20TImtjdwN3dG0uCF","CANZONE D'ODIO (feat. Lil Baby)","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM, spotify:artist:5f7VJjfbwm532GiveGC0ZK","Lazza, Lil Baby","spotify:album:0wYy8LTZuhiAyvchPppHPj","LOCURA","spotify:artist:0jdNdfi4vAuVi7a6cPDFBM","Lazza","2024-09-19","https://i.scdn.co/image/ab67616d0000b27312b860c1df72545a88313518","1","9","162969","https://p.scdn.co/mp3-preview/5ef337978aa16b1cf198e95ca056da918938afc6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","ITUM72400980","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:3TEGAc9a24MrEU6PTbzomO","Neverender - Rampa Remix","spotify:artist:1gR0gsQYfi6joyO1dlp76N, spotify:artist:5INjqkS1o8h1imAzPqGZBb, spotify:artist:08jywfUS0hp8XYlYs0cvz8, spotify:artist:26WKgv73kRHD0gEDKD1i8j","Justice, Tame Impala, Rampa, Keinemusik","spotify:album:166m4twTzvOpUzPD2SUbwL","Neverender (Remixes)","spotify:artist:1gR0gsQYfi6joyO1dlp76N, spotify:artist:5INjqkS1o8h1imAzPqGZBb","Justice, Tame Impala","2024-09-27","https://i.scdn.co/image/ab67616d0000b273b14f64997f9e7284499090ee","1","5","384062","https://p.scdn.co/mp3-preview/9c4b5c6d27bbad2ab2b70a25ee20ecc6a4f868b9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","FR8EU2400250","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:5qV4HuHG5pJYrIIvfAuo55","Dissennatori (feat. Artie 5ive)","spotify:artist:1LGeIi5WWtxGRavjH50STe, spotify:artist:5VTNrKBvvSe0NdWMW8qTwa, spotify:artist:2R4kNOwHUUsuDYhKsESVbF","Melons, Ddusi, Artie 5ive","spotify:album:3hTj9C1jqATON2UDb4vvzz","Osama 2","spotify:artist:1LGeIi5WWtxGRavjH50STe","Melons","2024-09-27","https://i.scdn.co/image/ab67616d0000b2734cc16d9643fc300a49519ff6","1","2","167272","https://p.scdn.co/mp3-preview/acd7468ebb5be784c81675d8b107036ce96c56a9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITTQB2400053","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:5GxamRUDAXk0vjM8ymt0K6","Dead N****s (feat. Polo G & G Herbo)","spotify:artist:47UhY4DqayBiq2gp43WOcZ, spotify:artist:6AgTAQt8XS6jRWi4sX7w49, spotify:artist:5QdEbQJ3ylBnc3gsIASAT5","VonOff1700, Polo G, G Herbo","spotify:album:14zfFCTHX9KiOZUg3raIOl","Dead N****s (feat. Polo G & G Herbo)","spotify:artist:47UhY4DqayBiq2gp43WOcZ, spotify:artist:6AgTAQt8XS6jRWi4sX7w49, spotify:artist:5QdEbQJ3ylBnc3gsIASAT5","VonOff1700, Polo G, G Herbo","2024-09-25","https://i.scdn.co/image/ab67616d0000b273c739dfb5ecdc7a3911b60207","1","1","195457","https://p.scdn.co/mp3-preview/b0210f328332104f7638e1b3a28c7806cc7d992c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","USSM12406780","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:5REMa10O4aA2mLtYyflWxs","Stars Will Align","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:53XhwfbYqKCa1cC15pYq2q","Kygo, Imagine Dragons","spotify:album:5q923PscX4aJaonXBWTDcj","Stars Will Align","spotify:artist:23fqKkggKUBHNkbKtXEls4, spotify:artist:53XhwfbYqKCa1cC15pYq2q","Kygo, Imagine Dragons","2024-09-27","https://i.scdn.co/image/ab67616d0000b273c02ebed68e17f31faa54d54d","1","1","234366","https://p.scdn.co/mp3-preview/26bec85d87d64abefaca0199b5a8895b8245f09f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","SEBGA2401211","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:25xsas1Sc1r0ozcjtdeNUn","PUSSY GOLD (feat. Side Baby)","spotify:artist:26OG4ryQ7oFAbUNAvYCOgn, spotify:artist:6PXiPeUVFrlaC1n8511ijT","Vale Lambo, Side Baby","spotify:album:3jXZ8G2pAtUuoGgiaq77cJ","Lamborghini a Via Marina V2","spotify:artist:26OG4ryQ7oFAbUNAvYCOgn","Vale Lambo","2024-09-27","https://i.scdn.co/image/ab67616d0000b273bf58bf847507f4701fea152f","1","3","138762","https://p.scdn.co/mp3-preview/b93409d6d22752fb49fa3bf0abf975615d27df54?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","ITQ002400966","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:2ibFPYHzUnqVpS2rv655oF","Omega (feat. Ralphie Choo)","spotify:artist:7ltDVBr6mKbRvohxheJ9h1, spotify:artist:5qjnPRE33rMgYAxIjGUrI7","ROSALÍA, Ralphie Choo","spotify:album:5wtVvVmUynbA3Yj1Pqys8w","Omega (feat. Ralphie Choo)","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","2024-09-24","https://i.scdn.co/image/ab67616d0000b27351520e91faa5c5e2a5a94d33","1","1","169500","https://p.scdn.co/mp3-preview/461dd894f23d7217781dad5ff00ab2f4b7a807c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USSM12406753","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:2vlUAb1FCGBt2hLKIOVjN7","BABY I'M BACK - Remix","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ","The Kid LAROI, Gunna","spotify:album:4TCXp0ZTbzKsmRIAmRPofE","BABY I'M BACK (Remix)","spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ","The Kid LAROI, Gunna","2024-09-27","https://i.scdn.co/image/ab67616d0000b273a42cb4ac0df49258ae3fa31e","1","1","230540","https://p.scdn.co/mp3-preview/1aa7f6e614261d43b3ea50694f3b3571328d9cc2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USSM12406903","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:4cncOEt5C81tmBSHF3kX66","Cracc Era","spotify:artist:6xS5PpBWaVYraexEkEjjXv, spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Maxo Kream, Tyler\, The Creator","spotify:album:5Xl1nussmpooifiSxmxUXC","Cracc Era","spotify:artist:6xS5PpBWaVYraexEkEjjXv","Maxo Kream","2024-09-25","https://i.scdn.co/image/ab67616d0000b2735a5a660a662e03935dfd7558","1","1","118554","https://p.scdn.co/mp3-preview/ea45437b53cce1b9d0ae14af9525c2eeb61fcf43?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","QMDA62418183","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:3QAX9e3nAhSMSiMQ40LSDx","Friday Night Song","spotify:artist:1t20wYnTiAT0Bs7H1hv9Wt","EDEN","spotify:album:6eTVXZGe0fCUiizxq6UGKQ","Friday Night Song","spotify:artist:1t20wYnTiAT0Bs7H1hv9Wt","EDEN","2024-09-27","https://i.scdn.co/image/ab67616d0000b273bccd92be54eb29653cc755fb","1","1","244282","https://p.scdn.co/mp3-preview/b962fda691f8e1ed81fbe6013cc9d16640b1fab3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","NLRD52350482","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:5H8g68MqfJftHgokR2ArCA","Genie In a Bottle - ft. mgk - Live - Spotify Anniversaries Version","spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS, spotify:artist:6TIYQ3jFPwQSRmorSezPxX","Christina Aguilera, mgk","spotify:album:72220mUyaNDhUhz5oIk5yo","The 25th Anniversary of Christina Aguilera | Spotify Anniversaries LIVE","spotify:artist:1l7ZsJRRS8wlW3WfJfPfNS","Christina Aguilera","2024-09-23","https://i.scdn.co/image/ab67616d0000b273ec52118faafdbd41b13d0450","1","2","157000","https://p.scdn.co/mp3-preview/c37cb5d326adae19811a678531e1b675bca5f59b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","US5022400110","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:36zutQQkUnFPbLYIcVxJi8","Take Your Time (feat. 6LACK)","spotify:artist:7MxGWmiAbqjNOGmj23wbWf, spotify:artist:4IVAbR2w4JJNJDDRFP3E83","Sasha Keable, 6LACK","spotify:album:2wLeTuNrfg5OVQ5OLbghX6","Take Your Time (feat. 6LACK)","spotify:artist:7MxGWmiAbqjNOGmj23wbWf, spotify:artist:4IVAbR2w4JJNJDDRFP3E83","Sasha Keable, 6LACK","2024-09-26","https://i.scdn.co/image/ab67616d0000b273a401d7c74ac0b3398de5b42b","1","1","235461","https://p.scdn.co/mp3-preview/43ad52c05a314b64e59ea91745e5c2def1a48ee0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","GBARL2401144","spotify:user:","2024-09-26T22:00:00Z"
"spotify:track:4U2tjCMDeSmhKPJ1A3V4jB","BLACK OPS","spotify:artist:0gCGZZ1Ibo5QsOnll977PD","KILLY","spotify:album:0WOlxSTuvXwmT8sfRRp8hS","LIFE I CHOSE","spotify:artist:0gCGZZ1Ibo5QsOnll977PD","KILLY","2024-09-27","https://i.scdn.co/image/ab67616d0000b2733365342fd14552bcd6941e11","1","5","108332","https://p.scdn.co/mp3-preview/b043f316974fa64aff2454ecb42d2d78782dd409?cid=9950ac751e34487dbbe027c4fd7f8e99","true","38","CA5KR2490298","spotify:user:","2024-09-26T22:00:00Z"
