"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:1d36tpKpByF5Wcndsqr4Bq","Farò di Te un Uomo","spotify:artist:2fiI8z6Gud1cfPBBUNXqpg, spotify:artist:2eJAB26hKyhjrMT0dmAuwm, spotify:artist:4e1ovRuN0EfLfFn5Pd0lGC, spotify:artist:7g553b3GtzaRGMs42HRRUP, spotify:artist:4Y8mhvWTaw8WF3SL6Gurk4, spotify:artist:36S4IuGrv4jCBEHQNO1VgC","S Pozzoli, V Matteucci, V Giannetti, G Giannolla, M Cataldi, E Papi","spotify:album:7GNc6okTFaZGLeuNU3JYbx","Mulan (Colonna Sonora Originale)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1998-01-01","https://i.scdn.co/image/ab67616d0000b273f6aeefebb0716ee772e9b02d","1","5","201626","https://p.scdn.co/mp3-preview/ec036d5713d0cad1a9d2ba71d792bd983d535029?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","USWD10526285","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:4IvsZvv7e0isNeE8iebjCD","In Tuo Figlio","spotify:artist:4lxfqrEsLX6N1N4OCSkILp","Phil Collins","spotify:album:2qPBqQEKMvUSVDkAIrqtVu","Tarzan - Colonna Sonora Originale","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1999-01-01","https://i.scdn.co/image/ab67616d0000b273f6c054816d6d477a156e1666","1","3","165720","https://p.scdn.co/mp3-preview/390deaf69baa8444e01d34647444c887410de3f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","38","USWD10525356","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:6Z1HwvML1be7xEAVR2k5a4","Per sempre","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:76pOEUjNW8R3udkskK67sS","Going Hard","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2020-10-16","https://i.scdn.co/image/ab67616d0000b273800489b0e1088eab37be7d3c","1","3","192413","https://p.scdn.co/mp3-preview/4ae90afa945b846f7b5cc8e717c73ade0d8aba34?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITK192000189","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:4Onv11D5DHkbhzI1KKbZeU","Dasein Sollen","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","spotify:album:4cpbVkMPzHjWZajKY53SKJ","Dasein Sollen","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2016-10-13","https://i.scdn.co/image/ab67616d0000b273bb6ec510fce7d92c5c5c23be","1","7","126146","https://p.scdn.co/mp3-preview/cdcf84c8cf0e27fcc89ee886c0cd5cf64d455f12?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","ITDF61777059","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:1Fu0KIYfFUyVZrB2ESHldi","$OLDI DI TUO PADRE","spotify:artist:70WMQrrPQeYY9JaPVx1nWf","2Rari","spotify:album:2qDA77QQHqesPqUzh3Au0h","$OLDI DI TUO PADRE","spotify:artist:70WMQrrPQeYY9JaPVx1nWf","2Rari","2024-06-28","https://i.scdn.co/image/ab67616d0000b27374063fb88139693d27f0e1a6","1","1","128925","https://p.scdn.co/mp3-preview/7d9b3f319c630fdf039e7b2cf081fee2b2be99cf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","33","ITUM72400841","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:2COdabul4TuLdlCny8C9o8","Goodbye Kiss","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","spotify:album:6CrTXLy88JacRvA30aIaLP","Velociraptor!","spotify:artist:11wRdbnoYqRddKBrpHt4Ue","Kasabian","2011","https://i.scdn.co/image/ab67616d0000b273dc11bd7df265ceb433eb2c70","1","3","243960","https://p.scdn.co/mp3-preview/7fc7db32e7fa4e1d83472617d7af4a40ca59c0e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GBARL1100558","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:0QxihWBqZ9TErLuqZAtMvA","Brutti voti","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:76pOEUjNW8R3udkskK67sS","Going Hard","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2020-10-16","https://i.scdn.co/image/ab67616d0000b273800489b0e1088eab37be7d3c","1","4","170016","https://p.scdn.co/mp3-preview/7c454c4021605940719fe0dea6e6542bd4ce0f1c?cid=9950ac751e34487dbbe027c4fd7f8e99","true","44","ITK192000190","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:4vKbul7TavBtbzXOqh6njN","Gioco","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","spotify:album:6qLE8gO2SSYOFv03GaxxHi","Dove Gli Occhi Non Arrivano","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2019-03-22","https://i.scdn.co/image/ab67616d0000b273b08dbdf735efeb72f8d538f7","1","10","178026","https://p.scdn.co/mp3-preview/1dea68e000925c2bfc6b76d38f45398893126b76?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ITUM71900222","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:4WGVGxeh7BD6p3hnLCTOXi","Dissing (feat. 2Rari & Night Skinny)","spotify:artist:3fhMfkPPzksWuw0hEm4ldm, spotify:artist:70WMQrrPQeYY9JaPVx1nWf, spotify:artist:2E6AK3UPEGCvjnzuygCh2h","Ernia, 2Rari, Night Skinny","spotify:album:5bIm3XT2nJAdPvTLsBlk8g","Gemelli (ascendente Milano)","spotify:artist:3fhMfkPPzksWuw0hEm4ldm","Ernia","2021-05-20","https://i.scdn.co/image/ab67616d0000b27363172ba3c697b35377ed0a0f","1","3","192000","https://p.scdn.co/mp3-preview/6e40957744ee3d8fd7ab88792f98643c2be74c81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","27","ITUM72100236","spotify:user:","2024-10-01T02:58:16Z"
"spotify:track:6xDzjrI8myhmOaIZ50tFpJ","Chance (feat. anice & Ernia)","spotify:artist:70WMQrrPQeYY9JaPVx1nWf, spotify:artist:0Sf5IqezdIhXjKogXm0Nad, spotify:artist:3fhMfkPPzksWuw0hEm4ldm","2Rari, anice, Ernia","spotify:album:4ZbRe9J1RyjI1bcsk0vWlA","2 OR DIE","spotify:artist:70WMQrrPQeYY9JaPVx1nWf","2Rari","2022-06-23","https://i.scdn.co/image/ab67616d0000b273953ecdee6fe6b0d1235dca6b","1","3","165957","https://p.scdn.co/mp3-preview/5ceb42c954a439a790d2f4dbdc516515a868436a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","ITDF62277047","spotify:user:","2024-10-01T02:58:16Z"
