"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2CPqh63wRVscbceKcPxwvv","The Ocean (feat. Shy Martin)","spotify:artist:6lB8vOoI4DRrrVxXwuV19c, spotify:artist:7eCmccnRwPmRnWPw61x6jM","Mike Perry, shy martin","spotify:album:4pgNeQfSctryAw4e0uESHe","The Ocean (feat. Shy Martin)","spotify:artist:6lB8vOoI4DRrrVxXwuV19c","Mike Perry","2016-04-15","https://i.scdn.co/image/ab67616d0000b2737f401862bfe87b552a75308d","1","1","183414","https://p.scdn.co/mp3-preview/515b1e8609dc4b1bb3338b4717b044e9762ed42e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","SE3AA1600005","spotify:user:11135692880","2020-09-04T17:29:15Z"
"spotify:track:5aSYCqTmfXXNsQOtTqEHq1","Firefly","spotify:artist:40HDiLfKm0tXk2FxlJx6aO","Jim Yosef","spotify:album:6LS8sK8E7KAUdqm4J3AJnv","Firefly","spotify:artist:40HDiLfKm0tXk2FxlJx6aO","Jim Yosef","2015-06-28","https://i.scdn.co/image/ab67616d0000b273250a139a6fe7e354c560152a","1","1","256620","https://p.scdn.co/mp3-preview/bca74d0915abb5a0025ab19eb7c01a94d88b9aa6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB2LD0902040","spotify:user:11135692880","2020-09-04T17:30:00Z"
"spotify:track:1suR7O1Coqso76HSw1zVa9","Against the Sun","spotify:artist:01olvHW7uzIInQx9VTNuJm, spotify:artist:2Ndq6RparrhEoceel7LC4Z","Rootkit, Anna Yvette","spotify:album:1peXExuLsmJq1cp7TVGsSG","Against the Sun","spotify:artist:01olvHW7uzIInQx9VTNuJm, spotify:artist:2Ndq6RparrhEoceel7LC4Z","Rootkit, Anna Yvette","2014-10-01","https://i.scdn.co/image/ab67616d0000b273be056fff4b3b0013c5ebc7d4","1","1","212288","https://p.scdn.co/mp3-preview/a0494c203a0a755d396e011055bb54a13c08efca?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21400036","spotify:user:11135692880","2020-09-04T17:31:04Z"
"spotify:track:5sXDrbX0T45lv8elWcVUnc","Stronger (feat. Emel)","spotify:artist:4lC8Q0azW5ij2e1skZo377, spotify:artist:1U6FdBYgMkeRjQFuTF5JYr","Stonebank, EMEL","spotify:album:5OaNOSEdEXKJls5c0A5eSx","Stronger (feat. Emel)","spotify:artist:4lC8Q0azW5ij2e1skZo377","Stonebank","2015-01-05","https://i.scdn.co/image/ab67616d0000b273f7717b6fe73c78a1068588e6","1","1","320393","https://p.scdn.co/mp3-preview/26ffa4d284d87d66858fcaeedc8685b01260acc8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","CA6D21400095","spotify:user:11135692880","2020-09-04T17:31:17Z"
"spotify:track:4B2kkxg3wKSTZw5JPaUtzQ","On & On","spotify:artist:2sf28o6euxEDpYkG9dMtuM, spotify:artist:0cA0C4yBNRaN2EZsE2wT3Y","Cartoon, Daniel Levi","spotify:album:0Lt1PzvVZoslDNI2Jsq6pW","On & On","spotify:artist:2sf28o6euxEDpYkG9dMtuM, spotify:artist:0cA0C4yBNRaN2EZsE2wT3Y","Cartoon, Daniel Levi","2015-07-09","https://i.scdn.co/image/ab67616d0000b2732773b7d6ca91258a83d06783","1","1","207068","https://p.scdn.co/mp3-preview/fc584b7483404ba6a748b02850a0d6e93232f56b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","GB2LD0902016","spotify:user:11135692880","2020-09-04T17:31:35Z"
"spotify:track:0vUEaciRww1BEKs6j7Zakg","Stardust","spotify:artist:6jsS2mOTAxVrlSUWiPLXpH, spotify:artist:1jSyzKmwy7ZqeZvZklLSas, spotify:artist:5iWNGhdgW9MA0l5AqFLqh9","T & Sugah, Miyoki, NCT","spotify:album:4Ue5oyDHfbP9tsbtACJIgc","NCS: The Best of 2015","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-12-23","https://i.scdn.co/image/ab67616d0000b2734c1d15887be3844b73c1589a","1","8","304827","https://p.scdn.co/mp3-preview/8397adb549241e1afad85fd22e7429f194015d3b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB2LD0902208","spotify:user:11135692880","2020-09-04T17:31:35Z"
"spotify:track:5NmENli4oodYuWrI0vSGK4","Why We Lose","spotify:artist:2sf28o6euxEDpYkG9dMtuM, spotify:artist:3GI8jWO0jwqs0qX3OtlbqY","Cartoon, Coleman Trapp","spotify:album:3RNJagqH7R68xyYoj2YwFR","Why We Lose","spotify:artist:2sf28o6euxEDpYkG9dMtuM","Cartoon","2015-06-11","https://i.scdn.co/image/ab67616d0000b273cc59b986696d9bc38ae44d3c","1","1","197485","https://p.scdn.co/mp3-preview/4a4018c50ca10fcd5eb9789f91940d302c04f786?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB2LD0902007","spotify:user:11135692880","2020-09-04T17:31:35Z"
"spotify:track:26vNIXrv6BI6l0gHHk81Hg","Time Bomb (feat. Veela)","spotify:artist:6RQ9kYbHisp1UUbnfwHNeU, spotify:artist:7kfzadZaOgR90Tp8OYH5gM, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Feint, Boyinaband, Veela","spotify:album:7dArkHuO5wkus2TJTu6Ytx","Monstercat 007 - Solace","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2012-06-06","https://i.scdn.co/image/ab67616d0000b273da7770b79a66bc42de93d8e7","1","1","211644","https://p.scdn.co/mp3-preview/5302c97494d1c9a1ea11d44fb4809f869bdfc597?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABG1223427","spotify:user:11135692880","2020-09-04T17:31:35Z"
"spotify:track:3VPBqHUd17ZvEgabW9ZOUU","Ghost Assassin - Original Mix","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","spotify:album:3NmmUnjNr6G7wuBWSn0zKw","Ghost Assassin EP","spotify:artist:6TaaqqCMRMSpvNHClfnbEL, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Maduk, Veela","2012-07-16","https://i.scdn.co/image/ab67616d0000b273b85e2368d983a4851727a5a5","1","1","221624","https://p.scdn.co/mp3-preview/17ad59d7677ced819ee8b9ee2a3ebb7b5d2eab4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","NLCK41016277","spotify:user:11135692880","2020-09-04T17:31:35Z"
"spotify:track:6y7hF3bf8GP2gHSdsrczlY","Tidal Wave","spotify:artist:0QaSiI5TLA4N7mcsdxShDO, spotify:artist:5Rja2iSIMNhzHMRoKzHKNX","Sub Focus, Alpines","spotify:album:4A5VEgUX9i4JVlw7BYgEFv","Tidal Wave","spotify:artist:0QaSiI5TLA4N7mcsdxShDO","Sub Focus","2012-01-01","https://i.scdn.co/image/ab67616d0000b273e4fb3a462830759feb6e110a","1","1","226358","https://p.scdn.co/mp3-preview/9fb4e4887fc83b0b5bd7395ebb3e0c5c6bf0118e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71206049","spotify:user:11135692880","2020-09-04T17:31:35Z"
