"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0q7oMII7kWTj1ZSX6GT6LU","Crawl Outta Love","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:0kErUwb6xgWfkdn0RyZWHZ","ILLENIUM, Annika Wells","spotify:album:5rvIgXvAPGWspXY4rDLkeU","Awake","spotify:artist:45eNHdiiabvmbp4erw26rg","ILLENIUM","2017-09-21","https://i.scdn.co/image/ab67616d0000b273ad3b5398f9086d7f6e19331b","1","2","242011","https://p.scdn.co/mp3-preview/c8202d02fc57231a942cfa561ec42b2087208d37?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","CAR071600435","spotify:user:11135692880","2020-09-14T01:42:16Z"
"spotify:track:26vNIXrv6BI6l0gHHk81Hg","Time Bomb (feat. Veela)","spotify:artist:6RQ9kYbHisp1UUbnfwHNeU, spotify:artist:7kfzadZaOgR90Tp8OYH5gM, spotify:artist:3CiuuHKIxxJPoNRvF94GtR","Feint, Boyinaband, Veela","spotify:album:7dArkHuO5wkus2TJTu6Ytx","Monstercat 007 - Solace","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2012-06-06","https://i.scdn.co/image/ab67616d0000b273da7770b79a66bc42de93d8e7","1","1","211644","https://p.scdn.co/mp3-preview/5302c97494d1c9a1ea11d44fb4809f869bdfc597?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCABG1223427","spotify:user:11135692880","2020-09-04T17:29:32Z"
"spotify:track:6y7hF3bf8GP2gHSdsrczlY","Tidal Wave","spotify:artist:0QaSiI5TLA4N7mcsdxShDO, spotify:artist:5Rja2iSIMNhzHMRoKzHKNX","Sub Focus, Alpines","spotify:album:4A5VEgUX9i4JVlw7BYgEFv","Tidal Wave","spotify:artist:0QaSiI5TLA4N7mcsdxShDO","Sub Focus","2012-01-01","https://i.scdn.co/image/ab67616d0000b273e4fb3a462830759feb6e110a","1","1","226358","https://p.scdn.co/mp3-preview/9fb4e4887fc83b0b5bd7395ebb3e0c5c6bf0118e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71206049","spotify:user:11135692880","2020-09-04T17:29:49Z"
"spotify:track:2lKjHE4eSS4LAxan214Zpr","Come & Get It","spotify:artist:0Cd6nHYwecCNM1sVEXKlYr","Krewella","spotify:album:5euywwz2goQ5spX4qg4zxv","PLAY HARDER REMIX EP","spotify:artist:0Cd6nHYwecCNM1sVEXKlYr","Krewella","2012-12-10","https://i.scdn.co/image/ab67616d0000b273da8e31be32d14ec8103b941a","1","1","205506","https://p.scdn.co/mp3-preview/939b4f49a723df110cd1021a374997a04fd71e3d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USQX91202173","spotify:user:11135692880","2020-09-04T17:31:38Z"
"spotify:track:72EL3P8wE9306gyZR31IMn","Sleepwalker (feat. Joni Fatora)","spotify:artist:45eNHdiiabvmbp4erw26rg, spotify:artist:43NRjpCGCIj6GkhnAMdC60","ILLENIUM, Joni Fatora","spotify:album:1aNWsfl6osnt0NO7Kubknx","Ashes","spotify:artist:45eNHdiiabvmbp4erw26rg","ILLENIUM","2016-02-15","https://i.scdn.co/image/ab67616d0000b27397df02b2761e1db7887c5ccb","1","4","250500","https://p.scdn.co/mp3-preview/452a50fd134f37b71465f74869a70125cfcc633d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","TCACK1580836","spotify:user:11135692880","2020-09-04T17:31:38Z"
"spotify:track:5n6x71nexUuoo6L1r5DofW","Fall Into Me (feat. Evoke)","spotify:artist:4bRkUQUDvgQhLzlwX03m96, spotify:artist:2TljAKrnT0SDyoSf88mciP","Arrient, Evoke","spotify:album:0grWi3VwXdM1Q3yeaSDjXh","Paradise","spotify:artist:4bRkUQUDvgQhLzlwX03m96","Arrient","2016-04-15","https://i.scdn.co/image/ab67616d0000b273d07c020fe0b6efe31af9955f","1","1","202992","https://p.scdn.co/mp3-preview/a9ffd35951be8e03559924814c9cf3de846b2a0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USLZJ1630080","spotify:user:11135692880","2020-09-04T17:31:38Z"
"spotify:track:2U0pVx4m1Kdm1Gsjjm6iq8","Strangers","spotify:artist:6fcTRFpz0yH79qSKfof7lp, spotify:artist:0nTbVTXLLbBA4xCtn0cFkv, spotify:artist:2ITbqEgyp32vL3BxEFmQ1V, spotify:artist:4NHQUGzhtTLFvgF5SZesLK","Seven Lions, Myon, Shane 54, Tove Lo","spotify:album:3ZLP4gT36JCBPH0PZUUcPj","Worlds Apart","spotify:artist:6fcTRFpz0yH79qSKfof7lp","Seven Lions","2014-04-29","https://i.scdn.co/image/ab67616d0000b273b7c6ba06170910b38d202cf4","1","4","204213","https://p.scdn.co/mp3-preview/643e4231663c1128c336a42c6585eb8de5d47892?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","USUM71313869","spotify:user:11135692880","2020-09-04T17:31:38Z"
"spotify:track:7AwhBPAirOqA1YhlSDlkeb","Play To Win","spotify:artist:06EfEcjc0vdvI6VNL0soIO, spotify:artist:24O8Ftz6AqboC3Uawbiw4r","Rameses B, Holly Drummond","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","15","221500","https://p.scdn.co/mp3-preview/321138e2bb3f21306629df0af36946de819e9f26?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","CA6D21700150","spotify:user:11135692880","2020-09-04T17:31:38Z"
"spotify:track:5yQmKyKEdjtxFDPIK9mFLn","Rise & Fall","spotify:artist:5CdJjUi9f0cVgo9nFuJrFa, spotify:artist:0Cd6nHYwecCNM1sVEXKlYr","Adventure Club, Krewella","spotify:album:5xkfX4DNx7hZYrGy8H1YUJ","Rise & Fall","spotify:artist:5CdJjUi9f0cVgo9nFuJrFa","Adventure Club","2012-05-31","https://i.scdn.co/image/ab67616d0000b2732278b61ca3b5e5134653b944","1","1","361900","https://p.scdn.co/mp3-preview/9a69caacb153e4d81ee763448b5e0e3e081d46ec?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","TCABG1283585","spotify:user:11135692880","2020-09-04T17:31:38Z"
"spotify:track:4TBK6E1ERSKdIvD1jF4lt5","Louder (feat. Sian Evans) - Radio Edit","spotify:artist:6r20qOqY7qDWI0PPTxVMlC, spotify:artist:2DTw633fgdoxrqv7uPdcCw","DJ Fresh, Sian Evans","spotify:album:5IqZHG6yO5SL6biWicPG3Y","Nextlevelism","spotify:artist:6r20qOqY7qDWI0PPTxVMlC","DJ Fresh","2012-09-28","https://i.scdn.co/image/ab67616d0000b273f36e1963b8fdcd13c531235b","1","1","206776","https://p.scdn.co/mp3-preview/f282df937938db8b55102fba652e9d4d6500ea00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","GBCEN1101013","spotify:user:11135692880","2020-09-04T17:31:38Z"
