"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:51k3ERQVXgxe3csaoeyeH0","Rocket League Theme","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ","Mike Ault","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","1","88388","","false","0","USDY41533222","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:6L9WmjdqIQyCw1zdiQdbvV","Angel Wings","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:2ITuQAcgFooz0Un0mw5KfN","Mike Ault, Avianna Acid","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","2","367500","https://p.scdn.co/mp3-preview/f0a796eec4058a428ae7d8f0e7886f779bc6c03d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533223","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:5PvL89gfiwedpBjnLrL1L2","Darkness","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:3Ded4LIPmE5T5cWLYGtXdY","Mike Ault, Christian de la Torre","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","3","450000","https://p.scdn.co/mp3-preview/ad3ad14e0cbabb36c8913599c113ead9c316537a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533224","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:03FahHsmiImoaqxG13HmBv","Flying Forever","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:6KjiotExiyKsy9NzqwRVsf","Mike Ault, Morgan Perry","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","4","365483","https://p.scdn.co/mp3-preview/b2774bdfc56e30cf23e0b9116f831b170c800a40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533225","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:5HGAQeDU7kh9HjeVvkgWSj","I Can Be","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:6qN0zL1ewsn3g2hYqBQcTK","Mike Ault, Crysta","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","5","258461","https://p.scdn.co/mp3-preview/22b00bf7c5cacaa3d38af9614a4213e8c73315d3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533226","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:1S1QNGHTfUNz2sd3uG4agv","In My Dreams","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:0LQViYf3IKmNmomlsFWYT5","Mike Ault, Nikki Wilkins","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","6","384347","https://p.scdn.co/mp3-preview/69e967c6bd92c80dba639a2cb4b651f6f1bc33d4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533227","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:5z4gtXozUu4ywmMqRz2AMy","Lacuna","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ","Mike Ault","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","7","429850","https://p.scdn.co/mp3-preview/28170fd3d53b8790eafe0db548aa0b504e31f567?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533228","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:7vCNnXlFijKO7YpAMLFHCN","Love Thru the Night","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:6KjiotExiyKsy9NzqwRVsf","Mike Ault, Morgan Perry","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","8","307536","https://p.scdn.co/mp3-preview/a2a57ba06bb0258146c673c9faf6d0e7edd9949e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533229","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:3mDV4wJiObSVMDgFJ94XWL","We Speak Chinese","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:58vgTZbfDwj5CU1QZ6mdAi","Mike Ault, Abandoned Carnival","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","9","277500","https://p.scdn.co/mp3-preview/034483bfa4c451c1ef53b3c1c67b95e0678b5ad7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533230","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:1JUoEb9IO5bfP6O86bAamA","Seeing Whats Next","spotify:artist:6ldZGvFDjs6KafLouTBHJ9","Hollywood Principle","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","10","199285","https://p.scdn.co/mp3-preview/cdd8d53d4af50701d99a0d2db562eb90c065bfa1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533231","spotify:user:11135692880","2020-09-04T18:13:11Z"
"spotify:track:1sDM4ocEMQK5MYYJWYPxdy","Whiplash","spotify:artist:6ldZGvFDjs6KafLouTBHJ9","Hollywood Principle","spotify:album:0vQ0LMeFcvX2SL5yMOjZD5","Rocket League (Official Game Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2015-07-01","https://i.scdn.co/image/ab67616d0000b2735434687f7a214e5ac1520e80","1","11","437343","https://p.scdn.co/mp3-preview/101aed13b3c9698e4f817452325850aaae3483cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41533232","spotify:user:11135692880","2020-09-04T18:13:11Z"
