"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4lWuIFRYHFbfdpFpncUNQ6","Firework","spotify:artist:6ldZGvFDjs6KafLouTBHJ9","Hollywood Principle","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","1","187375","https://p.scdn.co/mp3-preview/7355a768dd8bef708befc1c420e6e8bf990a2c88?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41680899","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:3jc6TBlg8CB7wlGmt9tFXq","Breathing Underwater (Ether Remix)","spotify:artist:6ldZGvFDjs6KafLouTBHJ9","Hollywood Principle","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","2","277750","https://p.scdn.co/mp3-preview/7b5c2a6e3114d1e430fe0eae20b0dd910bcd7274?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41680900","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:3ythjuy4eDwQAvxh6dRGnp","Looking to the Future","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ","Mike Ault","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","3","284041","https://p.scdn.co/mp3-preview/11b3f8b1f9d1d079a9d64e73dd5f03b07458485d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41680901","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:4JgM6I6bETQ7dczF2gfKfU","Escape from L.A. - Instrumental","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:58vgTZbfDwj5CU1QZ6mdAi","Mike Ault, Abandoned Carnival","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","4","320647","https://p.scdn.co/mp3-preview/18d09ed907650d53166925102eda4379535d9a4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41680902","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:0WItVbwDl6NDajKnGEMN2c","Seeing What's Next - Kev Frey Remix","spotify:artist:6ldZGvFDjs6KafLouTBHJ9, spotify:artist:2UwyrnSigyJ6IayNA8fCH9","Hollywood Principle, Kev Frey","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","5","305894","https://p.scdn.co/mp3-preview/7d459e4cd4f245e255d4c3e1eb1cdce90c4e1380?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41680903","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:3qeu0zIBsgETuuSIQOo5sv","When the Lights Come On - Instrumental","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:58vgTZbfDwj5CU1QZ6mdAi","Mike Ault, Abandoned Carnival","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","6","354124","https://p.scdn.co/mp3-preview/52b65217f2c0d7b6844f5bbfb6502fe115e50ccc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41680904","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:4Ffc0iIBjuLL9rvOI6wFG4","Hard Buzz","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:58vgTZbfDwj5CU1QZ6mdAi","Mike Ault, Abandoned Carnival","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","7","202750","https://p.scdn.co/mp3-preview/714303d53848ae1e5040af1a0d2a366e4c5f5ed5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USDY41680905","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:4KfeDdV3Jrj9y9eVtSkH6Y","Game Time","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ, spotify:artist:58vgTZbfDwj5CU1QZ6mdAi","Mike Ault, Abandoned Carnival","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","8","47980","","false","0","USDY41680906","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:6k9mumsIo45plvU1wGddIW","Scorched Earth","spotify:artist:3KI5WbVoQx4UmqKi4dNqtM","Kevin Riepl","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","9","135811","","false","0","USDY41680907","spotify:user:11135692880","2020-09-04T18:13:08Z"
"spotify:track:6sLBYMyzQGAQnb4TR7jSyX","RLCS Theme","spotify:artist:3ZaFdHfHYBoXwQuA5HY3ZQ","Mike Ault","spotify:album:3X82dje03TgunuqUlwP283","Rocket League: Official Game Soundtrack, Vol. 2","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2016-07-07","https://i.scdn.co/image/ab67616d0000b273abfb28e4bab407eabaef678c","1","10","75916","","false","0","USDY41680908","spotify:user:11135692880","2020-09-04T18:13:08Z"
