"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5Mi5HWkgFkDcIvxyP8daOS","ROCK IT","spotify:artist:3bwENxqj9nhaAI3fsAwmv9","Tokyo Machine","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","1","191250","https://p.scdn.co/mp3-preview/a0146c8375f34fc4b4796fa7c4dd25872af911fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","CA6D21700135","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:2RqIPXi0KoDdP8aZC5ZYZR","Fury","spotify:artist:3zuevuwyBq4MiQzPB3nvW2","Rogue","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","2","244114","https://p.scdn.co/mp3-preview/9b49fb1ef38832fd0068a3254bbb8d2b5929ca09?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","CA6D21700140","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:0VbUNUwSXJ4hMdPiO7Ov0c","LUV U NEED U","spotify:artist:41rVuRHYAiH7ltBTHVR9We","Slushii","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","3","146709","https://p.scdn.co/mp3-preview/c8fdb6ba5ee09c445203175ad7cb28337e8a0381?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","CA6D21700136","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:3Z9YnauaNIMElVNnOxHpL7","Bone Dry","spotify:artist:28Ky95tmlHktB96DBUoB0g","Tristam","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","4","285000","https://p.scdn.co/mp3-preview/436f61fa5e8fe08e326f7776047f4b1efbef9412?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","CA6D21700137","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:2rK7ZlIdlCetWZbQ6PD1e0","Weapon","spotify:artist:2Hchwjfl1DioXcIwbOJkus, spotify:artist:4XUgU65QR7O1xlzuRRCcUQ","Grant, BAUM","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","5","188758","https://p.scdn.co/mp3-preview/8bdd32c773e0571074ba27c4dceec8b719f8160c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","CA6D21700141","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:4DhdRaymwr0oubq4UvQY7e","Outbreak","spotify:artist:6RQ9kYbHisp1UUbnfwHNeU, spotify:artist:4o66UJPzUonUgENhbqpHRX","Feint, MYLK","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","6","232114","https://p.scdn.co/mp3-preview/ad1440e46f40b40f1d7ac188e739c609253d12f0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","CA6D21700142","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:3S9cX3Uzt330yZT0uypT9E","Apex","spotify:artist:0daugAjUgbJSqdlyYNwIbT","Vicetone","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","7","163069","https://p.scdn.co/mp3-preview/f4a68c7de1d28ef90c7ec768e5f29bbd1a68f84d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","CA6D21700151","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:3aIp6JhfzYpPignLMV0Sf4","Collisions","spotify:artist:0u18Cq5stIQLUoIaULzDmA","DROELOE","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","8","147000","https://p.scdn.co/mp3-preview/e1de1b6ad93615e3c8ba110fcb0e6e2f24c1a95c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","CA6D21700144","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:48jzaZZhFuxII8h4FEt1fv","Call Me","spotify:artist:6kx1NiHogZzkSU7lHMc3Ow","Subtact","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","9","242611","https://p.scdn.co/mp3-preview/1da98764a0d506305c3cf6d6ca5ec2fc6489aa5a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","CA6D21700143","spotify:user:11135692880","2020-09-04T18:13:06Z"
"spotify:track:61wWlx9A7791rnvfzBkK18","Break Me","spotify:artist:4AT7XlLBevgZIiKvZQ83ye, spotify:artist:24CzPFC4y3bM4AkUnZfuAU","Trivecta, Karra","spotify:album:4pCdGlt4v1pqW0nOjB1T2o","Rocket League x Monstercat Vol. 1","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2017-07-05","https://i.scdn.co/image/ab67616d0000b273f8e4faef5337956c2027e4c4","1","10","222631","https://p.scdn.co/mp3-preview/38f41fc821d1972319c5f7218adf49238570e1d7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","CA6D21700139","spotify:user:11135692880","2020-09-04T18:13:06Z"
