"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7clUVcSOtkNWa58Gw5RfD4","Speed of Sound","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:4E7bV0pzG0LciBSWTszra6","X&Y","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2005-06-07","https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651","1","7","287906","https://p.scdn.co/mp3-preview/59d768aed0018df7d91e96361f281ec323ce26a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBAYE0500602","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:4Tw9JYF9HOuPRyccNWMgwf","The Hardest Part","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:4E7bV0pzG0LciBSWTszra6","X&Y","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2005-06-07","https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651","1","10","262880","https://p.scdn.co/mp3-preview/1a1683e1b4a4dba04be1bb49fc09d5322ba121b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","GBAYE0500613","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:7LVHVU3tWfcxj5aiPFEW4Q","Fix You","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:4E7bV0pzG0LciBSWTszra6","X&Y","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2005-06-07","https://i.scdn.co/image/ab67616d0000b2734e0362c225863f6ae2432651","1","4","295533","https://p.scdn.co/mp3-preview/4ee64ea0fcfc1e6142d3b1e76464e95834fa87dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","GBAYE0500605","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:75JFxkI2RXiU7L9VXzMkle","The Scientist","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:0RHX9XECH8IVI3LNgWDpmQ","A Rush of Blood to the Head","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2002-08-27","https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82","1","4","309600","https://p.scdn.co/mp3-preview/cb283ce76eeee06a724b942d36a140cc088dd50f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","GBAYE0200772","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:0BCPKOYdS2jbQ8iyB56Zns","Clocks","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:0RHX9XECH8IVI3LNgWDpmQ","A Rush of Blood to the Head","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2002-08-27","https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82","1","5","307879","https://p.scdn.co/mp3-preview/f7af250125a083c8212e4b7dd508a12c12aeac37?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","GBAYE0200771","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:3AJwUDP919kvQ9QcozQPxg","Yellow","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:6ZG5lRT77aJ3btmArcykra","Parachutes","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2000-07-10","https://i.scdn.co/image/ab67616d0000b2739164bafe9aaa168d93f4816a","1","5","266773","https://p.scdn.co/mp3-preview/c0d9119dc69cae75baf6463e21e43f433fdf5ff4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","90","GBAYE0000267","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:7fJFDK6XjYsXcMKNHESbot","Fun (feat. Tove Lo)","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:3cfAM8b8KqJRoIzt3zLKqw","A Head Full of Dreams","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2015-12-04","https://i.scdn.co/image/ab67616d0000b2738ff7c3580d429c8212b9a3b6","1","6","267533","https://p.scdn.co/mp3-preview/688a5e862dd4c72c3b788d0beb91b20fbc0e74c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAYE1500982","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:23khhseCLQqVMCIT1WMAns","Magic","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:2G4AUqfwxcV1UdQjm2ouYr","Ghost Stories","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2014-05-19","https://i.scdn.co/image/ab67616d0000b273e5a95573f1b91234630fd2cf","1","2","285014","https://p.scdn.co/mp3-preview/bb218a3258eb112eca7bd22d2cdcd9f741b886c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBAYE1400206","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:5147DzKnamWyQdZwsYLHEJ","Violet Hill","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:0cnd1tlGnbfScH1KWwgxan","Viva La Vida or Death and All His Friends","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2008-06-19","https://i.scdn.co/image/ab67616d0000b2730102924a57d952089d6a5199","1","8","222653","https://p.scdn.co/mp3-preview/7aa7da3f8b5c795517e24dcf19fe8386056c16e8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","GBAYE0800269","spotify:user:11135692880","2017-05-15T23:28:36Z"
"spotify:track:6ORqU0bHbVCRjXm9AjyHyZ","Good Riddance (Time of Your Life)","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","spotify:album:3x2uer6Xh0d5rF8toWpRDA","Nimrod","spotify:artist:7oPftvlwr6VrsViSDV7fJY","Green Day","1997-10-14","https://i.scdn.co/image/ab67616d0000b273da4f6706ae0f2501c61ce776","1","17","153466","https://p.scdn.co/mp3-preview/25e3289a356f376e09cc0089de4fcff05f1ec838?cid=9950ac751e34487dbbe027c4fd7f8e99","true","82","USRE19700545","spotify:user:11135692880","2017-05-15T23:30:21Z"
