"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:17j76Q3fmROd2eL4M7Vira","Ringo Starr","spotify:artist:6RdcIWVKYYzNzjQRd3oyHS","Pinguini Tattici Nucleari","spotify:album:7Li84Fi6QLiE5SAlsruDwS","Ringo Starr","spotify:artist:6RdcIWVKYYzNzjQRd3oyHS","Pinguini Tattici Nucleari","2020-02-06","https://i.scdn.co/image/ab67616d0000b273ee38a5893019e5fc5483c00a","1","1","183333","https://p.scdn.co/mp3-preview/de4d252bd0f0563e92251113536b9fd5eb687e51?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","ITB002000021","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:5U3ln41nbhztweY70Mv5b3","Per sentirmi vivo","spotify:artist:1hM06YHQ635cZwwUbn7dpk, spotify:artist:0kbBijEWCi7FWrBpnpOcHd","Fasma, GG","spotify:album:5owbVnzLpbq9SlftvHXjTa","Per sentirmi vivo","spotify:artist:1hM06YHQ635cZwwUbn7dpk, spotify:artist:0kbBijEWCi7FWrBpnpOcHd","Fasma, GG","2019-11-14","https://i.scdn.co/image/ab67616d0000b27314b0dac4988c44da130a45a4","1","1","179079","https://p.scdn.co/mp3-preview/427fe14f143dc8f6181f0f829296504954fdf076?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","ITB001900640","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:06vLUEqkJ4AIG3bKKtSi0M","Grazie dei fiori","spotify:artist:0Aa0gR6RQfMmo529QX1Gbh","Nilla Pizzi","spotify:album:6gO2RnWmTJpFsWVvOT8Q8s","Grazie Dei Fiori","spotify:artist:0Aa0gR6RQfMmo529QX1Gbh","Nilla Pizzi","2019-03-04","https://i.scdn.co/image/ab67616d0000b2735709bf0398c7c4520a4b4b6e","1","1","168163","https://p.scdn.co/mp3-preview/f1bd1bc68572b6eb0bbac0c836f7f43ae6625cdd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","DETL61600391","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:2AUyuGpF3sw1bTfPKEoagq","Nu juorno buono","spotify:artist:0L1f9i3L3fkMNENljDOsjG","Rocco Hunt","spotify:album:2JkdqcQZ9PX0rxk6CffLYb","Nu juorno buono","spotify:artist:0L1f9i3L3fkMNENljDOsjG","Rocco Hunt","2014-02-17","https://i.scdn.co/image/ab67616d0000b27354e84427811c7025449e30db","1","1","198586","https://p.scdn.co/mp3-preview/74df895a82086a246dd7d613e4f90d99611ccd77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","ITB001400024","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:1y1q6D6BnSPntMeTmq15rh","Nel blu dipinto di blu","spotify:artist:4llklDtTTyMYMY2LfFOkTI","Domenico Modugno","spotify:album:34u4wOfIl7rteIkZxJEu20","Collection: Domenico Modugno","spotify:artist:4llklDtTTyMYMY2LfFOkTI","Domenico Modugno","2013-09-17","https://i.scdn.co/image/ab67616d0000b2733e4c9c16282e6595328cc37e","1","15","216373","https://p.scdn.co/mp3-preview/e7b99340ebbccf0cb43e3c0bc81700143688d3ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","ITD015800707","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:4ITThXIauLMI2RrmFIT41x","Mentre Tutto Scorre","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","spotify:album:4wPMtE1vSjjAPbNN4mUX86","Mentre Tutto Scorre (Deluxe Version)","spotify:artist:1X9iZlQXfAAx4Vvmlqeao7","Negramaro","2006-05-26","https://i.scdn.co/image/ab67616d0000b273acffaed1a44430667c933519","1","2","201333","https://p.scdn.co/mp3-preview/fd089a9fbecb33bd8bd049d455dfc12605d33bc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ITZ040500006","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:35JwSMQXtHyTKPTcpXF07P","Il ballo delle incertezze","spotify:artist:3hN3iJMbbBmqBSAMx5veDa","Ultimo","spotify:album:3AGmokaneh8qA9rA5HshFM","Il ballo delle incertezze","spotify:artist:3hN3iJMbbBmqBSAMx5veDa","Ultimo","2017-12-08","https://i.scdn.co/image/ab67616d0000b27317972d263a436f8706cf6007","1","1","205833","https://p.scdn.co/mp3-preview/95da8f90d115dee85ee6113a8afef3aba7ace0b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","IT1071700353","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:5QKRTdqD7dgOIWMYXUmD6J","Perdere l'amore","spotify:artist:1VZvpyWFZWk1GitulKUo3d","Massimo Ranieri","spotify:album:6uoSK1y8SCXazNiUTu3rWX","Perdere l'amore","spotify:artist:1VZvpyWFZWk1GitulKUo3d","Massimo Ranieri","1988-02-26","https://i.scdn.co/image/ab67616d0000b2733d1a1509d8ee3665a3b329ba","1","7","251533","https://p.scdn.co/mp3-preview/050895dc68327a058353e258884e34a32cff5dc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ITQ008800011","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:0Oheso9xvbCsZc6rzZjaWe","Salirò","spotify:artist:6q8f3fxaWqkXzkbxtKOzYF","Daniele Silvestri","spotify:album:3mfahOk88mQBdYnbLfT7GZ","Monetine","spotify:artist:6q8f3fxaWqkXzkbxtKOzYF","Daniele Silvestri","2008-05-09","https://i.scdn.co/image/ab67616d0000b273f3a7c1debcf215e235bd3745","2","9","237440","https://p.scdn.co/mp3-preview/ffa6fb2acc09162a945213e276dc949df122acf3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","ITC440200001","spotify:user:","2024-08-02T00:01:00Z"
"spotify:track:5bxQHscWvyaQbm37igKP4K","La solitudine","spotify:artist:2e4nwiX8ZCU09LGLOpeqTH","Laura Pausini","spotify:album:2lWrXcNp4XAKostNAtRDW2","Laura Pausini","spotify:artist:2e4nwiX8ZCU09LGLOpeqTH","Laura Pausini","1993-04-23","https://i.scdn.co/image/ab67616d0000b273be679b5ff450cd6f778d7217","1","11","240560","https://p.scdn.co/mp3-preview/fccfbcdf7ee1671f5465be5ec193eb691900c0c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITR009300061","spotify:user:","2024-08-02T00:01:00Z"
