"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4w1lzcaoZ1IC2K5TwjalRP","A Thousand Miles","spotify:artist:5ILrArfIV0tMURcHJN8Q07","Vanessa Carlton","spotify:album:5e7T2qUigzt0oIr50KsOld","Be Not Nobody","spotify:artist:5ILrArfIV0tMURcHJN8Q07","Vanessa Carlton","2002-04-30","https://i.scdn.co/image/ab67616d0000b273bc3ada3a19bb4e657f10917e","1","3","237493","https://p.scdn.co/mp3-preview/1dab77144140b38cf360a7e770f002335884954f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USIR10210955","spotify:user:11135692880","2024-02-06T08:56:15Z"
"spotify:track:37ZJ0p5Jm13JPevGcx4SkF","Livin' On A Prayer","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","spotify:album:0kBfgEilUFCMIQY5IOjG4t","Slippery When Wet","spotify:artist:58lV9VcRSjABbAbfWS6skp","Bon Jovi","1986-08-16","https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac","1","3","249293","https://p.scdn.co/mp3-preview/2a84c209d6bfe17da820bbc28d1e610a5d304a53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USPR38619998","spotify:user:11135692880","2024-02-06T08:56:19Z"
"spotify:track:3Fcfwhm8oRrBvBZ8KGhtea","Viva La Vida","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","spotify:album:0cnd1tlGnbfScH1KWwgxan","Viva La Vida or Death and All His Friends","spotify:artist:4gzpq5DPGxSnKTe4SA8HAU","Coldplay","2008-06-19","https://i.scdn.co/image/ab67616d0000b2730102924a57d952089d6a5199","1","7","242373","https://p.scdn.co/mp3-preview/fb9f4a9b0887326776b4fb7c6d331acd167a7778?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAYE0800265","spotify:user:11135692880","2024-02-06T08:56:26Z"
"spotify:track:6z5Yh7kOKeLjqIsNdokIpU","a thousand years","spotify:artist:7H55rcKCfwqkyDFH9wpKM6","Christina Perri","spotify:album:2lkbTVYUYHXoXt17WXIAVc","The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","2011-11-04","https://i.scdn.co/image/4aaa9fae84be9e79c1a58845784441d65327bcba","1","6","285120","https://p.scdn.co/mp3-preview/be3f3ae6466123836bb05ce0a23a368c196e62f7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USAT21102141","spotify:user:11135692880","2024-02-06T08:56:32Z"
"spotify:track:2T3jgoAMbBXiMMD8pSc6QL","This Is The Life","spotify:artist:1hJuGCUpefX24GFmss9bjH","Amy Macdonald","spotify:album:5DaToG3KvHnUgTPqY4cEbq","This Is The Life (eDeluxe)","spotify:artist:1hJuGCUpefX24GFmss9bjH","Amy Macdonald","2007-01-01","https://i.scdn.co/image/ab67616d0000b273aa2d1f1ecc9aa8f82fd56f7c","1","2","184413","https://p.scdn.co/mp3-preview/0b41ee4f76ed5b428dc67193795bb9a29c35ec03?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBUM70607840","spotify:user:11135692880","2024-02-06T08:56:49Z"
"spotify:track:0yac0FPhLRH9i9lOng3f81","Everybody's Changing","spotify:artist:53A0W3U0s8diEn9RhXQhVz","Keane","spotify:album:0MlTOiC5ZYKFGeZ8h3D4rd","Hopes And Fears","spotify:artist:53A0W3U0s8diEn9RhXQhVz","Keane","2004-05-10","https://i.scdn.co/image/ab67616d0000b2737d6cd95a046a3c0dacbc7d33","1","4","215880","https://p.scdn.co/mp3-preview/b3c0eb6f7f689006cce48d7ba6725afcbd8d1a7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","GBAAN0400092","spotify:user:11135692880","2024-02-06T08:56:56Z"
"spotify:track:55YqwT8BH8alblsZ10zVIO","Stop For A Minute","spotify:artist:53A0W3U0s8diEn9RhXQhVz, spotify:artist:7pGyQZx9thVa8GxMBeXscB","Keane, K'NAAN","spotify:album:1fwHxlyNXdNwJ95xOv9ZYP","Night Train","spotify:artist:53A0W3U0s8diEn9RhXQhVz","Keane","2010-01-01","https://i.scdn.co/image/ab67616d0000b273c8078cbd1bafa1d7d1d0d2b9","1","3","246800","https://p.scdn.co/mp3-preview/805911ecd28a28c02ceac3d007374d498f100f10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBUM71000082","spotify:user:11135692880","2024-02-06T08:57:05Z"
"spotify:track:47BBI51FKFwOMlIiX6m8ya","I Want It That Way","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","spotify:album:5ySxm9hxBNss01WCL7GLyQ","Millennium","spotify:artist:5rSXSAkZ67PYJSvpUpkOr7","Backstreet Boys","1999-05-18","https://i.scdn.co/image/ab67616d0000b2732160c02bc56f192df0f4986b","1","2","213306","https://p.scdn.co/mp3-preview/4eec31d974fd622ac7858affd9759f2017dd87e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USJI19910614","spotify:user:11135692880","2024-02-06T08:58:18Z"
"spotify:track:7jley98gCQFueQ5MCaFWIb","All Rise","spotify:artist:2yEkZBBjhzKzt6LF5XMaFi","Blue","spotify:album:4Kx60DeMOwNNnvQRbZMuHg","All Rise","spotify:artist:2yEkZBBjhzKzt6LF5XMaFi","Blue","2001-11-26","https://i.scdn.co/image/ab67616d0000b27323b80e7083b0677a46f3c482","1","1","223546","https://p.scdn.co/mp3-preview/d668306f4d8cb14ff83dda528a0492f2d7eb0694?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","GBAAA0100115","spotify:user:11135692880","2024-02-06T09:06:27Z"
"spotify:track:2oHsYkh2Vc9OXRyLXLUinC","Big City Life","spotify:artist:5KORW1YGiERJqfuYjXMCyz","Mattafix","spotify:album:6yT5NHkRV5UInZMYYWMYtu","Signs Of A Struggle","spotify:artist:5KORW1YGiERJqfuYjXMCyz","Mattafix","2005","https://i.scdn.co/image/ab67616d0000b273053b3598716090c702483a4a","1","2","240893","https://p.scdn.co/mp3-preview/b1fce485a97fb449c81a8c5f6ecb73b19b3cfef9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","GBHTS0500001","spotify:user:11135692880","2024-02-06T09:43:04Z"
"spotify:track:6jBUP2KCe821yqf1hiBqPR","Broken Strings","spotify:artist:3LpLGlgRS1IKPPwElnpW35, spotify:artist:2jw70GZXlAI8QzWeY2bgRc","James Morrison, Nelly Furtado","spotify:album:4gbQkXljzPRUvYtqQscMO7","Songs For You, Truths For Me (International Exclusive Bundle)","spotify:artist:3LpLGlgRS1IKPPwElnpW35","James Morrison","2008-01-01","https://i.scdn.co/image/ab67616d0000b273f55d805b0d28c9d908bd6df7","1","5","250453","https://p.scdn.co/mp3-preview/b92714792e4398799d2eb15968764fb06200ecbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBUM70810083","spotify:user:11135692880","2024-02-08T14:01:40Z"
"spotify:track:5xEM5hIgJ1jjgcEBfpkt2F","Complicated","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","spotify:album:3zXjR3y2dUWklKmmp6lEhy","Let Go","spotify:artist:0p4nmQO2msCgU4IF37Wi3j","Avril Lavigne","2002-06-04","https://i.scdn.co/image/ab67616d0000b273f7ec724fbf97a30869d06240","1","2","244506","https://p.scdn.co/mp3-preview/34657059f6a40050f96e3cbf3d929aa595f5dd60?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAR10200223","spotify:user:11135692880","2024-02-13T14:13:30Z"
