"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7vodlYYoZr3a9KClWzCjvh","Meteorite","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","spotify:album:7a8pBg426ohFGpFaYWsvHf","LEON","spotify:artist:14XRgLXin9R3eKTNXBNwos","Leon Faun","2024-03-21","https://i.scdn.co/image/ab67616d0000b273b696c9dbfa799ebeb6cb86b7","1","7","121736","https://p.scdn.co/mp3-preview/d9cc2c366bca94b614c9a487e97b28d9f91c74dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","ITUM72400274","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:0VMGL7KoAfjN3UnTL6aB5o","Sesto senso","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","spotify:album:1IAGA62BsUpc8TjhBZuDsn","Going Hard 2","spotify:artist:6PsQc21YZU7WNfiODG69Qk","Tony Boy","2021-09-02","https://i.scdn.co/image/ab67616d0000b27323f14c95a49443cb70e79f18","1","6","181176","https://p.scdn.co/mp3-preview/934c21b1dedd5d93a858c7e695d31c99d496c826?cid=9950ac751e34487dbbe027c4fd7f8e99","true","59","ITK192100094","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:4BtXn7gvRgO2fFn3N7V6xP","Polvere","spotify:artist:25u1DN0MwQVSav4XoJS7hl, spotify:artist:4rj3KWaLAnuxgtMMkypZhf","Olly, JVLI","spotify:album:5PdqPLG4hUzuLAWUDFaZap","Gira, il mondo gira","spotify:artist:25u1DN0MwQVSav4XoJS7hl, spotify:artist:4rj3KWaLAnuxgtMMkypZhf","Olly, JVLI","2023-02-10","https://i.scdn.co/image/ab67616d0000b27322b1f8ff71fd59618d7af5cb","1","4","166791","https://p.scdn.co/mp3-preview/9a41a7c9469114970a04c05d315109dd763f6dee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","ITB002300004","spotify:user:simoneorru08","2024-10-02T19:49:07Z"
"spotify:track:3K7z0fSlSRxrdFPqavdaKC","Big Panorama","spotify:artist:0RENwV6Phsp2y8nnFJ54UC","Tredici Pietro","spotify:album:4Pcpa6u8EH2bAzboGbcIfK","Big Panorama","spotify:artist:0RENwV6Phsp2y8nnFJ54UC","Tredici Pietro","2024-05-17","https://i.scdn.co/image/ab67616d0000b2739d54f9b1cfc1ab79b113b392","1","1","156875","https://p.scdn.co/mp3-preview/ef5c5423e95a25fd2711eee41c8a0edcd55f4915?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","ITM382400107","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:3e7sxremeOE3wTySiOhGiP","Dusk Till Dawn (feat. Sia) - Radio Edit","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81, spotify:artist:5WUlDfRSoLAfcVSX1WnrxN","ZAYN, Sia","spotify:album:1DF9B2hfwX4EdgEFwGcRwh","Icarus Falls","spotify:artist:5ZsFI1h6hIdQRw2ti0hz81","ZAYN","2018-12-14","https://i.scdn.co/image/ab67616d0000b2732bdcb339402ebd78651f09c8","1","29","239000","https://p.scdn.co/mp3-preview/7fa8376aeb69dfe202ea1ad7fadd717bf895d950?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USRC11702155","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:76cy1WJvNGJTj78UqeA5zr","IDGAF","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","spotify:album:01sfgrNbnnPUEyz6GZYlt9","Dua Lipa (Deluxe)","spotify:artist:6M2wZ9GZgrQXHCFfjv46we","Dua Lipa","2017-06-02","https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc","1","5","217946","https://p.scdn.co/mp3-preview/5338a987bfe51f8365bf43b899ecd8a83df83226?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","GBAHT1600301","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:3ph5NwTA3MxwjOrU0hcxB4","Control","spotify:artist:03d2mJXSMtuPI0nIvLnhoS","Zoe Wees","spotify:album:0qZnfUUOH8FkPZBNptfmKr","Therapy","spotify:artist:03d2mJXSMtuPI0nIvLnhoS","Zoe Wees","2023-11-03","https://i.scdn.co/image/ab67616d0000b273675eda25198c001189f380fc","1","5","230893","https://p.scdn.co/mp3-preview/64e3c27cf97ae397f829c162ad44c0c4a5a226d9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","GB2DY2000093","spotify:user:simoneorru08","2024-10-02T19:49:07Z"
"spotify:track:0u2P5u6lvoDfwTYjAADbn4","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","spotify:album:2sBB17RXTamvj7Ncps15AK","lovely (with Khalid)","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:6LuN9FCkKOj5PcnpouEgny","Billie Eilish, Khalid","2018-04-19","https://i.scdn.co/image/ab67616d0000b2738a3f0a3ca7929dea23cd274c","1","1","200185","https://p.scdn.co/mp3-preview/18b3cbbad11e488c24c76d0c697cec8618c15f96?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USUM71804190","spotify:user:11135692880","2024-10-02T19:49:07Z"
"spotify:track:71JKs21s4hGDqZAFIppg1S","SOLO GUAI","spotify:artist:0zoMmzmyi8N8LwzhyXPvtk","Mara Sattei","spotify:album:7D1X0vx7c9dikpFNwUY45q","SOLO GUAI","spotify:artist:0zoMmzmyi8N8LwzhyXPvtk","Mara Sattei","2024-06-13","https://i.scdn.co/image/ab67616d0000b273c6d04131aeb1eb98dc5bf43c","1","1","163333","https://p.scdn.co/mp3-preview/f0d0bbc57453983badebfa4091e8ccde5b245d41?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","ITUM72400732","spotify:user:simoneorru08","2024-10-02T19:49:07Z"
"spotify:track:5OQo1GGSUcOSRKX9eSqdGU","DOPO LE 4 (feat. Bresh & Tedua)","spotify:artist:6CKch2otN4SPznHf9ms5JF, spotify:artist:7FeObngbQ0GY3SojNwKdKn, spotify:artist:1AgAVqo74e2q4FVvg0xpT7","Tony Effe, Bresh, Tedua","spotify:album:3IGuXyMxlXEZJOvBwMu13c","ICON","spotify:artist:6CKch2otN4SPznHf9ms5JF","Tony Effe","2024-05-22","https://i.scdn.co/image/ab67616d0000b27383a1b439e695c7898e2ddae6","1","10","182906","https://p.scdn.co/mp3-preview/d23134a51d38c27f6298d9b651541a9777d13622?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","ITUM72400338","spotify:user:11135692880","2024-10-02T19:49:07Z"
