"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:2DFi8rwHcVkTTgu7PULhtI","My Type","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","spotify:album:3FkPbizteyMJfT2tLyvnkE","My Type","spotify:artist:1dWEYMPtNmvSVaDNLgB6NV","Saint Motel","2014-06-17","https://i.scdn.co/image/ab67616d0000b2734c8d86fcf617d28a7c55818b","1","1","206393","https://p.scdn.co/mp3-preview/c2a53d509f5073ccdfaa8151964cc4fa97f50ad1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYE1400856","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4p9dVvZDaZliSjTCbFRhJy","My Head Is An Animal","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262","1","6","266600","https://p.scdn.co/mp3-preview/a5dad05d521739606a83da0f00d3dc48344c6d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71119106","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:1UqhkbzB1kuFwt2iy4h29Q","Cough Syrup","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","spotify:album:2ww7MYrkExsljnKhcINDse","Young The Giant (Special Edition)","spotify:artist:4j56EQDQu5XnL7R3E9iFJT","Young the Giant","2011","https://i.scdn.co/image/ab67616d0000b27351729fae66d02122c4951153","1","4","249520","https://p.scdn.co/mp3-preview/d7218e4269b429d546b8af4a333a4bbef4cc89ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","NLA321090389","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:12dU3vAh6AFoJkisorfoUl","Don't Look Back In Anger - Remastered","spotify:artist:2DaxqgrOhkeH0fpeiQq2f4","Oasis","spotify:album:6tOe4eAF8xNhEkl9WyvsE4","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","spotify:artist:2DaxqgrOhkeH0fpeiQq2f4","Oasis","1995","https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf","1","4","289560","https://p.scdn.co/mp3-preview/0ec76dac522643d740f7ae47e395a0499d7ef756?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","GBQCP1400110","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:1jUkHIMc7UaJQuzWe5Iop2","Sweet Disposition","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","spotify:album:6p9eMHBHyvHDGK1WIerBfh","Conditions","spotify:artist:4W48hZAnAHVOC2c8WH8pcq","The Temper Trap","2009-08-10","https://i.scdn.co/image/ab67616d0000b2734e5ba21f4684097923205d0a","1","3","234360","https://p.scdn.co/mp3-preview/dfceebf5063bd586908ce3ed6f9f9d18c6cd14a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","GBZUZ0900013","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Riptide","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","spotify:album:6rIbiUMmZJfqJRnXhVxFvg","Dream Your Life Away","spotify:artist:10exVja0key0uqUkk6LJRT","Vance Joy","2014-09-08","https://i.scdn.co/image/ab67616d0000b273d3ce97395ff522b0d70c1094","1","4","204280","https://p.scdn.co/mp3-preview/74698d907d114f4ba0b2c129bbf260724be80b64?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","AULI01385760","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:0DwClY2t9YAWHBROMIgrXb","Ho Hey","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:2MTEiVNgRgIvVIrJAqHNBu","The Lumineers","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2012-04-03","https://i.scdn.co/image/ab67616d0000b273f350c13195ce048876b5fea4","1","5","163133","https://p.scdn.co/mp3-preview/c33540bb4add6e78feca6e0cf121fbd0d3b9e6dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USDMG1260805","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:7BHPGtpuuWWsvE7cCaMuEU","Naive","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","spotify:album:03JPFQvZRnHHysSZrSFmKY","Inside In / Inside Out","spotify:artist:1GLtl8uqKmnyCWxHmw9tL4","The Kooks","2006-01-01","https://i.scdn.co/image/ab67616d0000b27363a28c5ecb7b13e9b329fe47","1","9","203506","https://p.scdn.co/mp3-preview/88783774f8fcfae47cb1d5ba727b203a805d9e1d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","GBAAA0500836","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:5lN1EH25gdiqT1SFALMAq1","Gold on the Ceiling","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","spotify:album:5DLhV9yOvZ7IxVmljMXtNm","El Camino","spotify:artist:7mnBLXK823vNxN3UWB7Gfz","The Black Keys","2011-12-06","https://i.scdn.co/image/ab67616d0000b2736a21b97de47168df4f0c1993","1","3","224333","https://p.scdn.co/mp3-preview/fb86bf4a03ad45e4e0d3b74f537ea811c60b4ccf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USNO11100275","spotify:user:","2024-07-12T21:05:49Z"
"spotify:track:6jHvX8ZnHKC1PnrPMJ0Emt","Cigarette Daydreams","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","spotify:album:5nJ9B1KiydXoYWAcyqlG76","Melophobia","spotify:artist:26T3LtbuGT1Fu9m0eRq5X3","Cage The Elephant","2013-10-08","https://i.scdn.co/image/ab67616d0000b273415b79227c6cee25f42fbf41","1","1","208760","https://p.scdn.co/mp3-preview/a7a72315d777f4ed078d955238f9db158c915fc1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USRC11301169","spotify:user:","2024-07-12T21:05:49Z"
