"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:497Fkp3gRiGrRMoqBTDudr","California - Tchad Blake Mix","spotify:artist:0LsTFjEB1IIrh7IlTxs1GY","Phantom Planet","spotify:album:4SvTjA2cwASS1cWzEIG0WD","The Guest (Expanded Edition)","spotify:artist:0LsTFjEB1IIrh7IlTxs1GY","Phantom Planet","2002","https://i.scdn.co/image/ab67616d0000b2733fffc3b7f3db4dcccff523e1","1","1","193933","https://p.scdn.co/mp3-preview/1ef83f07b093fd04b355d428d832456b79c5ab8a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","USSM10105453","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:6IGA5YrFiEr5ANrMqKkR6H","Good Grief","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","spotify:album:5NfeW0DqFVT3Su3kHBgTf4","Wild World","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","2016-09-09","https://i.scdn.co/image/ab67616d0000b273e13429d57208d9d69e91566e","1","1","206493","https://p.scdn.co/mp3-preview/4818c7d14613e5d9ec5b6299d7f3c825d8879af6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","GBUM71602854","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:2ihCaVdNZmnHZWt0fvAM7B","Little Talks","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","spotify:album:4p9dVvZDaZliSjTCbFRhJy","My Head Is An Animal","spotify:artist:4dwdTW1Lfiq0cM8nBAqIIz","Of Monsters and Men","2012-01-01","https://i.scdn.co/image/ab67616d0000b273cb3f67e8026e2e493a1e8262","1","6","266600","https://p.scdn.co/mp3-preview/a5dad05d521739606a83da0f00d3dc48344c6d77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USUM71119106","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Unwritten","spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a","Natasha Bedingfield","spotify:album:3PEzTAuPW5IjLJ58FzwQeL","Unwritten","spotify:artist:7o95ZoZt5ZYn31e9z1Hc0a","Natasha Bedingfield","2004-08-30","https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4","1","4","259333","https://p.scdn.co/mp3-preview/5559460cc3e2c5aa1eeea1c16cf838cecde326d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","GBARL0400707","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:4LJhJ6DQS7NwE7UKtvcM52","What's My Age Again?","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","spotify:album:652N05EcNH1a4bIlUixQE2","Enema Of The State","spotify:artist:6FBDaR13swtiWwGhX1WQsP","blink-182","1999-06-01","https://i.scdn.co/image/ab67616d0000b2736da502e35a7a3e48de2b0f74","1","5","148360","https://p.scdn.co/mp3-preview/e73273f1d5a2b8d94dcd54d9f1a90e636e8c24bf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","79","USMC19959007","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:20ZP3Om9DvDazXrNUC7WM2","These Days (feat. Jess Glynne, Macklemore & Dan Caplen)","spotify:artist:4WN5naL3ofxrVBgFpguzKo, spotify:artist:4ScCswdRlyA23odg9thgIO, spotify:artist:3JhNCzhSMTxs9WLGJJxWOY, spotify:artist:2U3FuHYvL3vhkbDAXm24Ep","Rudimental, Jess Glynne, Macklemore, Dan Caplen","spotify:album:0ORqx9M6ak7kqDwYUBwvdK","Toast to Our Differences - Deluxe Edition","spotify:artist:4WN5naL3ofxrVBgFpguzKo","Rudimental","2019-01-25","https://i.scdn.co/image/ab67616d0000b2733b2ca582d8778096f23b3ae9","1","6","211760","https://p.scdn.co/mp3-preview/5c1b2dda96886772b8273b8a1c9335294e1656b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","GBAHS1701239","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:7ygpwy2qP3NbrxVkHvUhXY","Wonderwall - Remastered","spotify:artist:2DaxqgrOhkeH0fpeiQq2f4","Oasis","spotify:album:6tOe4eAF8xNhEkl9WyvsE4","(What's The Story) Morning Glory? (Deluxe Remastered Edition)","spotify:artist:2DaxqgrOhkeH0fpeiQq2f4","Oasis","1995","https://i.scdn.co/image/ab67616d0000b2737a4c8c59851c88f6794c3cbf","1","3","258773","https://p.scdn.co/mp3-preview/a983b69e865235e4874c8bb1d6b6f700bdebe5e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBQCP1400109","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:4Ub8UsjWuewQrPhuepfVpd","Pompeii","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","spotify:album:5G6oMu9zNW2acdV0lqzI3L","All This Bad Blood","spotify:artist:7EQ0qTo7fWT7DPxmxtSYEc","Bastille","2013-01-01","https://i.scdn.co/image/ab67616d0000b273faee7306ec2f36aeccc4bc98","1","1","214147","https://p.scdn.co/mp3-preview/18da10d3596cdce4434dbeebf94fc75790217d50?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","GBAAA1200795","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:67WTwafOMgegV6ABnBQxcE","Some Nights","spotify:artist:5nCi3BB41mBaMH9gfr6Su0","fun.","spotify:album:7m7F7SQ3BXvIpvOgjW51Gp","Some Nights","spotify:artist:5nCi3BB41mBaMH9gfr6Su0","fun.","2012-02-14","https://i.scdn.co/image/ab67616d0000b273a036e1724bc7f2bab15cfda8","1","2","277040","https://p.scdn.co/mp3-preview/270d1a141e0493689e31d43c42b464e23583b820?cid=9950ac751e34487dbbe027c4fd7f8e99","true","68","USAT21104050","spotify:user:","2023-12-01T18:04:31Z"
"spotify:track:2igwFfvr1OAGX9SKDCPBwO","Empire State Of Mind","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:3DiDSECUqqY1AuBP8qtaIa","JAY-Z, Alicia Keys","spotify:album:2CUT0104gySOIvqwtXeFsX","The Blueprint 3","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","2009-09-08","https://i.scdn.co/image/ab67616d0000b273fec1b815bb3c50a64a90fd10","1","5","276920","https://p.scdn.co/mp3-preview/cfa4fdeeb114b731f020502ac19361de282cbbae?cid=9950ac751e34487dbbe027c4fd7f8e99","true","80","USJZ10900031","spotify:user:","2023-12-01T18:04:31Z"
