"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0s8XHbX2z7vNIbOyqKk5YB","Back Door Santa","spotify:artist:7lffJlv0nRl0sIsHDmo0SB","Clarence Carter","spotify:album:56Fl7uCKwUbcRA1V172BbK","Soul Christmas","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Artisti Vari","1991-01-01","https://i.scdn.co/image/ab67616d0000b27395909a2337a886da3cec92f3","1","1","129239","https://p.scdn.co/mp3-preview/61118a7ac693542e4f17aa949bf3bb846c5b1b44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USAT20106236","spotify:user:11135692880","2018-09-03T04:42:29Z"
"spotify:track:22v9ZVkWWAYjderL7ZWuuH","Mountains","spotify:artist:6MmQrV24zUeieNf027zkh3","Message To Bears","spotify:album:10BngwMbchdQ5W3LN4tFuk","Folding Leaves","spotify:artist:6MmQrV24zUeieNf027zkh3","Message To Bears","2012","https://i.scdn.co/image/ab67616d0000b273aa7c328b5066085ccd4ddb76","1","3","234000","https://p.scdn.co/mp3-preview/f87e40c185b6f296cfa17e9b5d0af4303d4589eb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEYOK1128678","spotify:user:11135692880","2019-08-27T19:46:02Z"
"spotify:track:1bB7aPOC0JuT4KxV9rmXLE","Obstacles","spotify:artist:4kDmwaDsfY9hcvz7K0otLJ","Syd Matters","spotify:album:7i1OOzS8gGh4WuO7UZSivF","Obstacles","spotify:artist:4kDmwaDsfY9hcvz7K0otLJ","Syd Matters","2005-05-16","https://i.scdn.co/image/ab67616d0000b273a3924b793dbbd57ca05a8c0a","1","1","210706","https://p.scdn.co/mp3-preview/fe8b490dfeeced7522c1250404e0fcf6e7fe22d8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","FRP090400160","spotify:user:11135692880","2019-08-27T19:46:02Z"
"spotify:track:7IUBNrgkUH8XzlEWTOb1Qc","Better","spotify:artist:3z6Gk257P9jNcZbBXJNX5i","Regina Spektor","spotify:album:0ssMZRCnobXKQXjQ2R5A5a","Begin to Hope (Special Edition)","spotify:artist:3z6Gk257P9jNcZbBXJNX5i","Regina Spektor","2006-06-13","https://i.scdn.co/image/ab67616d0000b2737fd2d3669c086850c0f766e8","1","2","201840","https://p.scdn.co/mp3-preview/f3b30c8f448e04114e4ffdefb1881fc5b801b190?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","USWB10600588","spotify:user:11135692880","2018-09-03T04:42:37Z"
"spotify:track:7LygtNjQ65PSdzVjUnHXQb","Cherry Pie","spotify:artist:7HLvzuM9p11k9lUQfSM4Rq","Warrant","spotify:album:4LgsHyufRmmcB1HIqTES19","Cherry Pie","spotify:artist:7HLvzuM9p11k9lUQfSM4Rq","Warrant","1990-10-14","https://i.scdn.co/image/ab67616d0000b273ca00891c544ffcab44bf7a34","1","1","201026","https://p.scdn.co/mp3-preview/f7cf53d1feacf1886bb7410bb13d8ed219f566a3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","USSM10006917","spotify:user:11135692880","2018-09-03T04:42:37Z"
"spotify:track:173wd2gfNMJJJ8l1EqCEBH","The Funeral","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","spotify:album:0CPLPlz7CkxSEyBcd6q6aJ","The Funeral","spotify:artist:0OdUWJ0sBjDrqHygGUXeCF","Band of Horses","2007","https://i.scdn.co/image/ab67616d0000b273740d7757c8f405379ff6eaee","1","1","322226","https://p.scdn.co/mp3-preview/a3d4810ce9c8ea8771bf5d2de93cadc44ec1ee77?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBKTA0700005","spotify:user:11135692880","2018-09-03T04:42:37Z"
"spotify:track:6aCRBSgPRgyOZBxrAgXhQB","Glad Girls","spotify:artist:4oV5EVJ0XFWsJKoOvdRPvl","Guided By Voices","spotify:album:53KpX4dhIypkmTZkfgQdS6","The Best of Guided By Voices: Human Amusements At Hourly Rates","spotify:artist:4oV5EVJ0XFWsJKoOvdRPvl","Guided By Voices","2003-11-04","https://i.scdn.co/image/ab67616d0000b2730df1b9494dc6be20bc35d1ae","1","16","229826","https://p.scdn.co/mp3-preview/162e3e15664573f98eff56b9ec62a73199c3e57d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","USTV10100131","spotify:user:11135692880","2018-09-03T04:42:37Z"
"spotify:track:66S14BkJDxgkYxLl5DCqOz","I'm Gonna Be (500 Miles)","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","spotify:album:7hPq9fDWwXPo1tT0oi3XcM","Finest","spotify:artist:1A92IAcd7A6npCA33oGM5i","The Proclaimers","2003-09-01","https://i.scdn.co/image/ab67616d0000b273b0c0201a8796d8a536253a61","1","1","219466","https://p.scdn.co/mp3-preview/42b4d0af211d3a2ad254c010254a1957297f3f24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","GBAYK8800055","spotify:user:11135692880","2018-09-03T04:42:49Z"
"spotify:track:0AQL74FIidsiEHyzFFRueC","Love Song","spotify:artist:4xwdv2C69VgYjIPMwdRsGo","Haunt","spotify:album:7ePLAl7MGAGjB8vkCeQOFx","As Blue As Your Dying Eyes","spotify:artist:4xwdv2C69VgYjIPMwdRsGo","Haunt","2007-04-12","https://i.scdn.co/image/ab67616d0000b2733b237a02954e4470e63c3b5a","1","10","237946","https://p.scdn.co/mp3-preview/63a05088e4bc0479c456c66b7958b4dd0cad0293?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","uscgj0773245","spotify:user:11135692880","2018-09-03T04:43:00Z"
"spotify:track:0lNjf3ZLB1B2vqaa06xVvP","Monday","spotify:artist:3KAMvC7pjLXNDqvs6cRfpU","Mikey & The Gypsys","spotify:album:29adrAsnfbq8bBBuJYpV7U","Caravan","spotify:artist:3KAMvC7pjLXNDqvs6cRfpU","Mikey & The Gypsys","2008-06-03","https://i.scdn.co/image/ab67616d0000b2732f84ffb073216fe7d492578d","1","1","210840","https://p.scdn.co/mp3-preview/9932588a632bdaacd3da56f604626f2ac1eab58e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","SEWQL0800101","spotify:user:11135692880","2018-09-03T04:43:39Z"
"spotify:track:15KKkSo4KeaMO6FxEETiqs","The Painter","spotify:artist:1LiML7wd2CE9dYq6JSeTjl","I'm From Barcelona","spotify:album:0yJWSo73XpRZ0e7n3X3Tgj","Let Me Introduce My Friends","spotify:artist:1LiML7wd2CE9dYq6JSeTjl","I'm From Barcelona","2006","https://i.scdn.co/image/ab67616d0000b273cbafdf6fd725996543f8ed33","1","12","211186","https://p.scdn.co/mp3-preview/390a64439ad28ec78d1c0c5507f4a98c47159024?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","SEAMA0500643","spotify:user:11135692880","2018-09-03T04:43:39Z"
"spotify:track:1DQrPZrUcoHteMEt69XTeW","Rewind","spotify:artist:0VvTc0cpuq38K7Gqdg7hjm","Goldspot","spotify:album:2MpEfeJy9qmb1Ar2ree4ML","Tally Of The Yes Men","spotify:artist:0VvTc0cpuq38K7Gqdg7hjm","Goldspot","2005","https://i.scdn.co/image/ab67616d0000b27356d142713babfa37ba47893e","1","1","215266","https://p.scdn.co/mp3-preview/b7d49d36da29b8c9a012ff2439567592acfa9c3e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","GBUM70604777","spotify:user:11135692880","2018-09-03T04:43:39Z"
"spotify:track:5K5EW1r6bW6oLZwrBD75YN","Shake It Out","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","spotify:album:4KCYejvKVfrQ8ILYblzhFc","Shake It Out","spotify:artist:1moxjboGR7GNWYIMWsRjgG","Florence + The Machine","2011-01-01","https://i.scdn.co/image/ab67616d0000b2731b0c73410091fb1cdd7c1df1","1","1","278777","https://p.scdn.co/mp3-preview/04003bb778ddf8d2632d28c2a8cebb9fa8128e81?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBUM71107355","spotify:user:11135692880","2018-09-03T04:43:39Z"
"spotify:track:1TAjfIRWe3C2twoss2dS2R","Spit On A Stranger","spotify:artist:3inCNiUr4R6XQ3W43s9Aqi","Pavement","spotify:album:51UTkXK54wyYlVNO9KNYTI","Terror Twilight","spotify:artist:3inCNiUr4R6XQ3W43s9Aqi","Pavement","1999-01-01","https://i.scdn.co/image/ab67616d0000b273944ea674e7f253d7780bbe3d","1","1","184293","https://p.scdn.co/mp3-preview/b6c0a999be6b1570386faeb5b863b5d59c86c03f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GBCEL9900130","spotify:user:11135692880","2018-09-03T04:43:59Z"
