"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4lhqb6JvbHId48OUJGwymk","Hey Brother","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:2H6i2CrWgXE1HookLu8Au0","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7","1","3","255093","https://p.scdn.co/mp3-preview/b0f7ab0efb90d7df8535784a2187034e70d0ab24?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","CH3131340084","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0nrRP2bk19rLc0orkWPQk2","Wake Me Up","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:2H6i2CrWgXE1HookLu8Au0","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7","1","1","247426","https://p.scdn.co/mp3-preview/231af03bbd2ec7f655575800e54a00633d7d9eac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","SEUM71301326","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0ct6r3EGTcMLPtrXHDvVjc","The Nights","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:0h2knr6qpiAq0tV5ri5JMF","The Days / Nights","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2014-01-01","https://i.scdn.co/image/ab67616d0000b2730ae4f4d42e4a09f3a29f64ad","1","2","176658","https://p.scdn.co/mp3-preview/7866e9567e7398035a01f663104ea1c5c28d11b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","CH3131340464","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2P4OICZRVAQcYAV2JReRfj","Waiting For Love","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:7dqftJ3kas6D0VAdmt3k3V","Stories","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2015-10-02","https://i.scdn.co/image/ab67616d0000b2735393c5d3cac806092a9bc468","1","1","230613","https://p.scdn.co/mp3-preview/f21c0795c2421dc2f13be21ce15a2478ba914920?cid=9950ac751e34487dbbe027c4fd7f8e99","false","79","CHB701400134","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6Pgkp4qUoTmJIPn7ReaGxL","Without You (feat. Sandro Cavazza)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5JYo7gm2dkyLLlWHjxS7Dy","Avicii, Sandro Cavazza","spotify:album:1m3mf7xkXIwssVriaaTjOS","AVĪCI - 01","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2017-08-10","https://i.scdn.co/image/ab67616d0000b273a26cc58b4d64c2ece3376389","1","4","181672","https://p.scdn.co/mp3-preview/45c1b11194cb8964c23c129e04591ccb9c71cbf4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","SE5R71700101","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5UqCQaDshqbIk3pkhy4Pjg","Levels - Radio Edit","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:1OEGfToF7QbjUgyxMAnGXg","Levels","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2011-10-28","https://i.scdn.co/image/ab67616d0000b273ffb343926530168be4724dd4","1","1","199906","https://p.scdn.co/mp3-preview/6f972a909a0afdc26ae7a6c456e6722a5536e66d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","SEUM71100962","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4eDYMhIin1pSLIG96f1aD0","Addicted To You","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","spotify:album:2H6i2CrWgXE1HookLu8Au0","True","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2013-01-01","https://i.scdn.co/image/ab67616d0000b273e14f11f796cef9f9a82691a7","1","4","148386","https://p.scdn.co/mp3-preview/a8ddc82236c10f83c61112653aac4f80771e5d84?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","CH3131340085","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2x0RZdkZcD8QRI53XT4GI5","SOS (feat. Aloe Blacc)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:0id62QV2SZZfvBn9xpmuCl","Avicii, Aloe Blacc","spotify:album:6Ad1E9vl75ZB3Ir87zwXIJ","TIM","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2019-06-06","https://i.scdn.co/image/ab67616d0000b273660ee24281a547103f466ff5","1","3","157202","https://p.scdn.co/mp3-preview/5f708e2e99298b3ff1842b5c2da565dbd7b1f608?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","SE5R71900201","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:75NhhYjHO43mvZgYtnXgti","Lonely Together (feat. Rita Ora)","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5CCwRZC6euC8Odo6y9X8jr","Avicii, Rita Ora","spotify:album:1m3mf7xkXIwssVriaaTjOS","AVĪCI - 01","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6","Avicii","2017-08-10","https://i.scdn.co/image/ab67616d0000b273a26cc58b4d64c2ece3376389","1","2","181812","https://p.scdn.co/mp3-preview/26d5f34e9b377c9a7cb2c1535452874f255b7a0b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","SE5R71700108","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1sh6lL6cmlcwhqZKGiKBua","I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5ChF3i92IPZHduM7jN3dpg","Avicii, Nicky Romero","spotify:album:0sOrbRnJcNod63r49kmGVb","I Could Be The One [Avicii vs Nicky Romero]","spotify:artist:1vCWHaC5f2uS3yhpwWbIA6, spotify:artist:5ChF3i92IPZHduM7jN3dpg","Avicii, Nicky Romero","2012-12-26","https://i.scdn.co/image/ab67616d0000b273d1f3c40cd2e251e04ae6413f","1","1","208316","https://p.scdn.co/mp3-preview/f86b63a3fb643dc427eff698d7f2b6f74604992c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","SEUM71201601","spotify:user:","1970-01-01T00:00:00Z"
