"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:6dOtVTDdiauQNBQEDOtlAB","BIRDS OF A FEATHER","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","4","210373","https://p.scdn.co/mp3-preview/2899f0275fc029d456d924a60ae6f747bda1ed80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","98","USUM72401994","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","WILDFLOWER","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","5","261466","https://p.scdn.co/mp3-preview/ab7acea907be9cbe03bba9964765aa889f53d238?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USUM72401993","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:3WOhcATHxK2SLNeP5W3v1v","Guess featuring Billie Eilish","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Charli xcx, Billie Eilish","spotify:album:3ThlxfLSy4bfKzxWqmC7VN","Guess featuring Billie Eilish","spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Charli xcx, Billie Eilish","2024-08-01","https://i.scdn.co/image/ab67616d0000b2738b8d8be49f9c4a44b0574144","1","1","143330","https://p.scdn.co/mp3-preview/0db1b087630204b761037f90fd5de0c244a5d730?cid=9950ac751e34487dbbe027c4fd7f8e99","false","91","USAT22406808","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:629DixmZGHc7ILtEntuiWE","LUNCH","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","2","179586","https://p.scdn.co/mp3-preview/c3a85474a1fc40d876b6bd15c240197e2f974e6e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USUM72401991","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q","What Was I Made For? [From The Motion Picture ""Barbie""]","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:3AafSrFIbJPH6BJHiJm1Cd","What Was I Made For? [From The Motion Picture ""Barbie""]","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2023-07-13","https://i.scdn.co/image/ab67616d0000b273ed317ec13d3de9e01fb99c9e","1","1","222369","https://p.scdn.co/mp3-preview/e58c595e821ffdbd514afa7c8baa20c4bdf74a4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","86","USUM72307484","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:7BRD7x5pt8Lqa1eGYC4dzj","CHIHIRO","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","3","303440","https://p.scdn.co/mp3-preview/2b57d233ddb7137924c7a198741b97e8698023ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","89","USUM72401988","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:7hDVYcQq6MxkdJGweuCtl9","ocean eyes","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7fRrTyKvE4Skh93v97gtcU","dont smile at me","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2017-12-22","https://i.scdn.co/image/ab67616d0000b273a9f6c04ba168640b48aa5795","1","7","200379","https://p.scdn.co/mp3-preview/11e58846ae2e947218f7fee8afbfb560ebf64389?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","US23A1500056","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:2Fxmhks0bxGSBdJ92vM42m","bad guy","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:0S0KGZnfBGSIssfF54WSJh","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2019-03-29","https://i.scdn.co/image/ab67616d0000b27350a3147b4edd7701a876c6ce","1","2","194087","https://p.scdn.co/mp3-preview/3d1ec5e181c3427ead96e3be34d606e3fc522a71?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM71900764","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:6fPan2saHdFaIHuTSatORv","L’AMOUR DE MA VIE","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:7aJuG4TFXa2hmE4z1yxc3n","HIT ME HARD AND SOFT","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2024-05-17","https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62","1","7","333986","https://p.scdn.co/mp3-preview/c1c545337b56496e5f098e1f4190f95043369b45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM72401990","spotify:user:","2024-08-08T13:20:38Z"
"spotify:track:3ZCTVFBt2Brf31RLEnCkWJ","everything i wanted","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","spotify:album:4i3rAwPw7Ln2YrKDusaWyT","everything i wanted","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH","Billie Eilish","2019-11-13","https://i.scdn.co/image/ab67616d0000b273f2248cf6dad1d6c062587249","1","1","245425","https://p.scdn.co/mp3-preview/340ee5a59a86f03c07c79612ea21b99dca4228cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM71922577","spotify:user:","2024-08-08T13:20:38Z"
