"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:5YPKiDLejR1JhnX6w2lhro","Spigoli (feat. Mara Sattei & thasup)","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:0zoMmzmyi8N8LwzhyXPvtk, spotify:artist:19i93sA0D7yS9dYoVNBqAA","Carl Brave, Mara Sattei, thasup","spotify:album:30AKCCfiGrDNxsuOP6jq6X","Coraggio","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","2020-12-17","https://i.scdn.co/image/ab67616d0000b273d8809150b1ecf8f30983e353","1","5","256786","https://p.scdn.co/mp3-preview/a63ae1aa08d06882b9866e93b6a3e6b7aea5a889?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITUM72000490","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5N0nmOmc0MqPZTYKw4fVV6","Posso (feat. Max Gazzé)","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:1h5O32I1o0VOnpLmKXLfRa","Carl Brave, Max Gazzè","spotify:album:5igFxzbfH6oTb3vRFvNK5w","Notti Brave (After)","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","2018-11-30","https://i.scdn.co/image/ab67616d0000b273ae5a3a3e8065ea3963afd409","1","1","238000","https://p.scdn.co/mp3-preview/96259db5da099a95c618addb0688196277e5ec34?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITUM71801142","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2opRyiaqpnQCH0jfCY9Wjd","MAKUMBA","spotify:artist:62C5P1caRIK12ndTkzNJjA, spotify:artist:29nrwultxQ8jENVmXoyMqK","Noemi, Carl Brave","spotify:album:2ZYV0qGxO1Rw7yLIEzs4ND","Metamorfosi","spotify:artist:62C5P1caRIK12ndTkzNJjA","Noemi","2021-03-05","https://i.scdn.co/image/ab67616d0000b27340dac9a38e3d7522ae56ad84","1","1","217621","https://p.scdn.co/mp3-preview/a69b65da846f07b6ffb06e02a1914416208f7e33?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITB002100403","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7l56nY7NMP1QDdWvRdJmmg","Vivere Tutte Le Vite - con Carl Brave","spotify:artist:2ARH58Hit3yC6ziGdhma23, spotify:artist:29nrwultxQ8jENVmXoyMqK","Elisa, Carl Brave","spotify:album:4MmmI8sqP83TZzmg0AyTae","Diari Aperti","spotify:artist:2ARH58Hit3yC6ziGdhma23","Elisa","2019-05-03","https://i.scdn.co/image/ab67616d0000b273fff9bc2822b4dc258861b37d","1","13","220604","https://p.scdn.co/mp3-preview/4039468cce752d79a8bb4ffa0993b84548ec4d15?cid=9950ac751e34487dbbe027c4fd7f8e99","false","49","ITUM71900506","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4qB5WfP7AzwPzU4OddDm4b","Chapeau (feat. Frah Quintale)","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Carl Brave, Frah Quintale","spotify:album:1BayCxyyUYlm3x0Ys1z4Fl","Notti Brave","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","2018-05-11","https://i.scdn.co/image/ab67616d0000b2736d68373352abee80852affec","1","9","185840","https://p.scdn.co/mp3-preview/d10365595f30ae432b475b4aba4ebbd117ba7dff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITUM71800462","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:79VpbVJ1asRXWjkbvlxFED","Di Notte (feat. Sfera Ebbasta & Carl Brave)","spotify:artist:3fhMfkPPzksWuw0hEm4ldm, spotify:artist:23TFHmajVfBtlRx5MXqgoz, spotify:artist:29nrwultxQ8jENVmXoyMqK","Ernia, Sfera Ebbasta, Carl Brave","spotify:album:5bIm3XT2nJAdPvTLsBlk8g","Gemelli (ascendente Milano)","spotify:artist:3fhMfkPPzksWuw0hEm4ldm","Ernia","2021-05-20","https://i.scdn.co/image/ab67616d0000b27363172ba3c697b35377ed0a0f","1","2","224175","https://p.scdn.co/mp3-preview/79ef7a2d1e5f09e733ca3bd85a61ce3a4f3468fb?cid=9950ac751e34487dbbe027c4fd7f8e99","true","47","ITUM72100215","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Tnb3luV5Rc4DYO8Muckcr","Shangai","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","spotify:album:30AKCCfiGrDNxsuOP6jq6X","Coraggio","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","2020-12-17","https://i.scdn.co/image/ab67616d0000b273d8809150b1ecf8f30983e353","1","1","211906","https://p.scdn.co/mp3-preview/baec0bd33204febd691fc46f6b4ec525fa2fa20b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","ITUM72000936","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1uMglAWKIFBHsYb7Mt5qqO","HULA-HOOP","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:62C5P1caRIK12ndTkzNJjA","Carl Brave, Noemi","spotify:album:2hwDcgmeP0EWaOhEdHteMu","HULA-HOOP","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:62C5P1caRIK12ndTkzNJjA","Carl Brave, Noemi","2022-06-24","https://i.scdn.co/image/ab67616d0000b273e6c00a33e177b5ac93defd6a","1","1","214672","https://p.scdn.co/mp3-preview/44857036f6a4d29f140e9abb6e184550792c6d00?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","ITQIL2200003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5S2Bshrq6Bh4zHZoXkUtvf","Malibu (feat. Gemitaiz)","spotify:artist:29nrwultxQ8jENVmXoyMqK, spotify:artist:4upwdFMlZBmQ68jP9jPzjK","Carl Brave, Gemitaiz","spotify:album:1BayCxyyUYlm3x0Ys1z4Fl","Notti Brave","spotify:artist:29nrwultxQ8jENVmXoyMqK","Carl Brave","2018-05-11","https://i.scdn.co/image/ab67616d0000b2736d68373352abee80852affec","1","8","216106","https://p.scdn.co/mp3-preview/ad689e0c98a8f0aa981ad3a014f3f8afa6c11433?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITUM71800455","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4DRyrGfwWACRYP9BDnEFcq","BUGIE (feat. Rkomi & Carl Brave)","spotify:artist:1vgQksyJ0IVz8y9XerEOy3, spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:29nrwultxQ8jENVmXoyMqK","Madame, Rkomi, Carl Brave","spotify:album:7oF6ed3aSHU6aDD4MD3LIr","MADAME","spotify:artist:1vgQksyJ0IVz8y9XerEOy3","Madame","2021-06-03","https://i.scdn.co/image/ab67616d0000b2733ccb55cd765166e424ca0540","1","6","171602","https://p.scdn.co/mp3-preview/cc976402a5d392c0bc3ce9c7d73dea6345e0af62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","ITZ042100005","spotify:user:","1970-01-01T00:00:00Z"
