"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7MMJa7cjMadOSR6CFWvB1x","La musica non c'è","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:3aKazjcDl544T21siS8lDp","Faccio un casino","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2017-05-05","https://i.scdn.co/image/ab67616d0000b27387f01b35a5806d46277a4316","1","6","222786","https://p.scdn.co/mp3-preview/bb32d935fab636353d29e6ebdb9e271296cf1386?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","ITNTP1700008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Z43nMEiOiNeDrqu2BN0JD","La tua canzone","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:10qyDIB3pverR0MvhOFDVy","È sempre bello","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2019-03-29","https://i.scdn.co/image/ab67616d0000b2737e05a226a97cdbdcab2c5a21","1","6","192040","https://p.scdn.co/mp3-preview/ad2f4dc894659d09c577009e4b2bbb09e52ddb5c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","ITB261900160","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ytp1BZurhOk14vErLhivu","Alta marea","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4, spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Coez, Frah Quintale","spotify:album:37uJcI0dW70M5Hbg1WearN","Lovebars","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4, spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Coez, Frah Quintale","2023-09-08","https://i.scdn.co/image/ab67616d0000b2735b3b95fee518e8447b0b6898","1","5","171903","https://p.scdn.co/mp3-preview/ed48fcde8316cc1137a134a12c5787028c6cf233?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITNTP2300001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5bvsNn7f4m0MTCuUQkMZGY","Occhi rossi","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:49NVOF8cRsKJtl38a9AGo0","Volare","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2022-05-18","https://i.scdn.co/image/ab67616d0000b2738f05338b112b25d40aad90c6","1","6","177310","https://p.scdn.co/mp3-preview/d892f084a87acec6a5b72dc7da01a12231ec0871?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","ITLQU2100005","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:381VH1JFj9q08V1OMlPU5m","Le luci della città","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:3aKazjcDl544T21siS8lDp","Faccio un casino","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2017-05-05","https://i.scdn.co/image/ab67616d0000b27387f01b35a5806d46277a4316","1","10","177266","https://p.scdn.co/mp3-preview/c6ac5f504f574f3225e4a254827f4d9ced611d79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","66","ITNTP1700012","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6IdiuMw1FSAvU3e6bgWQVX","È sempre bello","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:10qyDIB3pverR0MvhOFDVy","È sempre bello","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2019-03-29","https://i.scdn.co/image/ab67616d0000b2737e05a226a97cdbdcab2c5a21","1","2","203872","https://p.scdn.co/mp3-preview/6307c2332ebef0856bf9badad37db3e18bdf8483?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","ITB261800550","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6O7pAOsUm3d9R37vYdQnG5","Lovebars","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4, spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Coez, Frah Quintale","spotify:album:37uJcI0dW70M5Hbg1WearN","Lovebars","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4, spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Coez, Frah Quintale","2023-09-08","https://i.scdn.co/image/ab67616d0000b2735b3b95fee518e8447b0b6898","1","3","165906","https://p.scdn.co/mp3-preview/d54cba54d6def85c02dd5bb91f9b94b42992d57d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","ITNTP2300005","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3i4rci1J95OdMxer9kxjqW","Le parole più grandi","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","spotify:album:633YqTzw4kncLmIwFfsP0K","Niente che non va","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2015-09-04","https://i.scdn.co/image/ab67616d0000b2737a3ac958bb7d53520cd8d798","1","11","224931","https://p.scdn.co/mp3-preview/beefcc535584219184f5546ac746b1a190b8ace1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITB261500610","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7bwLvVHpxOuOtg50aicp7c","Taciturnal","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4, spotify:artist:3GNq6JwYWh8B2xujy6ub04","Coez, Gemello","spotify:album:3aKazjcDl544T21siS8lDp","Faccio un casino","spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","Coez","2017-05-05","https://i.scdn.co/image/ab67616d0000b27387f01b35a5806d46277a4316","1","8","174000","https://p.scdn.co/mp3-preview/d9f1316e202984c80bc3dd7dbe36d76293c6982f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","ITNTP1700010","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:60r5kXIqq9d89Y6SsNQC6o","!ly (feat. Coez)","spotify:artist:19i93sA0D7yS9dYoVNBqAA, spotify:artist:5dXlc7MnpaTeUIsHLVe3n4","thasup, Coez","spotify:album:0aNU7OgnwicBxJrhvv4Bah","c@ra++ere s?ec!@le","spotify:artist:19i93sA0D7yS9dYoVNBqAA","thasup","2022-09-30","https://i.scdn.co/image/ab67616d0000b27372cfdfd53af51bcfed067d75","1","4","206494","https://p.scdn.co/mp3-preview/5f09b115a6864b8bf9031d6c9133d6281ac76de6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITB002200613","spotify:user:","1970-01-01T00:00:00Z"
