"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3xGD5KhnizETt7KQwxtUAc","Senza Di Me (feat. Venerus & Franco126)","spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:49faW2w8eguUIAG5c85KcD, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Gemitaiz, Venerus, Franco126","spotify:album:1RIFJfcfz9CgzSER8yweTm","Senza Di Me","spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:49faW2w8eguUIAG5c85KcD, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Gemitaiz, Venerus, Franco126","2018-12-21","https://i.scdn.co/image/ab67616d0000b273728e943dc9efdb0909f52ff7","1","1","201961","https://p.scdn.co/mp3-preview/b2eb996ae46c6e4a2a4f9cebe4aafc781c3ce51e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITDF41800044","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:56aNXzJAZbI1j6jJeEampd","TUTTO FUORI CONTROLLO ൵ (con Franco 126, Kid Yugi, Izi)","spotify:artist:7gjqZ8coFZimZDtdk04WP1, spotify:artist:0EUR8jz8L936AEbV2Spkca, spotify:artist:6289Bbkkk3gaCbh1K7Rv8F, spotify:artist:2KkO9uXHF9BVNJASjLekAc","MACE, Kid Yugi, Izi, Franco126","spotify:album:5wByaEbAmxIlQCDdicFJry","MĀYĀ","spotify:artist:7gjqZ8coFZimZDtdk04WP1","MACE","2024-07-05","https://i.scdn.co/image/ab67616d0000b273ed46b10906511b1329ee66ab","1","4","200729","https://p.scdn.co/mp3-preview/db504b9943384c043ac6c9d688001cbb26099eba?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITUM72400409","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:23hpOtox5sIuRqVBVVJxsO","Stanza Singola (feat. Tommaso Paradiso)","spotify:artist:2KkO9uXHF9BVNJASjLekAc, spotify:artist:47z0zz9ZMCn9GBiPRTn5Bc","Franco126, Tommaso Paradiso","spotify:album:5f2LuFGKudyDDp9d93Qvvc","Stanza Singola","spotify:artist:2KkO9uXHF9BVNJASjLekAc","Franco126","2019-01-25","https://i.scdn.co/image/ab67616d0000b27337298b42580e291499b23e3c","1","2","196615","https://p.scdn.co/mp3-preview/45e5432c544e60986ac079f9acf23c2126e6955e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITLGE1900002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:05ZaaO3XTZQ5rwBNGetYMV","Chicchi di riso","spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Frah Quintale, Franco126","spotify:album:3lY0O6t9fUM6KzMMJJxuL5","Banzai (Lato arancio)","spotify:artist:7BgEOZ9w3Y4IMShXTMu1nN","Frah Quintale","2021-06-04","https://i.scdn.co/image/ab67616d0000b273df705f44b5ce6c720d9815b1","1","7","206400","https://p.scdn.co/mp3-preview/94286b86c86bb9dd431903d3c5abb4b66e47e12e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","54","ITNTP2100048","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3lJyxg4CjZUiTKQ3Ss6kdz","Un'Altra Storia (feat. Franco126)","spotify:artist:3xGlLcG9CUrs5MvFkSLOS5, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Marco Mengoni, Franco126","spotify:album:3esgBh9xyMxeqvDVqOF2E4","MATERIA (PRISMA)","spotify:artist:3xGlLcG9CUrs5MvFkSLOS5","Marco Mengoni","2023-09-23","https://i.scdn.co/image/ab67616d0000b2733a4a78fbd1d0f622813f0a5e","1","3","201588","https://p.scdn.co/mp3-preview/60e4fb2e71ee6c60ddc6239bea03c468ec986f7b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","ITB002301363","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:05Wr6HJmrXiK42rE7Gu8FB","BUONANOTTE ❈ (con NOYZ NARCOS, FRANCO126 & SIDE BABY)","spotify:artist:7gjqZ8coFZimZDtdk04WP1, spotify:artist:49UAapOfpOg1ZOU4xf2NgY, spotify:artist:2KkO9uXHF9BVNJASjLekAc, spotify:artist:6PXiPeUVFrlaC1n8511ijT","MACE, Noyz Narcos, Franco126, Side Baby","spotify:album:64ZUYtdEVuy4OXk63R579s","OBE","spotify:artist:7gjqZ8coFZimZDtdk04WP1","MACE","2021-06-17","https://i.scdn.co/image/ab67616d0000b2730d02a40b925b640241e25913","1","4","208853","https://p.scdn.co/mp3-preview/70a170e39643328ea973d6bbe74885b2f0af26bc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","ITUM72001375","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5hupUValNs86n6lzCJkSVQ","Colpevole (feat. Franco126 & Lil Kvneki)","spotify:artist:4upwdFMlZBmQ68jP9jPzjK, spotify:artist:2KkO9uXHF9BVNJASjLekAc, spotify:artist:5NT6SamVXGrIp1Z1lE2Eyn","Gemitaiz, Franco126, Lil Kvneki","spotify:album:12QaFsG7B3lBtB2TrMDg8g","QVC 10 - Quello Che Vi Consiglio Vol. 10","spotify:artist:4upwdFMlZBmQ68jP9jPzjK","Gemitaiz","2023-12-14","https://i.scdn.co/image/ab67616d0000b2737bb1d98427ea70176ab401f2","1","14","178360","https://p.scdn.co/mp3-preview/f1e8cb64ef2f428ea65d4bd9b77cd6e6fac84333?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","ITDF42300014","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6oZJl2T2hdHnMYcZR6VJGb","Stay Away (feat. Ketama126, Side Baby & Franco126)","spotify:artist:2E6AK3UPEGCvjnzuygCh2h, spotify:artist:0pSx3asj3usz5PRt8COo0E, spotify:artist:6PXiPeUVFrlaC1n8511ijT, spotify:artist:2KkO9uXHF9BVNJASjLekAc","Night Skinny, Ketama126, Side Baby, Franco126","spotify:album:1l1cFQQfIbsDDbPavkCosf","Mattoni","spotify:artist:2E6AK3UPEGCvjnzuygCh2h","Night Skinny","2019-09-12","https://i.scdn.co/image/ab67616d0000b27325c6a5057608a4260583b88e","1","7","216000","https://p.scdn.co/mp3-preview/142780b5951f8758d7b5fb1da157f8d5bdeec8b7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","52","ITUM71900832","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4b8hQaPTM7FhpOOAkKBj5A","Brioschi","spotify:artist:2KkO9uXHF9BVNJASjLekAc","Franco126","spotify:album:5f2LuFGKudyDDp9d93Qvvc","Stanza Singola","spotify:artist:2KkO9uXHF9BVNJASjLekAc","Franco126","2019-01-25","https://i.scdn.co/image/ab67616d0000b27337298b42580e291499b23e3c","1","3","219293","https://p.scdn.co/mp3-preview/ae927d37a292425dba6ff37e91c84ce482b4a49f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITLGE1900003","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1FEAEKjVQLZuSeb0omUxep","FALENA (feat. Franco126, Coez & Ketama126)","spotify:artist:0hk4xVujcyOr6USD95wcWb, spotify:artist:2KkO9uXHF9BVNJASjLekAc, spotify:artist:5dXlc7MnpaTeUIsHLVe3n4, spotify:artist:0pSx3asj3usz5PRt8COo0E","Sick Luke, Franco126, Coez, Ketama126","spotify:album:6ZVOpNfX2JMfAFDqEfmyQ5","X2","spotify:artist:0hk4xVujcyOr6USD95wcWb","Sick Luke","2022-01-07","https://i.scdn.co/image/ab67616d0000b273e45f97fc68a12ca3601b1047","1","6","215016","https://p.scdn.co/mp3-preview/28b4571c74f74e932f0545cf8b3369fdfd84350d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","ITB262101010","spotify:user:","1970-01-01T00:00:00Z"
