"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:40YcuQysJ0KlGQTeGUosTC","Me, Myself & I","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:64M6ah0SkkRsnPGtGiRAbb","G-Eazy, Bebe Rexha","spotify:album:09Q3WwGYsQe5ognkvVkmCu","When It's Dark Out","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2015-12-04","https://i.scdn.co/image/ab67616d0000b27398acfa8c055deedc25e6081d","1","3","251466","https://p.scdn.co/mp3-preview/ea733ebf4d40c173af190a73c375b51d316e5442?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USRC11502210","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Fv6wNYUixnYkj3Dgfrls8","Tumblr Girls (feat. Christoph Andersson)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:2dTGHCFyCD8uj6tAM9q8ED","G-Eazy, Christoph Andersson","spotify:album:6wDc63NhKy2PyXdbhkRmrl","These Things Happen","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2014-06-20","https://i.scdn.co/image/ab67616d0000b273bdfe4efd674482cf5ac88c99","1","15","255680","https://p.scdn.co/mp3-preview/0da4593e1107351dd0496f0348b0a64e4e035922?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USRC11400750","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:068AyhyvE67qMRsMXLqAnd","Lady Killers II","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","spotify:album:39k5K82qRoDYB1SLqLwLYy","Lady Killers II","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2024-03-17","https://i.scdn.co/image/ab67616d0000b2739009d02501524d8a11839819","1","1","297794","https://p.scdn.co/mp3-preview/fe9af50aabaa91970d74b9bcb404af661d234b36?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","TCAIA2495220","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5k38wzpLb15YgncyWdTZE4","Him & I (with Halsey)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:26VFTg2z8YR0cCuwLzESi2","G-Eazy, Halsey","spotify:album:1VAc77UvK5wj8ZSWCo3V2b","The Beautiful & Damned","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2017-12-15","https://i.scdn.co/image/ab67616d0000b273046527a9c176f7c2916f3530","1","3","268866","https://p.scdn.co/mp3-preview/f3b074fff3b73dfec619cf9a3ff72be8d6de2cb6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","75","USRC11701867","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6KI1ZpZWYAJLvmVhCJz65G","You Don't Own Me (feat. G-Eazy)","spotify:artist:6y5amJcTjeDgLXIjtQLMst, spotify:artist:02kJSzxNuaWGqwubyUba0Z","SAYGRACE, G-Eazy","spotify:album:2AUhyBQANk5FKHD6WCbxja","FMA","spotify:artist:6y5amJcTjeDgLXIjtQLMst","SAYGRACE","2016-07-01","https://i.scdn.co/image/ab67616d0000b273f86b51c51b4457cbb66bb282","1","5","201493","https://p.scdn.co/mp3-preview/9785baec65ed15f1f4e6acd5c2bd32558090b313?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","USRC11500344","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0Oa9mHOnH14GZ4toWwkf4c","Good Life (with G-Eazy & Kehlani)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","G-Eazy, Kehlani","spotify:album:3KDuNEtT7I41hNbzMUakyq","Good Life (with G-Eazy & Kehlani)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","G-Eazy, Kehlani","2017-03-17","https://i.scdn.co/image/ab67616d0000b273857ce1238c0bf9cbca89bf55","1","1","225520","https://p.scdn.co/mp3-preview/44277204a6c71145a487055bc874a9a9a982a0b0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USAT21700489","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6jmTHeoWvBaSrwWttr8Xvu","I Mean It (feat. Remo)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:253mZZhgkLOjbAuogZiNbc","G-Eazy, Remo the Hitmaker","spotify:album:6wDc63NhKy2PyXdbhkRmrl","These Things Happen","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2014-06-20","https://i.scdn.co/image/ab67616d0000b273bdfe4efd674482cf5ac88c99","1","3","236480","https://p.scdn.co/mp3-preview/65fc6e30e41d1253880731912a1e3d0f0033e3ad?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USRC11400730","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2DQ1ITjI0YoLFzuADN1ZBW","No Limit","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:4kYSro6naA4h99UJvo89HB","G-Eazy, A$AP Rocky, Cardi B","spotify:album:1VAc77UvK5wj8ZSWCo3V2b","The Beautiful & Damned","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2017-12-15","https://i.scdn.co/image/ab67616d0000b273046527a9c176f7c2916f3530","1","7","245386","https://p.scdn.co/mp3-preview/1af43d7d9b6d95ba79bb72c8c444b003e348b35f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","USRC11702117","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3WqnBqYNdMlNBX4xNkOhrR","Lady Killers III","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","spotify:album:3RCknpgHZcaBHdLSmXU2Cb","Lady Killers III","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2024-05-02","https://i.scdn.co/image/ab67616d0000b273531254f96639604f0210bd64","1","1","176132","https://p.scdn.co/mp3-preview/1eb7ff9434eaa5e7f2c9a06342f903626079a903?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","USRC12401403","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4HnPZXkx15Y5hfBWh9vtQL","Lady Killers (feat. Hoodie Allen)","spotify:artist:02kJSzxNuaWGqwubyUba0Z, spotify:artist:382aq8Pij5V2nE2JMHMoxl","G-Eazy, Hoodie Allen","spotify:album:1wRnE3zgCE5oY28pzmlsqe","Must Be Nice","spotify:artist:02kJSzxNuaWGqwubyUba0Z","G-Eazy","2012-09-26","https://i.scdn.co/image/ab67616d0000b2737181af52d89063ff89acf3e0","1","3","249400","https://p.scdn.co/mp3-preview/6eadccfcbd0d001f1e96866b8ee8dbe6bf88a870?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","TCABJ1216747","spotify:user:","1970-01-01T00:00:00Z"
