"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3iV5VVzcAcqyCGy5u4ZlbP","Le Pietre Non Volano (feat. Marracash)","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:5AZuEF0feCXMkUCwQiQlW7","Luchè, Marracash","spotify:album:3SPUCNVfVDn3skohfmd2x8","Dove Volano Le Aquile","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2022-04-01","https://i.scdn.co/image/ab67616d0000b273d4e2ebb19607078766bc36e0","1","5","299061","https://p.scdn.co/mp3-preview/a4fba5f73912091b1969d5624fa7eea324eee33e?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","ITW5R2200005","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4vd7gUuDg8Ks19SzZxzeHD","Perdere ‘a capa (feat. Geolier)","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:27LlKWxS3KXW7RRAxN5S8s, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Geolier, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","10","220588","https://p.scdn.co/mp3-preview/00fb34cb1754295ccaeb1899c013b9aa812e1fbe?cid=9950ac751e34487dbbe027c4fd7f8e99","true","70","ITQ002400867","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1odrZy5kTuj3SGdfgzhMzq","Scale (con Luchè)","spotify:artist:2E6AK3UPEGCvjnzuygCh2h, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Night Skinny, Luchè","spotify:album:4nhZUFV7XuVY3hfsXB7EMt","Botox","spotify:artist:2E6AK3UPEGCvjnzuygCh2h","Night Skinny","2022-10-04","https://i.scdn.co/image/ab67616d0000b2737494a37de9bdde20bba9e5a1","1","15","152000","https://p.scdn.co/mp3-preview/09dca8690de6b87f6946a2d9f9541ed56ea1c26f?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","ITUM72201096","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0SxncNbbzm0Sq8SBy5N0Np","GIÀ LO SAI (feat. Luchè)","spotify:artist:27LlKWxS3KXW7RRAxN5S8s, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:3wDn3kW2zDRLnaQAnX0S3x","Geolier, Luchè, Dat Boi Dee","spotify:album:1bdXMUERNI9dwREDryk6C7","DIO LO SA","spotify:artist:27LlKWxS3KXW7RRAxN5S8s","Geolier","2024-06-07","https://i.scdn.co/image/ab67616d0000b2736ca1afc5513fd69a8c0c4dc2","1","15","189293","https://p.scdn.co/mp3-preview/b62217b61cbb702e8b8785caa1b0b83221ffb541?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","ITQ002400396","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0NwuXciw6eQc4edjwSBnV3","Non Abbiamo Età","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","spotify:album:2PjyVGPJwYRg9GbNXlicKM","Potere","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2018-06-29","https://i.scdn.co/image/ab67616d0000b2735854bca3d20b22344b300278","1","12","181661","https://p.scdn.co/mp3-preview/356ffc3a85add1acde85b39dea8749d43285ec45?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","ITUM71800594","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7H7NBg9NjyEy2eV8nQ22TR","Cchiù tiempo (feat. Club Dogo)","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:4dyfAiJCbl7jS1GHOCdiJv, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, Club Dogo, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","4","203399","https://p.scdn.co/mp3-preview/b7b2937cf6db9d9e3782fa32673a08ff85d7bca6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","ITQ002400861","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6pz9xpLJYrH564dX8I6pGi","Lo Stesso Viso","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:5tBx3NDRSF6BtOwNl1hlcJ","Luchè, Da Blonde","spotify:album:4A9xE2QAA6dgTcqMrnjpqP","Malammore","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2016-07-15","https://i.scdn.co/image/ab67616d0000b27342da8ae2c26f8caa374e3673","1","10","206939","https://p.scdn.co/mp3-preview/5bf487d01ce4974ea056ed35a08c02be5756cf74?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","ITUM71600750","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3sUzeeqRtfBfJAkk8qb8Pd","Chico (feat. Rose Villain & Luchè)","spotify:artist:7F2utINZ6tSokSiZTQBE27, spotify:artist:2aya6KuqjXEhHBqYKsTPLs, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Guè, Rose Villain, Luchè","spotify:album:5W43G0FSXOgTFCSfnnwxcf","Mr. Fini","spotify:artist:7F2utINZ6tSokSiZTQBE27","Guè","2020-11-26","https://i.scdn.co/image/ab67616d0000b273985cfcaa4eb4649d78bb16e7","1","2","201931","https://p.scdn.co/mp3-preview/558f3ea8b83d2783aa438c0b3525ebbfc9b4eae9?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","ITUM72000273","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5iSHLCuc0K3pUW16b7sSP4","Torna Da Me","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","spotify:album:2PjyVGPJwYRg9GbNXlicKM","Potere","spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Luchè","2018-06-29","https://i.scdn.co/image/ab67616d0000b2735854bca3d20b22344b300278","1","7","180009","https://p.scdn.co/mp3-preview/4354088b2bf4987236900260c92fa77fd1811a40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","ITUM71800596","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2IWIpzS9zuNIA29nwUE8jK","Sbagli e te ne vai (feat. LIBERATO)","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu, spotify:artist:4X89u81dkCXBSGo8i2DhMW, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4, spotify:artist:6yGn8XOk9ZS6vUFf10sP96","Cosang, LIBERATO, Luchè, Ntò","spotify:album:6AJDbheXx2Y9zvBba38EoH","DINASTIA","spotify:artist:2WBEFXMgZrMWQzZvxXmpGu","Cosang","2024-08-30","https://i.scdn.co/image/ab67616d0000b27371c75cfe2e18b76d11b160d4","1","5","234230","https://p.scdn.co/mp3-preview/f872f86e50861391547b7c018f48f920b932f2a6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","ITQ002400862","spotify:user:","1970-01-01T00:00:00Z"
