"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:7221xIgOnuakPdLqT0F3nP","I Had Some Help (Feat. Morgan Wallen)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:4oUHIQIBe0LHzYfvXNW4QM","Post Malone, Morgan Wallen","spotify:album:1woYXxyyxTQJ0E0AhZE6mj","I Had Some Help","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:4oUHIQIBe0LHzYfvXNW4QM","Post Malone, Morgan Wallen","2024-05-10","https://i.scdn.co/image/ab67616d0000b27397306976e3eb8aad53b754eb","1","1","178205","https://p.scdn.co/mp3-preview/add475b56582a3bdad79050e5d170d2d7033cdb5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","88","USUM72404990","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2OzhQlSqBEmt7hmkYxfT6m","Fortnight (feat. Post Malone)","spotify:artist:06HL4z0CvFAxyc27GXpf02, spotify:artist:246dkjvS1zLTtiykXe5h60","Taylor Swift, Post Malone","spotify:album:1Mo4aZ8pdj6L1jx8zSwJnt","THE TORTURED POETS DEPARTMENT","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2024-04-18","https://i.scdn.co/image/ab67616d0000b2735076e4160d018e378f488c33","1","1","228965","https://p.scdn.co/mp3-preview/8098fbf227c8cc1a550e3cabfb8cc52972ac2024?cid=9950ac751e34487dbbe027c4fd7f8e99","false","87","USUG12401028","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:21jGcNKet2qwijlDFuPiPb","Circles","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","6","215280","https://p.scdn.co/mp3-preview/193a0924b0f73d211131bf2fb0bddb7202176202?cid=9950ac751e34487dbbe027c4fd7f8e99","false","84","USUM71915699","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:22VHOlVYBqytsrAqV8yXBK","Dial Drunk (with Post Malone)","spotify:artist:2RQXRUsr4IW1f3mKyKsy4B, spotify:artist:246dkjvS1zLTtiykXe5h60","Noah Kahan, Post Malone","spotify:album:4XahqkOmEsKLKEhBpX8DAe","Dial Drunk (with Post Malone)","spotify:artist:2RQXRUsr4IW1f3mKyKsy4B, spotify:artist:246dkjvS1zLTtiykXe5h60","Noah Kahan, Post Malone","2023-07-18","https://i.scdn.co/image/ab67616d0000b273f519f148d88bf65074b4a3a9","1","1","213817","https://p.scdn.co/mp3-preview/1f981378a48d7eeedd8a57ac8afb776af955b36a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM72308676","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6StwwqB84sJeLr7tZDTxEX","Guy For That (Feat. Luke Combs)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:718COspgdWOnwOFpJHRZHS","Post Malone, Luke Combs","spotify:album:4BbsHmXEghoPPevQjPnHXx","F-1 Trillion","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2024-08-15","https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0","1","8","164011","https://p.scdn.co/mp3-preview/cd6b00448539b638acee56eaa65c76178e606373?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USUM72405595","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5w40ZYhbBMAlHYNDaVJIUu","Chemical","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","spotify:album:7qcSUc5Af63mhfTF60KTEA","Chemical","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2023-04-14","https://i.scdn.co/image/ab67616d0000b273f76f8deeba5370c98ad38f1c","1","1","184013","https://p.scdn.co/mp3-preview/33ec8962850927b5c239d457e33183bfbc5f6d93?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM72305205","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Sunflower - Spider-Man: Into the Spider-Verse","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Post Malone, Swae Lee","spotify:album:4g1ZRSobMefqF6nelkgibi","Hollywood's Bleeding","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2019-09-06","https://i.scdn.co/image/ab67616d0000b2739478c87599550dd73bfa7e02","1","12","157560","https://p.scdn.co/mp3-preview/3c0788c6aba94192edcb497d9a02075bf76c5400?cid=9950ac751e34487dbbe027c4fd7f8e99","false","83","USUM71814888","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2018-04-27","https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268","1","6","218146","https://p.scdn.co/mp3-preview/beb04a51a925ea2ed2fb7c2363b7b3fa37ebc89b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","81","USUM71710087","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0gucUyFMFRMlUiVn9US4YX","Losers (Feat. Jelly Roll)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:19k8AgwwTSxeaxkOuCQEJs","Post Malone, Jelly Roll","spotify:album:4BbsHmXEghoPPevQjPnHXx","F-1 Trillion","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2024-08-15","https://i.scdn.co/image/ab67616d0000b27388208159b1b3c69eefdeb2e0","1","10","209038","https://p.scdn.co/mp3-preview/cc6fcec28a707671406f1ca5292e451fca556d10?cid=9950ac751e34487dbbe027c4fd7f8e99","false","76","USUM72405599","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0O6u0VJ46W86TxN9wgyqDj","I Like You (A Happier Song) (with Doja Cat)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Post Malone, Doja Cat","spotify:album:3HHNR44YbP7XogMVwzbodx","Twelve Carat Toothache","spotify:artist:246dkjvS1zLTtiykXe5h60","Post Malone","2022-06-03","https://i.scdn.co/image/ab67616d0000b27334362676667a4322838ccc97","1","5","192840","https://p.scdn.co/mp3-preview/7330b2c0298e90c5f76e8f7d866ce2409f2a8d81?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USUM72208023","spotify:user:","1970-01-01T00:00:00Z"
