"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3ZOEytgrvLwQaqXreDs2Jx","Can't Stop","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:6deiaArbeoqp1xPEGdEKp1","By the Way (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2002-07-09","https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4","1","7","269000","https://p.scdn.co/mp3-preview/1b3bc0aca1746a99cbb8dd07b2325f6499b58a2e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USWB10201694","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1G391cbiT3v3Cywg8T7DM1","Scar Tissue","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:2Y9IRtehByVkegoD7TcLfi","Californication (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1999-06-08","https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595","1","3","215906","https://p.scdn.co/mp3-preview/5aa4aff376bccc73f7fa7df2954649e30a56c4b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USWB19900674","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3d9DChrdc6BOeFsbrZ3Is0","Under the Bridge","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","11","264306","https://p.scdn.co/mp3-preview/46b0229c06712c5b5e143724c0617e51a9b6e432?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","USWB19901576","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:10Nmj3JCNoMeBQ87uw5j8k","Dani California","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","1","282160","https://p.scdn.co/mp3-preview/0454b7cef05f7db734eb04bd4f3948009838f380?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USWB10600700","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1ndGB6rvxKYN9seCYO1dTF","The Zephyr Song","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:6deiaArbeoqp1xPEGdEKp1","By the Way (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2002-07-09","https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4","1","6","231933","https://p.scdn.co/mp3-preview/1f9a64188b856974fda98fb1eaaee31b1522b0c8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USWB10201693","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:48UPSzbZjgc449aqz8bxox","Californication","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:2Y9IRtehByVkegoD7TcLfi","Californication (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1999-06-08","https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595","1","6","329733","https://p.scdn.co/mp3-preview/0fd595c5b63db10f4a99683f8248ea5d13700683?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USWB19900690","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2oaK4JLVnmRGIO9ytBE1bt","Dark Necessities","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:43otFXrY0bgaq5fB3GrZj6","The Getaway","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2016-06-17","https://i.scdn.co/image/ab67616d0000b27358406b3f1ac3ceaff7a64fef","1","2","302000","https://p.scdn.co/mp3-preview/b2ed4a9710ca0512ce58df1702f375f4ad2e4c13?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USWB11600478","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2aibwv5hGXSgw7Yru8IYTO","Snow (Hey Oh)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:7xl50xr9NDkd3i2kBbzsNZ","Stadium Arcadium","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2006-05-09","https://i.scdn.co/image/ab67616d0000b27309fd83d32aee93dceba78517","1","2","334666","https://p.scdn.co/mp3-preview/d1e419a7f2aa9ba761be88802dbd3560b8f99776?cid=9950ac751e34487dbbe027c4fd7f8e99","false","77","USWB10601591","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1f2V8U1BiWaC9aJWmpOARe","By the Way","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:6deiaArbeoqp1xPEGdEKp1","By the Way (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2002-07-09","https://i.scdn.co/image/ab67616d0000b273de1af2785a83cc660155a0c4","1","1","216933","https://p.scdn.co/mp3-preview/9caddc9fdc2951fcdfe1f3fbda147c5d1871501b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","75","USWB10201688","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:64BbK9SFKH2jk86U3dGj2P","Otherside","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:2Y9IRtehByVkegoD7TcLfi","Californication (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1999-06-08","https://i.scdn.co/image/ab67616d0000b27394d08ab63e57b0cae74e8595","1","4","255373","https://p.scdn.co/mp3-preview/90076510970ced8308b85cd65776f75b99d97e7f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USWB19900693","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0uppYCG86ajpV2hSR3dJJ0","Give It Away","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:30Perjew8HyGkdSmqguYyg","Blood Sugar Sex Magik (Deluxe Edition)","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","1991-09-24","https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70","1","9","282906","https://p.scdn.co/mp3-preview/e0c62e6fb378167d40ab941124f9ed7b9911a35e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","USWB19901574","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3arKRnq9OUd7yq6LRwVW8I","Soul to Squeeze","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","spotify:album:53tvjWbVNZKd3CvpENkzOC","Greatest Hits","spotify:artist:0L8ExT028jH3ddEcZwqJJ5","Red Hot Chili Peppers","2003-11-18","https://i.scdn.co/image/ab67616d0000b2735590b4ee88187cb06a5b102d","1","5","289533","https://p.scdn.co/mp3-preview/6767224dfe28e1171368d38f2ca4d6bec791b803?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","USWB10102659","spotify:user:","1970-01-01T00:00:00Z"
