"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:3z0GeNGWyVduziP1cQ0mFN","5 Gocce (feat. Rkomi)","spotify:artist:5iot8OPcosJN9nCl7I5SdK, spotify:artist:056KMTw6IztdQjBmFfVyO3","Irama, Rkomi","spotify:album:2bL1yZKdgMo1syeyCYDwhq","Il giorno in cui ho smesso di pensare","spotify:artist:5iot8OPcosJN9nCl7I5SdK","Irama","2022-02-25","https://i.scdn.co/image/ab67616d0000b273d4f6240679b97315d6ecbaf5","1","4","160000","https://p.scdn.co/mp3-preview/b3c60cdb0a849a76bb20259868147c448fa0c7fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","ITQ002200025","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6oYcyS6salzWI1ysjEScFh","LA CODA DEL DIAVOLO (con ELODIE)","spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:7GgpsUpkj3olseoaTY7TEY","Rkomi, Elodie","spotify:album:4D04TN7Kw7Bq98kfDjUmgh","TAXI DRIVER","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2021-11-30","https://i.scdn.co/image/ab67616d0000b27301161c81847e31dd1817926a","1","2","188975","https://p.scdn.co/mp3-preview/9eae0d53a0cd7d06069bd50fb95bdc73d95b459d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","ITUM72101571","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Z5y8uHY6mzwWNuaDIFyLc","Anime Libere (feat. Rkomi & Bresh)","spotify:artist:1AgAVqo74e2q4FVvg0xpT7, spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:7FeObngbQ0GY3SojNwKdKn","Tedua, Rkomi, Bresh","spotify:album:4ir7AIjfrMVHTxZhnfzhWl","La Divina Commedia","spotify:artist:1AgAVqo74e2q4FVvg0xpT7","Tedua","2023-06-02","https://i.scdn.co/image/ab67616d0000b273e8a27e7c2f439b53567c7496","1","13","173770","https://p.scdn.co/mp3-preview/8c4f1e30c96794eb72b1d98278d3eeb144985b27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITB002301012","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4JJtZMgxQgTlBBg7E9Qeac","Bimbi","spotify:artist:1UCxzrM5WJh9ure5vCcsim, spotify:artist:6289Bbkkk3gaCbh1K7Rv8F, spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:23TFHmajVfBtlRx5MXqgoz, spotify:artist:1AgAVqo74e2q4FVvg0xpT7, spotify:artist:3egWSWp7Y4FyCKIyvXbw7L","Charlie Charles, Izi, Rkomi, Sfera Ebbasta, Tedua, Ghali","spotify:album:1UrR17tCBddq6cbSKQQWA2","Bimbi","spotify:artist:1UCxzrM5WJh9ure5vCcsim","Charlie Charles","2017-03-24","https://i.scdn.co/image/ab67616d0000b2736f2438ec92a13b866548c30f","1","1","240245","https://p.scdn.co/mp3-preview/a23155529cfa65c8c83b06935852274b2576f336?cid=9950ac751e34487dbbe027c4fd7f8e99","false","56","ITUM71700435","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:35DgCphwTxRkI2jUec0mWA","Prometto (feat. Rkomi & Luchè)","spotify:artist:2E6AK3UPEGCvjnzuygCh2h, spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:3yiEJ9SByXZMXTwaKdVFN4","Night Skinny, Rkomi, Luchè","spotify:album:1l1cFQQfIbsDDbPavkCosf","Mattoni","spotify:artist:2E6AK3UPEGCvjnzuygCh2h","Night Skinny","2019-09-12","https://i.scdn.co/image/ab67616d0000b27325c6a5057608a4260583b88e","1","8","194861","https://p.scdn.co/mp3-preview/6d807586afa47a3dc19b6317254ff0d9ca45c079?cid=9950ac751e34487dbbe027c4fd7f8e99","true","54","ITUM71900833","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6z7tGTD6yvyloEm6K2H8EX","LUNA PIENA (con IRAMA)","spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:5iot8OPcosJN9nCl7I5SdK, spotify:artist:6hkKbkZGvAXuvle2FhCnxy","Rkomi, Irama, Shablo","spotify:album:4D04TN7Kw7Bq98kfDjUmgh","TAXI DRIVER","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2021-11-30","https://i.scdn.co/image/ab67616d0000b27301161c81847e31dd1817926a","1","7","166983","https://p.scdn.co/mp3-preview/affb9bfea290f4ad513afb3ef62b8dc90b1a5aab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","ITUM72100206","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3RyVu4sbEBBRi9fKif6fHc","HOLLYWOOD","spotify:artist:5iot8OPcosJN9nCl7I5SdK, spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:6hkKbkZGvAXuvle2FhCnxy","Irama, Rkomi, Shablo","spotify:album:6QqDUInH8FiRADP1bG8LZF","NO STRESS","spotify:artist:5iot8OPcosJN9nCl7I5SdK, spotify:artist:056KMTw6IztdQjBmFfVyO3","Irama, Rkomi","2023-07-07","https://i.scdn.co/image/ab67616d0000b2732fe169b1cb90e8a638332ded","1","1","184800","https://p.scdn.co/mp3-preview/f75c34bc2c9566babe2a9b7c74c83dafc0c9447e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","ITDF62305001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:48Qsc1cEUGavLJfxld80hb","Non Mi Vedi (feat. Fabri Fibra, Ernia, Rkomi, Geolier, Poison Beatz)","spotify:artist:3LvwPiJQJ0da0GurKMToV0, spotify:artist:1eBPcZCSWh1EAv0aOXusye, spotify:artist:7u710e44HW3K7A5eTnRqHC, spotify:artist:3fhMfkPPzksWuw0hEm4ldm, spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:27LlKWxS3KXW7RRAxN5S8s, spotify:artist:2jnjbAYKylrmBMCFZE0OCK","Baby Gang, Higashi, Fabri Fibra, Ernia, Rkomi, Geolier, Poison Beatz","spotify:album:6hv38luXAPIi4ieI63KfFb","L'Angelo del Male","spotify:artist:3LvwPiJQJ0da0GurKMToV0","Baby Gang","2024-04-26","https://i.scdn.co/image/ab67616d0000b273c4a2a429547e49dc41547605","1","15","196800","https://p.scdn.co/mp3-preview/9b218e48543969f2ce43d7d9b42c648697d9ff53?cid=9950ac751e34487dbbe027c4fd7f8e99","true","51","ITC6Q2400017","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2ZfN2wRHwwbFd7Ok0L3wQ6","Blu Part II (con Rkomi)","spotify:artist:2ARH58Hit3yC6ziGdhma23, spotify:artist:056KMTw6IztdQjBmFfVyO3","Elisa, Rkomi","spotify:album:2MGaRywOabwnnEKc8vp8VP","Diari Aperti (Segreti Svelati)","spotify:artist:2ARH58Hit3yC6ziGdhma23","Elisa","2019-11-14","https://i.scdn.co/image/ab67616d0000b27305913592e2a6f8031a85dc90","1","13","215973","https://p.scdn.co/mp3-preview/5618e02e8a30d4c820ce74ec9f74990d45e4c327?cid=9950ac751e34487dbbe027c4fd7f8e99","false","50","ITUM71901176","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5YSR0sWUZk7NuIbkycxndu","NUOVO RANGE (con SFERA EBBASTA)","spotify:artist:056KMTw6IztdQjBmFfVyO3, spotify:artist:23TFHmajVfBtlRx5MXqgoz, spotify:artist:63pCdEiziMCDjGOdM1XCrJ","Rkomi, Sfera Ebbasta, Junior K","spotify:album:4D04TN7Kw7Bq98kfDjUmgh","TAXI DRIVER","spotify:artist:056KMTw6IztdQjBmFfVyO3","Rkomi","2021-11-30","https://i.scdn.co/image/ab67616d0000b27301161c81847e31dd1817926a","1","8","176772","https://p.scdn.co/mp3-preview/04083d31f949492cb72b6b146c14248c04060da6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","ITUM72100203","spotify:user:","1970-01-01T00:00:00Z"
