"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0IrRIPChx6mwU34gDOEhR1","Young Blood - Weekend Heroes Remix","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9, spotify:artist:0f38k6IM0q7Je0QihLXpD8","The Naked And Famous, Weekend Heroes","spotify:album:2sdHa1IaxXRmD8q4p1eD21","Young Blood - Weekend Heroes Remix","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9, spotify:artist:0f38k6IM0q7Je0QihLXpD8","The Naked And Famous, Weekend Heroes","2024-09-20","https://i.scdn.co/image/ab67616d0000b2730811ebb277b9acb944e0e091","1","1","204798","https://p.scdn.co/mp3-preview/958334a8b2220e014a6a3395fecf6aa34760cc44?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","DEQ692400068","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5PtEpuVX03k9bOUwilL5EO","Punching In A Dream","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","2","238133","https://p.scdn.co/mp3-preview/b7c64f12fe50c226554aa077fac33f1ca75ffcc5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","NZNK11000002","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1GzeyDrul7da45BQASLiKL","Hearts Like Ours","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:50gVKxoJ6fY4nsCAgjQZFc","In Rolling Waves","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2013-01-01","https://i.scdn.co/image/ab67616d0000b2738b089af7b06bec4e65a6eb4f","1","2","272053","https://p.scdn.co/mp3-preview/612e033ff1747b76d69b184a01a9f66900aa634e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBUM71304340","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6komXW6nxpOx9rGlhIM6gl","Higher","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:73PUgXYEhn7oymEC0kJbTQ","Simple Forms","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2016-10-14","https://i.scdn.co/image/ab67616d0000b2731999f72932945f3e3b247617","1","1","230240","https://p.scdn.co/mp3-preview/f138ed27d5648ea3fa931bd87c33f5b47c5ff1ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","NZNK11600001","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1JlQqsAXDTwBCW4eMSRWZB","Blinding Lights","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:57J0EidVGPE6zvDrgbPg86","Blinding Lights","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2020-04-22","https://i.scdn.co/image/ab67616d0000b2733f9e538325d1beeab7c4f357","1","1","187333","https://p.scdn.co/mp3-preview/7b5097fb15ea8b122b9bcfce82c067ff758ca9da?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","GBKPL2095916","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5mEyCUtI36Jmu2KNQQ4jaw","Girls Like You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","13","364493","https://p.scdn.co/mp3-preview/3a2ed67d827b19034553b7ea6d691ebb81c26063?cid=9950ac751e34487dbbe027c4fd7f8e99","false","48","NZNK11000013","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2uXWgJB6VYBHFLF6tFKuTy","Rolling Waves","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:50gVKxoJ6fY4nsCAgjQZFc","In Rolling Waves","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2013-01-01","https://i.scdn.co/image/ab67616d0000b2738b089af7b06bec4e65a6eb4f","1","4","218520","https://p.scdn.co/mp3-preview/09f90cf3327ec16e6d507b4132fa2877431ebccb?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","GBUM71304631","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:71oDA5rl6X6LbRQPYSp9LN","The Runners","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:73PUgXYEhn7oymEC0kJbTQ","Simple Forms","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2016-10-14","https://i.scdn.co/image/ab67616d0000b2731999f72932945f3e3b247617","1","8","260838","https://p.scdn.co/mp3-preview/0d02c461aedca2f2b284c2c9af5dd258e2647d80?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","NZNK11600008","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6eMisU6HZm1xOGfvaPSqmH","Sunseeker","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:10P48vVtjiaALe9u3YOhkq","Recover","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2020-07-24","https://i.scdn.co/image/ab67616d0000b2734a0333ff7a8b30c630399cd5","1","2","228760","https://p.scdn.co/mp3-preview/46805af6c40263d600a626f96cf96bddcf0f421e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","GBKPL1970869","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4Ip2JTqyVA9OOEFvNAkzdf","All Of This","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","spotify:album:5ImvJCAX33Pt2XGMaYaMia","Passive Me, Aggressive You","spotify:artist:0oeUpvxWsC8bWS6SnpU8b9","The Naked And Famous","2010","https://i.scdn.co/image/ab67616d0000b273494e33d225ef37180f88c8ce","1","1","235400","https://p.scdn.co/mp3-preview/6c32bfe12b17a5da01dbcce7e0eb414a8f9bf895?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","NZNK11000007","spotify:user:","1970-01-01T00:00:00Z"
