"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:0wEGo9LsSrSUz9HOtraWAO","Overcompensate","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:5ZSqGFLuXUJUlIObSkN0Bz","Overcompensate","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2024-02-29","https://i.scdn.co/image/ab67616d0000b27399bb3f025c3c637945080979","1","1","236000","https://p.scdn.co/mp3-preview/bbf4e823362f969955259cfa70f79ef0442ee116?cid=9950ac751e34487dbbe027c4fd7f8e99","false","63","USAT22401062","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn","Stressed Out","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b2732df0d98a423025032d0db1f7","1","2","202333","https://p.scdn.co/mp3-preview/d01bb6b4b9952d95d2609632474cda8e632e044d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","85","USAT21500597","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6i0V12jOa3mr6uu4WYhUBr","Heathens","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3J8W9AOjQhnBLCX33m3atT","Heathens","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2016-06-16","https://i.scdn.co/image/ab67616d0000b2732ca3ba8f334ca5a5f0312efb","1","1","195920","https://p.scdn.co/mp3-preview/31b8d72a9480d06d28846b843539b8b5e58696db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","USAT21601930","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4bDIAWaOBGAAk95nyXI6zJ","Routines In The Night","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:1KFWgQTw3EMTQebaaepVBI","Clancy","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2024-05-24","https://i.scdn.co/image/ab67616d0000b2739cf15c7323fb85b7112197d5","1","5","202600","https://p.scdn.co/mp3-preview/77944bcb4b644b1518baa54906a5b5099ea3e7e5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USAT22402066","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:23OXdR7YuUBVWh5hSnYJau","Chlorine","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:621cXqrTSSJi1WqDMSLmbL","Trench","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2018-10-05","https://i.scdn.co/image/ab67616d0000b273d1d301e737da4324479c6660","1","5","324466","https://p.scdn.co/mp3-preview/08d5802772357860f04dfafedda7035bcc374bfa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USAT21810687","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:2Z8WuEywRWYTKe1NybPQEW","Ride","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b2732df0d98a423025032d0db1f7","1","3","214506","https://p.scdn.co/mp3-preview/b571ceecaadc03941bdf4e683ea26e4e6d3f7c17?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USAT21500598","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:0S7lkKStHgfgjgwSFOvRNA","The Craving - single version","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:7K7eWZNR5t9UBlrN2ltzLI","The Craving","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2024-05-22","https://i.scdn.co/image/ab67616d0000b273cc44556f98351de3b6047498","1","1","173866","https://p.scdn.co/mp3-preview/dd7dee9f274dcfeb0d067962d2f08f71dfa53977?cid=9950ac751e34487dbbe027c4fd7f8e99","false","65","USAT22403454","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6fNaHkjAxP6rI2sZhT7QJn","Backslide","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:1KFWgQTw3EMTQebaaepVBI","Clancy","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2024-05-24","https://i.scdn.co/image/ab67616d0000b2739cf15c7323fb85b7112197d5","1","3","180000","https://p.scdn.co/mp3-preview/5ebfd92afd22e5131431ea27c595c51420b9dae6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","USAT22402064","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5cbpoIu3YjoOwbBDGUEp3P","Car Radio","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:2r2r78NE05YjyHyVbVgqFn","Vessel","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2013-01-08","https://i.scdn.co/image/ab67616d0000b2736caad685af37c08063be928d","1","5","267720","https://p.scdn.co/mp3-preview/f4cce0162bdce19a5c79d6e15d6d23f0d51cc29d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","USAT21203515","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:3bnVBN67NBEzedqQuWrpP4","Tear in My Heart","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","spotify:album:3cQO7jp5S9qLBoIVtbkSM1","Blurryface","spotify:artist:3YQKmKGau1PzlVlkL1iodx","Twenty One Pilots","2015-05-15","https://i.scdn.co/image/ab67616d0000b2732df0d98a423025032d0db1f7","1","5","188493","https://p.scdn.co/mp3-preview/d1e5b1b4627177c6e426911e6611a71ad18ffc31?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","USAT21500390","spotify:user:","1970-01-01T00:00:00Z"
