"URI della traccia","Nome della traccia","URI dell'artista","Nome dell'artista","URI dell'album","Nome dell'album","URI dell'artista dell'album","Nome dell'artista dell'album","Data di rilascio dell'album","URL dell'immagine dell'album","Numero del disco","Numero della traccia","Durata della traccia (ms)","URL di anteprima della traccia","Esplicito","Popolarità","ISRC","Aggiunto da","Aggiunto il"
"spotify:track:4JHg4nNYUJQ5HULcCmI18R","What You Know","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:6n8oS6u5qw6xWGT754V1M6","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-03-01","https://i.scdn.co/image/ab67616d0000b273fc6eef9b111d87e57b4b10cc","1","8","189693","https://p.scdn.co/mp3-preview/c5dd84defe3d5e1383e347a9f04f55696365b7b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","FRU700900116","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5cIWkWH6xVdEllQ9ksuu2E","Sun","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:1I1ZFdY9LI6kxPANmduRcN","Beacon","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2012-09-03","https://i.scdn.co/image/ab67616d0000b2735fb8a34087dbf3fba316004e","1","4","187720","https://p.scdn.co/mp3-preview/968ce34311780837af9ffbe7c8f4dfbfe9d45fc4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","FRU701200087","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:1qBLtdOv2zTzq0tkc6Vy6t","Are We Ready? (Wreck)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:6PmuEq2op3EMw1ZhCjjucB","Gameshow (Deluxe Edition)","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2016-10-14","https://i.scdn.co/image/ab67616d0000b2734be6b9c26525b1810c34531a","1","1","230853","https://p.scdn.co/mp3-preview/be9dee2bc72e496e4c5d98acc969984b5455cd6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","GBAYE1600971","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6SlZp9UeLRIuw92j96dcjU","Changing of the Seasons","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:5ClKeDzSpUxrpTKWFwixQ7","Changing of the Seasons","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2013-09-27","https://i.scdn.co/image/ab67616d0000b273571269d36f8936b86937b7f4","1","1","222880","https://p.scdn.co/mp3-preview/724133ecb05f78a0a71a55b2d1759fc40274223f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","GBAYE1301069","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:6GQLX6Z28fYwDNCrhaKzYF","Undercover Martyn","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:6n8oS6u5qw6xWGT754V1M6","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-03-01","https://i.scdn.co/image/ab67616d0000b273fc6eef9b111d87e57b4b10cc","1","7","166573","https://p.scdn.co/mp3-preview/da555cce073c1f767216c0a4c00a97e7838d61ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","FRU700900115","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:4BsQ6HzywRiSHf45WXRft8","Sleep Alone","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:1I1ZFdY9LI6kxPANmduRcN","Beacon","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2012-09-03","https://i.scdn.co/image/ab67616d0000b2735fb8a34087dbf3fba316004e","1","6","236440","https://p.scdn.co/mp3-preview/e1703199be8061a3c6fb9038153932904f0ef9dd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","FRU701200089","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:7fH4XR2QVtQ9cShMLbaKSx","Lucky","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:1PKL24mnakuCYCZkHgKgwJ","Keep On Smiling","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2022-09-02","https://i.scdn.co/image/ab67616d0000b273dc1c6525ae41e296529bcbbb","1","4","219534","https://p.scdn.co/mp3-preview/c6765c46364b0575b3b8a0be7a9cdbd2115ea53e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","GBPVV2204520","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:5BQV6zDJ8lRr8nN6lV2WWi","Happy Customers","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:7r0wef2vFpU9zux6d0wonP","Happy Customers","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2024-03-06","https://i.scdn.co/image/ab67616d0000b273c0ad9c3c1050c225fb2411ee","1","1","170340","https://p.scdn.co/mp3-preview/b2edcf3a8cf717cc0bbd4581b6f0c462078b7a9f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBPVV2400060","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:67SrO8B3O8iUq0AmEh0VzJ","Something Good Can Work","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:6n8oS6u5qw6xWGT754V1M6","Tourist History","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2010-03-01","https://i.scdn.co/image/ab67616d0000b273fc6eef9b111d87e57b4b10cc","1","5","162906","https://p.scdn.co/mp3-preview/8673342281499f0b7996f077ba88eb94defacbff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","FRU700900101","spotify:user:","1970-01-01T00:00:00Z"
"spotify:track:04Lfe4r35E38e6D0FlJKfn","Next Year","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","spotify:album:6Vl6axAAimJLEvRu7pOsuv","Beacon","spotify:artist:536BYVgOnRky0xjsPT96zl","Two Door Cinema Club","2012-08-31","https://i.scdn.co/image/ab67616d0000b27386097448afe37dad3beecdaf","1","1","251453","https://p.scdn.co/mp3-preview/42a95a68ad2743c9096a9e42078811d3392b5ef4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","FRU701200084","spotify:user:","1970-01-01T00:00:00Z"
